time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,3.48,3.48,3.48,3.48,1360,,
2020-01-03,3.52,3.52,3.52,3.52,2000,,
2020-01-06,3.29,3.3,3.29,3.29,4500,,
2020-01-07,3.3,3.48,3.15,3.48,6100,,
2020-01-08,3.48,3.48,3.48,3.48,0,,
2020-01-09,3.48,3.48,3.48,3.48,0,,
2020-01-10,3.24,3.24,3.24,3.24,10,,
2020-01-13,3.2,3.3,3.2,3.3,4010,,
2020-01-14,3.3,3.3,3.3,3.3,0,,
2020-01-15,3.3,3.3,3.3,3.3,0,,
2020-01-16,3.3,3.45,3.3,3.3,7370,,
2020-01-17,3.3,3.3,3.3,3.3,0,,
2020-01-20,3.3,3.3,3.3,3.3,0,,
2020-01-21,3.3,3.3,3.3,3.3,1240,,
2020-01-22,3.4,3.4,3.3,3.3,490,,
2020-01-30,3.3,3.3,3.3,3.3,0,,
2020-01-31,3.07,3.1,3.07,3.07,2500,,
2020-02-03,2.87,3.24,2.87,3.24,460,,
2020-02-04,3.2,3.2,3.2,3.2,200,,
2020-02-05,3.29,3.29,3.29,3.29,10,3.3235,3.3096
2020-02-06,3.06,3.44,3.06,3.44,2650,3.3215,3.3221
2020-02-07,3.64,3.64,3.64,3.64,10,3.3275,3.3523
2020-02-10,3.84,3.84,3.39,3.39,11150,3.3325,3.3559
2020-02-11,3.16,3.16,3.16,3.16,80,3.3165,3.3373
2020-02-12,3.0,3.0,3.0,3.0,1210,3.2925,3.3051
2020-02-13,3.0,3.2,3.0,3.01,3140,3.269,3.277
2020-02-14,2.86,3.0,2.86,3.0,20,3.257,3.2506
2020-02-17,3.0,3.0,3.0,3.0,0,3.242,3.2268
2020-02-18,3.0,3.0,3.0,3.0,0,3.227,3.2052
2020-02-19,3.0,3.0,3.0,3.0,0,3.212,3.1856
2020-02-20,3.21,3.21,3.21,3.21,10,3.2075,3.188
2020-02-21,3.21,3.21,3.21,3.21,0,3.203,3.1901
2020-02-24,3.1,3.1,3.1,3.1,5200,3.193,3.1815
2020-02-25,3.1,3.1,3.1,3.1,5000,3.183,3.1737
2020-02-26,2.9,2.9,2.9,2.9,7650,3.163,3.1477
2020-02-27,3.1,3.1,2.85,2.85,7050,3.1405,3.1193
2020-02-28,2.7,3.04,2.7,3.04,20,3.139,3.1118
2020-03-02,2.91,3.2,2.91,3.2,250,3.137,3.1202
2020-03-03,3.01,3.1,3.01,3.1,640,3.132,3.1182
2020-03-04,3.1,3.1,3.1,3.1,0,3.1225,3.1165
2020-03-05,3.1,3.1,3.1,3.1,820,3.1055,3.1149
2020-03-06,3.0,3.1,3.0,3.1,910,3.0785,3.1135
2020-03-09,2.9,2.9,2.9,2.9,200,3.054,3.0932
2020-03-10,3.1,3.1,3.1,3.1,10,3.051,3.0938
2020-03-11,3.1,3.1,3.1,3.1,0,3.056,3.0944
2020-03-12,3.1,3.1,3.1,3.1,0,3.0605,3.0949
2020-03-13,2.9,3.0,2.89,2.89,830,3.055,3.0754
2020-03-16,2.89,2.89,2.89,2.89,0,3.0495,3.0578
2020-03-17,2.89,2.89,2.89,2.89,0,3.044,3.0418
2020-03-18,2.89,2.89,2.85,2.85,150,3.0365,3.0235
2020-03-19,2.85,2.85,2.85,2.85,0,3.0185,3.007
2020-03-20,3.04,3.04,3.04,3.04,10,3.01,3.0101
2020-03-23,2.83,2.9,2.83,2.9,4720,3.0,2.9997
2020-03-24,2.7,2.7,2.7,2.7,10,2.98,2.9711
2020-03-25,2.52,2.88,2.52,2.88,20,2.979,2.9624
2020-03-26,2.68,2.7,2.68,2.7,2830,2.9715,2.9374
2020-03-27,2.88,2.88,2.88,2.88,10,2.9635,2.932
2020-03-30,3.05,3.05,2.7,2.7,1510,2.9385,2.9099
2020-03-31,2.53,2.88,2.53,2.88,2260,2.9275,2.907
2020-04-01,2.68,2.68,2.68,2.68,10,2.9065,2.8854
2020-04-03,2.5,2.86,2.5,2.55,2080,2.879,2.8535
2020-04-06,2.7,2.7,2.7,2.7,3220,2.859,2.8389
2020-04-07,2.88,2.88,2.8,2.88,3020,2.858,2.8428
2020-04-08,3.08,3.08,2.68,3.0,6940,2.853,2.8577
2020-04-09,3.2,3.2,2.79,2.95,150,2.8455,2.8665
2020-04-10,3.15,3.15,2.75,3.0,5370,2.8405,2.8792
2020-04-13,2.79,2.8,2.79,2.79,17460,2.8355,2.8707
2020-04-14,2.6,2.6,2.6,2.6,20,2.821,2.845
2020-04-15,2.6,2.6,2.6,2.6,0,2.8065,2.8216
2020-04-16,2.6,2.78,2.6,2.78,3310,2.803,2.8177
2020-04-17,2.78,2.78,2.78,2.78,0,2.7995,2.8141
2020-04-20,2.6,2.96,2.6,2.78,2090,2.7865,2.8108
2020-04-21,2.7,2.96,2.59,2.96,19560,2.7895,2.825
2020-04-22,2.96,2.96,2.96,2.96,0,2.8025,2.8379
2020-04-23,2.96,2.96,2.96,2.96,0,2.8065,2.8495
2020-04-24,3.09,3.09,2.77,2.77,2080,2.81,2.8419
2020-04-27,2.58,2.95,2.58,2.58,53540,2.795,2.817
2020-04-28,2.7,2.7,2.4,2.4,78010,2.78,2.7773
2020-04-29,2.56,2.56,2.26,2.56,2170,2.764,2.7566
2020-05-04,2.7,2.7,2.56,2.6,10550,2.76,2.7417
2020-05-05,2.42,2.45,2.42,2.42,13340,2.7535,2.711
2020-05-06,2.5,2.5,2.5,2.5,10,2.7435,2.6909
2020-05-07,2.5,2.5,2.4,2.4,11010,2.7195,2.6632
2020-05-08,2.45,2.47,2.3,2.3,5510,2.6845,2.6286
2020-05-11,2.45,2.45,2.44,2.44,22630,2.659,2.6107
2020-05-12,2.44,2.45,2.3,2.44,15960,2.631,2.5944
2020-05-13,2.36,2.44,2.36,2.4,2720,2.6115,2.5759
2020-05-14,2.54,2.54,2.32,2.45,10260,2.604,2.5639
2020-05-15,2.45,2.45,2.45,2.45,0,2.5965,2.5531
2020-05-18,2.32,2.44,2.32,2.4,1150,2.5775,2.5385
2020-05-19,2.4,2.4,2.35,2.4,3120,2.5585,2.5253
2020-05-20,2.4,2.4,2.4,2.4,0,2.5395,2.5134
2020-05-21,2.38,2.39,2.31,2.39,5460,2.511,2.5016
2020-05-22,2.39,2.39,2.33,2.33,500,2.4795,2.4853
2020-05-25,2.34,2.41,2.34,2.4,16250,2.4515,2.4771
2020-05-26,2.4,2.4,2.3,2.3,46220,2.428,2.4603
2020-05-27,2.3,2.35,2.3,2.35,800,2.4165,2.4498
2020-05-28,2.19,2.4,2.19,2.38,14050,2.4155,2.4431
2020-05-29,2.38,2.38,2.22,2.29,9960,2.402,2.4285
2020-06-01,2.29,2.39,2.29,2.38,28880,2.391,2.4239
2020-06-02,2.38,2.38,2.29,2.32,7980,2.386,2.414
2020-06-03,2.29,2.32,2.28,2.28,38780,2.375,2.4013
