time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,9.17,9.17,9.17,9.17,0,,
2020-01-03,9.17,9.17,9.17,9.17,0,,
2020-01-06,9.17,9.17,9.17,9.17,0,,
2020-01-07,9.04,9.04,9.04,9.04,4700,,
2020-01-08,8.91,9.11,8.59,8.59,6100,,
2020-01-09,9.17,9.17,9.17,9.17,100,,
2020-01-10,9.17,9.17,9.17,9.17,0,,
2020-01-13,9.17,9.17,9.17,9.17,10,,
2020-01-14,9.17,9.17,9.17,9.17,0,,
2020-01-15,9.17,9.17,9.17,9.17,0,,
2020-01-16,9.17,9.17,9.17,9.17,0,,
2020-01-17,9.17,9.17,9.17,9.17,0,,
2020-01-20,9.17,9.17,9.17,9.17,0,,
2020-01-21,9.11,9.11,9.11,9.11,100,,
2020-01-22,9.11,9.11,9.11,9.11,0,,
2020-01-30,9.11,9.11,9.11,9.11,0,,
2020-01-31,8.85,9.17,8.85,9.17,1400,,
2020-02-03,9.17,9.17,9.17,9.17,50,,
2020-02-04,9.17,9.17,9.17,9.17,0,,
2020-02-05,8.85,8.85,8.59,8.78,4388,9.106,9.1076
2020-02-06,9.17,9.17,8.78,8.78,702,9.0865,9.0764
2020-02-07,9.11,9.11,8.65,8.78,6200,9.067,9.0482
2020-02-10,9.17,9.17,8.65,8.78,42075,9.0475,9.0226
2020-02-11,9.11,9.11,8.78,9.11,10800,9.051,9.031
2020-02-12,9.04,9.11,8.85,9.11,2300,9.077,9.0385
2020-02-13,8.98,9.11,8.85,9.11,13400,9.074,9.0453
2020-02-14,8.85,9.04,8.78,9.04,5800,9.0675,9.0448
2020-02-17,9.04,9.17,8.85,8.85,20250,9.0515,9.0262
2020-02-18,9.17,9.17,9.11,9.11,1100,9.0485,9.0342
2020-02-19,9.04,9.04,9.04,9.04,1000,9.042,9.0348
2020-02-20,9.04,9.11,9.04,9.04,2200,9.0355,9.0353
2020-02-21,9.11,9.11,9.04,9.04,6700,9.029,9.0357
2020-02-24,9.24,9.7,8.72,8.78,26200,9.0095,9.0114
2020-02-25,9.04,9.04,8.78,8.78,11070,8.993,8.9893
2020-02-26,9.29,9.43,9.07,9.22,1900,8.9985,9.0113
2020-02-27,9.43,9.43,8.78,9.14,700,9.0,9.0236
2020-02-28,9.07,9.07,9.07,9.07,810,8.995,9.028
2020-03-02,9.07,9.36,8.42,8.71,13800,8.972,8.9977
