time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,4.7,4.7,4.6,4.7,5100,,
2020-01-03,5.0,5.0,4.0,4.0,2500,,
2020-01-06,4.5,4.5,4.5,4.0,20,,
2020-01-07,4.1,5.1,4.1,5.1,41400,,
2020-01-08,5.0,5.0,5.0,5.1,20,,
2020-01-09,5.0,5.1,5.1,5.1,0,,
2020-01-10,4.3,4.3,4.3,4.3,200,,
2020-01-13,4.3,4.3,4.3,4.3,1512,,
2020-01-14,4.3,4.3,4.3,4.3,0,,
2020-01-15,4.9,4.9,4.9,4.9,5400,,
2020-01-16,4.9,4.9,4.9,4.9,1700,,
2020-01-17,4.9,4.9,4.9,4.9,11800,,
2020-01-20,4.9,4.9,4.9,4.9,0,,
2020-01-21,4.9,4.9,4.9,4.9,10050,,
2020-01-22,4.9,4.9,4.9,4.9,0,,
2020-01-30,5.0,5.0,5.0,5.0,100,,
2020-01-31,5.0,5.0,5.0,5.0,1000,,
2020-02-03,5.0,5.0,5.0,5.0,11600,,
2020-02-04,5.0,5.0,5.0,5.0,0,,
2020-02-05,5.0,5.0,5.0,5.0,0,4.765,4.8407
2020-02-06,5.0,5.0,5.0,5.0,0,4.78,4.8559
2020-02-07,5.0,5.0,5.0,5.0,0,4.83,4.8696
2020-02-10,5.0,5.0,5.0,5.0,150,4.88,4.8821
2020-02-11,5.0,5.0,5.0,5.0,0,4.875,4.8933
2020-02-12,5.0,5.0,5.0,5.0,4222,4.87,4.9034
2020-02-13,5.0,5.0,5.0,5.0,3302,4.865,4.9126
2020-02-14,5.0,5.0,5.0,5.0,154,4.9,4.921
2020-02-17,5.0,5.0,5.0,5.0,2558,4.935,4.9285
2020-02-18,5.0,5.0,5.0,5.0,0,4.97,4.9353
2020-02-19,5.0,5.0,5.0,5.0,0,4.975,4.9415
2020-02-20,5.0,5.0,5.0,5.0,2,4.98,4.947
2020-02-21,5.0,5.0,5.0,5.0,0,4.985,4.9521
2020-02-24,5.0,5.0,5.0,5.0,50,4.99,4.9566
2020-02-25,5.0,5.0,5.0,5.0,100,4.995,4.9608
2020-02-26,5.0,5.0,5.0,5.0,1220,5.0,4.9645
2020-02-27,5.0,5.0,5.0,5.0,1550,5.0,4.9679
2020-02-28,5.0,5.0,5.0,5.0,0,5.0,4.9709
2020-03-02,5.0,5.0,4.9,4.9,2000,4.995,4.9642
2020-03-03,4.9,4.9,4.9,4.9,2596,4.99,4.9581
2020-03-04,4.9,4.9,4.9,4.9,0,4.985,4.9525
2020-03-05,4.9,4.9,4.9,4.9,3046,4.98,4.9475
2020-03-06,4.9,5.0,4.9,5.0,1100,4.98,4.9525
2020-03-09,5.5,5.5,5.0,5.0,7500,4.98,4.9571
