time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,3.07,3.18,3.07,3.18,48770,,
2020-01-03,3.13,3.26,3.13,3.26,55100,,
2020-01-06,3.2,3.28,3.2,3.28,27210,,
2020-01-07,3.28,3.33,3.26,3.33,15430,,
2020-01-08,3.26,3.54,3.26,3.33,50230,,
2020-01-09,3.44,3.48,3.28,3.48,20760,,
2020-01-10,3.53,3.53,3.38,3.53,12800,,
2020-01-13,3.53,3.53,3.44,3.45,65420,,
2020-01-14,3.45,3.5,3.45,3.5,23570,,
2020-01-15,3.5,3.5,3.49,3.49,14200,,
2020-01-16,3.44,3.5,3.44,3.5,22820,,
2020-01-17,3.45,3.47,3.45,3.45,41900,,
2020-01-20,3.28,3.48,3.28,3.48,5320,,
2020-01-21,3.48,3.48,3.44,3.47,47820,,
2020-01-22,3.46,3.47,3.45,3.45,46290,,
2020-01-30,3.54,3.54,3.44,3.47,18090,,
2020-01-31,3.44,3.48,3.41,3.47,21700,,
2020-02-03,3.44,3.49,3.41,3.49,2590,,
2020-02-04,3.49,3.5,3.28,3.48,13820,,
2020-02-05,3.46,3.46,3.33,3.44,3440,3.4265,3.4165
2020-02-06,3.26,3.44,3.26,3.33,23660,3.434,3.4082
2020-02-07,3.28,3.38,3.28,3.36,6280,3.439,3.4037
2020-02-10,3.28,3.33,3.13,3.33,5100,3.4415,3.3966
2020-02-11,3.33,3.54,3.33,3.4,51720,3.445,3.397
2020-02-12,3.34,3.49,3.34,3.45,96790,3.451,3.402
2020-02-13,3.49,3.49,3.45,3.45,33170,3.4495,3.4066
2020-02-14,3.51,3.69,3.44,3.69,778790,3.4575,3.4336
2020-02-17,3.95,3.95,3.9,3.95,858500,3.4825,3.4828
2020-02-18,4.03,4.2,3.9,3.9,155030,3.5025,3.5225
2020-02-19,3.77,3.82,3.67,3.69,459310,3.5125,3.5384
2020-02-20,3.68,3.84,3.57,3.59,601000,3.517,3.5434
2020-02-21,3.57,3.74,3.54,3.57,263990,3.523,3.5459
2020-02-24,3.44,3.53,3.33,3.33,180370,3.5155,3.5253
2020-02-25,3.17,3.23,3.1,3.13,498280,3.4985,3.4877
2020-02-26,3.0,3.23,2.92,3.08,155920,3.48,3.4489
2020-02-27,3.08,3.18,3.04,3.18,109630,3.4655,3.4233
2020-02-28,3.09,3.11,3.02,3.03,108190,3.4435,3.3858
2020-03-02,3.03,3.03,2.96,2.96,46730,3.417,3.3452
2020-03-03,2.96,3.03,2.96,2.98,70000,3.392,3.3105
2020-03-04,2.98,3.15,2.97,3.15,122850,3.3775,3.2952
2020-03-05,3.18,3.28,3.03,3.15,145100,3.3685,3.2814
2020-03-06,3.15,3.15,3.03,3.03,61850,3.352,3.2574
2020-03-09,2.83,2.93,2.82,2.82,220020,3.3265,3.2158
2020-03-10,2.82,2.92,2.82,2.85,73910,3.299,3.1809
2020-03-11,2.85,2.92,2.73,2.73,33560,3.263,3.138
2020-03-12,2.59,2.72,2.54,2.54,194400,3.2175,3.081
2020-03-13,2.37,2.49,2.37,2.37,148230,3.1515,3.0133
2020-03-16,2.37,2.38,2.22,2.31,141250,3.0695,2.9463
2020-03-17,2.31,2.36,2.26,2.36,70370,2.9925,2.8905
2020-03-18,2.41,2.49,2.36,2.43,16700,2.9295,2.8466
2020-03-19,2.36,2.44,2.36,2.36,33400,2.868,2.8003
2020-03-20,2.43,2.44,2.36,2.36,53700,2.8075,2.7584
2020-03-23,2.36,2.36,2.19,2.19,133290,2.7505,2.7042
2020-03-24,2.19,2.22,2.07,2.2,32640,2.704,2.6562
2020-03-25,2.2,2.36,2.2,2.36,91340,2.668,2.628
2020-03-26,2.36,2.36,2.2,2.28,31170,2.623,2.5949
2020-03-27,2.15,2.3,2.15,2.3,14070,2.5865,2.5668
2020-03-30,2.14,2.19,2.14,2.14,71410,2.5455,2.5261
2020-03-31,2.25,2.25,1.99,2.13,49240,2.503,2.4884
2020-04-01,2.2,2.2,2.13,2.14,7600,2.4525,2.4552
2020-04-03,2.14,2.26,2.14,2.25,18270,2.4075,2.4357
2020-04-06,2.25,2.28,2.14,2.23,95010,2.3675,2.4161
2020-04-07,2.23,2.28,2.15,2.26,30720,2.3395,2.4012
2020-04-08,2.28,2.33,2.16,2.33,24290,2.3135,2.3944
2020-04-09,2.41,2.41,2.36,2.38,9370,2.296,2.3931
2020-04-10,2.38,2.4,2.33,2.34,9770,2.286,2.388
2020-04-13,2.34,2.36,2.31,2.31,15030,2.283,2.3806
2020-04-14,2.31,2.41,2.31,2.31,10670,2.283,2.3739
2020-04-15,2.31,2.4,2.31,2.4,45670,2.285,2.3763
2020-04-16,2.37,2.42,2.36,2.41,28360,2.284,2.3796
2020-04-17,2.42,2.53,2.41,2.51,47060,2.2915,2.392
2020-04-20,2.59,2.69,2.59,2.69,73180,2.308,2.4204
2020-04-21,2.69,2.81,2.69,2.74,132010,2.3355,2.4508
2020-04-22,2.74,2.74,2.55,2.67,50570,2.359,2.4717
2020-04-23,2.72,2.72,2.68,2.69,21550,2.3755,2.4925
2020-04-24,2.65,2.69,2.65,2.66,16500,2.3945,2.5084
2020-04-27,2.66,2.71,2.66,2.67,27680,2.413,2.5238
2020-04-28,2.72,2.72,2.62,2.66,44100,2.439,2.5368
2020-04-29,2.71,2.71,2.59,2.7,17410,2.4675,2.5523
2020-05-04,2.72,2.82,2.69,2.72,81630,2.4965,2.5683
2020-05-05,2.85,2.85,2.65,2.65,14480,2.5165,2.5761
2020-05-06,2.49,2.81,2.49,2.58,26940,2.534,2.5765
2020-05-07,2.62,2.62,2.54,2.59,42960,2.5505,2.5777
2020-05-08,2.62,2.72,2.59,2.62,40530,2.565,2.5818
2020-05-11,2.59,2.77,2.59,2.77,30420,2.5845,2.5997
2020-05-12,2.76,2.85,2.76,2.79,65400,2.607,2.6178
2020-05-13,2.78,2.78,2.69,2.75,33910,2.629,2.6304
2020-05-14,2.75,2.79,2.72,2.72,8050,2.6495,2.6389
2020-05-15,2.82,2.82,2.57,2.7,14170,2.6645,2.6448
2020-05-18,2.67,2.74,2.67,2.72,22100,2.68,2.6519
2020-05-19,2.72,2.74,2.7,2.74,35220,2.6915,2.6603
2020-05-20,2.74,2.74,2.69,2.69,52970,2.6915,2.6631
2020-05-21,2.69,2.72,2.69,2.72,55870,2.6905,2.6686
2020-05-22,2.69,2.7,2.67,2.69,14780,2.6915,2.6706
2020-05-25,2.68,2.71,2.68,2.71,69020,2.6925,2.6743
2020-05-26,2.71,2.79,2.68,2.76,83580,2.6975,2.6825
2020-05-27,2.76,2.76,2.69,2.74,39050,2.701,2.688
2020-05-28,2.71,2.71,2.7,2.71,26980,2.7035,2.6901
2020-05-29,2.71,2.71,2.67,2.71,22740,2.704,2.692
2020-06-01,2.69,2.69,2.56,2.68,55610,2.702,2.6908
2020-06-02,2.68,2.68,2.66,2.68,62000,2.7035,2.6898
2020-06-03,2.69,2.69,2.67,2.67,30440,2.708,2.6879
2020-06-04,2.69,2.69,2.66,2.67,69850,2.712,2.6862
2020-06-05,2.67,2.72,2.66,2.69,94170,2.7155,2.6866
2020-06-08,2.7,2.87,2.7,2.87,282810,2.7205,2.704
2020-06-09,2.9,3.05,2.9,3.03,407640,2.7325,2.7351
2020-06-10,3.03,3.07,3.0,3.06,169970,2.748,2.766
2020-06-11,3.08,3.27,3.08,3.08,494230,2.766,2.7959
2020-06-12,2.97,3.26,2.9,3.26,244470,2.794,2.8401
2020-06-15,3.3,3.3,3.15,3.15,425340,2.8155,2.8696
2020-06-16,3.22,3.22,3.09,3.15,107480,2.836,2.8963
2020-06-17,3.15,3.15,2.97,3.05,66380,2.854,2.911
2020-06-18,2.99,3.01,2.84,2.95,201650,2.8655,2.9147
2020-06-19,2.9,2.92,2.85,2.92,193160,2.877,2.9152
2020-06-22,3.02,3.11,2.92,3.02,130650,2.8925,2.9252
2020-06-23,3.02,3.1,2.99,3.0,196890,2.9045,2.9323
2020-06-24,2.98,3.05,2.97,3.01,147600,2.918,2.9397
2020-06-25,2.88,3.05,2.88,3.0,85140,2.9325,2.9454
2020-06-26,3.01,3.01,2.96,3.0,80860,2.947,2.9506
2020-06-29,2.89,2.98,2.89,2.93,148520,2.9595,2.9487
2020-06-30,2.93,2.96,2.92,2.93,132300,2.972,2.9469
2020-07-01,2.93,3.03,2.91,3.01,184620,2.989,2.9529
2020-07-02,2.97,2.99,2.95,2.99,23370,3.005,2.9564
2020-07-03,2.99,3.08,2.99,3.0,61560,3.0205,2.9606
2020-07-06,3.0,3.0,2.92,2.95,41690,3.0245,2.9596
2020-07-07,2.95,2.97,2.95,2.97,76420,3.0215,2.9606
2020-07-08,2.95,2.96,2.91,2.91,43220,3.014,2.9558
2020-07-09,2.89,3.0,2.89,2.92,71490,3.006,2.9524
2020-07-10,2.92,2.93,2.82,2.92,41510,2.989,2.9493
2020-07-13,2.92,2.92,2.87,2.91,21100,2.977,2.9455
2020-07-14,2.88,2.93,2.88,2.9,143110,2.9645,2.9412
2020-07-15,2.91,2.92,2.89,2.91,177000,2.9575,2.9382
2020-07-16,2.91,2.91,2.89,2.9,68440,2.955,2.9346
2020-07-17,2.85,2.92,2.85,2.9,70170,2.954,2.9313
2020-07-20,2.89,2.89,2.83,2.84,88670,2.945,2.9226
2020-07-21,2.79,2.84,2.77,2.77,81680,2.9335,2.9081
2020-07-22,2.77,2.77,2.74,2.77,20590,2.9215,2.8949
2020-07-23,2.68,2.74,2.68,2.7,46140,2.9065,2.8763
2020-07-24,2.71,2.71,2.52,2.59,110890,2.886,2.8491
2020-07-27,2.41,2.42,2.41,2.41,138940,2.86,2.8073
2020-07-28,2.41,2.46,2.31,2.46,85350,2.8365,2.7742
2020-07-29,2.44,2.44,2.29,2.31,79220,2.8015,2.73
2020-07-30,2.31,2.36,2.31,2.36,134540,2.77,2.6947
2020-07-31,2.36,2.52,2.36,2.52,127940,2.746,2.6781
2020-08-03,2.69,2.7,2.53,2.67,90930,2.732,2.6773
2020-08-04,2.58,2.64,2.58,2.64,88200,2.7155,2.6738
2020-08-05,2.64,2.64,2.56,2.61,116830,2.7005,2.6677
2020-08-06,2.57,2.63,2.56,2.6,71600,2.6845,2.6613
2020-08-07,2.57,2.77,2.57,2.72,190310,2.6745,2.6668
2020-08-10,2.72,2.72,2.67,2.69,62070,2.6635,2.6691
2020-08-11,2.68,2.7,2.68,2.69,99890,2.653,2.671
2020-08-12,2.69,2.69,2.56,2.66,50720,2.6405,2.67
2020-08-13,2.66,2.66,2.62,2.66,45230,2.6285,2.669
2020-08-14,2.66,2.84,2.66,2.74,252600,2.6205,2.6758
2020-08-17,2.75,2.91,2.75,2.88,318140,2.6225,2.6952
2020-08-18,2.88,3.05,2.87,3.05,262560,2.6365,2.729
2020-08-19,3.15,3.17,3.07,3.1,401740,2.653,2.7644
2020-08-20,3.07,3.07,2.95,3.0,233650,2.668,2.7868
2020-08-21,3.0,3.05,2.97,2.99,123820,2.688,2.8062
2020-08-24,2.99,3.1,2.99,3.04,190280,2.7195,2.8284
2020-08-25,3.08,3.08,3.0,3.0,199680,2.7465,2.8448
2020-08-26,2.99,3.03,2.97,2.97,93730,2.7795,2.8567
2020-08-27,3.03,3.18,2.99,3.18,963510,2.8205,2.8875
2020-08-28,3.4,3.4,3.39,3.4,1063620,2.8645,2.9363
2020-08-31,3.64,3.64,3.54,3.64,2172640,2.913,3.0033
2020-09-01,3.49,3.64,3.44,3.51,820790,2.9565,3.0516
2020-09-03,3.49,3.62,3.49,3.57,588230,3.0045,3.1009
2020-09-04,3.49,3.58,3.47,3.56,895520,3.0525,3.1447
2020-09-07,3.55,3.74,3.55,3.59,664280,3.096,3.1871
2020-09-08,3.69,3.72,3.56,3.64,408750,3.1435,3.2302
2020-09-09,3.56,3.74,3.52,3.69,489080,3.1935,3.274
2020-09-10,3.74,3.89,3.74,3.76,540440,3.2485,3.3203
2020-09-11,3.76,3.79,3.67,3.69,353130,3.3,3.3555
2020-09-14,3.74,3.74,3.62,3.67,500330,3.3465,3.3855
2020-09-15,3.67,3.73,3.63,3.67,510590,3.386,3.4126
2020-09-16,3.64,3.85,3.63,3.8,575060,3.4235,3.4495
2020-09-17,3.8,4.02,3.79,3.88,710350,3.4625,3.4905
2020-09-18,3.88,3.9,3.8,3.82,326780,3.5035,3.5218
2020-09-21,3.82,3.83,3.72,3.75,392420,3.5415,3.5436
2020-09-22,3.65,3.77,3.65,3.72,350360,3.5755,3.5604
2020-09-23,3.72,3.77,3.7,3.7,260750,3.6105,3.5737
2020-09-24,3.7,3.71,3.59,3.64,339730,3.644,3.58
2020-09-25,3.64,3.66,3.6,3.64,284760,3.667,3.5857
2020-09-28,3.62,3.69,3.61,3.62,244720,3.678,3.589
2020-09-29,3.62,3.69,3.59,3.6,217520,3.676,3.59
2020-09-30,3.6,3.63,3.59,3.59,206280,3.68,3.59
2020-10-01,3.59,3.6,3.52,3.54,357690,3.6785,3.5853
2020-10-02,3.54,3.56,3.29,3.47,349680,3.674,3.5743
2020-10-05,3.44,3.66,3.42,3.64,373350,3.6765,3.5805
2020-10-06,3.73,3.73,3.59,3.61,159230,3.675,3.5833
2020-10-07,3.64,3.64,3.57,3.57,148510,3.669,3.5821
2020-10-08,3.57,3.57,3.52,3.54,295860,3.658,3.5781
2020-10-09,3.54,3.54,3.5,3.5,181430,3.6485,3.5706
2020-10-12,3.5,3.52,3.41,3.41,232410,3.6355,3.5553
2020-10-13,3.41,3.49,3.38,3.43,109030,3.6235,3.5434
2020-10-14,3.44,3.45,3.41,3.42,199900,3.6045,3.5316
2020-10-15,3.42,3.53,3.37,3.4,249650,3.5805,3.5191
2020-10-16,3.4,3.42,3.38,3.39,47940,3.559,3.5068
2020-10-19,3.39,3.41,3.38,3.38,157630,3.5405,3.4947
2020-10-20,3.36,3.52,3.36,3.5,143400,3.5295,3.4952
2020-10-21,3.5,3.55,3.46,3.5,161920,3.5195,3.4957
2020-10-22,3.5,3.54,3.46,3.48,131970,3.5115,3.4942
2020-10-23,3.48,3.5,3.48,3.48,194490,3.5035,3.4928
2020-10-26,3.52,3.52,3.48,3.48,110030,3.4965,3.4916
2020-10-27,3.48,3.49,3.46,3.48,72280,3.4905,3.4905
2020-10-28,3.48,3.48,3.26,3.26,197110,3.474,3.4686
2020-10-29,3.28,3.28,3.18,3.25,80060,3.4595,3.4477
2020-10-30,3.28,3.28,3.23,3.23,50370,3.4475,3.427
2020-11-02,3.33,3.33,3.16,3.24,90030,3.4275,3.4092
2020-11-03,3.24,3.46,3.24,3.38,72960,3.416,3.4064
2020-11-04,3.28,3.45,3.28,3.38,504400,3.4065,3.4039
2020-11-05,3.38,3.38,3.34,3.35,100430,3.397,3.3988
2020-11-06,3.33,3.35,3.29,3.33,89520,3.3885,3.3922
2020-11-09,3.33,3.38,3.32,3.36,148080,3.386,3.3891
2020-11-10,3.44,3.45,3.33,3.36,145240,3.3825,3.3864
2020-11-11,3.36,3.38,3.29,3.36,113030,3.3795,3.3839
2020-11-12,3.29,3.35,3.29,3.32,74620,3.3755,3.3778
2020-11-13,3.38,3.38,3.31,3.36,74480,3.374,3.3761
