time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,5.94,5.94,5.38,5.38,3600,,
2020-01-03,5.62,5.62,5.62,5.62,100,,
2020-01-06,5.69,5.69,5.69,5.69,100,,
2020-01-07,5.56,5.69,5.5,5.69,400,,
2020-01-08,5.62,5.62,5.62,5.62,100,,
2020-01-09,5.62,5.62,5.62,5.62,100,,
2020-01-10,5.62,5.62,5.62,5.62,100,,
2020-01-13,5.56,5.56,5.56,5.56,100,,
2020-01-14,5.56,5.56,5.56,5.56,100,,
2020-01-15,5.56,5.56,5.56,5.56,100,,
2020-01-16,5.56,5.56,5.56,5.56,100,,
2020-01-17,5.44,5.5,5.06,5.5,1400,,
2020-01-20,5.44,5.5,5.44,5.5,900,,
2020-01-21,5.44,5.44,5.44,5.44,100,,
2020-01-22,5.38,5.38,5.38,5.38,100,,
2020-01-30,5.62,5.62,5.62,5.62,100,,
2020-01-31,6.19,6.19,6.19,6.19,4600,,
2020-02-03,5.88,5.88,5.62,5.62,200,,
2020-02-04,5.62,5.62,5.62,5.62,100,,
2020-02-05,5.62,5.62,5.62,5.62,100,5.5985,5.5848
2020-02-06,5.5,5.5,5.5,5.5,100,5.6045,5.5767
2020-02-07,5.5,5.5,5.5,5.5,100,5.5985,5.5694
2020-02-10,5.62,5.62,5.62,5.62,100,5.595,5.5742
2020-02-11,5.62,5.62,5.62,5.62,100,5.5915,5.5786
2020-02-12,5.5,5.5,5.5,5.5,100,5.5855,5.5711
2020-02-13,5.56,5.56,5.56,5.56,100,5.5825,5.5701
2020-02-14,5.5,5.5,5.25,5.5,310,5.5765,5.5634
2020-02-17,5.44,5.44,5.44,5.44,100,5.5705,5.5516
2020-02-18,5.5,5.5,5.5,5.5,100,5.5675,5.5467
2020-02-19,5.5,5.5,5.5,5.5,100,5.5645,5.5423
2020-02-20,5.5,5.56,5.0,5.56,10400,5.5645,5.544
2020-02-21,5.56,5.56,5.06,5.06,2300,5.5425,5.4979
2020-02-24,5.0,5.0,5.0,5.0,100,5.5175,5.4505
2020-02-25,5.0,5.0,5.0,5.0,100,5.4955,5.4076
2020-02-26,5.19,5.19,5.19,5.19,100,5.486,5.3868
2020-02-27,5.12,5.12,5.12,5.12,43600,5.461,5.3614
2020-02-28,5.06,5.06,5.06,5.06,100,5.4045,5.3327
2020-03-02,5.0,5.0,4.62,4.62,800,5.3545,5.2648
2020-03-03,4.62,5.0,4.62,5.0,200,5.3235,5.2396
2020-03-04,5.06,5.31,5.06,5.31,300,5.308,5.2463
2020-03-05,5.5,5.5,5.5,5.5,100,5.308,5.2705
2020-03-06,5.56,5.56,5.56,5.56,100,5.311,5.2981
2020-03-09,5.44,5.44,5.06,5.06,200,5.283,5.2754
2020-03-10,5.0,5.0,4.56,5.0,1100,5.252,5.2492
2020-03-11,5.19,5.19,5.19,5.19,100,5.2365,5.2435
2020-03-12,5.19,5.19,5.19,5.19,400,5.218,5.2384
2020-03-13,5.19,5.56,5.19,5.56,6300,5.221,5.269
2020-03-16,5.44,5.56,5.44,5.56,1500,5.227,5.2968
2020-03-17,5.56,5.62,5.56,5.62,3000,5.233,5.3275
2020-03-18,5.62,5.62,5.62,5.62,600,5.239,5.3554
2020-03-19,5.62,5.62,5.06,5.06,1100,5.214,5.3273
2020-03-20,5.38,5.44,4.56,5.0,1800,5.211,5.2961
2020-03-23,5.38,5.38,5.38,5.38,300,5.23,5.3041
2020-03-24,5.44,5.44,5.44,5.44,100,5.252,5.317
2020-03-25,5.44,5.44,5.44,5.44,100,5.2645,5.3287
2020-03-26,5.44,5.44,4.94,5.31,300,5.274,5.327
2020-03-27,5.56,5.56,5.56,5.56,100,5.299,5.3492
2020-03-30,5.69,5.69,5.69,5.69,100,5.3525,5.3816
2020-03-31,5.62,5.62,5.62,5.62,100,5.3835,5.4043
2020-04-01,5.62,5.62,5.62,5.62,100,5.399,5.4249
2020-04-03,5.62,5.62,5.62,5.62,100,5.405,5.4434
2020-04-06,5.62,5.62,5.62,5.62,100,5.408,5.4603
2020-04-07,5.62,5.62,5.62,5.62,100,5.436,5.4755
2020-04-08,5.62,5.62,5.62,5.62,100,5.467,5.4892
2020-04-09,5.94,5.94,5.06,5.06,200,5.4605,5.4484
2020-04-10,5.5,5.5,5.5,5.5,100,5.476,5.4533
2020-04-13,5.5,5.5,5.5,5.5,100,5.473,5.4577
2020-04-14,5.5,5.5,5.0,5.0,200,5.445,5.4141
2020-04-15,5.38,5.38,4.5,4.5,5000,5.389,5.3271
2020-04-16,4.5,4.75,4.06,4.75,12900,5.3455,5.2721
2020-04-17,4.88,4.88,4.88,4.88,1100,5.3365,5.2348
2020-04-20,5.25,5.25,5.25,5.25,100,5.349,5.2362
2020-04-21,5.06,5.06,5.06,5.06,100,5.333,5.2194
2020-04-22,4.75,4.75,4.75,4.75,100,5.2985,5.1747
2020-04-23,4.31,4.94,4.31,4.69,4200,5.261,5.1286
2020-04-24,4.69,4.69,4.69,4.69,110,5.23,5.0868
2020-04-27,4.69,4.69,4.69,4.69,0,5.1865,5.049
2020-04-28,4.62,4.62,4.62,4.62,100,5.133,5.0081
2020-04-29,4.19,5.0,4.19,5.0,4700,5.102,5.0074
2020-05-04,5.0,5.0,5.0,5.0,100,5.071,5.0067
2020-05-05,5.0,5.0,5.0,5.0,100,5.04,5.006
2020-05-06,5.0,5.0,5.0,5.0,100,5.009,5.0055
2020-05-07,5.0,5.25,5.0,5.25,1100,4.9905,5.0287
2020-05-08,5.25,5.25,5.25,5.25,101,4.972,5.0498
2020-05-11,5.25,5.25,5.25,5.25,100,4.9815,5.0689
2020-05-12,5.25,5.25,4.75,4.75,600,4.944,5.0385
2020-05-13,4.88,4.88,4.75,4.88,489,4.913,5.0234
2020-05-14,4.88,5.0,4.88,5.0,600,4.913,5.0212
2020-05-15,5.0,5.0,5.0,5.0,200,4.938,5.0192
2020-05-18,5.38,5.38,4.5,5.0,5500,4.9505,5.0173
2020-05-19,5.44,5.44,5.44,5.44,100,4.9785,5.0576
2020-05-20,5.44,5.44,5.44,5.44,6,4.988,5.094
2020-05-21,5.12,5.19,5.12,5.19,300,4.9945,5.1032
2020-05-22,5.0,5.0,4.69,4.94,31100,5.004,5.0876
2020-05-25,4.69,4.88,4.5,4.69,1500,5.004,5.0498
2020-05-26,4.81,4.81,4.69,4.69,200,5.004,5.0155
2020-05-27,4.88,5.12,4.88,5.12,2400,5.0255,5.0254
2020-05-28,5.12,5.12,5.12,5.12,300,5.0505,5.0344
2020-05-29,5.12,5.12,4.62,5.0,300,5.0505,5.0312
2020-06-01,5.44,5.44,5.44,5.44,100,5.0725,5.0701
2020-06-02,5.44,5.44,5.44,5.44,200,5.0945,5.1053
2020-06-03,5.38,5.38,5.38,5.38,600,5.1135,5.1315
2020-06-04,5.19,5.19,5.19,5.19,200,5.1105,5.1371
2020-06-05,5.06,5.06,5.06,5.06,500,5.101,5.1297
2020-06-08,5.06,5.06,4.56,4.56,9300,5.0665,5.0755
2020-06-09,4.69,4.69,4.38,4.69,16400,5.0635,5.0388
2020-06-10,4.69,4.69,4.38,4.69,3800,5.054,5.0055
2020-06-11,4.69,4.69,4.31,4.69,20000,5.0385,4.9755
2020-06-12,4.69,4.69,4.44,4.69,5300,5.023,4.9483
2020-06-15,4.69,4.69,4.69,4.69,500,5.0075,4.9237
2020-06-16,4.69,4.69,4.31,4.69,1200,4.97,4.9014
2020-06-17,4.69,4.69,4.69,4.69,200,4.9325,4.8813
2020-06-18,4.69,4.69,4.69,4.69,0,4.9075,4.8631
2020-06-19,4.56,4.56,4.56,4.56,100,4.8885,4.8342
2020-06-22,4.56,4.56,4.56,4.56,100,4.882,4.8081
2020-06-23,4.56,4.56,4.5,4.5,3900,4.8725,4.7788
2020-06-24,4.5,4.56,4.5,4.5,2900,4.8415,4.7522
2020-06-25,4.5,4.56,4.5,4.5,2500,4.8105,4.7282
2020-06-26,4.31,4.5,4.31,4.5,3400,4.7855,4.7065
2020-06-29,4.5,4.5,4.38,4.5,2300,4.7385,4.6868
2020-06-30,4.38,4.5,4.38,4.5,1100,4.6915,4.669
2020-07-01,4.5,4.5,4.44,4.44,2700,4.6445,4.6472
2020-07-02,4.5,4.5,4.44,4.44,3200,4.607,4.6275
2020-07-03,4.44,4.44,4.38,4.38,2200,4.573,4.6039
2020-07-06,4.38,4.38,4.38,4.38,200,4.564,4.5826
2020-07-07,4.38,4.44,4.38,4.38,62504,4.5485,4.5633
2020-07-08,4.44,4.5,4.44,4.5,10500,4.539,4.5573
