time,open,high,low,close,volume,SMA_20,EMA_20
2025-08-08,888.8,888.8,888.8,888.8,400,,
2025-08-11,1022.1,1022.1,1022.1,1022.1,2700,,
2025-08-12,1175.4,1175.4,1133.0,1175.4,43700,,
2025-08-13,1250.0,1250.0,1160.0,1180.0,14300,,
2025-08-14,1190.0,1224.0,1120.0,1150.0,28300,,
2025-08-15,1157.3,1170.0,1150.0,1162.4,10300,,
2025-08-18,1125.0,1150.0,1050.0,1100.0,9600,,
2025-08-19,990.0,1112.3,990.0,1050.0,5400,,
2025-08-20,1042.2,1042.2,1000.1,1038.9,6300,,
2025-08-21,1099.0,1099.0,1001.0,1038.0,2900,,
2025-08-22,1001.2,1025.0,1001.1,1007.0,1000,,
2025-08-25,1000.1,1050.1,1000.1,1014.9,2100,,
2025-08-26,1014.9,1038.0,1014.9,1038.0,4300,,
2025-08-27,1028.1,1040.0,1028.0,1040.0,3300,,
2025-08-28,1030.0,1070.0,1030.0,1055.0,2100,,
2025-08-29,1058.0,1066.0,1054.0,1060.0,3600,,
2025-09-03,1057.0,1075.0,1057.0,1068.0,2800,,
2025-09-04,1068.0,1100.0,1068.0,1087.8,6900,,
2025-09-05,1088.0,1149.9,1081.0,1101.0,11500,,
2025-09-08,1100.0,1147.0,1100.0,1125.9,1700,1070.16,1047.9602
2025-09-09,1118.7,1130.0,1110.0,1110.3,1300,1081.235,1053.8973
2025-09-10,1129.0,1129.0,1110.4,1111.1,3100,1085.685,1059.3452
2025-09-11,1111.1,1118.6,1100.1,1100.1,2100,1081.92,1063.2266
2025-09-12,1115.0,1115.8,1111.1,1114.8,2100,1078.66,1068.1383
2025-09-15,1051.4,1116.0,1051.4,1108.8,2700,1076.6,1072.0109
2025-09-16,1100.6,1105.0,1085.0,1095.0,4700,1073.23,1074.2003
2025-09-17,1115.0,1115.0,1099.0,1099.0,1400,1073.18,1076.5622
2025-09-18,1100.0,1100.0,1070.0,1071.3,2700,1074.245,1076.061
2025-09-19,1090.0,1090.0,1080.0,1080.0,1600,1076.3,1076.4362
2025-09-22,1082.5,1082.5,1066.0,1075.0,2100,1078.15,1076.2994
2025-09-23,1075.0,1080.0,1070.0,1080.0,2000,1081.8,1076.6518
2025-09-24,1080.0,1080.0,1076.0,1077.5,900,1084.93,1076.7326
2025-09-25,1077.4,1079.0,1076.0,1076.0,1200,1086.83,1076.6628
2025-09-26,1077.5,1079.0,1068.0,1070.0,2600,1088.33,1076.0283
2025-09-29,1070.1,1071.0,1070.0,1070.0,800,1089.08,1075.4542
2025-09-30,1070.0,1071.0,1066.2,1070.0,2000,1089.58,1074.9347
2025-10-01,1069.0,1070.0,1068.0,1070.0,1400,1089.68,1074.4647
2025-10-02,1068.6,1068.6,1060.0,1060.0,1500,1088.29,1073.0871
2025-10-03,1059.5,1059.9,1052.0,1053.0,3200,1085.89,1071.1741
