time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,10.43,10.43,10.43,10.43,0,,
2020-01-03,10.43,10.43,10.43,10.43,0,,
2020-01-06,10.43,10.43,10.43,10.43,0,,
2020-01-07,10.43,10.43,10.43,10.43,0,,
2020-01-08,10.43,10.43,10.43,10.43,0,,
2020-01-09,10.43,10.43,10.43,10.43,0,,
2020-01-10,10.43,10.43,10.43,10.43,0,,
2020-01-13,10.43,10.43,10.43,10.43,0,,
2020-01-14,10.43,10.43,10.43,10.43,0,,
2020-01-15,10.43,10.43,10.43,10.43,0,,
2020-01-16,10.43,10.43,10.43,10.43,0,,
2020-01-17,10.43,10.43,10.43,10.43,0,,
2020-01-20,10.43,10.43,10.43,10.43,0,,
2020-01-21,10.43,10.43,10.43,10.43,0,,
2020-01-22,10.43,10.43,10.43,10.43,0,,
2020-01-30,10.43,10.43,10.43,10.43,0,,
2020-01-31,10.43,10.43,10.43,10.43,0,,
2020-02-03,10.43,10.43,10.43,10.43,0,,
2020-02-04,10.43,10.43,10.43,10.43,0,,
2020-02-05,10.43,10.43,10.43,10.43,0,10.43,10.43
2020-02-06,8.92,8.92,8.92,8.92,500,10.3545,10.2862
2020-02-07,8.92,8.92,8.92,8.92,0,10.279,10.1561
2020-02-10,8.92,8.92,8.92,8.92,0,10.2035,10.0384
2020-02-11,8.92,8.92,8.92,8.92,0,10.128,9.9318
2020-02-12,8.92,8.92,8.92,8.92,0,10.0525,9.8355
2020-02-13,8.92,8.92,8.92,8.92,0,9.977,9.7483
2020-02-14,8.92,8.92,8.92,8.92,0,9.9015,9.6694
2020-02-17,8.92,8.92,8.92,8.92,0,9.826,9.598
2020-02-18,8.92,8.92,8.92,8.92,0,9.7505,9.5335
2020-02-19,8.92,8.92,8.92,8.92,0,9.675,9.475
2020-02-20,8.92,8.92,8.92,8.92,0,9.5995,9.4222
2020-02-21,8.92,8.92,8.92,8.92,0,9.524,9.3743
2020-02-24,8.92,8.92,8.92,8.92,0,9.4485,9.3311
2020-02-25,8.92,8.92,8.92,8.92,0,9.373,9.2919
2020-02-26,8.92,8.92,8.92,8.92,0,9.2975,9.2565
2020-02-27,8.92,8.92,8.92,8.92,0,9.222,9.2245
2020-02-28,8.92,8.92,8.92,8.92,0,9.1465,9.1955
2020-03-02,8.92,8.92,8.92,8.92,0,9.071,9.1692
2020-03-03,8.92,8.92,8.92,8.92,0,8.9955,9.1455
2020-03-04,8.92,8.92,8.92,8.92,0,8.92,9.124
2020-03-05,10.16,10.16,10.16,10.16,100,8.982,9.2227
2020-03-06,10.16,10.16,10.16,10.16,0,9.044,9.3119
2020-03-09,10.16,10.16,10.16,10.16,0,9.106,9.3927
2020-03-10,10.16,10.16,10.16,10.16,0,9.168,9.4658
2020-03-11,10.16,10.16,10.16,10.16,0,9.23,9.5319
2020-03-12,10.16,10.16,10.16,10.16,0,9.292,9.5917
2020-03-13,10.16,10.16,10.16,10.16,0,9.354,9.6458
2020-03-16,10.16,10.16,10.16,10.16,0,9.416,9.6948
