time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,9.93,11.46,9.93,11.46,500,,
2020-01-03,11.06,11.46,11.46,11.46,0,,
2020-01-06,11.06,11.46,11.46,11.46,0,,
2020-01-07,11.06,11.46,11.46,11.46,0,,
2020-01-08,9.93,9.93,9.93,9.93,100,,
2020-01-09,11.38,11.38,11.22,11.22,1700,,
2020-01-10,11.3,11.22,11.22,11.22,0,,
2020-01-13,12.42,12.42,11.22,11.22,1100,,
2020-01-14,11.3,11.22,11.22,11.22,0,,
2020-01-15,11.3,11.22,11.22,11.22,0,,
2020-01-16,10.1,11.22,10.02,11.22,2000,,
2020-01-17,10.18,10.18,10.18,11.22,5,,
2020-01-20,10.18,11.22,11.22,11.22,0,,
2020-01-21,10.18,11.22,11.22,11.22,0,,
2020-01-22,10.18,11.22,11.22,11.22,0,,
2020-01-30,10.18,11.22,11.22,11.22,0,,
2020-01-31,11.14,11.14,10.82,11.14,1300,,
2020-02-03,9.77,9.77,9.61,9.61,1500,,
2020-02-04,9.69,9.61,9.61,9.61,0,,
2020-02-05,9.69,9.61,9.61,9.61,0,10.958,10.8178
2020-02-06,11.06,11.14,11.06,11.14,1500,10.942,10.8485
2020-02-07,12.02,12.02,12.02,12.02,1300,10.97,10.96
2020-02-10,12.02,12.02,12.02,12.02,0,10.998,11.061
2020-02-11,12.02,12.02,12.02,12.02,0,11.026,11.1523
2020-02-12,12.02,12.02,12.02,12.02,0,11.1305,11.235
2020-02-13,12.02,12.02,12.02,12.02,0,11.1705,11.3097
2020-02-14,12.02,12.02,12.02,12.02,0,11.2105,11.3774
2020-02-17,12.02,12.02,12.02,12.02,0,11.2505,11.4386
2020-02-18,12.02,12.02,12.02,12.02,0,11.2905,11.494
2020-02-19,12.02,12.02,12.02,12.02,0,11.3305,11.5441
2020-02-20,12.02,12.02,12.02,12.02,0,11.3705,11.5894
2020-02-21,12.02,12.02,12.02,12.02,0,11.4105,11.6304
2020-02-24,12.02,12.02,12.02,12.02,0,11.4505,11.6675
2020-02-25,13.3,13.3,13.3,13.3,1500,11.5545,11.823
2020-02-26,13.3,13.3,13.3,13.3,0,11.6585,11.9636
2020-02-27,13.3,13.3,13.3,13.3,31,11.7625,12.0909
2020-02-28,13.3,13.3,13.3,13.3,0,11.8705,12.2061
2020-03-02,13.3,13.3,13.3,13.3,0,12.055,12.3102
2020-03-03,13.3,13.3,13.3,13.3,0,12.2395,12.4045
2020-03-04,13.3,13.3,13.3,13.3,0,12.424,12.4898
2020-03-05,13.3,13.3,13.3,13.3,0,12.532,12.567
2020-03-06,13.3,13.3,13.3,13.3,0,12.596,12.6368
2020-03-09,13.3,13.3,13.3,13.3,0,12.66,12.6999
2020-03-10,13.3,13.3,13.3,13.3,0,12.724,12.7571
2020-03-11,13.3,13.3,13.3,13.3,0,12.788,12.8088
2020-03-12,13.3,13.3,13.3,13.3,0,12.852,12.8556
2020-03-13,13.3,13.3,13.3,13.3,0,12.916,12.8979
2020-03-16,13.3,13.3,13.3,13.3,0,12.98,12.9362
2020-03-17,11.38,11.38,11.38,11.38,200,12.948,12.788
2020-03-18,9.77,9.77,9.77,9.77,500,12.8355,12.5006
2020-03-19,11.22,11.22,8.49,8.49,4300,12.659,12.1186
2020-03-20,9.93,9.93,9.93,9.93,500,12.5545,11.9102
2020-03-23,11.38,11.38,11.38,11.38,100,12.5225,11.8597
2020-03-24,11.38,11.38,11.38,11.38,0,12.4265,11.814
2020-03-25,11.38,11.38,11.38,11.38,0,12.3305,11.7727
2020-03-26,11.38,11.38,11.38,11.38,0,12.2345,11.7353
2020-03-27,11.38,11.38,11.38,11.38,0,12.1385,11.7014
2020-03-30,11.38,11.38,11.38,11.38,0,12.0425,11.6708
2020-03-31,11.38,11.38,11.38,11.38,0,11.9465,11.6431
2020-04-01,11.38,11.38,11.38,11.38,0,11.8505,11.6181
2020-04-03,11.38,11.38,11.38,11.38,0,11.7545,11.5954
2020-04-06,12.82,12.82,12.82,12.82,1600,11.7305,11.712
2020-04-07,12.82,12.82,12.82,12.82,0,11.7065,11.8175
2020-04-08,12.82,12.82,12.82,12.82,0,11.6825,11.913
2020-04-09,12.82,12.82,12.82,12.82,0,11.6585,11.9994
2020-04-10,12.82,12.82,12.82,12.82,0,11.6345,12.0775
2020-04-13,12.82,12.82,12.82,12.82,0,11.6105,12.1483
2020-04-14,12.82,12.82,12.82,12.82,0,11.5865,12.2122
2020-04-15,12.82,12.82,12.82,12.82,0,11.6585,12.2701
2020-04-16,12.82,12.82,12.82,12.82,0,11.811,12.3225
2020-04-17,12.82,12.82,12.82,12.82,0,12.0275,12.3699
2020-04-20,12.82,12.82,12.82,12.82,0,12.172,12.4127
2020-04-21,12.82,12.82,12.82,12.82,0,12.244,12.4515
2020-04-22,12.82,12.82,12.82,12.82,0,12.316,12.4866
2020-04-23,12.82,12.82,12.82,12.82,0,12.388,12.5184
2020-04-24,12.82,12.82,12.82,12.82,0,12.46,12.5471
2020-04-27,12.82,12.82,12.82,12.82,0,12.532,12.5731
2020-04-28,11.22,11.22,11.22,11.22,1000,12.524,12.4442
2020-04-29,11.22,11.22,11.22,11.22,0,12.516,12.3276
2020-05-04,11.22,11.22,11.22,11.22,0,12.508,12.2221
2020-05-05,11.22,11.22,11.22,11.22,0,12.5,12.1267
2020-05-06,11.22,11.22,11.22,11.22,0,12.42,12.0403
2020-05-07,11.22,11.22,11.22,11.22,0,12.34,11.9622
2020-05-08,11.22,11.22,11.22,11.22,0,12.26,11.8915
2020-05-11,11.22,11.22,11.22,11.22,0,12.18,11.8276
2020-05-12,11.22,11.22,11.22,11.22,0,12.1,11.7697
2020-05-13,11.22,11.22,11.22,11.22,0,12.02,11.7174
2020-05-14,11.22,11.22,11.22,11.22,0,11.94,11.67
2020-05-15,11.22,11.22,11.22,11.22,0,11.86,11.6271
2020-05-18,11.22,11.22,11.22,11.22,0,11.78,11.5884
2020-05-19,11.22,11.22,11.22,11.22,85,11.7,11.5533
2020-05-20,11.22,11.22,11.22,11.22,0,11.62,11.5215
2020-05-21,11.22,11.22,11.22,11.22,0,11.54,11.4928
2020-05-22,11.22,11.22,11.22,11.22,0,11.46,11.4668
2020-05-25,11.22,11.22,11.22,11.22,0,11.38,11.4433
2020-05-26,11.22,11.22,11.22,11.22,0,11.3,11.4221
2020-05-27,11.22,11.22,11.22,11.22,0,11.22,11.4028
2020-05-28,11.22,11.22,11.22,11.22,0,11.22,11.3854
2020-05-29,11.22,11.22,11.22,11.22,0,11.22,11.3697
2020-06-01,11.22,11.22,11.22,11.22,0,11.22,11.3554
2020-06-02,11.22,11.22,11.22,11.22,0,11.22,11.3425
2020-06-03,11.22,11.22,11.22,11.22,0,11.22,11.3308
2020-06-04,11.22,11.22,11.22,11.22,0,11.22,11.3203
2020-06-05,11.22,11.22,11.22,11.22,0,11.22,11.3107
2020-06-08,12.9,13.62,12.9,13.62,2100,11.34,11.5307
2020-06-09,14.42,14.42,14.42,14.42,200,11.5,11.8058
2020-06-10,14.42,14.42,14.42,14.42,1600,11.66,12.0548
2020-06-11,14.42,14.42,14.42,14.42,0,11.82,12.2801
2020-06-12,12.26,14.42,12.26,14.26,5800,11.972,12.4686
2020-06-15,14.1,14.26,14.26,14.26,0,12.124,12.6392
2020-06-16,14.1,14.26,14.26,14.26,0,12.276,12.7936
2020-06-17,14.1,14.26,14.26,14.26,0,12.428,12.9332
2020-06-18,14.1,14.26,14.26,14.26,0,12.58,13.0596
2020-06-19,14.1,14.26,14.26,14.26,0,12.732,13.1739
2020-06-22,12.02,12.02,12.02,12.02,400,12.772,13.064
2020-06-23,12.02,12.02,12.02,12.02,0,12.812,12.9646
2020-06-24,12.02,12.02,12.02,12.02,0,12.852,12.8746
2020-06-25,12.02,12.02,12.02,12.02,0,12.892,12.7932
2020-06-26,12.02,12.02,12.02,12.02,0,12.932,12.7196
2020-06-29,10.28,13.85,10.28,13.85,1800,13.0635,12.8273
2020-06-30,12.42,13.85,13.85,13.85,0,13.195,12.9247
2020-07-01,12.42,13.85,13.85,13.85,0,13.3265,13.0128
2020-07-02,14.21,14.21,14.21,14.21,1600,13.476,13.1268
2020-07-03,14.21,14.21,14.21,14.21,0,13.6255,13.23
2020-07-06,14.21,14.21,14.21,14.21,0,13.655,13.3233
2020-07-07,14.21,14.21,14.21,14.21,0,13.6445,13.4078
2020-07-08,14.21,14.21,14.21,14.21,0,13.634,13.4842
2020-07-09,14.21,14.21,14.21,14.21,0,13.6235,13.5533
2020-07-10,14.21,14.21,14.21,14.21,0,13.621,13.6158
2020-07-13,14.21,14.21,14.21,14.21,0,13.6185,13.6724
2020-07-14,14.21,14.21,14.21,14.21,0,13.616,13.7236
2020-07-15,14.21,14.21,14.21,14.21,0,13.6135,13.7699
2020-07-16,14.21,14.21,14.21,14.21,0,13.611,13.8118
2020-07-17,14.21,14.21,14.21,14.21,0,13.6085,13.8498
2020-07-20,14.21,14.21,14.21,14.21,0,13.718,13.8841
2020-07-21,14.21,14.21,14.21,14.21,0,13.8275,13.9151
2020-07-22,14.21,14.21,14.21,14.21,0,13.937,13.9432
2020-07-23,14.21,14.21,14.21,14.21,0,14.0465,13.9686
2020-07-24,14.21,14.21,14.21,14.21,0,14.156,13.9916
2020-07-27,14.21,14.21,14.21,14.21,0,14.174,14.0124
2020-07-28,14.21,14.21,14.21,14.21,0,14.192,14.0312
2020-07-29,14.21,14.21,14.21,14.21,0,14.21,14.0482
2020-07-30,14.21,14.21,14.21,14.21,0,14.21,14.0637
2020-07-31,14.21,14.21,14.21,14.21,0,14.21,14.0776
2020-08-03,14.21,14.21,14.21,14.21,0,14.21,14.0902
2020-08-04,14.21,14.21,14.21,14.21,0,14.21,14.1016
2020-08-05,14.21,14.21,14.21,14.21,0,14.21,14.1119
2020-08-06,14.21,14.21,14.21,14.21,0,14.21,14.1213
2020-08-07,14.21,14.21,14.21,14.21,0,14.21,14.1297
2020-08-10,14.21,14.21,14.21,14.21,0,14.21,14.1374
2020-08-11,14.21,14.21,14.21,14.21,0,14.21,14.1443
2020-08-12,14.21,14.21,14.21,14.21,0,14.21,14.1505
2020-08-13,14.21,14.21,14.21,14.21,0,14.21,14.1562
2020-08-14,14.21,14.21,14.21,14.21,0,14.21,14.1613
2020-08-17,14.21,14.21,14.21,14.21,0,14.21,14.166
2020-08-18,14.21,14.21,14.21,14.21,0,14.21,14.1702
2020-08-19,14.21,14.21,14.21,14.21,0,14.21,14.174
2020-08-20,14.21,14.21,14.21,14.21,0,14.21,14.1774
2020-08-21,14.21,14.21,14.21,14.21,0,14.21,14.1805
2020-08-24,14.21,14.21,14.21,14.21,0,14.21,14.1833
2020-08-25,14.21,14.21,14.21,14.21,0,14.21,14.1858
2020-08-26,14.21,14.21,14.21,14.21,0,14.21,14.1881
2020-08-27,14.21,14.21,14.21,14.21,0,14.21,14.1902
2020-08-28,14.21,14.21,14.21,14.21,0,14.21,14.1921
2020-08-31,14.21,14.21,14.21,14.21,0,14.21,14.1938
2020-09-01,14.21,14.21,14.21,14.21,0,14.21,14.1954
2020-09-03,14.21,14.21,14.21,14.21,0,14.21,14.1968
2020-09-04,14.21,14.21,14.21,14.21,0,14.21,14.198
2020-09-07,14.21,14.21,14.21,14.21,0,14.21,14.1992
2020-09-08,14.21,14.21,14.21,14.21,0,14.21,14.2002
2020-09-09,14.21,14.21,14.21,14.21,0,14.21,14.2011
2020-09-10,12.15,12.15,12.15,12.15,100,14.107,14.0058
2020-09-11,12.15,12.15,12.15,12.15,0,14.004,13.829
2020-09-14,12.15,12.15,12.15,12.15,0,13.901,13.6691
2020-09-15,12.15,12.15,12.15,12.15,0,13.798,13.5244
2020-09-16,12.15,12.15,12.15,12.15,0,13.695,13.3935
2020-09-17,12.15,12.15,12.15,12.15,0,13.592,13.2751
2020-09-18,12.15,12.15,12.15,12.15,0,13.489,13.168
2020-09-21,12.15,12.15,12.15,12.15,0,13.386,13.071
2020-09-22,12.15,12.15,12.15,12.15,0,13.283,12.9833
2020-09-23,12.15,12.15,12.15,12.15,0,13.18,12.9039
2020-09-24,12.15,12.15,12.15,12.15,0,13.077,12.8321
2020-09-25,12.15,12.15,12.15,12.15,0,12.974,12.7672
2020-09-28,12.15,12.15,12.15,12.15,0,12.871,12.7084
2020-09-29,12.15,12.15,12.15,12.15,0,12.768,12.6552
2020-09-30,12.15,12.15,12.15,12.15,0,12.665,12.6071
2020-10-01,12.15,12.15,12.15,12.15,0,12.562,12.5636
2020-10-02,12.15,12.15,12.15,12.15,0,12.459,12.5242
2020-10-05,12.15,12.15,12.15,12.15,0,12.356,12.4885
2020-10-06,12.15,12.15,12.15,12.15,0,12.253,12.4563
2020-10-07,12.15,13.94,10.36,13.94,9700,12.2395,12.5976
2020-10-08,13.49,13.94,13.94,13.94,0,12.329,12.7254
2020-10-09,13.49,13.94,13.94,13.94,0,12.4185,12.8411
2020-10-12,13.49,13.94,13.94,13.94,0,12.508,12.9458
2020-10-13,13.49,13.94,13.94,13.94,0,12.5975,13.0405
2020-10-14,13.49,13.94,13.94,13.94,0,12.687,13.1261
