time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,19.08,19.08,19.08,19.08,0,,
2020-01-03,19.08,19.08,19.08,19.08,0,,
2020-01-06,19.08,19.08,19.08,19.08,0,,
2020-01-07,19.08,19.08,19.08,19.08,500,,
2020-01-08,19.08,19.08,19.08,19.08,0,,
2020-01-09,19.08,19.08,19.08,19.08,0,,
2020-01-10,19.08,19.08,19.08,19.08,0,,
2020-01-13,19.08,19.08,19.08,19.08,0,,
2020-01-14,19.08,19.08,19.08,19.08,0,,
2020-01-15,19.08,19.08,19.08,19.08,0,,
2020-01-16,19.08,19.08,19.08,19.08,0,,
2020-01-17,19.08,19.08,19.08,19.08,0,,
2020-01-20,19.08,19.08,19.08,19.08,0,,
2020-01-21,19.08,19.08,19.08,19.08,0,,
2020-01-22,19.08,19.08,19.08,19.08,0,,
2020-01-30,19.08,19.08,19.08,19.08,0,,
2020-01-31,19.08,19.08,19.08,19.08,0,,
2020-02-03,19.08,19.08,19.08,19.08,0,,
2020-02-04,19.08,19.08,19.08,19.08,0,,
2020-02-05,19.08,19.08,19.08,19.08,0,19.08,19.08
2020-02-06,19.08,19.08,19.08,19.08,0,19.08,19.08
2020-02-07,19.08,19.08,19.08,19.08,0,19.08,19.08
2020-02-10,19.08,19.08,19.08,19.08,0,19.08,19.08
2020-02-11,19.08,19.08,19.08,19.08,0,19.08,19.08
2020-02-12,19.08,19.08,19.08,19.08,0,19.08,19.08
2020-02-13,19.08,19.08,19.08,19.08,0,19.08,19.08
2020-02-14,19.08,19.08,19.08,19.08,0,19.08,19.08
2020-02-17,19.08,19.08,19.08,19.08,0,19.08,19.08
2020-02-18,19.08,19.08,19.08,19.08,0,19.08,19.08
2020-02-19,19.08,19.08,19.08,19.08,0,19.08,19.08
2020-02-20,19.08,19.08,19.08,19.08,0,19.08,19.08
2020-02-21,19.08,19.08,19.08,19.08,0,19.08,19.08
2020-02-24,19.08,19.08,19.08,19.08,0,19.08,19.08
2020-02-25,19.08,19.08,19.08,19.08,0,19.08,19.08
2020-02-26,19.08,19.08,19.08,19.08,0,19.08,19.08
2020-02-27,19.08,19.08,19.08,19.08,0,19.08,19.08
2020-02-28,19.08,19.08,19.08,19.08,0,19.08,19.08
2020-03-02,19.08,19.08,19.08,19.08,0,19.08,19.08
2020-03-03,19.08,19.08,19.08,19.08,0,19.08,19.08
2020-03-04,19.08,19.08,19.08,19.08,0,19.08,19.08
2020-03-05,11.45,11.45,11.45,11.45,100,18.6985,18.3533
