time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,4.0,4.04,3.97,3.99,7730,,
2020-01-03,4.04,4.04,3.99,4.02,18090,,
2020-01-06,4.06,4.07,3.95,3.95,20860,,
2020-01-07,4.0,4.0,3.95,4.0,2000,,
2020-01-08,3.99,3.99,3.8,3.88,47420,,
2020-01-09,3.88,3.9,3.87,3.87,13670,,
2020-01-10,3.97,3.97,3.8,3.9,26040,,
2020-01-13,3.9,3.9,3.85,3.85,6290,,
2020-01-14,3.87,3.88,3.81,3.81,39670,,
2020-01-15,3.83,3.83,3.8,3.81,42120,,
2020-01-16,3.83,3.83,3.78,3.8,22880,,
2020-01-17,3.83,3.83,3.8,3.8,3600,,
2020-01-20,3.8,3.97,3.8,3.87,156160,,
2020-01-21,3.87,4.12,3.87,4.12,347860,,
2020-01-22,4.37,4.4,4.19,4.28,296140,,
2020-01-30,4.28,4.57,4.28,4.45,265130,,
2020-01-31,4.45,4.49,4.18,4.18,69610,,
2020-02-03,4.11,4.31,3.9,4.26,81900,,
2020-02-04,4.06,4.28,4.06,4.18,99350,,
2020-02-05,4.14,4.18,4.11,4.18,69780,4.01,4.0671
2020-02-06,4.26,4.26,4.11,4.18,46000,4.0195,4.0779
2020-02-07,4.18,4.18,4.07,4.18,78760,4.0275,4.0876
2020-02-10,4.18,4.3,4.12,4.25,184530,4.0425,4.1031
2020-02-11,4.28,4.44,4.28,4.31,204440,4.058,4.1228
2020-02-12,4.38,4.54,4.35,4.45,141240,4.0865,4.1539
2020-02-13,4.45,4.63,4.45,4.63,158500,4.1245,4.1993
2020-02-14,4.59,4.76,4.59,4.66,144900,4.1625,4.2432
2020-02-17,4.76,4.76,4.59,4.59,64410,4.1995,4.2762
2020-02-18,4.56,4.59,4.33,4.33,111600,4.2255,4.2813
2020-02-19,4.33,4.52,4.33,4.45,47740,4.2575,4.2974
2020-02-20,4.49,4.56,4.38,4.47,48150,4.291,4.3138
2020-02-21,4.4,4.52,4.4,4.44,46690,4.323,4.3258
2020-02-24,4.35,4.37,4.26,4.31,52020,4.345,4.3243
2020-02-25,4.31,4.42,4.28,4.4,22670,4.359,4.3315
2020-02-26,4.4,4.45,4.4,4.4,780,4.365,4.3381
2020-02-27,4.4,4.44,4.35,4.35,29710,4.36,4.3392
2020-02-28,4.35,4.35,4.26,4.35,62830,4.3685,4.3402
2020-03-02,4.38,4.52,4.35,4.4,31130,4.3755,4.3459
2020-03-03,4.44,4.69,4.44,4.63,273600,4.398,4.373
2020-03-04,4.63,4.69,4.56,4.66,99690,4.422,4.4003
2020-03-05,4.59,4.85,4.59,4.69,120260,4.4475,4.4279
2020-03-06,4.73,4.73,4.59,4.63,60830,4.47,4.4471
2020-03-09,4.38,4.49,4.31,4.31,194280,4.473,4.4341
2020-03-10,4.07,4.38,4.07,4.35,30620,4.475,4.4261
2020-03-11,4.42,4.64,4.38,4.45,518020,4.475,4.4284
2020-03-12,4.4,4.63,4.14,4.54,150560,4.4705,4.439
2020-03-13,4.26,4.49,4.23,4.26,156540,4.4505,4.4219
2020-03-16,4.37,4.38,4.26,4.26,31720,4.434,4.4065
2020-03-17,4.14,4.25,3.97,4.25,159130,4.43,4.3916
2020-03-18,4.45,4.45,4.25,4.25,40530,4.42,4.3781
2020-03-19,4.07,4.25,4.07,4.07,34970,4.4,4.3488
2020-03-20,4.11,4.14,4.07,4.14,14440,4.385,4.3289
2020-03-23,3.97,3.97,3.87,3.87,88190,4.363,4.2852
2020-03-24,3.62,3.95,3.62,3.87,5760,4.3365,4.2456
2020-03-25,3.9,4.06,3.9,4.02,40610,4.3175,4.2242
2020-03-26,3.81,4.0,3.74,3.74,38860,4.287,4.178
2020-03-27,3.8,3.8,3.62,3.74,41000,4.2565,4.1363
2020-03-30,3.57,3.62,3.49,3.49,70750,4.211,4.0748
2020-03-31,3.24,3.56,3.24,3.49,44520,4.154,4.0191
2020-04-01,3.54,3.54,3.49,3.52,19910,4.097,3.9716
2020-04-03,3.45,3.57,3.45,3.56,22950,4.0405,3.9324
2020-04-06,3.56,3.73,3.52,3.66,94900,3.992,3.9064
2020-04-07,3.64,3.74,3.56,3.56,105740,3.9545,3.8734
2020-04-08,3.62,3.68,3.56,3.62,37020,3.918,3.8493
2020-04-09,3.64,3.71,3.62,3.62,102460,3.8765,3.8275
2020-04-10,3.66,3.66,3.59,3.62,60600,3.8305,3.8077
2020-04-13,3.66,3.69,3.66,3.69,33860,3.802,3.7965
2020-04-14,3.73,3.76,3.69,3.76,51760,3.777,3.793
2020-04-15,3.76,4.02,3.76,4.02,183900,3.7655,3.8146
2020-04-16,4.11,4.11,3.95,3.95,39050,3.7505,3.8275
2020-04-17,3.92,4.07,3.92,4.02,54190,3.748,3.8459
2020-04-20,4.02,4.06,3.92,3.97,69490,3.7395,3.8577
2020-04-21,3.83,3.88,3.73,3.73,86540,3.7325,3.8455
2020-04-22,3.73,3.8,3.61,3.8,30480,3.729,3.8412
2020-04-23,3.81,3.99,3.81,3.95,22640,3.7255,3.8515
2020-04-24,3.9,3.95,3.83,3.95,7090,3.736,3.8609
2020-04-27,3.85,3.93,3.85,3.93,23580,3.7455,3.8675
2020-04-28,3.85,3.95,3.85,3.9,9240,3.766,3.8706
2020-04-29,3.93,3.95,3.9,3.95,23300,3.789,3.8782
2020-05-04,3.95,3.95,3.8,3.92,28300,3.809,3.8821
2020-05-05,3.92,3.92,3.83,3.9,9920,3.826,3.8838
2020-05-06,3.93,4.0,3.9,3.97,89030,3.8415,3.892
2020-05-07,4.04,4.04,3.93,3.99,24200,3.863,3.9014
2020-05-08,4.04,4.09,4.0,4.04,29990,3.884,3.9146
2020-05-11,4.06,4.11,4.06,4.11,77860,3.9085,3.9332
2020-05-12,4.14,4.3,4.11,4.3,122130,3.9425,3.9681
2020-05-13,4.4,4.59,4.31,4.42,186360,3.979,4.0112
2020-05-14,4.42,4.45,4.35,4.4,99990,4.011,4.0482
2020-05-15,4.42,4.42,4.28,4.3,99790,4.025,4.0722
2020-05-18,4.28,4.3,4.19,4.28,77600,4.0415,4.092
2020-05-19,4.42,4.47,4.38,4.42,287720,4.0615,4.1232
2020-05-20,4.33,4.56,4.33,4.5,139570,4.088,4.1591
2020-05-21,4.56,4.56,4.37,4.43,53140,4.123,4.1849
2020-05-22,4.43,4.48,4.41,4.48,20500,4.157,4.213
2020-05-25,4.48,4.48,4.37,4.37,72090,4.178,4.228
2020-05-26,4.35,4.48,4.35,4.46,122100,4.2035,4.2501
2020-05-27,4.52,4.64,4.46,4.48,139270,4.231,4.272
2020-05-28,4.48,4.48,4.43,4.46,19630,4.259,4.2899
2020-05-29,4.41,4.46,4.41,4.46,39360,4.2845,4.3061
2020-06-01,4.46,4.5,4.39,4.39,82380,4.308,4.3141
2020-06-02,4.43,4.46,4.39,4.43,142490,4.3345,4.3251
2020-06-03,4.43,4.72,4.43,4.72,217980,4.372,4.3627
2020-06-04,5.04,5.04,4.9,5.04,319360,4.4245,4.4272
2020-06-05,5.37,5.37,5.33,5.37,818090,4.491,4.517
2020-06-08,5.37,5.39,5.18,5.35,300240,4.553,4.5963
2020-06-09,5.29,5.29,5.14,5.14,257980,4.595,4.6481
2020-06-10,5.18,5.2,5.06,5.2,244860,4.634,4.7007
2020-06-11,5.31,5.31,4.86,4.88,208650,4.658,4.7178
2020-06-12,4.78,4.88,4.64,4.88,207260,4.687,4.7332
2020-06-15,4.88,4.9,4.7,4.7,95490,4.708,4.73
2020-06-16,4.88,4.88,4.66,4.74,20840,4.724,4.731
2020-06-17,4.74,4.88,4.72,4.8,131310,4.739,4.7376
2020-06-18,4.82,5.0,4.76,4.9,149940,4.7625,4.753
2020-06-19,4.94,5.1,4.94,5.04,77380,4.7905,4.7804
2020-06-22,5.06,5.12,4.96,5.06,166310,4.825,4.807
2020-06-23,5.02,5.31,5.02,5.25,456500,4.8645,4.8492
2020-06-24,5.35,5.35,5.24,5.25,281100,4.903,4.8874
2020-06-25,5.22,5.61,5.16,5.61,695260,4.9605,4.9562
