time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,14.21,16.06,14.17,16.06,78630,,
2020-01-03,17.18,17.18,17.18,17.18,121890,,
2020-01-06,18.19,18.33,16.06,18.33,177460,,
2020-01-07,19.58,19.58,17.59,19.58,139870,,
2020-01-08,18.24,20.83,18.24,18.38,266640,,
2020-01-09,19.49,19.63,19.49,19.63,33540,,
2020-01-10,20.97,20.97,19.49,20.97,147420,,
2020-01-13,22.41,22.41,22.41,22.41,75720,,
2020-01-14,23.93,23.93,23.93,23.93,16030,,
2020-01-15,25.6,25.6,25.6,25.6,28770,,
2020-01-16,27.36,27.36,26.39,27.36,201000,,
2020-01-17,29.26,29.26,28.24,29.26,164740,,
2020-01-20,31.3,31.3,31.3,31.3,50540,,
2020-01-21,33.47,33.47,33.47,33.47,33400,,
2020-01-22,35.79,35.79,35.79,35.79,23700,,
2020-01-30,38.29,38.29,38.29,38.29,16600,,
2020-01-31,40.92,40.92,40.92,40.92,39420,,
2020-02-03,43.7,43.75,38.1,43.75,208900,,
2020-02-04,46.76,46.76,46.67,46.76,154760,,
2020-02-05,50.0,50.0,50.0,50.0,84520,28.9485,32.1896
2020-02-06,53.42,53.42,53.42,53.42,65240,30.8165,34.2116
2020-02-07,57.13,57.13,57.13,57.13,21580,32.814,36.3943
2020-02-10,61.11,61.11,53.24,56.57,455780,34.726,38.3158
2020-02-11,58.33,58.33,52.78,55.65,335230,36.5295,39.9667
2020-02-12,52.22,59.54,52.22,57.41,306650,38.481,41.6279
2020-02-13,54.81,61.39,54.81,61.02,214560,40.5505,43.4748
2020-02-14,64.81,65.09,61.29,64.81,131750,42.7425,45.5067
2020-02-17,67.96,69.35,66.2,69.16,238470,45.08,47.7594
2020-02-18,73.98,73.98,73.98,73.98,121160,47.5825,50.2566
2020-02-19,79.07,79.07,76.76,76.85,137890,50.145,52.7893
2020-02-20,81.2,81.2,75.0,75.92,132880,52.573,54.9922
2020-02-21,77.78,78.79,77.78,78.61,79150,55.0405,57.2415
2020-02-24,77.78,78.33,73.42,75.92,252100,57.2715,59.0204
2020-02-25,76.66,81.2,76.66,80.55,177780,59.6255,61.0709
2020-02-26,84.26,85.74,84.26,85.65,118100,62.1185,63.4117
2020-02-27,89.35,89.9,87.96,89.81,214600,64.6945,65.9259
2020-02-28,92.59,95.55,92.59,95.46,255820,67.4215,68.7386
2020-03-02,99.07,100.0,92.96,95.0,344110,69.984,71.2397
2020-03-03,96.76,101.29,96.76,101.2,194310,72.706,74.0931
2020-03-04,106.48,107.96,105.46,107.87,277960,75.5995,77.3099
2020-03-05,107.4,113.89,104.9,113.89,282270,78.623,80.7937
2020-03-06,113.89,119.26,111.11,113.52,326450,81.4425,83.9105
2020-03-09,118.33,120.46,118.33,120.46,338970,84.637,87.3914
2020-03-10,125.0,127.77,118.52,127.77,367930,88.243,91.237
2020-03-11,125.92,131.48,125.92,127.77,357430,91.761,94.7163
2020-03-12,128.05,134.26,126.48,127.31,283380,95.0755,97.8205
2020-03-13,125.46,128.7,125.37,127.22,353090,98.196,100.6205
2020-03-16,127.5,129.63,127.5,129.26,369680,101.201,103.348
2020-03-17,127.31,129.63,127.31,129.07,395690,103.9555,105.7977
2020-03-18,130.55,132.87,130.55,132.68,165460,106.747,108.358
2020-03-19,134.26,136.11,129.63,131.29,376110,109.5155,110.542
