time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,24.55,24.55,24.55,24.55,0,,
2020-01-03,24.55,24.55,24.55,24.55,0,,
2020-01-06,24.55,24.55,24.55,24.55,0,,
2020-01-07,24.55,24.55,24.55,24.55,0,,
2020-01-08,24.55,24.55,24.55,24.55,0,,
2020-01-09,24.55,24.55,24.55,24.55,0,,
2020-01-10,24.55,24.55,24.55,24.55,0,,
2020-01-13,24.55,24.55,24.55,24.55,0,,
2020-01-14,24.55,24.55,24.55,24.55,0,,
2020-01-15,24.55,24.55,24.55,24.55,0,,
2020-01-16,24.55,24.55,24.55,24.55,0,,
2020-01-17,24.55,24.55,24.55,24.55,0,,
2020-01-20,22.13,22.13,22.13,22.13,100,,
2020-01-21,19.94,19.94,19.94,19.94,100,,
2020-01-22,17.98,21.83,17.98,21.83,300,,
2020-01-30,23.94,23.94,23.94,23.94,100,,
2020-01-31,23.94,23.94,23.94,23.94,0,,
2020-02-03,23.94,23.94,23.94,23.94,1,,
2020-02-04,23.94,23.94,23.94,23.94,0,,
2020-02-05,23.94,23.94,23.94,23.94,0,23.91,23.7976
2020-02-06,23.94,23.94,23.94,23.94,0,23.8795,23.8111
2020-02-07,23.94,23.94,23.94,23.94,0,23.849,23.8234
2020-02-10,23.94,23.94,23.94,23.94,0,23.8185,23.8345
2020-02-11,23.94,23.94,23.94,23.94,0,23.788,23.8445
2020-02-12,23.94,23.94,23.94,23.94,0,23.7575,23.8536
2020-02-13,23.94,23.94,23.94,23.94,0,23.727,23.8619
2020-02-14,23.94,23.94,23.94,23.94,0,23.6965,23.8693
2020-02-17,21.6,21.6,21.6,21.6,100,23.549,23.6532
2020-02-18,21.6,21.6,21.6,21.6,16,23.4015,23.4576
2020-02-19,21.6,21.6,21.6,21.6,0,23.254,23.2807
2020-02-20,21.6,21.6,21.6,21.6,1,23.1065,23.1207
2020-02-21,21.6,21.6,21.6,21.6,0,22.959,22.9758
2020-02-24,21.6,21.6,21.6,21.6,0,22.9325,22.8448
2020-02-25,21.6,21.6,21.6,21.6,0,23.0155,22.7262
2020-02-26,21.6,21.6,21.6,21.6,0,23.004,22.619
2020-02-27,21.6,21.6,21.6,21.6,0,22.887,22.5219
2020-02-28,21.6,21.6,21.6,21.6,0,22.77,22.4341
2020-03-02,21.6,21.6,21.6,21.6,0,22.653,22.3547
2020-03-03,22.58,22.58,22.58,22.58,100,22.585,22.3762
2020-03-04,22.58,22.58,22.58,22.58,0,22.517,22.3956
2020-03-05,24.77,24.77,24.77,24.77,102,22.5585,22.6217
2020-03-06,24.77,24.77,24.77,24.77,0,22.6,22.8263
2020-03-09,24.77,24.77,24.77,24.77,0,22.6415,23.0114
2020-03-10,27.12,27.12,27.12,27.12,100,22.8005,23.4027
2020-03-11,27.12,27.12,27.12,27.12,0,22.9595,23.7567
