time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,16.5,16.57,16.4,16.43,102780,,
2020-01-03,16.43,16.5,16.08,16.11,391080,,
2020-01-06,16.08,16.15,15.72,15.76,193970,,
2020-01-07,15.76,15.83,15.37,15.4,348050,,
2020-01-08,15.37,15.37,14.87,14.87,320710,,
2020-01-09,15.09,15.4,15.09,15.37,253950,,
2020-01-10,15.4,15.58,14.7,15.58,631400,,
2020-01-13,15.51,15.51,15.16,15.23,109300,,
2020-01-14,15.4,15.4,15.01,15.23,149040,,
2020-01-15,15.09,15.23,14.94,15.12,219200,,
2020-01-16,15.16,15.16,14.87,15.01,425730,,
2020-01-17,15.01,15.16,14.87,15.16,208740,,
2020-01-20,15.09,15.16,14.98,15.09,199720,,
2020-01-21,15.09,15.26,14.98,15.16,395000,,
2020-01-22,15.16,15.26,15.12,15.26,474460,,
2020-01-30,15.16,15.16,14.2,14.52,517710,,
2020-01-31,14.24,14.52,13.53,13.53,2241720,,
2020-02-03,13.24,13.42,12.61,13.42,974650,,
2020-02-04,13.32,13.42,12.85,13.32,392420,,
2020-02-05,13.32,13.53,13.1,13.39,473070,14.948,14.7702
2020-02-06,13.46,13.88,13.24,13.81,418210,14.817,14.6787
2020-02-07,13.88,13.88,13.6,13.78,263280,14.7005,14.5931
2020-02-10,13.56,13.78,13.32,13.67,379700,14.596,14.5052
2020-02-11,13.7,13.7,13.46,13.53,272250,14.5025,14.4123
2020-02-12,13.46,13.6,13.42,13.56,297530,14.437,14.3312
2020-02-13,13.56,13.88,13.56,13.81,790710,14.359,14.2815
2020-02-14,13.81,14.16,13.67,14.09,351460,14.2845,14.2633
2020-02-17,14.16,14.48,14.09,14.48,507890,14.247,14.2839
2020-02-18,14.48,14.48,14.06,14.16,480470,14.1935,14.2721
2020-02-19,13.95,14.16,13.95,14.16,265310,14.1455,14.2614
2020-02-20,14.02,14.41,14.02,14.16,353490,14.103,14.2518
2020-02-21,14.31,14.34,14.06,14.06,248170,14.048,14.2335
2020-02-24,13.88,13.95,13.1,13.39,507460,13.963,14.1532
2020-02-25,12.96,13.56,12.96,13.56,299060,13.883,14.0967
2020-02-26,13.39,13.39,13.0,13.39,305720,13.7895,14.0294
2020-02-27,13.39,13.56,13.17,13.56,138150,13.7415,13.9847
2020-02-28,13.14,13.46,13.1,13.42,302040,13.736,13.9309
2020-03-02,13.14,13.67,13.14,13.46,377990,13.738,13.8861
2020-03-03,13.74,13.74,13.46,13.56,146770,13.75,13.855
2020-03-04,13.53,13.67,13.46,13.56,270000,13.7585,13.8269
2020-03-05,13.6,13.74,13.53,13.6,231490,13.748,13.8053
2020-03-06,13.53,13.6,13.46,13.49,84780,13.7335,13.7753
2020-03-09,12.75,13.17,12.57,12.64,728440,13.682,13.6671
2020-03-10,12.25,12.78,12.18,12.75,356930,13.643,13.5798
2020-03-11,12.75,12.89,11.86,12.54,447460,13.592,13.4808
2020-03-12,12.08,12.32,11.69,11.69,607800,13.486,13.3102
2020-03-13,10.87,11.19,10.87,11.19,917640,13.341,13.1083
2020-03-16,11.08,11.37,10.98,11.19,455770,13.1765,12.9256
2020-03-17,11.05,11.62,10.91,11.62,485340,13.0495,12.8013
2020-03-18,11.83,12.18,11.76,12.0,663440,12.9415,12.7249
2020-03-19,11.9,12.11,11.62,11.97,340320,12.832,12.653
2020-03-20,11.97,11.97,11.37,11.65,287940,12.7115,12.5575
2020-03-23,11.05,11.33,10.84,10.84,786690,12.584,12.3939
2020-03-24,11.12,11.12,10.62,11.12,385850,12.462,12.2726
2020-03-25,11.3,11.54,11.15,11.54,271200,12.3695,12.2028
2020-03-26,11.33,11.47,11.19,11.26,177230,12.2545,12.1131
2020-03-27,11.33,11.33,11.05,11.26,176920,12.1465,12.0318
2020-03-30,10.8,10.8,10.48,10.69,247430,12.008,11.904
2020-03-31,10.62,10.98,9.99,10.59,255840,11.8595,11.7789
2020-04-01,10.52,10.77,10.52,10.59,225870,11.711,11.6656
2020-04-03,10.59,10.84,10.59,10.77,348250,11.5695,11.5803
2020-04-06,10.91,11.51,10.91,11.51,419790,11.4705,11.5736
2020-04-07,11.69,11.69,11.33,11.51,229600,11.414,11.5676
2020-04-08,10.98,11.51,10.98,11.51,308590,11.352,11.5621
2020-04-09,11.54,11.83,11.47,11.69,442690,11.3095,11.5743
2020-04-10,11.76,11.83,11.33,11.62,302240,11.306,11.5786
2020-04-13,11.83,12.04,11.69,11.83,389230,11.338,11.6026
2020-04-14,11.83,11.9,11.54,11.83,261590,11.37,11.6242
2020-04-15,11.76,12.04,11.76,12.0,339960,11.389,11.66
2020-04-16,11.97,12.47,11.83,12.32,1059740,11.405,11.7229
2020-04-17,12.68,13.03,12.61,13.0,975490,11.4565,11.8445
