time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,15.59,15.52,15.52,15.52,0,,
2020-01-03,15.32,15.32,15.32,15.32,100,,
2020-01-06,15.98,15.98,15.98,15.98,100,,
2020-01-07,15.39,15.39,15.39,15.39,1500,,
2020-01-08,15.98,15.98,15.45,15.45,4601,,
2020-01-09,15.98,15.98,15.98,15.98,100,,
2020-01-10,15.52,15.52,15.52,15.52,2400,,
2020-01-13,15.98,15.98,15.98,15.98,100,,
2020-01-14,15.59,15.59,15.59,15.59,2000,,
2020-01-15,17.63,17.63,15.59,15.59,2500,,
2020-01-16,15.98,15.98,15.65,15.65,2300,,
2020-01-17,15.92,15.92,15.92,15.92,100,,
2020-01-20,13.54,15.52,13.54,15.52,400,,
2020-01-21,15.85,15.85,15.85,15.85,100,,
2020-01-22,15.85,15.85,15.85,15.85,0,,
2020-01-30,15.85,15.85,15.85,15.85,0,,
2020-01-31,15.85,15.85,15.85,15.85,0,,
2020-02-03,17.83,17.83,14.2,15.45,2300,,
2020-02-04,16.38,16.38,15.19,15.19,219000,,
2020-02-05,15.85,15.85,15.85,15.85,100,15.665,15.6498
2020-02-06,13.94,15.72,13.94,15.72,200,15.675,15.6565
2020-02-07,15.72,15.72,15.72,15.72,100,15.695,15.6625
2020-02-10,15.32,15.52,15.32,15.52,5300,15.672,15.649
2020-02-11,14.93,15.32,14.93,15.32,8100,15.6685,15.6176
2020-02-12,15.72,15.85,15.39,15.85,160400,15.6885,15.6398
2020-02-13,15.85,17.11,15.39,17.11,2300,15.745,15.7798
2020-02-14,15.45,15.45,15.39,15.39,52000,15.7385,15.7427
2020-02-17,15.79,15.79,15.79,15.79,100,15.729,15.7472
2020-02-18,15.32,15.52,15.32,15.32,101300,15.7155,15.7065
2020-02-19,15.79,15.79,15.26,15.26,25300,15.699,15.664
2020-02-20,17.04,17.04,17.04,17.04,100,15.7685,15.795
2020-02-21,17.04,17.04,17.04,17.04,100,15.8245,15.9136
2020-02-24,15.32,15.32,15.26,15.32,11600,15.8145,15.8571
2020-02-25,16.38,16.38,16.38,16.38,100,15.841,15.9069
2020-02-26,16.38,16.38,16.38,16.38,0,15.8675,15.9519
2020-02-27,15.19,15.19,15.19,15.19,5000,15.8345,15.8794
2020-02-28,15.72,15.72,15.19,15.19,3100,15.8015,15.8137
2020-03-02,15.79,15.79,15.79,15.79,100,15.8185,15.8114
2020-03-03,15.79,15.79,15.79,15.79,0,15.8485,15.8094
2020-03-04,15.79,15.79,15.79,15.79,0,15.8455,15.8076
2020-03-05,15.32,15.32,15.32,15.32,601,15.8255,15.7611
2020-03-06,15.72,15.72,15.72,15.72,100,15.8255,15.7572
2020-03-09,15.26,15.26,15.26,15.26,15500,15.8125,15.7099
2020-03-10,15.26,15.26,15.26,15.26,0,15.8095,15.667
2020-03-11,15.19,15.19,15.19,15.19,500,15.7765,15.6216
2020-03-12,15.59,15.59,15.59,15.59,101,15.7005,15.6186
2020-03-13,15.59,15.59,15.59,15.59,0,15.7105,15.6159
2020-03-16,15.59,15.59,15.59,15.59,0,15.7005,15.6134
2020-03-17,15.59,15.59,15.59,15.59,0,15.714,15.6112
2020-03-18,15.52,15.72,15.52,15.72,1200,15.737,15.6215
2020-03-19,15.79,15.79,15.32,15.32,1100,15.651,15.5928
2020-03-20,17.17,17.17,15.26,15.26,4600,15.562,15.5611
2020-03-23,16.84,16.84,15.19,15.19,4000,15.5555,15.5258
2020-03-24,15.79,15.79,15.06,15.19,3400,15.496,15.4938
2020-03-25,16.84,16.84,15.19,15.19,3600,15.4365,15.4649
2020-03-26,15.79,15.79,15.79,15.79,100,15.4665,15.4958
2020-03-27,15.19,15.19,15.19,15.19,1500,15.4665,15.4667
2020-03-30,16.84,16.84,16.84,16.84,100,15.519,15.5975
2020-03-31,15.26,15.26,15.26,15.26,1000,15.4925,15.5653
2020-04-01,15.79,15.79,15.79,15.79,100,15.4925,15.5867
2020-04-03,16.38,16.38,15.26,15.32,9900,15.4925,15.5613
2020-04-06,17.5,17.5,17.5,17.5,100,15.5815,15.746
2020-04-07,15.32,15.32,15.32,15.32,1800,15.5845,15.7054
2020-04-08,17.17,17.17,17.17,17.17,100,15.68,15.8449
2020-04-09,17.17,17.17,17.17,17.17,0,15.779,15.9711
2020-04-10,17.17,17.17,17.17,17.17,0,15.858,16.0853
2020-04-13,19.15,19.15,19.15,19.15,100,16.036,16.3772
2020-04-14,19.15,19.15,19.15,19.15,0,16.214,16.6412
2020-04-15,19.15,19.15,19.15,19.15,0,16.392,16.8802
2020-04-16,19.15,19.15,19.15,19.15,0,16.5635,17.0963
2020-04-17,19.15,19.15,19.15,19.15,0,16.755,17.2919
2020-04-20,19.15,19.15,19.15,19.15,0,16.9495,17.4689
2020-04-21,19.15,19.15,19.15,19.15,0,17.1475,17.629
2020-04-22,19.15,19.15,19.15,19.15,0,17.3455,17.7738
2020-04-23,19.15,19.15,19.15,19.15,0,17.5435,17.9049
2020-04-24,16.31,16.31,16.31,16.31,1700,17.5695,17.753
2020-04-27,14.27,15.65,14.27,15.65,1300,17.5925,17.5527
2020-04-28,17.44,17.44,17.44,17.44,100,17.6225,17.542
2020-04-29,19.81,19.81,16.18,16.18,90100,17.6685,17.4123
2020-05-04,18.49,18.49,16.38,16.38,90100,17.698,17.314
2020-05-05,16.31,16.31,16.31,16.31,90000,17.7475,17.2183
2020-05-06,18.36,18.36,16.31,16.31,90100,17.688,17.1318
2020-05-07,18.43,18.43,16.25,16.25,60100,17.7345,17.0479
2020-05-08,16.45,16.45,16.18,16.18,27100,17.685,16.9652
2020-05-11,16.05,16.05,16.05,16.05,71200,17.629,16.878
2020-05-12,16.05,16.05,15.98,15.98,50100,17.5695,16.7925
2020-05-13,15.85,15.98,15.85,15.98,40200,17.411,16.7151
2020-05-14,16.45,16.45,16.45,16.45,100,17.276,16.6899
2020-05-15,16.05,16.05,16.05,16.05,41500,17.121,16.6289
2020-05-18,15.85,15.98,15.85,15.98,45000,16.9625,16.5671
2020-05-19,16.05,16.05,16.05,16.05,38000,16.8075,16.5179
2020-05-20,16.05,16.05,16.05,16.05,0,16.6525,16.4733
2020-05-21,16.05,16.05,16.05,16.05,0,16.4975,16.433
2020-05-22,15.85,15.85,15.85,15.85,5000,16.3325,16.3775
2020-05-25,18.16,18.16,18.16,18.16,100,16.283,16.5472
2020-05-26,15.98,16.05,15.98,16.05,6300,16.27,16.4999
2020-05-27,18.1,18.1,16.05,16.05,2700,16.29,16.457
2020-05-28,18.1,18.1,18.1,18.1,100,16.323,16.6135
2020-05-29,18.1,18.1,18.1,18.1,0,16.419,16.7551
2020-06-01,15.92,17.83,15.85,17.83,2200,16.4915,16.8575
2020-06-02,17.7,17.7,15.85,15.85,4100,16.4685,16.7615
2020-06-03,17.17,17.17,17.17,17.17,100,16.5115,16.8004
2020-06-04,17.5,17.5,16.97,17.04,2000,16.551,16.8232
2020-06-05,16.97,16.97,16.97,16.97,500,16.5905,16.8372
2020-06-08,16.97,17.57,16.97,17.57,1600,16.6665,16.907
2020-06-09,17.37,17.57,17.57,17.57,0,16.746,16.9701
2020-06-10,16.45,16.51,16.45,16.51,600,16.7725,16.9263
2020-06-11,15.92,15.92,15.92,15.92,100,16.746,16.8305
2020-06-12,15.92,15.92,15.92,15.92,1400,16.7395,16.7438
2020-06-15,15.92,15.92,15.92,15.92,0,16.7365,16.6653
2020-06-16,15.92,15.92,15.92,15.92,0,16.73,16.5943
