time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,11.37,9.78,9.78,9.78,0,,
2020-01-03,11.37,9.78,9.78,9.78,0,,
2020-01-06,11.37,9.78,9.78,9.78,0,,
2020-01-07,11.37,9.78,9.78,9.78,0,,
2020-01-08,11.37,9.78,9.78,9.78,0,,
2020-01-09,7.93,7.93,7.93,7.93,100,,
2020-01-10,7.93,7.93,7.93,7.93,0,,
2020-01-13,7.93,7.93,7.93,7.93,0,,
2020-01-14,7.93,7.93,7.93,7.93,0,,
2020-01-15,7.93,7.93,7.93,7.93,0,,
2020-01-16,7.93,7.93,7.93,7.93,0,,
2020-01-17,7.93,7.93,7.93,7.93,0,,
2020-01-20,7.93,7.93,7.93,7.93,0,,
2020-01-21,7.93,7.93,7.93,7.93,0,,
2020-01-22,7.93,7.93,7.93,7.93,0,,
2020-01-30,7.93,7.93,7.93,7.93,0,,
2020-01-31,7.93,7.93,7.93,7.93,0,,
2020-02-03,7.58,7.58,7.58,7.58,100,,
2020-02-04,7.58,7.58,7.58,7.58,0,,
2020-02-05,7.58,7.58,7.58,7.58,0,8.34,8.2515
2020-02-06,7.58,7.58,7.58,7.58,0,8.23,8.1875
2020-02-07,7.58,7.58,7.58,7.58,0,8.12,8.1297
2020-02-10,7.58,7.58,7.58,7.58,0,8.01,8.0773
2020-02-11,7.58,7.58,7.58,7.58,0,7.9,8.03
2020-02-12,7.58,7.58,7.58,7.58,0,7.79,7.9871
2020-02-13,8.68,8.68,8.68,8.68,200,7.8275,8.0531
2020-02-14,8.68,8.68,8.68,8.68,0,7.865,8.1128
2020-02-17,9.98,9.98,9.98,9.98,100,7.9675,8.2906
2020-02-18,11.47,11.47,11.47,11.47,100,8.1445,8.5934
2020-02-19,13.17,13.17,13.17,13.17,100,8.4065,9.0293
2020-02-20,15.11,15.11,15.11,15.11,100,8.7655,9.6084
2020-02-21,15.11,15.11,15.11,15.11,0,9.1245,10.1324
2020-02-24,17.36,17.36,17.36,17.36,100,9.596,10.8207
2020-02-25,17.36,17.46,16.96,16.96,3189,10.0475,11.4054
2020-02-26,17.21,17.21,16.96,16.96,2504,10.499,11.9344
2020-02-27,16.96,16.96,16.96,16.96,1300,10.9505,12.413
2020-02-28,16.46,16.46,16.46,16.46,573,11.377,12.7985
2020-03-02,16.46,16.46,16.46,16.46,1926,11.821,13.1472
2020-03-03,16.46,16.46,16.46,16.46,10,12.265,13.4627
2020-03-04,16.46,16.46,16.46,16.46,5501,12.709,13.7482
2020-03-05,16.46,16.46,16.46,16.46,111,13.153,14.0064
2020-03-06,16.46,16.46,16.46,16.46,0,13.597,14.2401
2020-03-09,14.96,14.96,14.96,14.96,150,13.966,14.3087
2020-03-10,14.96,14.96,14.96,14.96,0,14.335,14.3707
2020-03-11,14.96,14.96,14.96,14.96,0,14.704,14.4268
2020-03-12,14.96,14.96,14.96,14.96,0,15.018,14.4776
2020-03-13,14.96,14.96,14.96,14.96,6735,15.332,14.5235
2020-03-16,14.96,14.96,14.96,14.96,0,15.581,14.5651
2020-03-17,14.96,14.96,14.96,14.96,0,15.7555,14.6027
2020-03-18,14.96,14.96,14.96,14.96,0,15.845,14.6367
2020-03-19,14.96,14.96,14.96,14.96,0,15.8375,14.6675
2020-03-20,14.96,14.96,14.96,14.96,0,15.83,14.6954
2020-03-23,14.96,14.96,14.96,14.96,0,15.71,14.7206
2020-03-24,12.97,12.97,12.97,12.97,1695,15.5105,14.5539
2020-03-25,12.97,12.97,12.97,12.97,0,15.311,14.403
2020-03-26,12.97,12.97,12.97,12.97,0,15.1115,14.2665
2020-03-27,12.97,12.97,12.97,12.97,0,14.937,14.1431
2020-03-30,12.97,12.97,12.97,12.97,0,14.7625,14.0313
2020-03-31,12.97,12.97,12.97,12.97,0,14.588,13.9303
2020-04-01,12.97,12.97,12.97,12.97,0,14.4135,13.8388
2020-04-03,12.97,12.97,12.97,12.97,0,14.239,13.7561
2020-04-06,12.97,12.97,12.97,12.97,0,14.0645,13.6812
2020-04-07,13.22,13.22,13.22,13.22,10000,13.9775,13.6373
2020-04-08,13.22,13.22,13.22,13.22,2,13.8905,13.5975
2020-04-09,15.16,15.16,15.16,15.16,600,13.9005,13.7463
2020-04-10,16.46,17.41,16.46,17.41,5135,14.023,14.0953
2020-04-13,18.9,18.9,18.9,18.9,150,14.22,14.5529
2020-04-14,18.9,18.9,16.81,16.81,16410,14.3125,14.7678
2020-04-15,16.56,16.56,16.56,16.56,100,14.3925,14.9385
2020-04-16,16.56,16.56,16.56,16.56,50,14.4725,15.0929
2020-04-17,16.26,16.26,16.21,16.21,200,14.535,15.1993
2020-04-20,17.46,17.46,17.46,17.46,1610,14.66,15.4146
2020-04-21,17.46,17.46,17.46,17.46,505,14.785,15.6094
2020-04-22,16.46,17.46,16.46,17.46,5158,15.0095,15.7857
2020-04-23,17.51,17.96,17.46,17.96,7016,15.259,15.9927
2020-04-24,17.96,18.46,17.96,18.46,6000,15.5335,16.2277
2020-04-27,18.21,18.46,18.21,18.46,30200,15.808,16.4403
2020-04-28,18.46,19.7,18.46,19.7,23131,16.1445,16.7508
2020-04-29,19.45,19.95,19.45,19.95,25625,16.4935,17.0555
2020-05-04,19.85,19.85,19.45,19.45,7004,16.8175,17.2835
2020-05-05,18.95,19.95,18.95,19.95,20330,17.1665,17.5375
2020-05-06,19.7,19.95,19.7,19.7,10862,17.503,17.7434
2020-05-07,19.55,19.95,19.55,19.95,2442,17.8395,17.9536
2020-05-08,19.65,19.8,19.65,19.65,13200,18.161,18.1151
2020-05-11,19.8,19.8,19.45,19.8,16360,18.393,18.2756
2020-05-12,19.7,19.7,19.7,19.7,145,18.5075,18.4113
2020-05-13,20.45,20.45,19.95,20.05,2570,18.565,18.5673
2020-05-14,19.75,19.75,19.75,19.75,100,18.712,18.68
2020-05-15,19.75,19.75,19.75,19.75,61,18.8715,18.7819
2020-05-18,19.95,19.95,19.95,19.95,550,19.041,18.8931
2020-05-19,19.5,19.5,19.5,19.5,200,19.2055,18.9509
2020-05-20,19.5,19.5,19.5,19.5,0,19.3075,19.0032
2020-05-21,19.5,19.5,19.5,19.5,0,19.4095,19.0505
2020-05-22,19.95,19.95,19.95,19.95,4056,19.534,19.1362
2020-05-25,19.95,19.95,19.95,19.95,0,19.6335,19.2137
2020-05-26,19.95,19.95,19.95,19.95,1500,19.708,19.2838
2020-05-27,19.95,19.95,19.95,19.95,0,19.7825,19.3473
2020-05-28,20.45,22.55,20.45,22.55,4205,19.925,19.6523
2020-05-29,21.95,22.6,21.95,22.6,4065,20.0575,19.933
2020-06-01,22.0,22.0,22.0,22.0,200,20.185,20.1299
2020-06-02,21.95,22.0,21.95,22.0,937,20.2875,20.308
2020-06-03,21.95,21.95,21.95,21.95,100,20.4,20.4644
2020-06-04,22.45,23.19,22.45,23.19,5418,20.562,20.724
2020-06-05,23.14,23.14,23.14,23.14,450,20.7365,20.9541
2020-06-08,22.94,23.09,22.94,22.94,1200,20.8935,21.1432
2020-06-09,23.14,23.14,21.2,22.94,1300,21.0555,21.3143
2020-06-10,22.7,23.69,22.7,23.69,13700,21.2375,21.5406
2020-06-11,23.09,23.09,23.09,23.69,119,21.4345,21.7453
2020-06-12,22.45,22.45,22.45,22.45,801,21.5695,21.8124
2020-06-15,23.09,23.44,23.09,23.19,5462,21.7315,21.9436
2020-06-16,23.44,23.84,23.19,23.19,9526,21.916,22.0623
2020-06-17,25.22,25.22,25.22,25.22,100,22.202,22.363
2020-06-18,23.64,23.64,22.86,22.86,850,22.37,22.4104
2020-06-19,22.86,22.86,22.86,22.86,116,22.5155,22.4532
