time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,4.39,4.48,4.14,4.31,14300,,
2020-01-03,4.22,4.22,4.05,4.05,800,,
2020-01-06,3.97,4.22,3.8,4.05,44360,,
2020-01-07,4.14,4.39,3.88,4.14,53605,,
2020-01-08,4.14,4.22,3.88,4.22,56000,,
2020-01-09,4.22,4.39,3.97,4.22,11600,,
2020-01-10,3.97,4.05,3.97,3.97,599,,
2020-01-13,3.97,3.97,3.97,3.97,300,,
2020-01-14,4.14,4.31,4.14,4.31,26082,,
2020-01-15,4.05,4.05,4.05,4.05,504,,
2020-01-16,3.97,4.31,3.88,4.31,11729,,
2020-01-17,4.31,4.31,4.05,4.05,900,,
2020-01-20,4.22,4.64,4.22,4.64,12000,,
2020-01-21,4.31,4.39,4.31,4.39,52316,,
2020-01-22,4.39,4.39,4.39,4.39,0,,
2020-01-30,4.39,4.39,4.39,4.39,0,,
2020-01-31,4.39,4.39,4.39,4.39,0,,
2020-02-03,4.39,4.39,4.39,4.39,0,,
2020-02-04,4.14,4.14,4.14,4.14,300,,
2020-02-05,4.05,4.05,4.05,4.05,137,4.2215,4.2573
2020-02-06,4.05,4.05,4.05,4.05,0,4.2085,4.2376
2020-02-07,4.05,4.05,4.05,4.05,0,4.2085,4.2197
2020-02-10,4.05,4.05,4.05,4.05,0,4.2085,4.2035
2020-02-11,4.05,4.05,4.05,4.05,100,4.204,4.1889
2020-02-12,4.39,4.39,4.39,4.39,10000,4.2125,4.2081
2020-02-13,4.14,4.14,4.14,4.14,100,4.2085,4.2016
2020-02-14,4.31,4.39,4.31,4.31,4100,4.2255,4.2119
2020-02-17,4.31,4.31,4.31,4.31,300,4.2425,4.2212
2020-02-18,4.31,4.31,4.31,4.31,0,4.2425,4.2297
2020-02-19,4.39,4.39,4.39,4.39,630,4.2595,4.245
2020-02-20,4.48,4.48,4.48,4.48,30000,4.268,4.2674
2020-02-21,4.48,4.48,4.48,4.48,46100,4.2895,4.2876
2020-02-24,4.05,4.48,4.05,4.39,14800,4.277,4.2974
2020-02-25,4.39,4.48,4.39,4.48,47053,4.2815,4.3148
2020-02-26,4.39,4.48,4.39,4.48,9000,4.286,4.3305
2020-02-27,4.39,4.39,4.39,4.39,15000,4.286,4.3362
2020-02-28,3.97,3.97,3.97,3.97,200,4.265,4.3013
2020-03-02,4.05,4.39,4.05,4.39,2218,4.265,4.3097
2020-03-03,3.88,3.88,3.88,3.88,200,4.252,4.2688
2020-03-04,4.31,4.31,4.14,4.14,376,4.2565,4.2565
2020-03-05,4.22,4.22,4.22,4.22,200,4.265,4.2531
2020-03-06,4.05,4.39,4.05,4.39,3763,4.282,4.2661
2020-03-09,4.22,4.39,4.39,4.39,0,4.299,4.2779
2020-03-10,4.22,4.22,4.22,4.22,2041,4.3075,4.2724
2020-03-11,4.05,4.22,4.05,4.22,4100,4.299,4.2674
2020-03-12,4.22,4.22,4.22,4.22,6500,4.303,4.2629
2020-03-13,4.05,4.22,4.05,4.22,9615,4.2985,4.2588
2020-03-16,4.05,4.05,4.05,4.05,4000,4.2855,4.2389
2020-03-17,4.22,4.22,3.97,3.97,400,4.2685,4.2133
2020-03-18,4.05,4.05,4.05,4.05,3138,4.2515,4.1978
2020-03-19,4.05,4.05,4.05,4.05,833,4.23,4.1837
2020-03-20,4.05,4.05,4.05,4.05,8000,4.2085,4.1709
2020-03-23,3.72,3.72,3.72,3.72,7720,4.175,4.128
2020-03-24,3.72,3.72,3.72,3.72,136,4.137,4.0891
2020-03-25,3.8,4.22,3.72,4.05,36919,4.1155,4.0854
2020-03-26,3.72,4.14,3.72,4.14,65800,4.103,4.0906
2020-03-27,3.8,4.14,3.8,4.05,29804,4.107,4.0867
2020-03-30,3.55,4.14,3.55,3.63,10748,4.069,4.0432
2020-03-31,3.63,3.8,3.63,3.8,7322,4.065,4.0201
2020-04-01,3.8,4.14,3.8,3.8,10200,4.048,3.9991
2020-04-03,3.88,3.88,3.88,3.88,9300,4.031,3.9878
2020-04-06,3.88,3.88,3.88,3.88,113,4.0055,3.9775
2020-04-07,3.88,3.88,3.88,3.88,6080,3.98,3.9682
2020-04-08,3.88,3.88,3.88,3.88,118,3.963,3.9598
2020-04-09,3.97,4.05,3.88,3.97,47811,3.9505,3.9608
2020-04-10,3.97,4.14,3.97,3.97,34600,3.938,3.9617
2020-04-13,3.97,4.05,3.97,4.05,11300,3.9295,3.9701
2020-04-14,3.72,4.14,3.72,4.14,1609,3.934,3.9863
2020-04-15,3.72,4.05,3.63,4.05,1400,3.938,3.9923
2020-04-16,3.8,4.05,4.05,4.05,0,3.938,3.9978
2020-04-17,3.88,4.14,3.88,4.14,17872,3.9425,4.0114
2020-04-20,3.88,3.88,3.88,3.88,4300,3.934,3.9989
2020-04-21,3.55,4.14,3.55,4.14,16600,3.955,4.0123
2020-04-22,3.88,4.22,3.88,4.05,51400,3.9715,4.0159
2020-04-23,3.88,3.88,3.88,3.88,200,3.963,4.0029
2020-04-24,4.05,4.14,3.88,3.88,11628,3.95,3.9912
2020-04-27,3.88,4.22,3.88,4.05,18439,3.95,3.9968
2020-04-28,3.88,3.88,3.88,3.88,100,3.9625,3.9857
2020-04-29,3.97,4.22,3.88,3.88,26200,3.9665,3.9756
2020-05-04,4.14,4.48,4.14,4.48,13144,4.0005,4.0237
2020-05-05,3.97,4.48,3.97,4.48,16263,4.0305,4.0671
2020-05-06,4.05,4.05,4.05,4.05,1795,4.039,4.0655
2020-05-07,4.05,4.05,4.05,4.05,400,4.0475,4.064
2020-05-08,3.97,4.22,3.88,3.97,1900,4.052,4.0551
2020-05-11,4.05,4.14,4.05,4.05,6835,4.056,4.0546
2020-05-12,4.05,4.31,4.05,4.31,325,4.073,4.0789
2020-05-13,4.31,4.39,4.22,4.39,46624,4.09,4.1085
2020-05-14,4.31,4.39,4.31,4.39,27400,4.1025,4.1353
2020-05-15,4.14,4.39,4.14,4.39,360,4.1195,4.1596
2020-05-18,4.31,4.31,4.22,4.22,800,4.128,4.1654
2020-05-19,3.97,4.39,3.97,4.39,38148,4.1405,4.1867
2020-05-20,3.97,4.39,3.97,4.39,33483,4.166,4.2061
2020-05-21,4.05,4.31,4.05,4.05,689,4.1615,4.1912
2020-05-22,4.22,4.22,4.14,4.14,7590,4.166,4.1864
2020-05-25,4.22,4.22,4.14,4.14,800,4.179,4.1819
2020-05-26,4.05,4.05,4.05,4.05,283,4.1875,4.1694
2020-05-27,4.14,4.31,4.14,4.31,15524,4.2005,4.1828
2020-05-28,4.14,4.22,4.14,4.22,1109,4.2175,4.1863
2020-05-29,4.05,4.05,4.05,4.05,140,4.226,4.1733
2020-06-01,4.14,4.39,4.14,4.39,32719,4.2215,4.194
2020-06-02,3.97,4.14,3.88,3.97,118290,4.196,4.1726
2020-06-03,3.97,3.97,3.97,3.97,5935,4.192,4.1533
2020-06-04,3.97,4.05,3.97,4.05,5565,4.192,4.1435
2020-06-05,3.97,4.22,3.97,4.22,18740,4.2045,4.1508
2020-06-08,4.14,4.31,4.14,4.31,655,4.2175,4.1659
2020-06-09,4.22,4.22,4.22,4.22,1020,4.213,4.1711
2020-06-10,4.22,4.31,4.22,4.22,8737,4.2045,4.1758
2020-06-11,4.22,4.22,4.22,4.22,3688,4.196,4.18
2020-06-12,3.97,3.97,3.97,3.97,100,4.175,4.16
2020-06-15,4.22,4.22,4.05,4.05,8978,4.1665,4.1495
2020-06-16,3.97,4.14,3.97,4.14,3624,4.154,4.1486
2020-06-17,4.05,4.05,4.05,4.05,2520,4.137,4.1392
2020-06-18,4.05,4.14,4.05,4.14,15100,4.1415,4.1393
2020-06-19,3.97,4.14,3.97,4.14,1031,4.1415,4.1393
2020-06-22,4.14,4.14,4.14,4.14,100,4.1415,4.1394
2020-06-23,3.97,4.22,3.97,4.14,5684,4.146,4.1395
2020-06-24,4.05,4.05,4.05,4.05,900,4.133,4.1309
2020-06-25,4.05,4.05,4.05,4.05,10,4.1245,4.1232
2020-06-26,4.14,4.14,4.14,4.14,4700,4.129,4.1248
2020-06-29,4.14,4.14,4.14,4.14,0,4.1165,4.1263
2020-06-30,4.14,4.14,4.14,4.14,100,4.125,4.1276
2020-07-01,4.14,4.14,4.05,4.05,1800,4.129,4.1202
2020-07-02,4.14,4.14,4.14,4.14,904,4.1335,4.1221
2020-07-03,4.14,4.14,4.14,4.14,40,4.1295,4.1238
2020-07-06,4.14,4.22,3.97,4.22,1418,4.125,4.133
2020-07-07,3.97,4.22,3.97,4.22,16053,4.125,4.1412
2020-07-08,4.05,4.05,4.05,4.05,131,4.1165,4.1326
2020-07-09,4.05,4.05,4.05,4.05,200,4.108,4.1247
2020-07-10,4.05,4.05,4.05,4.05,90,4.112,4.1176
2020-07-13,4.05,4.05,4.05,4.05,0,4.112,4.1111
2020-07-14,4.05,4.05,4.05,4.05,0,4.1075,4.1053
2020-07-15,4.05,4.05,4.05,4.05,1200,4.1075,4.1
2020-07-16,4.05,4.05,4.05,4.05,400,4.103,4.0953
2020-07-17,4.05,4.05,4.05,4.05,0,4.0985,4.091
2020-07-20,4.05,4.05,4.05,4.05,136,4.094,4.0871
2020-07-21,4.05,4.05,4.05,4.05,0,4.0895,4.0835
2020-07-22,4.22,4.31,4.22,4.31,7054,4.1025,4.1051
2020-07-23,4.22,4.22,4.22,4.22,1500,4.111,4.116
2020-07-24,4.22,4.22,4.22,4.22,204062,4.115,4.1259
2020-07-27,4.14,4.14,3.97,3.97,35765,4.1065,4.1111
2020-07-28,4.14,4.22,4.14,4.22,665,4.1105,4.1215
2020-07-29,4.05,4.05,3.97,3.97,21700,4.1065,4.107
2020-07-30,4.22,4.22,4.22,4.22,99739,4.1105,4.1178
2020-07-31,4.22,4.22,4.22,4.22,34250,4.1145,4.1275
2020-08-03,4.22,4.22,4.22,4.22,5,4.1145,4.1363
2020-08-04,4.22,4.22,4.22,4.22,0,4.1145,4.1443
2020-08-05,3.97,4.22,3.97,4.22,1752,4.123,4.1515
2020-08-06,3.97,4.22,4.22,4.22,0,4.1315,4.158
2020-08-07,4.05,4.05,4.05,4.05,831,4.1315,4.1477
2020-08-10,4.05,4.05,4.05,4.05,7,4.1315,4.1384
2020-08-11,4.05,4.05,4.05,4.05,0,4.1315,4.13
2020-08-12,4.22,4.22,4.22,4.22,600,4.14,4.1386
2020-08-13,4.22,4.22,4.22,4.22,12,4.1485,4.1463
2020-08-14,4.22,4.22,4.22,4.22,0,4.157,4.1534
2020-08-17,4.22,4.22,4.22,4.22,0,4.1655,4.1597
2020-08-18,4.22,4.22,4.22,4.22,0,4.174,4.1654
2020-08-19,4.22,4.22,4.22,4.22,63,4.1695,4.1706
2020-08-20,4.14,4.22,4.14,4.22,753,4.1695,4.1753
2020-08-21,4.05,4.05,4.05,4.05,6700,4.161,4.1634
2020-08-24,3.97,4.22,3.97,4.22,510,4.1735,4.1688
2020-08-25,4.05,4.22,4.22,4.22,0,4.1735,4.1737
2020-08-26,4.05,4.05,4.05,4.22,20,4.186,4.1781
2020-08-27,4.14,4.14,4.14,4.14,100,4.182,4.1745
2020-08-28,4.14,4.14,4.14,4.14,146,4.178,4.1712
2020-08-31,4.14,4.14,4.14,4.14,80,4.174,4.1682
2020-09-01,3.97,3.97,3.88,3.88,2200,4.157,4.1408
2020-09-03,3.88,3.88,3.88,3.88,0,4.14,4.1159
2020-09-04,3.88,4.05,3.88,4.05,6300,4.1315,4.1096
2020-09-07,3.97,4.05,4.05,4.05,0,4.1315,4.104
2020-09-08,3.88,4.14,3.88,4.14,500,4.136,4.1074
2020-09-09,3.97,3.97,3.97,4.14,13,4.1405,4.1105
2020-09-10,3.97,3.97,3.97,3.97,4000,4.128,4.0971
2020-09-11,3.97,3.97,3.97,3.97,1000,4.1155,4.085
2020-09-14,4.05,4.14,4.05,4.14,10900,4.1115,4.0903
2020-09-15,4.05,4.05,4.05,4.14,1,4.1075,4.095
2020-09-16,4.05,4.22,3.88,4.22,232014,4.1075,4.1069
2020-09-17,4.14,4.14,3.88,3.88,261,4.0905,4.0853
2020-09-18,4.05,3.88,3.88,3.88,0,4.0735,4.0657
2020-09-21,4.05,3.88,3.88,3.88,0,4.065,4.048
2020-09-22,4.05,3.88,3.88,3.88,0,4.048,4.032
2020-09-23,4.05,4.05,4.05,4.05,155,4.0395,4.0338
2020-09-24,4.05,4.05,4.05,4.05,0,4.031,4.0353
2020-09-25,3.88,4.05,3.88,3.97,3661,4.0225,4.0291
