time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,19.4,16.2,16.2,16.2,0,,
2020-01-03,16.5,16.5,16.5,16.5,2000,,
2020-01-06,18.8,18.8,18.8,18.8,100,,
2020-01-07,18.8,18.8,18.8,18.8,0,,
2020-01-08,18.8,18.8,18.8,18.8,0,,
2020-01-09,18.8,18.8,18.8,18.8,0,,
2020-01-10,18.8,18.8,18.8,18.8,0,,
2020-01-13,19.9,19.9,19.9,19.9,100,,
2020-01-14,19.9,19.9,19.9,19.9,0,,
2020-01-15,19.9,19.9,19.9,19.9,0,,
2020-01-16,19.9,19.9,19.9,19.9,0,,
2020-01-17,19.9,19.9,19.9,19.9,0,,
2020-01-20,19.9,19.9,19.9,19.9,0,,
2020-01-21,20.9,20.9,17.0,20.9,700,,
2020-01-22,19.9,19.9,19.9,19.9,100,,
2020-01-30,22.7,22.7,22.7,22.7,100,,
2020-01-31,22.7,22.7,22.7,22.7,0,,
2020-02-03,22.7,22.7,22.7,22.7,0,,
2020-02-04,22.7,22.7,22.7,22.7,0,,
2020-02-05,22.7,22.7,22.7,22.7,0,20.02,20.3308
2020-02-06,22.7,22.7,22.7,22.7,0,20.345,20.5564
2020-02-07,22.7,22.7,22.7,22.7,0,20.655,20.7606
2020-02-10,22.7,22.7,22.7,22.7,0,20.85,20.9453
2020-02-11,22.7,22.7,22.7,22.7,0,21.045,21.1124
2020-02-12,22.7,22.7,22.7,22.7,0,21.24,21.2636
2020-02-13,19.3,19.3,19.3,19.3,100,21.265,21.0766
2020-02-14,22.1,22.1,22.1,22.1,100,21.43,21.1741
2020-02-17,22.1,22.1,22.1,22.1,0,21.54,21.2622
2020-02-18,18.8,18.8,18.8,18.8,100,21.485,21.0277
2020-02-19,21.6,21.6,16.0,18.8,600,21.43,20.8156
2020-02-20,16.8,16.8,16.8,16.8,2800,21.275,20.4331
2020-02-21,16.8,16.8,16.8,16.8,0,21.12,20.0871
2020-02-24,16.8,16.8,16.8,16.8,0,20.965,19.7741
2020-02-25,16.8,16.8,16.8,16.8,0,20.76,19.4908
2020-02-26,16.8,16.8,16.8,16.8,0,20.605,19.2346
2020-02-27,19.3,19.3,19.3,19.3,200,20.435,19.2408
