time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,13.64,14.21,14.21,14.21,0,,
2020-01-03,13.02,13.02,13.02,13.02,100,,
2020-01-06,13.02,13.02,13.02,13.02,0,,
2020-01-07,13.02,13.02,13.02,13.02,0,,
2020-01-08,13.02,13.02,13.02,13.02,0,,
2020-01-09,13.02,13.02,13.02,13.02,0,,
2020-01-10,11.25,11.25,11.25,11.25,2600,,
2020-01-13,11.25,11.25,11.25,11.25,0,,
2020-01-14,11.37,11.37,11.37,11.37,400,,
2020-01-15,11.37,11.37,11.37,11.37,0,,
2020-01-16,11.37,11.37,11.37,11.37,0,,
2020-01-17,11.37,11.37,11.37,11.37,0,,
2020-01-20,11.37,11.37,11.37,11.37,0,,
2020-01-21,10.52,10.52,10.52,10.52,300,,
2020-01-22,10.8,11.37,10.8,11.37,1700,,
2020-01-30,10.8,11.37,10.8,10.8,3600,,
2020-01-31,10.8,10.8,10.8,10.8,2000,,
2020-02-03,10.23,10.23,10.23,10.23,500,,
2020-02-04,10.23,10.23,10.23,10.23,0,,
2020-02-05,10.23,10.23,10.23,10.23,0,11.642,11.5309
2020-02-06,10.23,10.23,10.23,10.23,100,11.443,11.407
2020-02-07,10.23,10.23,10.23,10.23,0,11.3035,11.2949
2020-02-10,10.23,10.23,10.23,10.23,0,11.164,11.1935
2020-02-11,10.23,10.23,10.23,10.23,0,11.0245,11.1017
2020-02-12,11.77,11.77,11.77,11.77,100,10.962,11.1654
2020-02-13,11.94,11.94,11.94,11.94,1500,10.908,11.2391
2020-02-14,13.07,13.07,12.51,12.51,5000,10.971,11.3602
2020-02-17,13.07,13.07,13.07,13.07,1000,11.062,11.523
2020-02-18,13.07,13.07,13.07,13.07,0,11.147,11.6704
2020-02-19,13.64,13.64,13.64,13.64,100,11.2605,11.8579
2020-02-20,13.64,13.64,13.64,13.64,0,11.374,12.0277
2020-02-21,13.64,13.64,13.64,13.64,0,11.4875,12.1812
2020-02-24,13.64,13.64,13.64,13.64,300,11.601,12.3201
2020-02-25,13.64,13.64,13.64,13.64,0,11.757,12.4458
2020-02-26,13.64,13.64,13.64,13.64,0,11.8705,12.5596
2020-02-27,13.64,13.64,13.64,13.64,0,12.0125,12.6625
2020-02-28,13.64,13.64,13.64,13.64,0,12.1545,12.7556
2020-03-02,13.64,13.64,13.64,13.64,0,12.325,12.8398
2020-03-03,13.36,13.36,13.36,13.36,150,12.4815,12.8893
2020-03-04,13.36,13.36,13.36,13.36,0,12.638,12.9342
2020-03-05,13.36,13.36,13.36,13.36,0,12.7945,12.9747
2020-03-06,12.22,12.22,11.37,11.94,1500,12.88,12.8762
2020-03-09,13.23,13.23,13.23,13.23,100,13.03,12.9099
2020-03-10,13.23,13.23,13.23,13.23,0,13.18,12.9404
2020-03-11,13.23,13.23,13.23,13.23,0,13.253,12.9679
2020-03-12,13.23,13.23,13.23,13.23,0,13.3175,12.9929
2020-03-13,15.12,15.12,15.12,15.12,200,13.448,13.1955
2020-03-16,15.12,15.12,15.12,15.12,0,13.5505,13.3788
2020-03-17,15.12,15.12,15.12,15.12,0,13.653,13.5446
2020-03-18,15.12,15.12,15.12,15.12,0,13.727,13.6946
2020-03-19,15.12,15.12,15.12,15.12,0,13.801,13.8304
2020-03-20,15.12,15.12,15.12,15.12,0,13.875,13.9532
2020-03-23,15.12,15.12,15.12,15.12,0,13.949,14.0643
2020-03-24,15.12,15.12,15.12,15.12,0,14.023,14.1649
2020-03-25,15.12,15.12,15.12,15.12,0,14.097,14.2558
2020-03-26,15.12,15.12,15.12,15.12,0,14.171,14.3381
2020-03-27,15.12,15.12,15.12,15.12,0,14.245,14.4126
2020-03-30,15.12,15.12,15.12,15.12,0,14.319,14.48
2020-03-31,15.12,15.12,15.12,15.12,0,14.407,14.5409
2020-04-01,15.12,15.12,15.12,15.12,0,14.495,14.5961
2020-04-03,15.12,15.12,15.12,15.12,0,14.583,14.646
2020-04-06,15.12,15.12,15.12,15.12,0,14.742,14.6911
2020-04-07,15.12,15.12,15.12,15.12,0,14.8365,14.732
2020-04-08,12.85,12.85,12.85,12.85,200,14.8175,14.5527
2020-04-09,12.85,12.85,12.85,12.85,0,14.7985,14.3906
2020-04-10,12.85,12.85,12.85,12.85,0,14.7795,14.2438
2020-04-13,12.85,12.85,12.85,12.85,0,14.666,14.1111
2020-04-14,12.85,12.85,12.85,12.85,0,14.5525,13.991
2020-04-15,12.85,12.85,12.85,12.85,0,14.439,13.8823
2020-04-16,12.85,12.85,12.85,12.85,0,14.3255,13.784
2020-04-17,14.49,14.49,14.49,14.49,100,14.294,13.8512
2020-04-20,14.49,14.49,14.49,14.49,0,14.2625,13.9121
2020-04-21,14.49,14.49,14.49,14.49,0,14.231,13.9671
2020-04-22,14.49,14.49,14.49,14.49,0,14.1995,14.0169
2020-04-23,14.49,14.49,14.49,14.49,0,14.168,14.062
2020-04-24,14.49,14.49,14.49,14.49,0,14.1365,14.1027
2020-04-27,14.49,14.49,14.49,14.49,0,14.105,14.1396
2020-04-28,14.49,14.49,14.49,14.49,0,14.0735,14.173
2020-04-29,14.49,14.49,14.49,14.49,0,14.042,14.2032
2020-05-04,14.49,14.49,14.49,14.49,0,14.0105,14.2305
2020-05-05,14.49,14.49,14.49,14.49,0,13.979,14.2552
2020-05-06,14.49,14.49,14.49,14.49,0,13.9475,14.2776
2020-05-07,14.49,14.49,14.49,14.49,0,13.916,14.2978
2020-05-08,14.49,14.49,14.49,14.49,0,13.998,14.3161
2020-05-11,14.49,14.49,14.49,14.49,0,14.08,14.3327
2020-05-12,14.49,14.49,14.49,14.49,0,14.162,14.3477
2020-05-13,14.49,14.49,14.49,14.49,0,14.244,14.3612
2020-05-14,14.49,14.49,14.49,14.49,0,14.326,14.3735
2020-05-15,14.49,14.49,14.49,14.49,0,14.408,14.3846
2020-05-18,14.49,14.49,14.49,14.49,0,14.49,14.3946
2020-05-19,14.49,14.49,14.49,14.49,0,14.49,14.4037
2020-05-20,14.49,14.49,14.49,14.49,0,14.49,14.4119
2020-05-21,14.49,14.49,14.49,14.49,0,14.49,14.4194
2020-05-22,14.49,14.49,14.49,14.49,0,14.49,14.4261
2020-05-25,14.49,14.49,14.49,14.49,0,14.49,14.4322
2020-05-26,14.49,14.49,14.49,14.49,0,14.49,14.4377
2020-05-27,14.49,14.49,14.49,14.49,0,14.49,14.4427
2020-05-28,14.49,14.49,14.49,14.49,0,14.49,14.4472
2020-05-29,14.49,14.49,14.49,14.49,0,14.49,14.4512
2020-06-01,14.49,14.49,14.49,14.49,200,14.49,14.4549
2020-06-02,14.49,14.49,14.49,14.49,0,14.49,14.4583
2020-06-03,14.49,14.49,14.49,14.49,0,14.49,14.4613
2020-06-04,14.49,14.49,14.49,14.49,0,14.49,14.464
2020-06-05,14.49,14.49,14.49,14.49,0,14.49,14.4665
2020-06-08,14.49,14.49,14.49,14.49,0,14.49,14.4687
2020-06-09,14.49,14.49,14.49,14.49,0,14.49,14.4708
2020-06-10,14.49,14.49,14.49,14.49,0,14.49,14.4726
2020-06-11,16.63,16.63,16.63,16.63,1206,14.597,14.6781
2020-06-12,14.18,14.18,14.18,14.18,100,14.5815,14.6306
2020-06-15,14.18,14.18,14.18,14.18,30,14.566,14.5877
2020-06-16,14.18,14.18,14.18,14.18,0,14.5505,14.5489
2020-06-17,14.18,14.18,14.18,14.18,0,14.535,14.5138
2020-06-18,14.18,14.18,14.18,14.18,0,14.5195,14.482
2020-06-19,13.86,13.86,12.92,12.92,2000,14.441,14.3332
2020-06-22,13.3,12.92,12.92,12.92,0,14.3625,14.1986
2020-06-23,13.3,12.92,12.92,12.92,0,14.284,14.0768
2020-06-24,13.3,12.92,12.92,12.92,0,14.2055,13.9667
2020-06-25,13.3,12.92,12.92,12.92,0,14.127,13.867
2020-06-26,13.3,12.92,12.92,12.92,0,14.0485,13.7768
2020-06-29,13.3,12.92,12.92,12.92,0,13.97,13.6952
2020-06-30,13.3,13.3,13.3,12.92,10,13.8915,13.6214
2020-07-01,11.4,11.4,11.4,11.4,4600,13.737,13.4098
2020-07-02,12.92,12.92,12.92,12.92,100,13.6585,13.3632
2020-07-03,11.34,11.34,11.34,11.34,3100,13.501,13.1705
2020-07-06,12.85,12.85,11.34,11.34,306,13.3435,12.9961
2020-07-07,11.85,11.34,11.34,11.34,0,13.186,12.8384
2020-07-08,11.85,11.34,11.34,11.34,0,13.0285,12.6957
2020-07-09,10.21,10.21,10.21,10.21,100,12.7075,12.459
2020-07-10,10.46,10.46,10.46,10.46,200,12.5215,12.2686
2020-07-13,10.46,10.46,10.46,10.46,0,12.3355,12.0964
2020-07-14,10.46,10.46,10.46,10.46,0,12.1495,11.9405
2020-07-15,10.46,10.46,10.46,10.46,0,11.9635,11.7995
2020-07-16,10.46,10.46,10.46,10.46,20,11.7775,11.6719
2020-07-17,10.46,10.46,10.46,10.46,0,11.6545,11.5565
2020-07-20,9.2,10.46,9.2,10.46,1500,11.5315,11.4521
2020-07-21,10.71,11.85,10.71,11.85,500,11.478,11.49
2020-07-22,13.11,13.11,13.11,13.11,100,11.4875,11.6443
2020-07-23,11.15,11.15,11.15,11.15,1600,11.399,11.5972
2020-07-24,12.41,12.41,12.41,12.41,100,11.3735,11.6746
2020-07-27,12.41,12.41,12.41,12.41,0,11.348,11.7446
2020-07-28,12.41,12.41,12.41,12.41,0,11.3225,11.808
2020-07-29,12.41,12.41,12.41,12.41,0,11.373,11.8653
2020-07-30,12.41,12.41,12.41,12.41,0,11.3475,11.9172
2020-07-31,12.41,12.41,12.41,12.41,0,11.401,11.9641
2020-08-03,10.59,10.59,10.59,10.59,500,11.3635,11.8333
2020-08-04,12.1,12.1,12.1,12.1,100,11.4015,11.8587
2020-08-05,12.98,12.98,12.98,12.98,100,11.4835,11.9655
2020-08-06,12.98,12.98,12.98,12.98,0,11.622,12.0621
2020-08-07,13.8,13.8,13.8,13.8,100,11.789,12.2276
2020-08-10,13.8,13.8,13.8,13.8,0,11.956,12.3774
2020-08-11,13.8,13.8,13.8,13.8,0,12.123,12.5128
2020-08-12,13.8,13.8,13.8,13.8,0,12.29,12.6354
2020-08-13,13.8,13.8,13.8,13.8,0,12.457,12.7463
2020-08-14,13.8,13.8,13.8,13.8,0,12.624,12.8467
2020-08-17,13.8,13.8,13.8,13.8,0,12.791,12.9375
2020-08-18,13.8,13.8,13.8,13.8,0,12.8885,13.0196
2020-08-19,13.8,13.8,13.8,13.8,0,12.923,13.0939
2020-08-20,13.8,13.8,13.8,13.8,0,13.0555,13.1612
2020-08-21,13.8,13.8,13.8,13.8,0,13.125,13.222
2020-08-24,13.8,13.8,13.8,13.8,0,13.1945,13.2771
2020-08-25,13.8,13.8,13.8,13.8,1,13.264,13.3269
2020-08-26,13.8,13.8,13.8,13.8,2,13.3335,13.3719
2020-08-27,13.8,13.8,13.8,13.8,0,13.403,13.4127
2020-08-28,13.8,13.8,13.8,13.8,0,13.4725,13.4496
2020-08-31,13.8,13.8,13.8,13.8,0,13.633,13.483
2020-09-01,13.8,13.8,13.8,13.8,0,13.718,13.5132
2020-09-03,13.8,13.8,13.8,13.8,0,13.759,13.5405
2020-09-04,13.8,13.8,13.8,13.8,0,13.8,13.5652
2020-09-07,13.8,13.8,13.8,13.8,0,13.8,13.5876
2020-09-08,13.8,13.8,13.8,13.8,0,13.8,13.6078
2020-09-09,13.8,13.8,13.8,13.8,0,13.8,13.6261
