time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,7.43,7.51,7.39,7.44,654880,,
2020-01-03,7.48,7.53,7.34,7.34,630820,,
2020-01-06,7.3,7.32,7.18,7.22,1065060,,
2020-01-07,7.23,7.3,7.18,7.27,470270,,
2020-01-08,7.22,7.22,6.99,7.11,1126900,,
2020-01-09,7.18,7.22,7.1,7.18,569210,,
2020-01-10,7.18,7.34,7.13,7.27,1298430,,
2020-01-13,7.29,7.44,7.27,7.43,1409220,,
2020-01-14,7.39,7.46,7.37,7.43,539270,,
2020-01-15,7.43,7.44,7.32,7.32,566550,,
2020-01-16,7.39,7.56,7.32,7.56,1613670,,
2020-01-17,7.56,7.65,7.48,7.48,693850,,
2020-01-20,7.43,7.49,7.43,7.48,369830,,
2020-01-21,7.46,7.68,7.44,7.6,899530,,
2020-01-22,7.62,7.68,7.56,7.68,809310,,
2020-01-30,7.51,7.51,7.15,7.15,3212570,,
2020-01-31,7.03,7.2,6.66,6.66,2066250,,
2020-02-03,6.23,6.65,6.21,6.46,1599650,,
2020-02-04,6.58,6.58,6.23,6.25,1047760,,
2020-02-05,6.4,6.47,6.27,6.33,1540270,7.183,7.0813
2020-02-06,6.42,6.63,6.39,6.54,1827860,7.138,7.0298
2020-02-07,6.54,6.7,6.46,6.51,1583730,7.0965,6.9803
2020-02-10,6.37,6.47,6.3,6.35,1016710,7.053,6.9202
2020-02-11,6.4,6.42,6.33,6.39,1244840,7.009,6.8697
2020-02-12,6.44,6.65,6.42,6.56,1461010,6.9815,6.8402
2020-02-13,6.54,6.56,6.44,6.49,847930,6.947,6.8069
2020-02-14,6.49,6.65,6.46,6.65,1669180,6.916,6.7919
2020-02-17,6.65,6.87,6.58,6.58,1457530,6.8735,6.7718
2020-02-18,6.66,6.72,6.53,6.56,1220280,6.83,6.7516
2020-02-19,6.54,6.59,6.51,6.53,869070,6.7905,6.7305
2020-02-20,6.63,6.68,6.51,6.54,1521590,6.7395,6.7123
2020-02-21,6.54,6.66,6.51,6.53,888380,6.692,6.695
2020-02-24,6.33,6.37,6.08,6.08,2619500,6.622,6.6364
2020-02-25,5.8,6.13,5.8,6.09,1288010,6.5465,6.5844
2020-02-26,5.85,6.08,5.85,5.92,891910,6.4585,6.5211
2020-02-27,5.92,6.16,5.92,6.16,886890,6.409,6.4867
2020-02-28,5.95,6.06,5.88,5.94,990930,6.373,6.4346
2020-03-02,6.02,6.09,5.95,5.95,1198060,6.3475,6.3885
2020-03-03,6.09,6.09,5.99,5.99,1035920,6.3345,6.3505
2020-03-04,5.92,6.18,5.92,6.14,1404620,6.325,6.3305
2020-03-05,6.16,6.44,6.16,6.28,1648110,6.312,6.3257
2020-03-06,6.23,6.35,6.13,6.28,764600,6.3005,6.3213
2020-03-09,5.85,5.92,5.85,5.85,1248740,6.2755,6.2764
2020-03-10,5.61,5.83,5.45,5.64,1576420,6.238,6.2158
2020-03-11,5.73,5.75,5.26,5.26,1583400,6.173,6.1248
2020-03-12,4.93,4.95,4.9,4.9,1792810,6.0935,6.0081
2020-03-13,4.57,4.9,4.57,4.85,1921230,6.0035,5.8978
2020-03-16,4.71,4.88,4.52,4.55,1060990,5.902,5.7695
2020-03-17,4.36,4.86,4.34,4.86,1381030,5.817,5.6829
2020-03-18,4.95,5.02,4.76,4.78,1195960,5.7295,5.5969
2020-03-19,4.6,5.02,4.6,4.83,1586780,5.644,5.5238
2020-03-20,4.95,4.97,4.81,4.83,1791480,5.559,5.4578
2020-03-23,4.6,4.67,4.5,4.5,1029330,5.48,5.3665
2020-03-24,4.57,4.64,4.33,4.34,1872520,5.3925,5.2688
2020-03-25,4.53,4.64,4.38,4.62,1778260,5.3275,5.207
2020-03-26,4.5,4.62,4.4,4.4,1642900,5.2395,5.1301
2020-03-27,4.43,4.43,4.26,4.28,1477790,5.1565,5.0492
2020-03-30,4.02,4.12,3.98,3.98,1729030,5.058,4.9473
2020-03-31,4.1,4.15,3.74,3.86,1326110,4.9515,4.8438
2020-04-01,3.91,4.12,3.88,4.12,1466530,4.8505,4.7749
2020-04-03,4.4,4.4,4.29,4.4,1646440,4.7565,4.7392
2020-04-06,4.64,4.69,4.59,4.69,1861080,4.677,4.7345
2020-04-07,4.98,5.0,4.74,4.98,5721480,4.6335,4.7579
2020-04-08,4.85,5.24,4.78,5.24,2609070,4.6135,4.8038
2020-04-09,5.19,5.49,5.19,5.33,2295490,4.617,4.8539
2020-04-10,5.23,5.37,5.11,5.35,2697120,4.6395,4.9011
2020-04-13,5.3,5.4,5.23,5.37,2063380,4.6655,4.9458
2020-04-14,5.37,5.5,5.21,5.5,1792950,4.713,4.9986
2020-04-15,5.54,5.75,5.54,5.68,1736130,4.754,5.0635
2020-04-16,5.59,5.83,5.54,5.69,1526390,4.7995,5.1231
2020-04-17,5.82,5.95,5.75,5.82,2730130,4.849,5.1895
2020-04-20,5.92,5.92,5.57,5.69,2668660,4.892,5.2372
2020-04-21,5.64,5.71,5.31,5.43,2396620,4.9385,5.2555
2020-04-22,5.26,5.8,5.21,5.8,2276520,5.0115,5.3074
2020-04-23,5.99,6.02,5.8,5.85,1890290,5.073,5.3591
2020-04-24,5.82,5.95,5.73,5.94,1855260,5.15,5.4144
2020-04-27,6.01,6.02,5.85,5.88,1103270,5.23,5.4587
2020-04-28,5.88,5.88,5.75,5.82,933630,5.322,5.4931
2020-04-29,5.82,5.83,5.66,5.71,1808300,5.4145,5.5138
2020-05-04,5.61,5.61,5.37,5.37,2091820,5.477,5.5001
2020-05-05,5.47,5.68,5.37,5.5,1106130,5.532,5.5001
2020-05-06,5.57,5.68,5.54,5.68,1493960,5.5815,5.5172
2020-05-07,5.64,5.87,5.61,5.85,1966780,5.625,5.5489
