time,open,high,low,close,volume,SMA_20,EMA_20
2020-11-23,13.57,13.57,10.38,11.97,217100,,
2020-11-24,12.37,12.37,12.37,12.37,2500,,
2020-11-25,12.37,12.37,12.37,12.37,0,,
2020-11-26,12.37,12.37,10.54,10.54,2500,,
2020-11-27,10.94,10.54,10.54,10.54,0,,
2020-11-30,10.78,10.78,9.34,9.34,2600,,
2020-12-01,9.1,9.58,9.1,9.58,11700,,
2020-12-02,7.98,7.98,7.98,7.98,3000,,
2020-12-03,6.87,6.87,6.87,6.87,1500,,
2020-12-04,7.82,7.82,7.82,7.82,100,,
2020-12-07,8.14,8.14,8.14,8.14,100,,
2020-12-08,8.14,8.14,8.14,8.14,0,,
2020-12-09,8.22,8.78,8.14,8.78,20900,,
2020-12-10,8.14,8.78,8.78,8.78,0,,
2020-12-11,8.14,8.78,8.78,8.78,0,,
2020-12-14,8.14,8.14,7.98,8.14,11000,,
2020-12-15,6.94,6.94,6.94,6.94,2000,,
2020-12-16,6.94,6.94,6.94,6.94,0,,
2020-12-17,6.94,6.94,6.94,6.94,0,,
2020-12-18,6.63,6.63,6.39,6.39,6800,8.8675,8.6108
2020-12-21,7.34,7.34,7.34,7.34,300,8.636,8.4898
2020-12-22,6.31,6.31,6.31,6.31,9005,8.333,8.2822
2020-12-23,6.31,6.31,6.31,6.31,0,8.03,8.0943
2020-12-24,5.51,5.51,5.51,5.51,400,7.7785,7.8482
2020-12-25,5.51,5.51,5.51,5.51,0,7.527,7.6255
2020-12-28,5.51,5.51,5.51,5.51,0,7.3355,7.424
2020-12-29,4.95,6.31,4.95,6.31,500,7.172,7.3179
2020-12-30,5.19,6.31,6.31,6.31,0,7.0885,7.222
2020-12-31,5.19,6.31,6.31,6.31,0,7.0605,7.1351
2021-01-04,5.19,6.31,6.31,6.31,0,6.985,7.0565
2021-01-05,5.91,5.91,5.91,5.91,100,6.8735,6.9473
2021-01-06,6.79,6.79,6.79,6.79,100,6.806,6.9323
2021-01-07,7.74,7.74,7.74,7.74,10000,6.754,7.0093
2021-01-08,8.86,8.86,8.86,8.86,1000,6.758,7.1855
2021-01-11,10.14,10.14,10.14,10.14,100,6.826,7.4669
2021-01-12,10.14,10.14,10.14,10.14,500,6.926,7.7215
2021-01-13,10.14,10.14,10.14,10.14,0,7.086,7.9518
2021-01-14,10.14,10.14,10.14,10.14,0,7.246,8.1602
2021-01-15,9.5,9.5,9.5,9.5,2000,7.374,8.2878
