time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,5.62,5.75,5.75,5.75,0,,
2020-01-03,5.62,5.62,5.62,5.62,200,,
2020-01-06,5.62,5.62,5.62,5.62,0,,
2020-01-07,5.62,5.62,5.62,5.62,0,,
2020-01-08,5.62,5.62,5.62,5.62,0,,
2020-01-09,4.79,4.79,4.79,4.79,100,,
2020-01-10,4.79,4.79,4.79,4.79,0,,
2020-01-13,5.17,5.17,5.14,5.14,1050,,
2020-01-14,5.14,5.14,5.14,5.14,0,,
2020-01-15,5.3,5.3,5.3,5.3,1000,,
2020-01-16,5.3,5.3,5.3,5.3,0,,
2020-01-17,5.3,5.3,5.3,5.3,0,,
2020-01-20,5.43,5.43,5.43,5.43,800,,
2020-01-21,5.43,5.46,5.43,5.46,700,,
2020-01-22,5.46,5.46,5.46,5.46,0,,
2020-01-30,5.46,5.46,5.46,5.46,1000,,
2020-01-31,5.46,5.49,5.46,5.46,2800,,
2020-02-03,5.46,5.46,5.46,5.46,1800,,
2020-02-04,4.66,5.46,4.66,5.46,200,,
2020-02-05,5.08,5.46,5.46,5.46,0,5.382,5.4426
2020-02-06,5.14,5.3,5.14,5.3,500,5.3595,5.429
2020-02-07,5.46,5.46,5.46,5.46,100,5.3515,5.432
2020-02-10,5.46,5.46,5.46,5.46,0,5.3435,5.4347
2020-02-11,4.75,5.46,4.75,5.46,200,5.3355,5.4371
2020-02-12,5.3,5.46,5.3,5.46,305,5.3275,5.4393
2020-02-13,5.4,5.4,5.4,5.4,750,5.358,5.4355
2020-02-14,4.59,5.4,4.59,5.4,200,5.3885,5.4321
2020-02-17,5.37,5.46,5.37,5.46,300,5.4045,5.4348
2020-02-18,5.53,5.53,5.53,5.53,1000,5.424,5.4439
2020-02-19,5.53,5.53,5.53,5.53,0,5.4355,5.4521
2020-02-20,5.14,5.53,5.14,5.53,200,5.447,5.4595
2020-02-21,5.46,5.46,5.46,5.46,200,5.455,5.4595
2020-02-24,5.46,5.46,5.46,5.46,60,5.4565,5.4596
2020-02-25,5.46,5.46,5.46,5.46,0,5.4565,5.4596
2020-02-26,4.66,5.37,4.66,5.37,200,5.452,5.4511
2020-02-27,5.46,5.46,5.46,5.46,800,5.452,5.4519
2020-02-28,5.46,5.46,5.46,5.46,0,5.452,5.4527
2020-03-02,4.98,5.37,4.98,5.37,200,5.4475,5.4448
2020-03-03,5.17,5.37,5.37,5.37,0,5.443,5.4377
2020-03-04,5.17,5.37,5.37,5.37,0,5.4385,5.4312
2020-03-05,5.53,5.53,5.53,5.53,500,5.45,5.4407
2020-03-06,4.72,5.75,4.72,5.75,250,5.4645,5.4701
2020-03-09,5.04,5.17,4.82,4.82,3300,5.4325,5.4082
2020-03-10,4.82,4.82,4.53,4.53,4200,5.386,5.3246
2020-03-11,4.85,4.85,4.79,4.79,3200,5.3525,5.2737
2020-03-12,4.79,4.82,4.79,4.82,4300,5.3235,5.2304
2020-03-13,4.79,4.79,4.21,4.21,2800,5.264,5.1333
2020-03-16,4.82,4.82,4.82,4.82,1100,5.232,5.1034
2020-03-17,4.82,4.82,4.72,4.75,2739,5.193,5.0698
2020-03-18,4.88,4.88,4.82,4.82,700,5.1575,5.046
2020-03-19,4.82,4.82,4.79,4.82,2140,5.122,5.0245
2020-03-20,4.79,4.79,4.75,4.75,12200,5.0865,4.9983
2020-03-23,4.79,4.79,4.75,4.75,7900,5.051,4.9747
2020-03-24,4.08,4.21,4.08,4.11,600,4.9835,4.8923
2020-03-25,3.63,4.66,3.63,4.66,200,4.948,4.8702
2020-03-26,3.69,4.5,3.69,4.5,200,4.9,4.8349
2020-03-27,3.73,4.11,3.73,4.08,400,4.831,4.763
2020-03-30,4.02,4.08,4.08,4.08,0,4.7665,4.698
2020-03-31,4.08,4.08,4.02,4.02,800,4.699,4.6334
2020-04-01,3.5,3.5,3.5,3.5,100,4.6055,4.5255
2020-04-03,3.5,3.5,3.5,3.5,100,4.504,4.4278
2020-04-06,4.02,4.02,4.02,4.02,100,4.4175,4.389
2020-04-07,4.4,4.59,4.4,4.59,700,4.406,4.4081
2020-04-08,4.56,4.59,4.59,4.59,0,4.409,4.4254
2020-04-09,4.56,4.56,4.56,4.56,1010,4.3975,4.4383
2020-04-10,4.56,4.56,4.56,4.56,0,4.3845,4.4498
2020-04-13,4.08,4.08,4.08,4.08,100,4.378,4.4146
2020-04-14,4.08,4.08,4.08,4.08,0,4.341,4.3828
2020-04-15,4.5,4.69,4.5,4.69,200,4.338,4.412
2020-04-16,4.34,4.72,4.34,4.72,400,4.333,4.4413
2020-04-17,4.72,4.72,4.72,4.72,500,4.328,4.4679
2020-04-20,4.72,4.72,4.72,4.72,10,4.3265,4.4919
2020-04-21,4.82,4.82,4.82,4.82,200,4.33,4.5231
2020-04-22,4.88,4.88,4.88,4.88,100,4.3685,4.5571
2020-04-23,4.88,4.88,4.88,4.88,300,4.3795,4.5879
2020-04-24,4.82,4.88,4.82,4.88,3500,4.3985,4.6157
2020-04-27,4.98,4.98,4.98,4.98,600,4.4435,4.6504
