time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,8.19,8.19,8.19,8.19,0,,
2020-01-03,8.19,8.19,8.19,8.19,0,,
2020-01-06,8.19,8.19,8.19,8.19,0,,
2020-01-07,8.19,8.19,8.19,8.19,0,,
2020-01-08,8.19,8.19,8.19,8.19,0,,
2020-01-09,8.19,8.19,8.19,8.19,0,,
2020-01-10,8.19,8.19,8.19,8.19,0,,
2020-01-13,8.19,8.19,8.19,8.19,0,,
2020-01-14,8.19,8.19,8.19,8.19,0,,
2020-01-15,8.19,8.19,8.19,8.19,0,,
2020-01-16,8.9,8.9,8.9,8.9,900,,
2020-01-17,8.9,8.9,8.9,8.9,0,,
2020-01-20,8.9,8.9,8.9,8.9,0,,
2020-01-21,8.9,8.9,8.9,8.9,0,,
2020-01-22,8.9,8.9,8.9,8.9,0,,
2020-01-30,8.9,8.9,8.9,8.9,0,,
2020-01-31,8.9,8.9,8.9,8.9,0,,
2020-02-03,8.9,8.9,8.9,8.9,500,,
2020-02-04,8.9,8.9,8.9,8.9,0,,
2020-02-05,8.9,8.9,8.9,8.9,0,8.545,8.639
2020-02-06,8.9,8.9,8.9,8.9,0,8.5805,8.6639
2020-02-07,8.9,8.9,8.9,8.9,0,8.616,8.6864
2020-02-10,8.9,8.9,8.9,8.9,0,8.6515,8.7067
2020-02-11,8.9,8.9,8.9,8.9,0,8.687,8.7251
2020-02-12,8.9,8.9,8.9,8.9,0,8.7225,8.7418
2020-02-13,8.9,8.9,8.9,8.9,0,8.758,8.7568
2020-02-14,8.9,8.9,8.9,8.9,0,8.7935,8.7705
2020-02-17,8.9,8.9,8.9,8.9,0,8.829,8.7828
2020-02-18,8.9,8.9,8.9,8.9,0,8.8645,8.794
2020-02-19,8.9,8.9,8.9,8.9,0,8.9,8.8041
2020-02-20,8.9,8.9,8.9,8.9,0,8.9,8.8132
2020-02-21,8.9,8.9,8.9,8.9,0,8.9,8.8215
2020-02-24,8.9,8.9,8.9,8.9,0,8.9,8.829
2020-02-25,8.9,8.9,8.9,8.9,0,8.9,8.8357
2020-02-26,8.9,8.9,8.9,8.9,0,8.9,8.8418
2020-02-27,8.9,8.9,8.9,8.9,0,8.9,8.8474
2020-02-28,8.9,8.9,8.9,8.9,0,8.9,8.8524
2020-03-02,8.9,8.9,8.9,8.9,0,8.9,8.8569
2020-03-03,8.9,8.9,8.9,8.9,0,8.9,8.861
2020-03-04,8.9,8.9,8.9,8.9,0,8.9,8.8647
2020-03-05,8.9,8.9,8.9,8.9,0,8.9,8.8681
2020-03-06,8.9,8.9,8.9,8.9,0,8.9,8.8711
2020-03-09,8.9,8.9,8.9,8.9,0,8.9,8.8739
2020-03-10,8.9,8.9,8.9,8.9,0,8.9,8.8764
2020-03-11,8.9,8.9,8.9,8.9,0,8.9,8.8786
2020-03-12,8.9,8.9,8.9,8.9,0,8.9,8.8807
2020-03-13,8.9,8.9,8.9,8.9,0,8.9,8.8825
2020-03-16,8.9,8.9,8.9,8.9,0,8.9,8.8842
2020-03-17,8.9,8.9,8.9,8.9,0,8.9,8.8857
2020-03-18,8.9,8.9,8.9,8.9,0,8.9,8.887
2020-03-19,8.9,8.9,8.9,8.9,0,8.9,8.8883
2020-03-20,8.9,8.9,8.9,8.9,0,8.9,8.8894
2020-03-23,8.9,8.9,8.9,8.9,0,8.9,8.8904
2020-03-24,8.9,8.9,8.9,8.9,0,8.9,8.8913
2020-03-25,8.9,8.9,8.9,8.9,0,8.9,8.8921
2020-03-26,8.9,8.9,8.9,8.9,0,8.9,8.8929
2020-03-27,8.9,8.9,8.9,8.9,0,8.9,8.8936
2020-03-30,8.9,8.9,8.9,8.9,0,8.9,8.8942
2020-03-31,8.9,8.9,8.9,8.9,700,8.9,8.8947
2020-04-01,8.9,8.9,8.9,8.9,0,8.9,8.8952
2020-04-03,8.9,8.9,8.9,8.9,0,8.9,8.8957
