time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,9.11,9.11,9.11,9.11,0,,
2020-01-03,9.11,9.11,9.11,9.11,0,,
2020-01-06,9.11,9.11,9.11,9.11,0,,
2020-01-07,9.11,9.11,9.11,9.11,0,,
2020-01-08,9.11,9.11,9.11,9.11,0,,
2020-01-09,9.11,9.11,9.11,9.11,0,,
2020-01-10,9.11,9.11,9.11,9.11,0,,
2020-01-13,9.11,9.11,9.11,9.11,0,,
2020-01-14,9.11,9.11,9.11,9.11,0,,
2020-01-15,9.49,9.49,9.49,9.49,100,,
2020-01-16,9.49,9.49,9.49,9.49,0,,
2020-01-17,9.49,9.49,9.49,9.49,0,,
2020-01-20,9.49,9.49,9.49,9.49,0,,
2020-01-21,9.49,9.49,9.49,9.49,0,,
2020-01-22,9.49,9.49,9.49,9.49,0,,
2020-01-30,9.49,9.49,9.49,9.49,0,,
2020-01-31,9.49,9.57,9.49,9.57,1000,,
2020-02-03,9.57,9.57,9.57,9.57,0,,
2020-02-04,9.18,9.18,9.18,9.18,1000,,
2020-02-05,9.18,9.18,9.18,9.18,0,9.296,9.3193
2020-02-06,9.18,9.18,9.18,9.18,0,9.2995,9.306
2020-02-07,9.18,9.18,9.18,9.18,0,9.303,9.294
2020-02-10,9.18,9.18,9.18,9.18,0,9.3065,9.2831
2020-02-11,9.18,9.18,9.18,9.18,1000,9.31,9.2733
2020-02-12,9.18,9.18,9.18,9.18,0,9.3135,9.2644
2020-02-13,9.18,9.18,9.18,9.18,2300,9.317,9.2564
2020-02-14,9.18,9.18,9.18,9.18,0,9.3205,9.2491
2020-02-17,9.18,9.18,9.18,9.18,0,9.324,9.2425
2020-02-18,9.18,9.18,9.18,9.18,0,9.3275,9.2366
2020-02-19,9.18,9.18,9.18,9.18,0,9.312,9.2312
2020-02-20,9.18,9.18,9.18,9.18,0,9.2965,9.2263
2020-02-21,9.18,9.18,9.18,9.18,0,9.281,9.2219
2020-02-24,9.18,9.18,9.18,9.18,0,9.2655,9.2179
2020-02-25,9.18,9.18,9.18,9.18,0,9.25,9.2143
2020-02-26,9.18,9.18,9.18,9.18,0,9.2345,9.211
2020-02-27,9.18,9.18,9.18,9.18,0,9.219,9.2081
2020-02-28,9.18,9.18,9.18,9.18,0,9.1995,9.2054
2020-03-02,9.18,9.18,9.18,9.18,0,9.18,9.203
2020-03-03,9.18,9.18,9.18,9.18,0,9.18,9.2008
2020-03-04,9.18,9.18,9.18,9.18,0,9.18,9.1988
2020-03-05,9.18,9.18,9.18,9.18,0,9.18,9.197
2020-03-06,9.18,9.18,9.18,9.18,0,9.18,9.1954
2020-03-09,9.18,9.18,9.18,9.18,0,9.18,9.1939
2020-03-10,9.18,9.18,9.18,9.18,0,9.18,9.1926
2020-03-11,9.18,9.18,9.18,9.18,0,9.18,9.1914
2020-03-12,9.18,9.18,9.18,9.18,0,9.18,9.1903
2020-03-13,9.18,9.18,9.18,9.18,0,9.18,9.1893
2020-03-16,9.18,9.18,9.18,9.18,0,9.18,9.1884
2020-03-17,9.18,9.18,9.18,9.18,0,9.18,9.1876
2020-03-18,9.87,9.87,9.87,9.87,100,9.2145,9.2526
2020-03-19,9.87,9.87,9.87,9.87,2900,9.249,9.3114
2020-03-20,9.87,9.87,9.87,9.87,0,9.2835,9.3646
