time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,1.4,1.4,1.4,1.4,18016,,
2020-01-03,1.4,1.4,1.4,1.4,7600,,
2020-01-06,1.4,1.4,1.4,1.4,0,,
2020-01-07,1.4,1.4,1.4,1.4,10500,,
2020-01-08,1.3,1.4,1.3,1.4,1200,,
2020-01-09,1.3,1.4,1.3,1.4,200,,
2020-01-10,1.3,1.4,1.3,1.4,200,,
2020-01-13,1.3,1.4,1.3,1.4,40100,,
2020-01-14,1.3,1.4,1.3,1.3,710,,
2020-01-15,1.3,1.3,1.3,1.3,0,,
2020-01-16,1.3,1.4,1.3,1.4,200,,
2020-01-17,1.4,1.4,1.4,1.4,0,,
2020-01-20,1.3,1.4,1.3,1.4,15310,,
2020-01-21,1.3,1.4,1.3,1.4,4200,,
2020-01-22,1.3,1.4,1.3,1.3,9100,,
2020-01-30,1.3,1.4,1.3,1.4,700,,
2020-01-31,1.3,1.4,1.3,1.4,5300,,
2020-02-03,1.3,1.3,1.3,1.3,31900,,
2020-02-04,1.3,1.3,1.3,1.3,14600,,
2020-02-05,1.2,1.3,1.2,1.3,5300,1.37,1.3616
2020-02-06,1.3,1.3,1.3,1.3,900,1.365,1.3558
2020-02-07,1.3,1.3,1.3,1.3,1800,1.36,1.3504
2020-02-10,1.3,1.3,1.3,1.3,0,1.355,1.3456
2020-02-11,1.3,1.3,1.2,1.3,20100,1.35,1.3413
2020-02-12,1.3,1.3,1.3,1.3,15410,1.345,1.3374
2020-02-13,1.3,1.3,1.3,1.3,51100,1.34,1.3338
2020-02-14,1.3,1.3,1.3,1.3,58500,1.335,1.3306
2020-02-17,1.3,1.3,1.3,1.3,148300,1.33,1.3277
2020-02-18,1.3,1.3,1.3,1.3,1310,1.33,1.325
2020-02-19,1.3,1.3,1.3,1.3,200,1.33,1.3227
2020-02-20,1.3,1.4,1.3,1.4,69080,1.33,1.33
2020-02-21,1.4,1.5,1.4,1.5,429620,1.335,1.3462
2020-02-24,1.6,1.6,1.4,1.4,16700,1.335,1.3513
2020-02-25,1.4,1.5,1.4,1.5,27152,1.34,1.3655
2020-02-26,1.4,1.4,1.4,1.4,14900,1.345,1.3688
2020-02-27,1.3,1.4,1.3,1.3,226931,1.34,1.3622
2020-02-28,1.3,1.4,1.2,1.4,54400,1.34,1.3658
2020-03-02,1.3,1.4,1.3,1.4,2100,1.345,1.3691
2020-03-03,1.3,1.4,1.3,1.3,105200,1.345,1.3625
2020-03-04,1.4,1.4,1.2,1.3,29325,1.345,1.3565
2020-03-05,1.3,1.4,1.2,1.3,16400,1.345,1.3512
2020-03-06,1.3,1.4,1.2,1.4,169851,1.35,1.3558
2020-03-09,1.3,1.4,1.3,1.3,83900,1.35,1.3505
2020-03-10,1.2,1.4,1.2,1.3,36820,1.35,1.3457
