time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,10.58,10.76,10.49,10.58,94200,,
2020-01-03,10.4,10.58,10.4,10.58,61800,,
2020-01-06,10.49,10.76,10.4,10.58,48600,,
2020-01-07,10.58,10.67,10.49,10.67,86050,,
2020-01-08,10.67,10.85,10.49,10.76,75760,,
2020-01-09,10.76,10.76,10.58,10.67,50840,,
2020-01-10,10.67,10.76,10.49,10.76,57950,,
2020-01-13,10.67,10.85,10.58,10.85,166600,,
2020-01-14,10.85,11.02,10.67,10.93,134920,,
2020-01-15,10.93,11.11,10.85,10.85,39900,,
2020-01-16,10.76,10.93,10.58,10.58,129821,,
2020-01-17,10.58,10.76,10.49,10.67,83000,,
2020-01-20,10.67,11.02,10.67,11.02,133629,,
2020-01-21,10.93,11.29,10.85,11.29,94720,,
2020-01-22,11.11,11.46,11.11,11.46,87310,,
2020-01-30,11.37,11.55,11.2,11.2,54900,,
2020-01-31,11.29,11.37,11.02,11.02,62400,,
2020-02-03,10.93,11.11,10.67,10.85,78800,,
2020-02-04,10.76,10.93,10.58,10.85,68500,,
2020-02-05,10.93,10.93,10.67,10.85,54500,10.851,10.8738
2020-02-06,10.85,10.85,10.67,10.76,62500,10.86,10.8629
2020-02-07,10.76,11.11,10.67,10.93,83501,10.8775,10.8693
2020-02-10,10.85,11.11,10.85,10.93,63800,10.895,10.8751
2020-02-11,10.93,11.11,10.76,11.02,72200,10.9125,10.8889
2020-02-12,11.02,11.2,11.02,11.2,56900,10.9345,10.9185
2020-02-13,11.11,11.29,11.02,11.11,66400,10.9565,10.9368
2020-02-14,11.11,11.46,11.02,11.29,505900,10.983,10.9704
2020-02-17,11.29,11.46,11.02,11.02,176700,10.9915,10.9751
2020-02-18,11.02,11.2,10.76,11.02,131060,10.996,10.9794
2020-02-19,11.02,11.2,10.67,11.02,160230,11.0045,10.9833
2020-02-20,10.93,11.2,10.85,11.2,128300,11.0355,11.0039
2020-02-21,11.11,11.2,11.02,11.11,51700,11.0575,11.014
2020-02-24,11.11,11.11,10.76,10.76,71300,11.0445,10.9898
2020-02-25,10.76,11.02,10.67,11.02,85400,11.031,10.9927
2020-02-26,10.93,11.11,10.93,11.11,60782,11.0135,11.0039
2020-02-27,11.02,11.2,10.93,11.2,83000,11.0135,11.0225
2020-02-28,11.11,11.29,10.85,11.02,140700,11.0135,11.0223
2020-03-02,11.11,11.29,11.02,11.29,71920,11.0355,11.0478
2020-03-03,11.2,12.17,11.11,12.17,489990,11.1015,11.1547
2020-03-04,12.17,12.26,11.46,11.73,320250,11.1455,11.2095
2020-03-05,11.64,11.99,11.37,11.73,237000,11.194,11.259
2020-03-06,11.55,11.64,11.2,11.64,295980,11.2295,11.2953
2020-03-09,11.37,11.46,10.85,11.46,341810,11.256,11.311
2020-03-10,11.37,12.43,11.37,12.26,845900,11.318,11.4014
2020-03-11,12.26,12.34,11.82,11.9,524300,11.353,11.4489
2020-03-12,11.82,12.08,11.64,11.64,358580,11.3795,11.4671
2020-03-13,11.55,11.73,11.02,11.64,224942,11.397,11.4835
2020-03-16,11.55,11.55,11.2,11.46,162045,11.419,11.4813
2020-03-17,11.37,11.55,11.2,11.55,155600,11.4455,11.4878
2020-03-18,11.46,11.9,11.37,11.37,344226,11.463,11.4766
2020-03-19,11.46,11.55,11.2,11.29,74000,11.4675,11.4588
2020-03-20,11.37,11.9,11.37,11.64,104325,11.494,11.4761
2020-03-23,11.64,11.64,11.2,11.55,80200,11.5335,11.4831
2020-03-24,11.46,11.82,11.46,11.82,65150,11.5735,11.5152
2020-03-25,11.73,11.99,11.64,11.64,184417,11.6,11.5271
2020-03-26,11.64,11.82,11.55,11.73,77365,11.6265,11.5464
2020-03-27,11.73,11.99,11.64,11.82,132150,11.6665,11.5725
2020-03-30,11.82,11.99,11.64,11.64,133575,11.684,11.5789
