time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,9.58,9.58,9.58,9.58,0,,
2020-01-03,9.58,9.58,9.58,9.58,0,,
2020-01-06,8.3,8.3,8.23,8.3,700,,
2020-01-07,8.3,8.3,8.3,8.3,8,,
2020-01-08,8.3,8.3,8.3,8.3,0,,
2020-01-09,8.3,8.3,8.3,8.3,0,,
2020-01-10,8.3,8.3,8.3,8.3,0,,
2020-01-13,8.3,8.3,8.3,8.3,0,,
2020-01-14,8.3,8.3,8.3,8.3,0,,
2020-01-15,7.32,7.32,7.32,7.32,400,,
2020-01-16,8.38,8.38,8.38,8.38,900,,
2020-01-17,8.38,8.38,8.38,8.38,0,,
2020-01-20,8.38,8.38,8.38,8.38,0,,
2020-01-21,9.58,9.58,9.58,9.58,100,,
2020-01-22,9.58,9.58,9.58,9.58,0,,
2020-01-30,8.23,8.23,8.23,8.23,100,,
2020-01-31,8.23,8.23,8.23,8.23,0,,
2020-02-03,8.23,8.23,8.23,8.23,0,,
2020-02-04,9.21,9.21,9.21,9.21,210,,
2020-02-05,9.21,9.21,9.21,9.21,0,8.5995,8.7783
2020-02-06,9.21,9.21,9.21,9.21,112,8.581,8.8194
2020-02-07,10.11,10.19,10.11,10.19,300,8.6115,8.9499
2020-02-10,10.19,10.49,10.19,10.49,300,8.721,9.0966
2020-02-11,11.92,11.92,11.92,11.92,100,8.902,9.3655
2020-02-12,11.92,11.92,11.92,11.92,10,9.083,9.6088
2020-02-13,11.92,11.92,11.92,11.92,0,9.264,9.8289
2020-02-14,11.92,11.92,11.92,11.92,0,9.445,10.028
2020-02-17,13.58,13.58,13.58,13.58,100,9.709,10.3663
2020-02-18,13.58,13.58,13.58,13.58,0,9.973,10.6724
2020-02-19,13.58,13.58,13.58,13.58,0,10.286,10.9493
2020-02-20,13.58,13.58,13.58,13.58,0,10.546,11.1998
2020-02-21,13.58,13.58,13.58,13.58,0,10.806,11.4265
2020-02-24,13.58,13.58,13.58,13.58,0,11.066,11.6316
2020-02-25,13.58,13.58,13.58,13.58,0,11.266,11.8172
2020-02-26,12.07,12.07,12.07,12.07,100,11.3905,11.8413
2020-02-27,12.07,12.07,12.07,12.07,0,11.5825,11.863
2020-02-28,12.07,12.07,12.07,12.07,0,11.7745,11.8828
2020-03-02,12.07,12.07,12.07,12.07,0,11.9665,11.9006
2020-03-03,12.07,12.07,12.07,12.07,0,12.1095,11.9167
2020-03-04,12.07,12.07,12.07,12.07,0,12.2525,11.9313
2020-03-05,13.51,13.51,13.51,13.51,200,12.4675,12.0817
2020-03-06,13.51,13.51,13.51,13.51,0,12.6335,12.2177
2020-03-09,12.83,12.83,12.83,12.83,100,12.7505,12.276
2020-03-10,12.83,12.83,12.83,12.83,0,12.796,12.3288
2020-03-11,12.83,12.83,12.83,12.83,0,12.8415,12.3765
2020-03-12,12.83,12.83,12.83,12.83,0,12.887,12.4197
2020-03-13,12.83,12.83,12.83,12.83,0,12.9325,12.4588
2020-03-16,10.94,10.94,10.94,10.94,100,12.8005,12.3141
2020-03-17,12.45,12.45,12.45,12.45,100,12.744,12.3271
2020-03-18,10.64,10.64,10.64,10.64,100,12.597,12.1664
2020-03-19,9.43,9.43,9.43,9.43,100,12.3895,11.9058
2020-03-20,9.43,9.43,9.43,9.43,0,12.182,11.67
2020-03-23,8.23,8.23,8.23,8.23,200,11.9145,11.3424
2020-03-24,8.23,8.23,8.23,8.23,0,11.647,11.046
2020-03-25,8.23,8.23,8.23,8.23,0,11.455,10.7778
2020-03-26,8.23,8.23,7.17,7.17,300,11.21,10.4342
2020-03-27,7.85,7.17,7.17,7.17,0,10.965,10.1233
2020-03-30,7.85,7.17,7.17,7.17,0,10.72,9.842
2020-03-31,8.9,8.9,8.9,8.9,207,10.5615,9.7523
2020-04-01,10.19,10.19,10.19,10.19,300,10.4675,9.794
2020-04-03,11.32,11.62,11.32,11.32,3400,10.358,9.9393
2020-04-06,9.81,13.05,9.81,12.98,2300,10.3315,10.2289
2020-04-07,12.07,13.96,12.07,13.96,1600,10.388,10.5843
2020-04-08,14.49,14.64,12.75,13.96,7500,10.4445,10.9058
2020-04-09,14.56,13.96,13.96,13.96,0,10.501,11.1966
2020-04-10,14.56,14.56,14.56,14.56,200,10.5875,11.517
2020-04-13,12.45,12.45,12.45,12.45,7007,10.5685,11.6058
2020-04-14,12.45,12.45,12.45,12.45,0,10.644,11.6862
2020-04-15,10.64,10.64,10.64,10.64,600,10.5535,11.5866
2020-04-16,12.07,12.07,12.07,12.07,100,10.625,11.6326
2020-04-17,12.07,12.07,12.07,12.07,0,10.757,11.6743
2020-04-20,12.07,12.07,12.07,12.07,0,10.889,11.712
2020-04-21,12.07,12.07,12.07,12.07,10,11.081,11.7461
2020-04-22,12.07,12.07,12.07,12.07,0,11.273,11.7769
2020-04-23,10.41,12.98,10.41,12.98,600,11.5105,11.8915
2020-04-24,12.53,12.98,12.98,12.98,0,11.801,11.9952
2020-04-27,12.53,12.98,12.98,12.98,0,12.0915,12.089
2020-04-28,10.79,10.79,10.79,10.79,100,12.2725,11.9652
2020-04-29,12.07,12.38,12.07,12.38,400,12.4465,12.0047
2020-05-04,12.22,12.22,12.22,12.38,100,12.556,12.0405
2020-05-05,12.07,12.07,12.07,12.07,500,12.5935,12.0433
2020-05-06,12.68,12.68,12.68,12.68,200,12.5785,12.1039
2020-05-07,12.68,12.68,12.68,12.68,0,12.5145,12.1588
2020-05-08,12.07,12.07,12.07,12.07,110,12.42,12.1503
2020-05-11,12.07,12.07,12.07,12.07,30,12.3255,12.1427
2020-05-12,10.41,10.41,10.41,10.41,147,12.118,11.9777
2020-05-13,10.41,10.41,10.41,10.41,8,12.016,11.8284
2020-05-14,10.41,10.41,10.41,10.41,0,11.914,11.6933
2020-05-15,11.92,11.92,11.92,11.92,500,11.978,11.7149
2020-05-18,13.58,13.58,13.58,13.58,100,12.0535,11.8925
2020-05-19,13.58,13.58,13.58,13.58,47,12.129,12.0532
2020-05-20,13.58,13.58,13.58,13.58,0,12.2045,12.1986
2020-05-21,13.58,13.58,13.58,13.58,0,12.28,12.3302
2020-05-22,13.58,13.58,13.58,13.58,10,12.3555,12.4492
2020-05-25,13.58,13.58,13.58,13.58,0,12.3855,12.5569
2020-05-26,13.58,13.58,13.58,13.58,0,12.4155,12.6543
2020-05-27,13.58,13.58,13.58,13.58,0,12.4455,12.7425
2020-05-28,13.58,13.58,13.58,13.58,0,12.585,12.8223
2020-05-29,13.58,13.58,13.58,13.58,0,12.645,12.8944
2020-06-01,13.58,13.58,13.58,13.58,0,12.705,12.9597
2020-06-02,13.58,13.58,13.58,13.58,0,12.7805,13.0188
2020-06-03,12.07,12.07,11.7,11.7,200,12.7315,12.8932
2020-06-04,11.92,11.92,11.92,11.7,47,12.6825,12.7796
2020-06-05,12.45,12.45,12.45,12.45,200,12.7015,12.7482
2020-06-08,12.45,12.45,12.45,12.45,600,12.7205,12.7198
2020-06-09,12.6,12.6,12.6,12.6,900,12.83,12.7084
2020-06-10,12.6,12.6,12.6,12.6,207,12.9395,12.698
2020-06-11,12.6,12.6,12.6,12.6,0,13.049,12.6887
2020-06-12,12.6,12.6,12.6,12.6,0,13.083,12.6803
2020-06-15,12.45,12.45,12.45,12.45,2000,13.0265,12.6583
2020-06-16,12.45,12.45,12.07,12.07,4018,12.951,12.6023
2020-06-17,12.15,12.15,12.15,12.07,40,12.8755,12.5516
2020-06-18,12.15,12.15,12.15,12.07,37,12.8,12.5057
2020-06-19,12.15,12.07,12.07,12.07,0,12.7245,12.4642
2020-06-22,12.15,12.07,12.07,12.07,0,12.649,12.4267
2020-06-23,12.45,12.45,12.22,12.22,1700,12.581,12.407
2020-06-24,12.38,12.38,12.38,12.38,140,12.521,12.4044
2020-06-25,12.45,12.45,12.45,12.45,300,12.4645,12.4088
2020-06-26,12.45,12.45,12.45,12.45,0,12.408,12.4127
2020-06-29,12.45,12.45,12.45,12.45,0,12.3515,12.4163
2020-06-30,12.45,12.45,12.45,12.45,0,12.295,12.4195
2020-07-01,12.45,12.45,12.45,12.45,300,12.3325,12.4224
