time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,5.38,5.44,5.38,5.41,115500,,
2020-01-03,5.41,5.42,5.39,5.41,102660,,
2020-01-06,5.41,5.41,5.15,5.26,106330,,
2020-01-07,5.26,5.32,5.26,5.26,112900,,
2020-01-08,5.26,5.26,5.15,5.16,111340,,
2020-01-09,5.16,5.18,5.16,5.16,141300,,
2020-01-10,5.16,5.19,5.16,5.19,122160,,
2020-01-13,5.19,5.21,5.19,5.2,112250,,
2020-01-14,5.19,5.31,5.19,5.31,150170,,
2020-01-15,5.31,5.32,5.31,5.32,114200,,
2020-01-16,5.32,5.49,5.32,5.46,199350,,
2020-01-17,5.46,5.49,5.43,5.46,92660,,
2020-01-20,5.46,5.48,5.4,5.45,116830,,
2020-01-21,5.45,5.54,5.45,5.48,160880,,
2020-01-22,5.48,5.49,5.43,5.48,129880,,
2020-01-30,5.48,5.48,5.45,5.46,125850,,
2020-01-31,5.45,5.46,5.36,5.4,147160,,
2020-02-03,5.37,5.39,5.04,5.17,120920,,
2020-02-04,5.17,5.19,5.12,5.15,114910,,
2020-02-05,5.15,5.26,5.15,5.15,195230,5.317,5.3256
2020-02-06,5.04,5.49,5.04,5.38,315010,5.3155,5.3308
2020-02-07,5.37,5.65,5.26,5.63,246470,5.3265,5.3593
2020-02-10,5.63,6.02,5.26,6.02,325740,5.3645,5.4222
2020-02-11,6.02,6.02,5.93,5.99,315020,5.401,5.4763
2020-02-12,5.93,6.02,5.74,6.02,251240,5.444,5.528
2020-02-13,5.85,6.16,5.85,6.02,264470,5.487,5.5749
2020-02-14,5.91,6.19,5.91,6.16,315160,5.5355,5.6306
2020-02-17,6.16,6.21,6.05,6.13,157950,5.582,5.6782
2020-02-18,6.05,6.55,5.99,6.55,132330,5.644,5.7612
2020-02-19,6.94,6.97,6.61,6.77,224160,5.7165,5.8573
2020-02-20,6.77,7.0,6.77,6.94,285030,5.7905,5.9604
2020-02-21,6.97,7.42,6.97,7.42,222920,5.8885,6.0994
2020-02-24,7.45,7.92,7.45,7.56,317100,5.994,6.2385
2020-02-25,7.28,7.89,7.28,7.59,281080,6.0995,6.3672
2020-02-26,7.59,7.92,7.45,7.78,283870,6.2145,6.5018
2020-02-27,7.84,7.89,7.7,7.89,326140,6.336,6.634
2020-02-28,7.81,7.89,7.61,7.73,242160,6.4525,6.7384
2020-03-02,7.84,7.84,7.47,7.67,214030,6.5775,6.8271
2020-03-03,7.61,7.7,7.33,7.36,223320,6.688,6.8779
2020-03-04,7.56,7.56,7.0,7.39,211660,6.8,6.9266
2020-03-05,7.39,7.45,7.33,7.42,216870,6.902,6.9736
2020-03-06,7.47,7.5,7.39,7.42,206110,6.9915,7.0161
2020-03-09,7.25,7.25,6.91,6.91,104860,7.036,7.006
2020-03-10,6.72,7.22,6.55,7.11,173010,7.092,7.0159
2020-03-11,7.59,7.59,6.66,7.31,158310,7.1565,7.0439
2020-03-12,7.28,7.42,6.8,7.17,153050,7.214,7.0559
2020-03-13,7.11,7.59,6.72,7.59,185080,7.2855,7.1068
2020-03-16,7.28,7.59,7.25,7.36,134540,7.347,7.1309
2020-03-17,7.28,7.47,7.28,7.42,164960,7.3905,7.1584
2020-03-18,7.81,7.81,7.39,7.45,218500,7.4245,7.1862
2020-03-19,7.45,7.45,7.28,7.33,205200,7.444,7.1999
2020-03-20,7.33,7.42,7.28,7.33,178930,7.4395,7.2123
2020-03-23,7.28,7.31,6.83,7.05,141940,7.414,7.1968
2020-03-24,7.11,7.14,6.94,7.05,218760,7.387,7.1829
2020-03-25,7.39,7.45,7.03,7.31,214800,7.3635,7.195
2020-03-26,7.31,7.33,7.08,7.28,268950,7.333,7.2031
2020-03-27,7.28,7.73,7.22,7.33,182900,7.313,7.2152
2020-03-30,7.22,7.22,6.83,7.14,216080,7.2865,7.208
2020-03-31,7.14,7.59,6.89,7.19,541580,7.278,7.2063
2020-04-01,7.28,7.5,7.22,7.5,732930,7.2835,7.2343
2020-04-03,7.5,7.73,7.5,7.56,197300,7.2905,7.2653
2020-04-06,7.59,7.67,7.53,7.56,263350,7.2975,7.2933
2020-04-07,7.59,7.59,7.28,7.56,370560,7.33,7.3187
2020-04-08,7.45,7.53,7.28,7.5,468730,7.3495,7.336
2020-04-09,7.5,7.56,7.39,7.5,311660,7.359,7.3516
2020-04-10,7.28,7.47,7.0,7.25,364910,7.363,7.3419
2020-04-13,7.0,7.22,6.94,7.14,110840,7.3405,7.3227
2020-04-14,6.94,7.14,6.66,7.14,243190,7.3295,7.3053
2020-04-15,7.14,7.28,7.0,7.11,90370,7.314,7.2867
2020-04-16,7.05,7.05,6.94,6.94,38130,7.2885,7.2537
2020-04-17,7.0,7.17,6.89,6.94,55530,7.269,7.2238
2020-04-20,6.94,7.39,6.89,7.03,68230,7.254,7.2054
2020-04-21,6.91,7.05,6.66,7.0,90490,7.2515,7.1858
2020-04-22,7.0,7.0,6.77,6.94,27900,7.246,7.1624
2020-04-23,7.0,7.0,6.91,6.97,96990,7.229,7.1441
2020-04-24,7.0,7.0,6.86,7.0,39540,7.215,7.1303
2020-04-27,7.03,7.03,6.72,6.94,34960,7.1955,7.1122
2020-04-28,6.94,7.0,6.69,6.91,57200,7.184,7.093
2020-04-29,6.91,6.94,6.72,6.91,37710,7.17,7.0755
2020-05-04,6.94,6.94,6.66,6.83,59450,7.1365,7.0521
2020-05-05,6.77,6.86,6.52,6.52,43370,7.0845,7.0015
2020-05-06,6.55,6.97,6.44,6.89,131720,7.051,6.9909
2020-05-07,6.89,7.0,6.77,6.97,113480,7.0215,6.9889
2020-05-08,6.97,7.0,6.89,6.89,102400,6.991,6.9795
2020-05-11,6.83,6.94,6.77,6.89,59030,6.9605,6.9709
2020-05-12,6.89,6.94,6.83,6.89,74050,6.9425,6.9632
2020-05-13,6.89,6.89,6.83,6.89,60200,6.93,6.9563
2020-05-14,6.89,6.89,6.72,6.89,70480,6.9175,6.9499
2020-05-15,6.89,6.91,6.77,6.86,69930,6.905,6.9414
2020-05-18,6.86,6.91,6.83,6.89,91140,6.9025,6.9365
2020-05-19,6.89,7.25,6.89,7.05,285460,6.908,6.9473
2020-05-20,7.05,7.31,7.05,7.28,322630,6.9205,6.979
2020-05-21,7.28,7.33,7.22,7.28,111950,6.9345,7.0076
2020-05-22,7.28,7.78,7.28,7.78,377720,6.9765,7.0812
2020-05-25,7.84,8.31,7.81,8.31,241480,7.0435,7.1982
2020-05-26,8.62,8.62,8.06,8.09,203840,7.098,7.2832
2020-05-27,7.95,8.17,7.73,7.89,283580,7.1455,7.341
2020-05-28,7.84,7.84,7.36,7.53,206230,7.1765,7.359
2020-05-29,7.36,7.84,7.28,7.67,176300,7.2145,7.3886
2020-06-01,7.5,7.78,7.14,7.64,107780,7.255,7.4125
2020-06-02,7.64,8.17,7.5,7.73,267940,7.3155,7.4428
2020-06-03,7.73,8.06,7.73,7.92,173010,7.367,7.4882
2020-06-04,7.84,8.01,7.73,7.84,104220,7.4105,7.5217
2020-06-05,7.84,8.01,7.73,7.89,206630,7.4605,7.5568
2020-06-08,7.89,7.95,7.73,7.78,145260,7.505,7.5781
2020-06-09,7.78,7.78,7.64,7.7,105250,7.5455,7.5897
2020-06-10,7.53,7.95,7.53,7.89,217330,7.5955,7.6183
