time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,49.34,49.34,49.34,49.34,0,,
2020-01-03,49.34,49.34,49.34,49.34,0,,
2020-01-06,49.34,49.34,49.34,49.34,0,,
2020-01-07,49.34,49.34,49.34,49.34,0,,
2020-01-08,49.34,49.34,49.34,49.34,0,,
2020-01-09,49.34,49.34,49.34,49.34,0,,
2020-01-10,49.34,49.34,49.34,49.34,0,,
2020-01-13,49.34,49.34,49.34,49.34,0,,
2020-01-14,49.34,49.34,49.34,49.34,0,,
2020-01-15,49.34,49.34,49.34,49.34,0,,
2020-01-16,49.34,49.34,49.34,49.34,0,,
2020-01-17,49.34,49.34,49.34,49.34,0,,
2020-01-20,49.34,49.34,49.34,49.34,0,,
2020-01-21,49.34,49.34,49.34,49.34,0,,
2020-01-22,49.34,49.34,49.34,49.34,0,,
2020-01-30,49.34,49.34,49.34,49.34,0,,
2020-01-31,49.34,49.34,49.34,49.34,0,,
2020-02-03,49.34,49.34,49.34,49.34,0,,
2020-02-04,49.34,49.34,49.34,49.34,0,,
2020-02-05,49.34,49.34,49.34,49.34,0,49.34,49.34
2020-02-06,49.34,49.34,49.34,49.34,0,49.34,49.34
2020-02-07,49.34,49.34,49.34,49.34,0,49.34,49.34
2020-02-10,49.34,49.34,49.34,49.34,0,49.34,49.34
2020-02-11,45.9,45.9,45.9,45.9,40,49.168,49.0124
2020-02-12,45.9,45.9,45.9,45.9,0,48.996,48.716
2020-02-13,45.9,45.9,45.9,45.9,0,48.824,48.4478
2020-02-14,42.7,42.7,42.7,42.7,10,48.492,47.9004
2020-02-17,39.75,42.65,39.75,39.75,140,48.0125,47.1241
2020-02-18,36.98,36.98,36.98,36.98,500,47.3945,46.158
2020-02-19,35.87,35.87,34.41,34.41,70,46.648,45.0392
2020-02-20,32.09,32.47,32.09,32.47,100,45.8045,43.8421
2020-02-21,32.47,32.47,32.47,32.47,0,44.961,42.7591
2020-02-24,32.47,32.47,32.47,32.47,0,44.1175,41.7791
2020-02-25,32.47,32.47,32.47,32.47,0,43.274,40.8926
2020-02-26,32.47,32.47,32.47,32.47,0,42.4305,40.0904
2020-02-27,32.47,32.47,32.47,32.47,0,41.587,39.3647
2020-02-28,30.34,30.34,30.34,30.34,10,40.637,38.5052
2020-03-02,30.34,30.34,30.34,30.34,0,39.687,37.7275
2020-03-03,30.34,30.34,30.34,30.34,0,38.737,37.024
2020-03-04,28.26,28.26,28.26,28.26,10,37.683,36.1893
2020-03-05,26.32,27.14,26.32,27.14,30,36.573,35.3275
2020-03-06,27.14,27.14,27.14,27.14,0,35.463,34.5477
2020-03-09,27.14,27.14,27.14,27.14,0,34.353,33.8422
2020-03-10,25.25,25.25,25.25,25.25,30,33.3205,33.0239
2020-03-11,25.25,25.25,25.25,25.25,0,32.288,32.2835
2020-03-12,25.25,25.25,25.25,25.25,0,31.2555,31.6137
2020-03-13,25.25,25.25,25.25,25.25,0,30.383,31.0076
2020-03-16,23.51,25.25,23.51,25.25,80,29.658,30.4593
2020-03-17,25.25,25.25,25.25,25.25,0,29.0715,29.9631
2020-03-18,25.25,25.25,25.25,25.25,0,28.6135,29.5143
2020-03-19,23.51,23.51,23.51,23.51,10,28.1655,28.9424
2020-03-20,25.11,25.11,25.11,25.11,70,27.7975,28.5774
2020-03-23,25.11,25.11,25.11,25.11,0,27.4295,28.2472
2020-03-24,25.11,25.11,25.11,25.11,0,27.0615,27.9484
2020-03-25,25.11,25.11,25.11,25.11,0,26.6935,27.6781
2020-03-26,25.11,25.11,25.11,25.11,0,26.3255,27.4335
2020-03-27,25.11,25.11,25.11,25.11,0,26.064,27.2122
2020-03-30,23.36,25.2,23.36,25.2,60,25.807,27.0206
2020-03-31,25.2,25.2,25.2,25.2,0,25.55,26.8472
2020-04-01,25.2,25.2,25.2,25.2,4330,25.397,26.6903
2020-04-03,25.2,25.2,25.2,25.2,0,25.3,26.5484
2020-04-06,26.95,26.95,26.17,26.95,90,25.2905,26.5866
2020-04-07,26.95,26.95,26.95,26.95,0,25.281,26.6212
2020-04-08,25.11,25.11,25.11,25.11,280,25.274,26.4773
2020-04-09,25.11,25.11,25.11,25.11,0,25.267,26.3471
2020-04-10,26.85,26.85,26.85,26.85,10,25.347,26.395
2020-04-13,26.85,28.69,26.85,28.69,70,25.519,26.6136
2020-04-14,30.68,30.68,30.68,30.68,510,25.7905,27.0008
2020-04-15,32.81,32.81,32.81,32.81,290,26.1685,27.5541
2020-04-16,35.09,35.09,32.96,35.09,230,26.6605,28.2718
2020-04-17,37.52,37.52,37.52,37.52,100,27.361,29.1526
2020-04-20,37.61,38.78,37.61,38.78,990,28.0445,30.0695
2020-04-21,38.78,38.78,37.81,37.81,500,28.6795,30.8067
2020-04-22,36.84,38.78,36.84,38.78,550,29.363,31.566
2020-04-23,41.2,41.2,36.84,40.71,780,30.143,32.4369
2020-04-24,38.29,40.71,38.29,40.23,1180,30.899,33.1791
2020-04-27,37.42,40.23,37.42,40.23,990,31.655,33.8506
2020-04-28,40.23,40.23,39.75,40.23,410,32.4065,34.4582
2020-04-29,40.23,40.71,40.23,40.23,330,33.158,35.0079
2020-05-04,38.78,39.75,38.78,39.75,800,33.8855,35.4595
2020-05-05,38.78,39.75,38.78,39.75,530,34.613,35.8681
2020-05-06,41.2,41.2,40.23,40.23,440,35.277,36.2835
2020-05-07,40.52,40.52,40.23,40.23,860,35.941,36.6594
2020-05-08,38.29,39.75,38.29,39.75,200,36.673,36.9537
2020-05-11,39.75,39.75,39.75,39.75,0,37.405,37.22
2020-05-12,36.98,39.75,36.98,39.75,50,38.05,37.461
2020-05-13,39.75,39.75,39.75,39.75,20,38.603,37.679
2020-05-14,39.75,39.75,39.75,39.75,0,39.0565,37.8762
2020-05-15,39.75,39.75,39.75,39.75,0,39.4035,38.0547
2020-05-18,39.75,39.75,39.75,39.75,0,39.6365,38.2161
2020-05-19,39.75,39.75,39.75,39.75,10,39.748,38.3622
2020-05-20,39.36,40.23,39.36,40.23,100,39.8205,38.5401
2020-05-21,40.23,40.23,40.23,40.23,0,39.9415,38.7011
2020-05-22,40.23,40.23,40.23,40.23,0,40.014,38.8467
2020-05-25,39.16,39.16,39.16,39.16,210,39.9365,38.8765
2020-05-26,39.16,39.16,38.87,38.87,130,39.8685,38.8759
2020-05-27,38.87,38.87,38.87,38.87,0,39.8005,38.8753
2020-05-28,38.87,38.87,38.87,38.87,590,39.7325,38.8748
2020-05-29,38.87,39.26,38.87,39.26,590,39.684,38.9115
2020-06-01,39.75,39.75,39.26,39.26,200,39.6595,38.9447
2020-06-02,39.26,39.26,38.78,38.78,800,39.611,38.929
2020-06-03,36.84,39.26,36.84,38.78,1650,39.5385,38.9148
2020-06-04,38.78,39.26,38.78,39.26,410,39.49,38.9477
2020-06-05,39.26,39.26,39.26,39.26,300,39.4655,38.9774
2020-06-08,41.68,41.88,41.68,41.88,2480,39.572,39.2539
2020-06-09,41.88,41.88,41.88,41.88,10,39.6785,39.504
2020-06-10,41.98,44.59,41.98,44.59,880,39.9205,39.9884
2020-06-11,44.59,44.59,44.3,44.3,90,40.148,40.399
2020-06-12,44.3,44.3,44.3,44.3,0,40.3755,40.7705
2020-06-15,44.3,44.3,44.3,44.3,0,40.603,41.1067
2020-06-16,44.3,44.3,44.3,44.3,0,40.8305,41.4108
2020-06-17,44.3,44.3,44.3,44.3,0,41.034,41.6859
2020-06-18,44.3,44.3,44.3,44.3,0,41.2375,41.9349
2020-06-19,41.2,44.1,41.2,44.1,1350,41.431,42.1411
2020-06-22,44.1,44.1,44.1,44.1,0,41.678,42.3277
2020-06-23,44.1,44.1,44.1,44.1,0,41.9395,42.4965
2020-06-24,44.1,44.1,44.1,44.1,0,42.201,42.6492
2020-06-25,44.1,44.1,44.1,44.1,0,42.4625,42.7874
2020-06-26,44.1,44.1,44.1,44.1,0,42.7045,42.9124
