time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,39.2,39.2,39.2,39.2,0,,
2020-01-03,38.7,38.8,38.7,38.8,16652,,
2020-01-06,38.8,38.8,38.8,38.8,0,,
2020-01-07,38.0,38.0,38.0,38.0,8000,,
2020-01-08,36.5,38.0,36.5,38.0,19100,,
2020-01-09,38.0,38.0,38.0,38.0,0,,
2020-01-10,38.0,38.0,38.0,38.0,0,,
2020-01-13,38.0,38.0,38.0,38.0,0,,
2020-01-14,37.6,37.6,37.5,37.5,13314,,
2020-01-15,37.6,37.5,37.5,37.5,0,,
2020-01-16,37.6,37.5,37.5,37.5,0,,
2020-01-17,37.6,37.5,37.5,37.5,0,,
2020-01-20,37.6,37.5,37.5,37.5,0,,
2020-01-21,37.6,37.5,37.5,37.5,0,,
2020-01-22,37.6,37.5,37.5,37.5,0,,
2020-01-30,37.6,37.5,37.5,37.5,0,,
2020-01-31,37.6,37.5,37.5,37.5,0,,
2020-02-03,37.6,37.5,37.5,37.5,0,,
2020-02-04,37.6,37.5,37.5,37.5,0,,
2020-02-05,37.6,37.5,37.5,37.5,0,37.84,37.8561
2020-02-06,37.6,37.5,37.5,37.5,0,37.755,37.8222
2020-02-07,37.6,37.5,37.5,37.5,0,37.69,37.7915
2020-02-10,37.6,37.5,37.5,37.5,0,37.625,37.7638
2020-02-11,37.6,37.5,37.5,37.5,0,37.6,37.7386
2020-02-12,37.6,37.5,37.5,37.5,0,37.575,37.7159
2020-02-13,37.0,37.0,37.0,37.0,100,37.525,37.6477
2020-02-14,37.0,37.0,37.0,37.0,0,37.475,37.586
2020-02-17,37.0,37.0,37.0,37.0,0,37.425,37.5302
2020-02-18,37.0,37.0,37.0,37.0,0,37.4,37.4797
2020-02-19,37.0,37.0,37.0,37.0,0,37.375,37.434
2020-02-20,35.5,35.5,35.5,35.5,10900,37.275,37.2498
2020-02-21,35.5,35.5,35.5,35.5,0,37.175,37.0832
2020-02-24,35.5,35.5,35.5,35.5,0,37.075,36.9324
2020-02-25,35.5,35.5,35.5,35.5,0,36.975,36.796
2020-02-26,35.5,35.5,35.5,35.5,0,36.875,36.6726
2020-02-27,35.5,35.5,35.5,35.5,0,36.775,36.5609
2020-02-28,35.5,35.5,35.5,35.5,0,36.675,36.4599
2020-03-02,34.4,34.4,34.4,34.4,8000,36.52,36.2637
2020-03-03,34.4,34.4,34.4,34.4,0,36.365,36.0862
2020-03-04,34.4,34.4,34.4,34.4,0,36.21,35.9256
2020-03-05,34.4,34.4,34.4,34.4,0,36.055,35.7803
2020-03-06,34.4,34.4,34.4,34.4,0,35.9,35.6488
2020-03-09,34.4,34.4,34.4,34.4,0,35.745,35.5299
2020-03-10,34.4,34.4,34.4,34.4,0,35.59,35.4223
2020-03-11,34.4,34.4,34.4,34.4,0,35.435,35.3249
2020-03-12,34.4,34.4,34.4,34.4,0,35.305,35.2368
2020-03-13,34.4,34.4,34.4,34.4,0,35.175,35.1571
2020-03-16,34.4,34.4,34.4,34.4,0,35.045,35.085
2020-03-17,31.7,31.7,31.7,31.7,4933,34.78,34.7627
2020-03-18,31.7,31.7,31.7,31.7,0,34.515,34.471
2020-03-19,31.7,31.7,31.7,31.7,0,34.325,34.2071
