time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,12.13,12.21,12.09,12.13,65520,,
2020-01-03,11.97,12.38,11.97,11.97,151970,,
2020-01-06,11.97,12.05,11.93,11.97,139050,,
2020-01-07,11.97,12.05,11.88,11.97,177140,,
2020-01-08,11.88,11.97,11.47,11.47,87800,,
2020-01-09,11.47,11.84,11.47,11.8,81070,,
2020-01-10,11.72,11.97,11.72,11.93,93860,,
2020-01-13,11.84,12.13,11.8,12.05,93740,,
2020-01-14,11.93,12.21,11.93,12.13,81900,,
2020-01-15,12.05,12.25,12.05,12.25,57080,,
2020-01-16,12.25,12.25,12.17,12.21,53920,,
2020-01-17,12.05,12.29,12.05,12.25,151130,,
2020-01-20,12.09,12.46,12.09,12.25,37670,,
2020-01-21,12.05,12.46,12.05,12.21,2240,,
2020-01-22,11.8,12.25,11.8,12.21,18030,,
2020-01-30,12.01,12.21,11.88,12.13,5840,,
2020-01-31,11.88,12.09,11.8,12.05,24210,,
2020-02-03,11.39,11.8,11.23,11.39,407560,,
2020-02-04,11.23,11.68,11.23,11.64,17220,,
2020-02-05,11.23,12.13,11.23,11.88,29350,11.9945,11.9899
2020-02-06,11.47,11.97,11.47,11.88,128850,11.982,11.9795
2020-02-07,11.88,12.01,11.8,11.84,24280,11.9755,11.9662
2020-02-10,11.84,11.84,11.52,11.76,15860,11.965,11.9465
2020-02-11,11.35,11.88,11.35,11.76,15980,11.9545,11.9288
2020-02-12,11.76,11.84,11.64,11.76,106720,11.969,11.9127
2020-02-13,11.8,11.84,11.64,11.76,14240,11.967,11.8982
2020-02-14,11.64,11.8,11.64,11.8,39650,11.9605,11.8888
2020-02-17,11.64,11.72,11.6,11.72,16780,11.944,11.8727
2020-02-18,11.72,11.84,11.68,11.68,22620,11.9215,11.8544
2020-02-19,11.97,11.97,11.8,11.8,34190,11.899,11.8492
2020-02-20,11.8,12.05,11.8,12.01,29520,11.889,11.8645
2020-02-21,12.01,12.05,11.88,12.05,23010,11.879,11.8822
2020-02-24,11.88,12.05,11.64,11.93,27920,11.863,11.8867
2020-02-25,11.93,11.93,11.64,11.88,9710,11.8465,11.8861
2020-02-26,11.88,11.97,11.56,11.97,49330,11.8345,11.8941
2020-02-27,11.88,11.88,11.72,11.88,15810,11.822,11.8927
2020-02-28,11.8,11.8,11.47,11.8,14910,11.8095,11.8839
2020-03-02,11.72,11.72,11.39,11.47,135090,11.8135,11.8445
2020-03-03,11.84,11.84,11.35,11.56,59590,11.8095,11.8174
2020-03-04,11.56,11.72,11.31,11.56,85170,11.7935,11.7929
2020-03-05,11.47,11.8,11.19,11.23,168570,11.761,11.7393
2020-03-06,11.31,11.56,11.31,11.43,131440,11.7405,11.7098
2020-03-09,11.15,11.35,10.65,10.65,151490,11.685,11.6089
2020-03-10,10.57,10.98,10.08,10.98,33110,11.646,11.549
2020-03-11,10.7,11.31,10.41,10.49,121260,11.5825,11.4481
2020-03-12,9.84,10.65,9.79,10.24,78670,11.5065,11.3331
2020-03-13,10.24,10.24,9.55,10.24,30870,11.4285,11.229
2020-03-16,10.08,10.24,9.84,10.08,26630,11.3465,11.1195
2020-03-17,10.08,10.24,9.67,10.16,77870,11.2705,11.0282
2020-03-18,10.0,10.41,9.84,10.08,85770,11.1845,10.9379
2020-03-19,9.84,9.92,9.51,9.71,62120,11.0695,10.8209
