time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,8.47,8.47,8.47,8.47,0,,
2020-01-03,8.47,8.47,8.47,8.47,0,,
2020-01-06,8.47,8.47,8.47,8.47,0,,
2020-01-07,8.47,8.47,8.47,8.47,0,,
2020-01-08,8.47,8.47,8.47,8.47,0,,
2020-01-09,8.47,8.47,8.47,8.47,0,,
2020-01-10,7.24,7.24,7.24,7.24,100,,
2020-01-13,7.24,7.24,7.24,7.24,0,,
2020-01-14,7.24,7.24,7.24,7.24,0,,
2020-01-15,7.24,7.24,7.24,7.24,0,,
2020-01-16,7.24,7.24,7.24,7.24,0,,
2020-01-17,7.24,7.24,7.24,7.24,0,,
2020-01-20,7.24,7.24,7.24,7.24,0,,
2020-01-21,7.24,7.24,7.24,7.24,0,,
2020-01-22,7.24,7.24,7.24,7.24,0,,
2020-01-30,7.24,7.24,7.24,7.24,0,,
2020-01-31,7.24,7.24,7.24,7.24,0,,
2020-02-03,7.24,7.24,7.24,7.24,0,,
2020-02-04,7.24,7.24,7.24,7.24,0,,
2020-02-05,8.31,8.31,6.17,8.14,300,7.654,7.6287
2020-02-06,7.57,8.14,8.14,8.14,0,7.6375,7.6774
2020-02-07,7.57,8.14,8.14,8.14,0,7.621,7.7214
2020-02-10,7.57,8.14,8.14,8.14,0,7.6045,7.7613
2020-02-11,6.5,6.5,6.5,6.5,100,7.506,7.6412
2020-02-12,6.41,6.41,5.59,5.59,1900,7.362,7.4458
2020-02-13,5.18,5.18,5.18,5.18,1000,7.1975,7.23
2020-02-14,5.51,5.51,5.51,5.51,800,7.111,7.0662
2020-02-17,4.85,4.85,4.85,4.85,100,6.9915,6.8551
2020-02-18,4.85,4.85,4.85,4.85,0,6.872,6.6642
2020-02-19,4.85,4.85,4.85,4.85,0,6.7525,6.4914
2020-02-20,4.85,4.85,4.85,4.85,0,6.633,6.3351
2020-02-21,4.85,4.85,4.85,4.85,0,6.5135,6.1936
2020-02-24,4.19,4.19,4.19,4.19,100,6.361,6.0028
2020-02-25,4.19,4.19,4.19,4.19,0,6.2085,5.8302
2020-02-26,4.77,4.77,4.77,4.77,500,6.085,5.7292
2020-02-27,4.11,4.11,4.11,4.11,100,5.9285,5.575
2020-02-28,4.11,4.11,4.11,4.11,0,5.772,5.4355
2020-03-02,4.69,4.69,4.69,4.69,200,5.6445,5.3645
2020-03-03,4.03,4.77,4.03,4.77,200,5.521,5.3079
2020-03-04,3.78,4.11,3.78,4.11,300,5.3195,5.1938
2020-03-05,4.61,4.61,4.61,4.61,100,5.143,5.1382
2020-03-06,3.95,3.95,3.95,3.95,100,4.9335,5.025
2020-03-09,4.52,4.52,4.52,4.52,1100,4.7525,4.9769
2020-03-10,4.52,4.52,4.52,4.52,0,4.6535,4.9334
2020-03-11,4.69,4.69,4.61,4.61,2200,4.6045,4.9026
