time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,2.32,2.32,2.22,2.32,576860,,
2020-01-03,2.32,2.32,2.22,2.32,457610,,
2020-01-06,2.22,2.32,2.22,2.22,1459956,,
2020-01-07,2.22,2.32,2.22,2.22,250765,,
2020-01-08,2.22,2.22,2.12,2.22,1058291,,
2020-01-09,2.22,2.32,2.12,2.22,812388,,
2020-01-10,2.22,2.22,2.12,2.22,555210,,
2020-01-13,2.22,2.22,2.12,2.12,1200240,,
2020-01-14,2.22,2.22,2.03,2.03,479935,,
2020-01-15,2.12,2.22,2.03,2.12,581463,,
2020-01-16,2.22,2.22,2.12,2.12,370320,,
2020-01-17,2.12,2.22,2.03,2.12,532450,,
2020-01-20,2.12,2.22,2.12,2.12,643474,,
2020-01-21,2.12,2.22,2.12,2.12,552110,,
2020-01-22,2.12,2.32,2.12,2.22,1727659,,
2020-01-30,2.22,2.32,2.12,2.22,1160000,,
2020-01-31,2.22,2.22,2.12,2.12,1232564,,
2020-02-03,2.12,2.12,1.93,2.03,2265477,,
2020-02-04,2.03,2.03,1.93,2.03,850360,,
2020-02-05,2.03,2.12,1.93,2.03,696820,2.157,2.1497
2020-02-06,2.03,2.12,1.93,2.03,1584409,2.1425,2.1383
2020-02-07,2.12,2.12,2.03,2.12,219201,2.1325,2.1365
2020-02-10,2.12,2.12,2.03,2.03,418336,2.123,2.1264
2020-02-11,2.03,2.12,2.03,2.03,583536,2.1135,2.1172
2020-02-12,2.12,2.12,2.03,2.12,214164,2.1085,2.1175
2020-02-13,2.03,2.12,2.03,2.03,337961,2.099,2.1092
2020-02-14,2.12,2.12,2.03,2.03,329935,2.0895,2.1016
2020-02-17,2.03,2.12,2.03,2.03,792920,2.085,2.0948
2020-02-18,2.03,2.12,2.03,2.03,107574,2.085,2.0886
2020-02-19,2.03,2.12,2.03,2.12,767202,2.085,2.0916
2020-02-20,2.03,2.12,2.03,2.03,265066,2.0805,2.0857
2020-02-21,2.03,2.12,2.03,2.03,771728,2.076,2.0804
2020-02-24,2.03,2.03,1.83,1.93,1991985,2.0665,2.0661
2020-02-25,1.93,1.93,1.83,1.93,1791437,2.057,2.0531
2020-02-26,1.93,1.93,1.83,1.93,79150,2.0425,2.0414
2020-02-27,1.93,1.93,1.83,1.93,199331,2.028,2.0308
2020-02-28,1.83,1.93,1.83,1.93,479008,2.0185,2.0212
2020-03-02,1.83,2.03,1.83,2.03,1049210,2.0185,2.022
2020-03-03,1.93,2.12,1.93,2.03,1890533,2.0185,2.0228
2020-03-04,2.03,2.12,1.93,2.03,876710,2.0185,2.0235
2020-03-05,2.03,2.12,1.93,1.93,887651,2.0135,2.0146
2020-03-06,2.03,2.12,1.93,2.03,933408,2.009,2.0161
2020-03-09,1.93,1.93,1.83,1.83,3156875,1.999,1.9983
2020-03-10,1.74,1.93,1.74,1.83,1451447,1.989,1.9823
2020-03-11,1.93,1.93,1.83,1.83,1330270,1.9745,1.9678
2020-03-12,1.74,1.83,1.74,1.74,2463380,1.96,1.9461
