time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,9.35,9.79,9.35,9.62,918890,,
2020-01-03,9.62,10.26,9.62,10.26,935570,,
2020-01-06,10.26,10.87,10.19,10.7,1107330,,
2020-01-07,10.66,10.7,9.96,10.49,670160,,
2020-01-08,10.49,10.49,9.79,9.99,410380,,
2020-01-09,9.99,10.06,9.52,9.85,112160,,
2020-01-10,9.85,9.89,9.69,9.75,116270,,
2020-01-13,9.75,9.82,9.31,9.82,236420,,
2020-01-14,9.82,9.85,9.58,9.85,284250,,
2020-01-15,9.85,9.85,9.69,9.72,217160,,
2020-01-16,9.69,9.89,9.65,9.79,301550,,
2020-01-17,9.79,9.79,9.52,9.75,178490,,
2020-01-20,9.75,9.75,9.58,9.69,224440,,
2020-01-21,9.68,9.79,9.54,9.79,254060,,
2020-01-22,9.79,9.82,9.65,9.82,193170,,
2020-01-30,9.79,9.79,9.16,9.33,237820,,
2020-01-31,9.09,9.16,8.71,8.71,195650,,
2020-02-03,8.36,8.71,8.11,8.11,199380,,
2020-02-04,8.01,8.11,7.55,7.55,500860,,
2020-02-05,7.55,7.62,7.03,7.55,332010,9.507,9.1586
2020-02-06,7.55,7.62,7.48,7.62,227540,9.407,9.0121
2020-02-07,7.62,8.15,7.59,8.11,330850,9.2995,8.9262
2020-02-10,8.11,8.11,7.83,7.87,220360,9.158,8.8256
2020-02-11,7.87,8.01,7.83,7.9,184470,9.0285,8.7374
2020-02-12,7.94,7.94,7.73,7.9,181090,8.924,8.6577
2020-02-13,7.87,7.87,7.73,7.76,154180,8.8195,8.5722
2020-02-14,7.73,7.83,7.66,7.83,153190,8.7235,8.5015
2020-02-17,7.83,7.87,7.69,7.87,219390,8.626,8.4414
2020-02-18,7.87,7.9,7.66,7.9,353830,8.5285,8.3898
2020-02-19,7.9,8.04,7.87,8.01,172940,8.443,8.3536
2020-02-20,8.01,8.32,8.01,8.15,387490,8.361,8.3342
2020-02-21,8.18,8.5,8.08,8.39,1019450,8.293,8.3395
2020-02-24,8.25,8.39,7.83,8.04,348430,8.2105,8.311
2020-02-25,8.01,8.01,7.73,7.9,270300,8.116,8.2719
2020-02-26,7.69,7.69,7.38,7.52,383150,8.001,8.2003
2020-02-27,7.52,7.55,6.99,7.55,231300,7.912,8.1383
2020-02-28,7.41,7.48,7.06,7.48,321760,7.8505,8.0756
2020-03-02,7.41,7.45,6.99,7.34,403150,7.812,8.0056
2020-03-03,7.31,7.55,7.03,7.55,381550,7.812,7.9622
2020-03-04,7.55,7.97,7.52,7.8,570560,7.8245,7.9467
2020-03-05,7.83,7.87,7.66,7.69,166470,7.828,7.9223
2020-03-06,7.62,7.66,7.34,7.52,184640,7.7985,7.884
2020-03-09,7.06,7.2,6.99,6.99,293030,7.7545,7.7988
2020-03-10,6.64,6.99,6.57,6.99,234860,7.709,7.7218
2020-03-11,6.99,7.03,6.57,6.99,160780,7.6635,7.6521
2020-03-12,6.98,6.98,6.5,6.57,201970,7.604,7.5491
2020-03-13,6.11,6.57,6.11,6.57,262760,7.541,7.4558
2020-03-16,6.5,6.54,6.22,6.29,265220,7.462,7.3448
2020-03-17,6.27,6.27,5.85,6.22,223110,7.378,7.2377
2020-03-18,6.21,6.24,6.14,6.22,177950,7.2885,7.1407
2020-03-19,6.2,6.2,5.94,6.01,237710,7.1815,7.033
2020-03-20,6.01,6.08,5.59,6.08,653290,7.066,6.9423
2020-03-23,6.05,6.24,5.66,6.22,672370,6.975,6.8735
2020-03-24,6.22,6.35,5.79,6.22,823070,6.891,6.8113
2020-03-25,6.22,6.22,5.79,6.08,768930,6.819,6.7416
2020-03-26,5.94,5.94,5.66,5.66,379510,6.7245,6.6386
2020-03-27,5.27,5.27,5.27,5.27,92490,6.614,6.5083
2020-03-30,4.9,4.9,4.9,4.9,161940,6.492,6.3551
2020-03-31,4.56,4.56,4.56,4.56,110560,6.3425,6.1841
2020-04-01,4.25,4.85,4.24,4.24,277720,6.1645,5.999
2020-04-03,4.24,4.54,4.24,4.54,112840,6.007,5.86
2020-04-06,4.79,4.85,4.75,4.85,155580,5.8735,5.7638
2020-04-07,4.85,5.03,4.52,4.89,854860,5.7685,5.6806
2020-04-08,4.89,4.89,4.56,4.88,49510,5.663,5.6044
2020-04-09,4.88,4.96,4.68,4.74,26770,5.5505,5.522
2020-04-10,4.79,4.87,4.58,4.78,96540,5.461,5.4514
2020-04-13,4.82,5.0,4.73,5.0,246110,5.3825,5.4084
2020-04-14,5.01,5.35,5.01,5.35,268810,5.3355,5.4028
2020-04-15,5.55,5.71,5.38,5.56,138940,5.3025,5.4178
2020-04-16,5.56,5.66,5.52,5.55,89670,5.269,5.4304
2020-04-17,5.55,5.57,5.38,5.56,167640,5.2465,5.4427
2020-04-20,5.59,5.87,5.57,5.59,139650,5.222,5.4568
2020-04-21,5.5,5.5,5.2,5.2,248620,5.171,5.4323
2020-04-22,5.2,5.24,4.87,5.24,127420,5.122,5.414
2020-04-23,5.24,5.45,5.24,5.34,91040,5.085,5.4069
2020-04-24,5.33,5.52,5.24,5.26,66800,5.065,5.3929
2020-04-27,5.24,5.45,5.24,5.38,72190,5.0705,5.3917
2020-04-28,5.38,5.42,5.33,5.38,102580,5.0945,5.3906
2020-04-29,5.25,5.4,5.25,5.31,194470,5.132,5.3829
2020-05-04,5.35,5.35,4.94,5.29,75320,5.1845,5.3741
2020-05-05,5.29,5.29,4.96,5.23,48640,5.219,5.3604
2020-05-06,5.23,5.23,4.98,5.21,70590,5.237,5.346
2020-05-07,5.21,5.21,5.14,5.17,174330,5.251,5.3293
2020-05-08,5.19,5.19,5.15,5.15,69860,5.2645,5.3122
2020-05-11,5.15,5.17,5.03,5.03,202250,5.279,5.2853
2020-05-12,5.07,5.38,4.96,5.38,295590,5.309,5.2943
2020-05-13,5.45,5.75,5.38,5.73,836110,5.3455,5.3358
2020-05-14,5.73,5.8,5.59,5.72,230800,5.364,5.3724
2020-05-15,5.72,5.72,5.35,5.35,340880,5.3535,5.3703
2020-05-18,5.17,5.52,5.17,5.5,233000,5.351,5.3826
2020-05-19,5.66,5.66,5.5,5.53,208470,5.3495,5.3967
2020-05-20,5.53,5.56,5.5,5.5,152690,5.345,5.4065
2020-05-21,5.49,5.59,5.48,5.57,250350,5.3635,5.4221
2020-05-22,5.57,5.59,5.49,5.53,169280,5.378,5.4324
2020-05-25,5.57,5.57,5.49,5.55,180540,5.3885,5.4436
2020-05-26,5.56,5.59,5.52,5.56,300050,5.4035,5.4547
2020-05-27,5.54,5.66,5.54,5.62,392170,5.4155,5.4704
2020-05-28,5.63,5.8,5.24,5.7,292460,5.4315,5.4923
2020-05-29,5.7,5.71,5.53,5.69,202660,5.4505,5.5111
2020-06-01,5.69,5.69,5.57,5.64,225950,5.468,5.5234
2020-06-02,5.64,5.66,5.36,5.59,237490,5.486,5.5297
2020-06-03,5.52,5.66,5.52,5.62,314900,5.5065,5.5383
2020-06-04,5.65,6.01,5.63,6.01,1213430,5.5485,5.5832
2020-06-05,6.43,6.43,6.01,6.43,765680,5.6125,5.6639
2020-06-08,6.82,6.88,6.57,6.88,437250,5.705,5.7797
2020-06-09,7.2,7.34,6.99,7.34,1038400,5.803,5.9283
2020-06-10,7.69,7.76,6.83,7.41,528890,5.887,6.0694
2020-06-11,7.38,7.38,6.89,6.89,459180,5.9455,6.1476
2020-06-12,6.41,6.85,6.41,6.5,388260,6.003,6.1811
2020-06-15,6.54,6.57,6.12,6.29,338560,6.0425,6.1915
2020-06-16,6.36,6.64,6.15,6.33,174810,6.0825,6.2047
2020-06-17,6.64,6.64,6.36,6.45,177340,6.13,6.2281
2020-06-18,6.29,6.61,6.29,6.57,149000,6.18,6.2606
2020-06-19,6.64,7.03,6.64,6.99,263570,6.253,6.3301
2020-06-22,7.24,7.45,6.92,7.24,316920,6.3375,6.4167
2020-06-23,7.24,7.24,6.85,6.99,193060,6.409,6.4713
2020-06-24,6.99,7.27,6.75,6.78,167900,6.467,6.5007
2020-06-25,6.4,6.64,6.4,6.54,164850,6.509,6.5045
2020-06-26,6.52,6.78,6.51,6.52,144550,6.5505,6.506
2020-06-29,6.31,6.31,6.06,6.06,303500,6.5715,6.4635
2020-06-30,6.12,6.19,5.67,5.88,136970,6.586,6.4079
2020-07-01,6.01,6.22,5.73,6.22,162550,6.616,6.39
