time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,8.09,8.09,8.09,8.09,100,,
2020-01-03,8.23,8.23,8.23,8.23,12500,,
2020-01-06,8.23,8.23,8.23,8.23,0,,
2020-01-07,8.23,8.23,8.23,8.23,0,,
2020-01-08,8.23,8.23,8.23,8.23,0,,
2020-01-09,9.46,9.46,9.46,9.46,1400,,
2020-01-10,9.46,9.46,9.46,9.46,0,,
2020-01-13,9.46,9.46,9.46,9.46,0,,
2020-01-14,8.09,8.09,8.09,8.09,5000,,
2020-01-15,8.09,8.09,8.09,8.09,0,,
2020-01-16,8.09,8.09,8.09,8.09,0,,
2020-01-17,8.09,8.09,8.09,8.09,0,,
2020-01-20,8.09,8.09,8.09,8.09,0,,
2020-01-21,8.23,8.23,8.23,8.23,300,,
2020-01-22,8.23,8.23,8.23,8.23,0,,
2020-01-30,8.77,8.77,8.77,8.77,5000,,
2020-01-31,8.77,8.77,8.77,8.77,0,,
2020-02-03,8.77,8.77,8.77,8.77,0,,
2020-02-04,8.77,8.77,8.77,8.77,0,,
2020-02-05,8.77,8.77,8.77,8.77,0,8.5075,8.4903
2020-02-06,8.77,8.77,8.77,8.77,0,8.5415,8.517
2020-02-07,8.77,8.77,8.77,8.77,0,8.5685,8.5411
2020-02-10,8.77,8.77,8.77,8.77,0,8.5955,8.5629
2020-02-11,8.77,8.77,8.77,8.77,0,8.6225,8.5826
2020-02-12,8.77,8.77,8.77,8.77,0,8.6495,8.6004
2020-02-13,8.77,8.77,8.77,8.77,0,8.615,8.6166
2020-02-14,8.77,8.77,8.77,8.77,0,8.5805,8.6312
2020-02-17,8.16,8.16,8.16,8.16,100,8.5155,8.5863
2020-02-18,8.16,8.16,8.16,8.16,100,8.519,8.5457
2020-02-19,8.16,8.16,8.16,8.16,0,8.5225,8.509
2020-02-20,8.16,8.16,8.16,8.16,0,8.526,8.4758
2020-02-21,8.16,8.16,8.16,8.16,0,8.5295,8.4457
