time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,4.97,4.97,4.97,4.97,0,,
2020-01-03,4.97,4.97,4.97,4.97,0,,
2020-01-06,4.97,4.97,4.97,4.97,0,,
2020-01-07,4.97,4.97,4.97,4.97,0,,
2020-01-08,4.97,4.97,4.97,4.97,0,,
2020-01-09,4.97,4.97,4.97,4.97,0,,
2020-01-10,4.97,4.97,4.97,4.97,0,,
2020-01-13,4.97,4.97,4.97,4.97,0,,
2020-01-14,4.97,4.97,4.97,4.97,0,,
2020-01-15,4.97,4.97,4.97,4.97,0,,
2020-01-16,4.97,4.97,4.97,4.97,0,,
2020-01-17,4.97,4.97,4.97,4.97,0,,
2020-01-20,4.97,4.97,4.97,4.97,0,,
2020-01-21,4.97,4.97,4.97,4.97,0,,
2020-01-22,4.97,4.97,4.97,4.97,0,,
2020-01-30,4.97,4.97,4.97,4.97,0,,
2020-01-31,4.97,4.97,4.97,4.97,0,,
2020-02-03,4.97,4.97,4.97,4.97,0,,
2020-02-04,4.97,4.97,4.97,4.97,0,,
2020-02-05,4.97,4.97,4.97,4.97,0,4.97,4.97
2020-02-06,4.97,4.97,4.97,4.97,0,4.97,4.97
2020-02-07,4.97,4.97,4.97,4.97,0,4.97,4.97
2020-02-10,4.97,4.97,4.97,4.97,0,4.97,4.97
2020-02-11,4.97,4.97,4.97,4.97,0,4.97,4.97
2020-02-12,5.04,5.04,5.04,5.04,1800,4.9735,4.9767
2020-02-13,5.17,5.17,5.17,5.17,500,4.9835,4.9951
2020-02-14,5.17,5.17,5.17,5.17,100,4.9935,5.0117
2020-02-17,5.17,5.17,5.17,5.17,0,5.0035,5.0268
2020-02-18,5.17,5.17,5.17,5.17,0,5.0135,5.0404
2020-02-19,5.17,5.17,5.17,5.17,200,5.0235,5.0528
2020-02-20,5.17,5.17,5.17,5.17,0,5.0335,5.0639
2020-02-21,4.71,4.71,4.71,4.71,100,5.0205,5.0302
2020-02-24,4.71,4.71,4.71,4.71,0,5.0075,4.9997
2020-02-25,4.71,4.71,4.71,4.71,0,4.9945,4.9721
2020-02-26,5.1,5.1,5.1,5.1,500,5.001,4.9843
2020-02-27,4.65,4.65,4.65,4.65,100,4.985,4.9525
2020-02-28,4.65,4.65,4.65,4.65,0,4.969,4.9237
2020-03-02,4.65,4.65,4.65,4.65,0,4.953,4.8976
2020-03-03,4.65,4.65,4.65,4.65,0,4.937,4.874
2020-03-04,4.65,4.65,4.65,4.65,0,4.921,4.8527
2020-03-05,4.65,4.65,4.65,4.65,0,4.905,4.8334
2020-03-06,4.65,4.65,4.65,4.65,0,4.889,4.8159
2020-03-09,4.65,4.65,4.65,4.65,0,4.873,4.8001
2020-03-10,4.65,4.65,4.65,4.65,0,4.857,4.7858
2020-03-11,4.65,4.65,4.65,4.65,0,4.8375,4.7729
2020-03-12,4.65,4.65,4.65,4.65,0,4.8115,4.7612
2020-03-13,4.65,4.65,4.65,4.65,0,4.7855,4.7506
2020-03-16,4.65,4.65,4.65,4.65,0,4.7595,4.741
2020-03-17,4.65,4.65,4.65,4.65,0,4.7335,4.7323
2020-03-18,4.65,4.65,4.65,4.65,0,4.7075,4.7245
2020-03-19,4.65,4.65,4.65,4.65,0,4.6815,4.7174
2020-03-20,4.65,4.65,4.65,4.65,0,4.6785,4.711
2020-03-23,4.65,4.65,4.65,4.65,0,4.6755,4.7052
2020-03-24,4.65,4.65,4.65,4.65,0,4.6725,4.6999
2020-03-25,4.65,4.65,4.65,4.65,0,4.65,4.6952
2020-03-26,4.65,4.65,4.65,4.65,0,4.65,4.6909
2020-03-27,4.65,4.65,4.65,4.65,36,4.65,4.687
2020-03-30,4.2,4.2,4.2,4.2,600,4.6275,4.6406
2020-03-31,4.2,4.2,4.2,4.2,0,4.605,4.5986
2020-04-01,4.2,4.2,4.2,4.2,0,4.5825,4.5607
2020-04-03,4.2,4.2,4.2,4.2,0,4.56,4.5263
2020-04-06,4.2,4.2,4.2,4.2,0,4.5375,4.4952
2020-04-07,4.2,4.2,4.2,4.2,0,4.515,4.4671
2020-04-08,4.2,4.2,4.2,4.2,0,4.4925,4.4417
2020-04-09,4.2,4.2,4.2,4.2,0,4.47,4.4187
2020-04-10,4.2,4.2,4.2,4.2,0,4.4475,4.3978
2020-04-13,4.2,4.2,4.2,4.2,0,4.425,4.379
2020-04-14,4.2,4.2,4.2,4.2,0,4.4025,4.362
2020-04-15,4.2,4.2,4.2,4.2,0,4.38,4.3465
2020-04-16,4.2,4.2,4.2,4.2,0,4.3575,4.3326
2020-04-17,4.2,4.2,4.2,4.2,0,4.335,4.3199
2020-04-20,4.2,4.2,4.2,4.2,0,4.3125,4.3085
2020-04-21,4.2,4.2,4.2,4.2,0,4.29,4.2982
2020-04-22,4.2,4.2,4.2,4.2,0,4.2675,4.2888
2020-04-23,4.2,4.2,4.2,4.2,0,4.245,4.2804
2020-04-24,4.2,4.2,4.2,4.2,0,4.2225,4.2727
2020-04-27,4.59,4.59,4.59,4.59,200,4.2195,4.3029
2020-04-28,4.59,4.59,4.59,4.59,0,4.239,4.3303
2020-04-29,4.59,4.59,4.59,4.59,0,4.2585,4.355
2020-05-04,4.59,4.59,4.59,4.59,0,4.278,4.3774
2020-05-05,4.59,4.59,4.59,4.59,0,4.2975,4.3976
2020-05-06,4.59,4.59,4.59,4.59,0,4.317,4.416
2020-05-07,4.59,4.59,4.59,4.59,0,4.3365,4.4325
2020-05-08,4.59,4.59,4.59,4.59,0,4.356,4.4475
2020-05-11,5.04,5.04,5.04,5.04,200,4.398,4.504
2020-05-12,5.04,5.04,5.04,5.04,0,4.44,4.555
2020-05-13,5.04,5.04,5.04,5.04,30,4.482,4.6012
2020-05-14,5.49,5.49,5.49,5.49,300,4.5465,4.6858
2020-05-15,4.97,4.97,4.97,4.97,100,4.585,4.7129
2020-05-18,4.97,4.97,4.97,4.97,0,4.6235,4.7374
2020-05-19,4.97,4.97,4.97,4.97,0,4.662,4.7595
2020-05-20,4.97,4.97,4.97,4.97,0,4.7005,4.7796
2020-05-21,4.97,4.97,4.97,4.97,0,4.739,4.7977
2020-05-22,4.97,4.97,4.97,4.97,0,4.7775,4.8141
2020-05-25,5.43,5.43,5.43,5.43,200,4.839,4.8728
2020-05-26,5.43,5.43,5.43,5.43,0,4.9005,4.9259
2020-05-27,5.43,5.43,5.43,5.43,0,4.9425,4.9739
2020-05-28,5.43,5.43,5.43,5.43,0,4.9845,5.0173
