time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,7.92,7.92,7.92,7.92,0,,
2020-01-03,7.92,7.92,7.92,7.92,0,,
2020-01-06,7.92,7.92,7.92,7.92,0,,
2020-01-07,7.92,7.92,7.92,7.92,0,,
2020-01-08,7.92,7.92,7.92,7.92,0,,
2020-01-09,7.92,7.92,7.92,7.92,0,,
2020-01-10,7.92,7.92,7.92,7.92,0,,
2020-01-13,7.92,7.92,7.92,7.92,0,,
2020-01-14,7.92,7.92,7.92,7.92,0,,
2020-01-15,7.92,7.92,7.92,7.92,0,,
2020-01-16,7.92,7.92,7.92,7.92,0,,
2020-01-17,7.92,7.92,7.92,7.92,0,,
2020-01-20,7.92,7.92,7.92,7.92,0,,
2020-01-21,7.92,7.92,7.92,7.92,0,,
2020-01-22,7.92,7.92,7.92,7.92,0,,
2020-01-30,7.92,7.92,7.92,7.92,0,,
2020-01-31,7.92,7.92,7.92,7.92,0,,
2020-02-03,7.92,7.92,7.92,7.92,0,,
2020-02-04,7.92,7.92,7.92,7.92,0,,
2020-02-05,7.92,7.92,7.92,7.92,0,7.92,7.92
2020-02-06,7.92,7.92,7.92,7.92,0,7.92,7.92
2020-02-07,7.92,7.92,7.92,7.92,0,7.92,7.92
2020-02-10,7.92,7.92,7.92,7.92,0,7.92,7.92
2020-02-11,7.92,7.92,7.92,7.92,0,7.92,7.92
2020-02-12,7.92,7.92,7.92,7.92,0,7.92,7.92
2020-02-13,7.92,7.92,7.92,7.92,0,7.92,7.92
2020-02-14,7.92,7.92,7.92,7.92,0,7.92,7.92
2020-02-17,7.92,7.92,7.92,7.92,0,7.92,7.92
2020-02-18,7.92,7.92,7.92,7.92,0,7.92,7.92
2020-02-19,7.92,7.92,7.92,7.92,0,7.92,7.92
2020-02-20,7.92,7.92,7.92,7.92,0,7.92,7.92
2020-02-21,7.92,7.92,7.92,7.92,0,7.92,7.92
2020-02-24,7.92,7.92,7.92,7.92,0,7.92,7.92
2020-02-25,7.92,7.92,7.92,7.92,0,7.92,7.92
2020-02-26,7.92,7.92,7.92,7.92,0,7.92,7.92
2020-02-27,7.92,7.92,7.92,7.92,0,7.92,7.92
2020-02-28,7.92,7.92,7.92,7.92,0,7.92,7.92
2020-03-02,7.92,7.92,7.92,7.92,0,7.92,7.92
2020-03-03,7.92,7.92,7.92,7.92,0,7.92,7.92
2020-03-04,7.92,7.92,7.92,7.92,0,7.92,7.92
2020-03-05,7.92,7.92,7.92,7.92,0,7.92,7.92
2020-03-06,7.92,7.92,7.92,7.92,0,7.92,7.92
2020-03-09,7.92,7.92,7.92,7.92,0,7.92,7.92
2020-03-10,7.92,7.92,7.92,7.92,0,7.92,7.92
2020-03-11,7.92,7.92,7.92,7.92,0,7.92,7.92
2020-03-12,7.92,7.92,7.92,7.92,0,7.92,7.92
2020-03-13,7.92,7.92,7.92,7.92,0,7.92,7.92
2020-03-16,7.92,7.92,7.92,7.92,0,7.92,7.92
2020-03-17,7.92,7.92,7.92,7.92,0,7.92,7.92
2020-03-18,7.92,7.92,7.92,7.92,0,7.92,7.92
2020-03-19,7.92,7.92,7.92,7.92,0,7.92,7.92
2020-03-20,7.92,7.92,7.92,7.92,0,7.92,7.92
2020-03-23,7.92,7.92,7.92,7.92,0,7.92,7.92
2020-03-24,7.92,7.92,7.92,7.92,0,7.92,7.92
2020-03-25,7.92,7.92,7.92,7.92,0,7.92,7.92
2020-03-26,7.92,7.92,7.92,7.92,0,7.92,7.92
2020-03-27,8.08,8.12,8.08,8.12,300,7.93,7.939
2020-03-30,8.12,8.12,8.12,8.12,0,7.94,7.9563
2020-03-31,8.12,8.12,8.12,8.12,0,7.95,7.9719
2020-04-01,8.12,8.12,8.12,8.12,0,7.96,7.986
2020-04-03,8.12,8.12,8.12,8.12,0,7.97,7.9987
2020-04-06,8.12,8.12,8.12,8.12,0,7.98,8.0103
2020-04-07,8.12,8.12,8.12,8.12,0,7.99,8.0207
2020-04-08,8.12,8.12,8.12,8.12,0,8.0,8.0302
2020-04-09,8.12,8.12,8.12,8.12,0,8.01,8.0387
2020-04-10,8.12,8.12,8.12,8.12,0,8.02,8.0465
2020-04-13,8.12,8.12,8.12,8.12,0,8.03,8.0535
2020-04-14,8.12,8.12,8.12,8.12,0,8.04,8.0598
2020-04-15,8.12,8.12,8.12,8.12,0,8.05,8.0656
2020-04-16,8.12,8.12,8.12,8.12,0,8.06,8.0707
2020-04-17,8.12,8.12,8.12,8.12,0,8.07,8.0754
2020-04-20,8.12,8.12,8.12,8.12,0,8.08,8.0797
2020-04-21,8.12,8.12,8.12,8.12,0,8.09,8.0835
2020-04-22,8.12,8.12,8.12,8.12,0,8.1,8.087
2020-04-23,8.12,8.12,8.12,8.12,0,8.11,8.0901
2020-04-24,8.12,8.12,8.12,8.12,0,8.12,8.093
2020-04-27,8.12,8.12,8.12,8.12,0,8.12,8.0956
2020-04-28,8.12,8.12,8.12,8.12,0,8.12,8.0979
2020-04-29,8.12,8.12,8.12,8.12,0,8.12,8.1
2020-05-04,8.12,8.12,8.12,8.12,0,8.12,8.1019
2020-05-05,8.12,8.12,8.12,8.12,0,8.12,8.1036
2020-05-06,8.12,8.12,8.12,8.12,0,8.12,8.1052
2020-05-07,8.12,8.12,8.12,8.12,0,8.12,8.1066
2020-05-08,8.12,8.12,8.12,8.12,0,8.12,8.1079
2020-05-11,8.12,8.12,8.12,8.12,0,8.12,8.109
2020-05-12,8.12,8.12,8.12,8.12,0,8.12,8.1101
2020-05-13,8.12,8.12,8.12,8.12,0,8.12,8.111
2020-05-14,8.12,8.12,8.12,8.12,0,8.12,8.1119
2020-05-15,8.12,8.12,8.12,8.12,0,8.12,8.1126
2020-05-18,8.12,8.12,8.12,8.12,0,8.12,8.1133
2020-05-19,8.12,8.12,8.12,8.12,0,8.12,8.114
2020-05-20,8.12,8.12,8.12,8.12,0,8.12,8.1146
2020-05-21,8.12,8.12,8.12,8.12,0,8.12,8.1151
2020-05-22,8.12,8.12,8.12,8.12,0,8.12,8.1155
2020-05-25,8.12,8.12,8.12,8.12,0,8.12,8.116
2020-05-26,8.12,8.12,8.12,8.12,0,8.12,8.1163
2020-05-27,8.12,8.12,8.12,8.12,0,8.12,8.1167
2020-05-28,8.12,8.12,8.12,8.12,0,8.12,8.117
2020-05-29,8.12,8.12,8.12,8.12,0,8.12,8.1173
2020-06-01,8.12,8.12,8.12,8.12,0,8.12,8.1176
2020-06-02,8.12,8.12,8.12,8.12,0,8.12,8.1178
2020-06-03,8.12,8.12,8.12,8.12,0,8.12,8.118
2020-06-04,8.12,8.12,8.12,8.12,0,8.12,8.1182
2020-06-05,8.12,8.12,8.12,8.12,0,8.12,8.1184
2020-06-08,8.12,8.12,8.12,8.12,0,8.12,8.1185
2020-06-09,8.12,8.12,8.12,8.12,0,8.12,8.1187
2020-06-10,8.12,8.12,8.12,8.12,0,8.12,8.1188
2020-06-11,8.12,8.12,8.12,8.12,0,8.12,8.1189
2020-06-12,8.12,8.12,8.12,8.12,0,8.12,8.119
2020-06-15,8.12,8.12,8.12,8.12,0,8.12,8.1191
2020-06-16,8.12,8.12,8.12,8.12,0,8.12,8.1192
2020-06-17,8.12,8.12,8.12,8.12,0,8.12,8.1193
2020-06-18,8.12,8.12,8.12,8.12,0,8.12,8.1193
2020-06-19,8.12,8.12,8.12,8.12,0,8.12,8.1194
2020-06-22,8.12,8.12,8.12,8.12,0,8.12,8.1195
2020-06-23,8.12,8.12,8.12,8.12,0,8.12,8.1195
2020-06-24,8.12,8.12,8.12,8.12,0,8.12,8.1196
2020-06-25,8.12,8.12,8.12,8.12,0,8.12,8.1196
2020-06-26,8.12,8.12,8.12,8.12,0,8.12,8.1196
2020-06-29,8.12,8.12,8.12,8.12,0,8.12,8.1197
2020-06-30,8.12,8.12,8.12,8.12,0,8.12,8.1197
2020-07-01,8.12,8.12,8.12,8.12,0,8.12,8.1197
2020-07-02,5.0,5.0,5.0,5.0,4400,7.964,7.8226
2020-07-03,5.0,5.0,5.0,5.0,0,7.808,7.5538
2020-07-06,5.0,5.0,5.0,5.0,10,7.652,7.3106
2020-07-07,5.75,5.75,5.75,5.75,1500,7.5335,7.1619
2020-07-08,6.58,6.58,6.58,6.58,100,7.4565,7.1065
2020-07-09,7.5,7.5,7.5,7.5,100,7.4255,7.144
2020-07-10,7.5,8.21,7.5,8.21,7100,7.43,7.2455
2020-07-13,7.96,8.21,8.21,8.21,0,7.4345,7.3374
2020-07-14,7.96,8.21,8.21,8.21,0,7.439,7.4205
2020-07-15,7.96,8.21,8.21,8.21,0,7.4435,7.4957
2020-07-16,7.96,8.21,8.21,8.21,0,7.448,7.5637
2020-07-17,7.96,8.21,8.21,8.21,0,7.4525,7.6253
2020-07-20,7.96,8.21,8.21,8.21,0,7.457,7.6809
2020-07-21,7.96,7.96,7.96,7.96,0,7.449,7.7075
2020-07-22,7.96,8.21,8.21,8.21,0,7.4535,7.7554
2020-07-23,7.96,8.21,8.21,8.21,0,7.458,7.7987
2020-07-24,6.79,7.87,6.79,7.87,700,7.4455,7.8055
2020-07-27,6.67,7.83,6.67,7.83,600,7.431,7.8078
2020-07-28,5.87,7.83,5.87,7.5,15200,7.4,7.7785
2020-07-29,7.46,7.5,7.5,7.5,0,7.369,7.752
2020-07-30,6.37,7.92,6.37,7.71,700,7.5045,7.748
2020-07-31,7.62,7.71,7.71,7.71,0,7.64,7.7444
2020-08-03,7.62,7.71,7.71,7.71,0,7.7755,7.7411
2020-08-04,7.62,7.71,7.71,7.71,0,7.8735,7.7381
2020-08-05,7.62,7.71,7.71,7.71,0,7.93,7.7354
2020-08-06,7.62,7.71,7.71,7.71,0,7.9405,7.733
2020-08-07,7.5,7.5,7.5,7.5,100,7.905,7.7108
2020-08-10,7.5,7.5,7.5,7.5,0,7.8695,7.6907
2020-08-11,7.5,7.5,7.5,7.5,0,7.834,7.6726
2020-08-12,6.37,7.42,6.37,7.42,900,7.7945,7.6485
2020-08-13,7.29,7.42,7.42,7.42,0,7.755,7.6268
2020-08-14,7.29,7.42,7.42,7.42,0,7.7155,7.6071
2020-08-17,7.29,7.42,7.42,7.42,0,7.676,7.5893
2020-08-18,7.29,7.42,7.42,7.42,0,7.649,7.5731
2020-08-19,7.29,7.42,7.42,7.42,0,7.6095,7.5586
2020-08-20,6.21,7.25,6.21,7.25,2400,7.5615,7.5292
2020-08-21,7.21,7.25,7.25,7.25,0,7.5305,7.5026
2020-08-24,6.17,7.25,6.17,7.17,8000,7.4975,7.4709
2020-08-25,6.04,7.0,6.04,7.0,5100,7.4725,7.4261
2020-08-26,6.04,6.04,6.04,6.04,100,7.3995,7.2941
2020-08-27,6.87,6.87,6.87,6.87,7551,7.3575,7.2537
2020-08-28,5.87,6.79,5.87,6.79,9100,7.3115,7.2095
2020-08-31,5.79,6.62,5.79,6.62,7200,7.257,7.1534
2020-09-01,6.62,6.62,6.62,6.62,0,7.2025,7.1026
2020-09-03,5.67,5.67,5.67,5.67,500,7.1005,6.9661
2020-09-04,6.42,6.42,5.71,5.71,8649,7.0005,6.8465
2020-09-07,5.83,5.83,5.83,5.83,100,6.917,6.7497
2020-09-08,5.83,5.83,5.83,5.83,0,6.8335,6.6621
2020-09-09,6.17,6.25,5.08,5.08,7000,6.7125,6.5114
2020-09-10,6.46,6.46,6.46,6.46,5800,6.6645,6.5065
2020-09-11,6.25,7.25,6.25,7.25,8500,6.656,6.5773
2020-09-14,6.87,7.25,7.25,7.25,0,6.6475,6.6414
2020-09-15,6.87,7.25,7.25,7.25,0,6.639,6.6994
2020-09-16,5.92,5.92,5.92,5.92,1400,6.564,6.6251
2020-09-17,6.62,6.62,5.08,5.08,1100,6.447,6.478
2020-09-18,5.04,5.04,5.0,5.04,1600,6.3365,6.341
2020-09-21,5.75,5.75,5.08,5.08,800,6.228,6.2209
2020-09-22,5.75,5.75,5.75,5.75,100,6.157,6.1761
2020-09-23,5.75,5.75,5.75,5.75,1000,6.0945,6.1355
2020-09-24,5.17,5.79,5.08,5.42,9400,6.0635,6.0674
2020-09-25,5.62,6.5,5.62,6.46,11099,6.043,6.1048
2020-09-28,6.42,7.08,6.42,7.08,8500,6.0575,6.1976
2020-09-29,7.0,7.37,7.0,7.37,5300,6.095,6.3093
2020-09-30,7.33,7.37,7.37,7.37,0,6.1325,6.4103
2020-10-01,7.33,7.37,7.37,7.37,0,6.2175,6.5017
2020-10-02,7.33,7.37,7.37,7.37,0,6.3005,6.5844
2020-10-05,7.33,7.37,7.37,7.37,0,6.3775,6.6592
2020-10-06,7.33,7.37,7.37,7.37,0,6.4545,6.7269
