time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,11.44,11.44,11.44,11.44,0,,
2020-01-03,10.35,10.35,10.35,10.35,100,,
2020-01-06,9.45,10.05,9.45,10.05,5500,,
2020-01-07,9.35,9.95,9.35,9.45,19300,,
2020-01-08,9.45,9.45,9.45,9.45,600,,
2020-01-09,8.86,9.45,8.86,9.45,12000,,
2020-01-10,8.76,9.45,8.76,9.45,19700,,
2020-01-13,9.35,9.45,9.35,9.45,6300,,
2020-01-14,8.86,9.75,8.86,9.75,5000,,
2020-01-15,9.45,10.15,9.16,9.16,9300,,
2020-01-16,9.45,9.45,8.86,9.16,8800,,
2020-01-17,8.96,9.06,8.96,9.06,2500,,
2020-01-20,8.96,8.96,8.86,8.86,5900,,
2020-01-21,8.96,9.16,8.86,8.86,4500,,
2020-01-22,9.26,9.45,8.96,8.96,25600,,
2020-01-30,9.16,9.16,9.16,9.16,2000,,
2020-01-31,8.76,9.95,8.76,9.85,6900,,
2020-02-03,8.96,9.35,8.96,9.35,11700,,
2020-02-04,8.66,9.06,8.66,9.06,13500,,
2020-02-05,8.96,9.16,8.66,8.86,23200,9.459,9.5683
2020-02-06,8.46,8.86,8.46,8.86,11500,9.33,9.5008
2020-02-07,8.46,8.86,8.46,8.46,6900,9.2355,9.4017
2020-02-10,8.96,8.96,8.76,8.86,3500,9.176,9.3501
2020-02-11,8.46,8.76,8.46,8.76,10000,9.1415,9.2939
2020-02-12,8.56,9.16,8.36,9.16,40800,9.127,9.2812
2020-02-13,9.16,9.16,9.16,9.16,100,9.1125,9.2696
2020-02-14,9.16,9.16,9.16,9.16,0,9.098,9.2592
2020-02-17,8.46,8.76,8.46,8.46,16200,9.0485,9.1831
2020-02-18,8.26,8.26,8.26,8.26,200,8.974,9.0952
2020-02-19,8.26,8.26,8.26,8.26,0,8.929,9.0156
2020-02-20,8.26,8.46,8.26,8.36,29300,8.889,8.9532
2020-02-21,7.96,8.16,7.96,8.16,6000,8.844,8.8776
2020-02-24,8.46,8.66,8.36,8.56,5600,8.829,8.8474
2020-02-25,8.46,8.46,8.16,8.16,7800,8.794,8.7819
2020-02-26,8.16,8.96,8.16,8.96,55100,8.794,8.7989
2020-02-27,8.96,9.55,8.36,8.96,142400,8.784,8.8142
2020-02-28,8.96,9.16,8.26,9.16,40800,8.7495,8.8472
2020-03-02,8.36,8.36,8.36,8.36,400,8.7,8.8008
2020-03-03,8.46,8.46,8.36,8.36,21600,8.665,8.7588
2020-03-04,8.46,8.46,7.76,8.36,31500,8.64,8.7208
2020-03-05,8.06,8.36,7.96,8.26,13500,8.61,8.6769
2020-03-06,8.06,8.36,7.86,8.36,8800,8.605,8.6467
2020-03-09,8.26,8.46,7.96,8.46,10500,8.585,8.629
2020-03-10,8.36,8.46,7.86,8.46,6600,8.57,8.6129
2020-03-11,8.36,8.36,7.86,8.26,3200,8.525,8.5793
2020-03-12,7.46,8.26,7.46,7.96,16700,8.465,8.5203
2020-03-13,7.86,7.86,7.76,7.76,1700,8.395,8.4479
2020-03-16,7.46,7.56,7.46,7.56,1500,8.35,8.3633
2020-03-17,6.87,7.56,6.87,7.46,7500,8.31,8.2773
2020-03-18,7.56,8.16,6.77,8.16,8500,8.305,8.2661
2020-03-19,7.46,8.26,7.46,8.26,5300,8.3,8.2655
2020-03-20,7.96,8.26,7.66,7.96,10700,8.29,8.2364
2020-03-23,7.96,7.96,7.17,7.17,41100,8.2205,8.1349
2020-03-24,7.17,7.36,6.97,7.36,5700,8.1805,8.0611
2020-03-25,6.77,7.96,6.77,7.96,24300,8.1305,8.0514
2020-03-26,7.26,7.76,7.17,7.46,17500,8.0555,7.9951
2020-03-27,6.77,7.26,6.77,7.07,7500,7.951,7.907
2020-03-30,7.07,7.07,6.47,6.97,19800,7.8815,7.8178
2020-03-31,6.37,7.46,6.37,7.46,700,7.8365,7.7837
2020-04-01,6.77,6.97,6.77,6.77,2600,7.757,7.6872
