time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,37.74,37.74,37.74,35.4,62,,
2020-01-03,37.74,37.74,37.74,35.4,95,,
2020-01-06,32.54,32.54,32.54,32.54,500,,
2020-01-07,27.87,27.87,27.87,27.87,300,,
2020-01-08,27.87,27.87,27.87,27.87,0,,
2020-01-09,27.87,27.87,27.87,27.87,0,,
2020-01-10,27.87,27.87,27.78,27.78,400,,
2020-01-13,27.87,27.87,27.87,27.87,3800,,
2020-01-14,27.87,27.87,27.87,27.87,0,,
2020-01-15,27.87,27.87,27.87,27.87,0,,
2020-01-16,27.7,27.87,27.7,27.87,908,,
2020-01-17,27.7,27.87,27.87,27.87,0,,
2020-01-20,27.7,27.87,27.87,27.87,0,,
2020-01-21,27.7,27.7,27.7,27.7,108,,
2020-01-22,27.7,27.78,27.7,27.78,400,,
2020-01-30,27.78,27.78,27.78,27.78,800,,
2020-01-31,27.78,27.78,27.78,27.78,0,,
2020-02-03,30.55,30.55,30.55,30.55,100,,
2020-02-04,30.55,30.55,30.55,30.55,0,,
2020-02-05,30.55,30.55,30.55,30.55,30,29.232,29.8606
2020-02-06,30.55,30.55,30.55,30.55,0,28.9895,29.9262
2020-02-07,30.55,30.55,30.55,30.55,0,28.747,29.9856
2020-02-10,30.55,30.55,30.55,30.55,0,28.6475,30.0394
2020-02-11,30.55,30.55,30.55,30.55,0,28.7815,30.088
2020-02-12,28.56,30.47,28.56,30.47,900,28.9115,30.1244
2020-02-13,29.34,29.34,29.34,30.47,10,29.0415,30.1573
2020-02-14,33.67,33.67,33.67,33.67,100,29.336,30.4919
2020-02-17,33.67,33.67,33.67,33.67,0,29.626,30.7945
2020-02-18,34.62,34.62,33.32,33.32,2500,29.8985,31.0351
2020-02-19,33.75,33.75,33.75,33.75,100,30.1925,31.2936
2020-02-20,33.75,33.75,33.75,33.75,0,30.4865,31.5276
2020-02-21,33.75,33.75,33.75,33.75,0,30.7805,31.7392
2020-02-24,33.75,33.75,33.75,33.75,0,31.0745,31.9307
2020-02-25,33.75,33.75,33.75,33.75,0,31.377,32.104
2020-02-26,33.67,33.67,33.67,33.67,300,31.6715,32.2531
