time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,0.7,0.8,0.8,0.8,0,,
2020-01-03,0.8,0.8,0.6,0.7,149500,,
2020-01-06,0.7,0.7,0.7,0.7,0,,
2020-01-07,0.7,0.7,0.7,0.7,0,,
2020-01-08,0.7,0.7,0.7,0.7,0,,
2020-01-09,0.7,0.7,0.7,0.7,0,,
2020-01-10,0.6,0.8,0.6,0.8,99320,,
2020-01-13,0.7,0.8,0.8,0.8,0,,
2020-01-14,0.7,0.8,0.8,0.8,0,,
2020-01-15,0.7,0.8,0.8,0.8,0,,
2020-01-16,0.7,0.8,0.8,0.8,0,,
2020-01-17,0.6,0.8,0.6,0.7,47700,,
2020-01-20,0.8,0.7,0.7,0.7,0,,
2020-01-21,0.8,0.7,0.7,0.7,0,,
2020-01-22,0.8,0.7,0.7,0.7,0,,
2020-01-30,0.8,0.7,0.7,0.7,0,,
2020-01-31,0.7,0.8,0.7,0.7,25320,,
2020-02-03,0.7,0.7,0.7,0.7,0,,
2020-02-04,0.7,0.7,0.7,0.7,0,,
2020-02-05,0.7,0.7,0.7,0.7,0,0.73,0.7309
2020-02-06,0.7,0.7,0.7,0.7,0,0.725,0.728
2020-02-07,0.6,0.7,0.6,0.6,145400,0.72,0.7158
2020-02-10,0.6,0.6,0.6,0.6,0,0.715,0.7048
2020-02-11,0.6,0.6,0.6,0.6,0,0.71,0.6948
2020-02-12,0.6,0.6,0.6,0.6,0,0.705,0.6858
2020-02-13,0.6,0.6,0.6,0.6,0,0.7,0.6776
2020-02-14,0.6,0.7,0.5,0.7,193000,0.695,0.6797
2020-02-17,0.6,0.7,0.7,0.7,0,0.69,0.6817
2020-02-18,0.6,0.7,0.7,0.7,0,0.685,0.6834
2020-02-19,0.6,0.7,0.7,0.7,0,0.68,0.685
2020-02-20,0.6,0.7,0.7,0.7,0,0.675,0.6864
2020-02-21,0.5,0.7,0.5,0.6,10100,0.67,0.6782
2020-02-24,0.6,0.6,0.6,0.6,0,0.665,0.6707
2020-02-25,0.6,0.6,0.6,0.6,0,0.66,0.664
2020-02-26,0.6,0.6,0.6,0.6,0,0.655,0.6579
2020-02-27,0.6,0.6,0.6,0.6,0,0.65,0.6524
2020-02-28,0.7,0.7,0.5,0.6,52800,0.645,0.6474
2020-03-02,0.5,0.6,0.6,0.6,0,0.64,0.6429
2020-03-03,0.5,0.6,0.6,0.6,0,0.635,0.6388
2020-03-04,0.5,0.6,0.6,0.6,0,0.63,0.6351
2020-03-05,0.5,0.6,0.6,0.6,0,0.625,0.6318
2020-03-06,0.6,0.6,0.5,0.6,71370,0.625,0.6287
2020-03-09,0.6,0.6,0.6,0.6,0,0.625,0.626
2020-03-10,0.6,0.6,0.6,0.6,0,0.625,0.6235
2020-03-11,0.6,0.6,0.6,0.6,0,0.625,0.6213
2020-03-12,0.6,0.6,0.6,0.6,0,0.625,0.6193
2020-03-13,0.7,0.7,0.5,0.6,574600,0.62,0.6174
2020-03-16,0.5,0.6,0.6,0.6,0,0.615,0.6158
2020-03-17,0.5,0.6,0.6,0.6,0,0.61,0.6143
2020-03-18,0.5,0.6,0.6,0.6,0,0.605,0.6129
2020-03-19,0.5,0.6,0.6,0.6,0,0.6,0.6117
2020-03-20,0.6,0.6,0.5,0.6,24100,0.6,0.6106
2020-03-23,0.5,0.6,0.6,0.6,0,0.6,0.6096
2020-03-24,0.5,0.6,0.6,0.6,0,0.6,0.6086
2020-03-25,0.5,0.6,0.6,0.6,0,0.6,0.6078
2020-03-26,0.5,0.6,0.6,0.6,0,0.6,0.6071
2020-03-27,0.6,0.6,0.5,0.6,21600,0.6,0.6064
2020-03-30,0.6,0.6,0.6,0.6,0,0.6,0.6058
2020-03-31,0.6,0.6,0.6,0.6,0,0.6,0.6052
2020-04-01,0.6,0.6,0.6,0.6,0,0.6,0.6047
2020-04-03,0.6,0.6,0.5,0.5,11100,0.595,0.5948
2020-04-06,0.6,0.5,0.5,0.5,0,0.59,0.5857
2020-04-07,0.6,0.5,0.5,0.5,0,0.585,0.5776
2020-04-08,0.6,0.5,0.5,0.5,0,0.58,0.5702
2020-04-09,0.6,0.5,0.5,0.5,0,0.575,0.5635
2020-04-10,0.6,0.6,0.5,0.6,652500,0.575,0.567
2020-04-13,0.5,0.6,0.6,0.6,0,0.575,0.5701
2020-04-14,0.5,0.6,0.6,0.6,0,0.575,0.573
2020-04-15,0.5,0.6,0.6,0.6,0,0.575,0.5755
2020-04-16,0.5,0.6,0.6,0.6,0,0.575,0.5779
2020-04-17,0.6,0.6,0.4,0.6,65900,0.575,0.58
2020-04-20,0.5,0.6,0.6,0.6,0,0.575,0.5819
2020-04-21,0.5,0.6,0.6,0.6,0,0.575,0.5836
2020-04-22,0.5,0.6,0.6,0.6,0,0.575,0.5852
2020-04-23,0.5,0.6,0.6,0.6,0,0.575,0.5866
2020-04-24,0.6,0.6,0.4,0.4,23250,0.565,0.5688
2020-04-27,0.5,0.4,0.4,0.4,0,0.555,0.5527
2020-04-28,0.5,0.4,0.4,0.4,0,0.545,0.5382
2020-04-29,0.5,0.4,0.4,0.4,0,0.535,0.525
2020-05-04,0.5,0.4,0.4,0.4,0,0.525,0.5131
2020-05-05,0.5,0.4,0.4,0.4,0,0.52,0.5023
2020-05-06,0.5,0.4,0.4,0.4,0,0.515,0.4926
2020-05-07,0.5,0.4,0.4,0.4,0,0.51,0.4838
2020-05-08,0.4,0.5,0.4,0.4,94120,0.505,0.4758
2020-05-11,0.5,0.4,0.4,0.4,0,0.5,0.4686
2020-05-12,0.5,0.4,0.4,0.4,0,0.49,0.4621
2020-05-13,0.5,0.4,0.4,0.4,0,0.48,0.4561
2020-05-14,0.5,0.4,0.4,0.4,0,0.47,0.4508
2020-05-15,0.5,0.5,0.4,0.5,4400,0.465,0.4555
2020-05-18,0.4,0.5,0.5,0.5,0,0.46,0.4597
2020-05-19,0.4,0.5,0.5,0.5,0,0.455,0.4636
2020-05-20,0.4,0.5,0.5,0.5,0,0.45,0.467
2020-05-21,0.4,0.5,0.5,0.5,0,0.445,0.4702
2020-05-22,0.5,0.5,0.4,0.5,138600,0.44,0.473
2020-05-25,0.5,0.5,0.5,0.5,0,0.435,0.4756
2020-05-26,0.5,0.5,0.5,0.5,0,0.44,0.4779
2020-05-27,0.5,0.5,0.5,0.5,0,0.445,0.48
2020-05-28,0.5,0.5,0.5,0.5,0,0.45,0.4819
2020-05-29,0.4,0.5,0.4,0.5,59600,0.455,0.4836
2020-06-01,0.5,0.5,0.5,0.5,0,0.46,0.4852
2020-06-02,0.5,0.5,0.5,0.5,0,0.465,0.4866
2020-06-03,0.5,0.5,0.5,0.5,0,0.47,0.4879
2020-06-04,0.5,0.5,0.5,0.5,0,0.475,0.489
2020-06-05,0.4,0.5,0.4,0.5,164700,0.48,0.4901
2020-06-08,0.4,0.5,0.5,0.5,0,0.485,0.491
2020-06-09,0.4,0.5,0.5,0.5,0,0.49,0.4919
2020-06-10,0.4,0.5,0.5,0.5,0,0.495,0.4927
2020-06-11,0.4,0.5,0.5,0.5,0,0.5,0.4934
2020-06-12,0.5,0.5,0.4,0.5,221000,0.5,0.494
2020-06-15,0.4,0.5,0.5,0.5,0,0.5,0.4946
2020-06-16,0.4,0.5,0.5,0.5,0,0.5,0.4951
2020-06-17,0.4,0.5,0.5,0.5,0,0.5,0.4955
2020-06-18,0.4,0.5,0.5,0.5,0,0.5,0.496
2020-06-19,0.5,0.5,0.4,0.5,16600,0.5,0.4964
2020-06-22,0.5,0.5,0.5,0.5,0,0.5,0.4967
2020-06-23,0.5,0.5,0.5,0.5,0,0.5,0.497
2020-06-24,0.5,0.5,0.5,0.5,0,0.5,0.4973
2020-06-25,0.5,0.5,0.5,0.5,0,0.5,0.4976
2020-06-26,0.4,0.6,0.4,0.5,175400,0.5,0.4978
2020-06-29,0.5,0.5,0.5,0.5,0,0.5,0.498
2020-06-30,0.5,0.5,0.5,0.5,0,0.5,0.4982
2020-07-01,0.5,0.5,0.5,0.5,0,0.5,0.4984
2020-07-02,0.5,0.5,0.5,0.5,0,0.5,0.4985
2020-07-03,0.4,0.6,0.4,0.4,111500,0.495,0.4891
2020-07-06,0.5,0.4,0.4,0.4,0,0.49,0.4806
