time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,5.95,5.95,5.95,5.95,0,,
2020-01-03,5.95,5.95,5.95,5.95,0,,
2020-01-06,5.95,5.95,5.95,5.95,0,,
2020-01-07,5.42,5.42,5.42,5.42,100,,
2020-01-08,5.42,5.42,5.42,5.42,0,,
2020-01-09,5.42,5.42,5.42,5.42,0,,
2020-01-10,5.42,5.42,5.42,5.42,0,,
2020-01-13,5.42,5.42,5.42,5.42,0,,
2020-01-14,5.42,5.42,5.42,5.42,0,,
2020-01-15,5.42,5.42,5.42,5.42,0,,
2020-01-16,5.42,5.42,5.42,5.42,0,,
2020-01-17,5.42,5.42,5.42,5.42,0,,
2020-01-20,5.42,5.42,5.42,5.42,0,,
2020-01-21,5.42,5.42,5.42,5.42,0,,
2020-01-22,5.42,5.42,5.42,5.42,0,,
2020-01-30,5.42,5.42,5.42,5.42,0,,
2020-01-31,5.42,5.42,5.42,5.42,0,,
2020-02-03,5.42,5.42,5.42,5.42,0,,
2020-02-04,5.42,5.42,5.42,5.42,0,,
2020-02-05,5.42,5.42,5.42,5.42,0,5.4995,5.5167
2020-02-06,5.42,5.42,5.42,5.42,0,5.473,5.5075
2020-02-07,5.42,5.42,5.42,5.42,0,5.4465,5.4991
2020-02-10,5.42,5.42,5.42,5.42,0,5.42,5.4916
2020-02-11,5.42,5.42,5.42,5.42,0,5.42,5.4848
2020-02-12,5.42,5.42,5.42,5.42,0,5.42,5.4786
2020-02-13,5.42,5.42,5.42,5.42,0,5.42,5.473
2020-02-14,5.42,5.42,5.42,5.42,0,5.42,5.468
2020-02-17,5.42,5.42,5.42,5.42,0,5.42,5.4634
2020-02-18,5.42,5.42,5.42,5.42,0,5.42,5.4593
2020-02-19,5.42,5.42,5.42,5.42,0,5.42,5.4555
2020-02-20,5.42,5.42,5.42,5.42,0,5.42,5.4522
2020-02-21,5.42,5.42,5.42,5.42,0,5.42,5.4491
2020-02-24,5.42,5.42,5.42,5.42,0,5.42,5.4463
2020-02-25,5.42,5.42,5.42,5.42,0,5.42,5.4438
2020-02-26,5.42,5.42,5.42,5.42,0,5.42,5.4415
2020-02-27,5.42,5.42,5.42,5.42,0,5.42,5.4395
2020-02-28,5.42,5.42,5.42,5.42,0,5.42,5.4376
2020-03-02,5.42,5.42,5.42,5.42,0,5.42,5.436
2020-03-03,5.42,5.42,5.42,5.42,0,5.42,5.4344
2020-03-04,5.42,5.42,5.42,5.42,0,5.42,5.4331
2020-03-05,5.42,5.42,5.42,5.42,0,5.42,5.4318
2020-03-06,5.42,5.42,5.42,5.42,0,5.42,5.4307
2020-03-09,5.42,5.42,5.42,5.42,0,5.42,5.4297
2020-03-10,5.42,5.42,5.42,5.42,0,5.42,5.4288
2020-03-11,5.42,5.42,5.42,5.42,0,5.42,5.4279
2020-03-12,5.42,5.42,5.42,5.42,0,5.42,5.4272
2020-03-13,5.42,5.42,5.42,5.42,0,5.42,5.4265
2020-03-16,5.42,5.42,5.42,5.42,0,5.42,5.4259
2020-03-17,5.42,5.42,5.42,5.42,0,5.42,5.4253
2020-03-18,5.42,5.42,5.42,5.42,0,5.42,5.4248
2020-03-19,5.42,5.42,5.42,5.42,0,5.42,5.4243
2020-03-20,5.42,5.42,5.42,5.42,0,5.42,5.4239
2020-03-23,5.42,5.42,5.42,5.42,0,5.42,5.4236
2020-03-24,5.42,5.42,5.42,5.42,0,5.42,5.4232
2020-03-25,5.42,5.42,5.42,5.42,0,5.42,5.4229
2020-03-26,5.42,5.42,5.42,5.42,0,5.42,5.4226
2020-03-27,5.42,5.42,5.42,5.42,0,5.42,5.4224
2020-03-30,5.42,5.42,5.42,5.42,0,5.42,5.4222
2020-03-31,5.42,5.42,5.42,5.42,0,5.42,5.422
2020-04-01,5.42,5.42,5.42,5.42,0,5.42,5.4218
2020-04-03,5.42,5.42,5.42,5.42,0,5.42,5.4216
2020-04-06,5.42,5.42,5.42,5.42,0,5.42,5.4214
2020-04-07,5.42,5.42,5.42,5.42,0,5.42,5.4213
2020-04-08,5.42,5.42,5.42,5.42,0,5.42,5.4212
2020-04-09,5.42,5.42,5.42,5.42,0,5.42,5.4211
2020-04-10,5.42,5.42,5.42,5.42,0,5.42,5.421
2020-04-13,4.88,5.95,4.88,5.95,12300,5.4465,5.4714
2020-04-14,5.42,5.42,5.42,5.42,1000,5.4465,5.4665
2020-04-15,5.42,5.42,5.42,5.42,0,5.4465,5.462
2020-04-16,4.88,4.88,4.88,4.88,10000,5.4195,5.4066
2020-04-17,4.42,5.35,4.42,4.42,11500,5.3695,5.3126
2020-04-20,4.01,4.08,4.01,4.08,500,5.3025,5.1952
2020-04-21,3.81,3.81,3.81,3.81,100,5.222,5.0633
2020-04-22,4.15,4.15,3.81,3.81,200,5.1415,4.944
2020-04-23,3.81,3.81,3.81,3.81,0,5.061,4.836
2020-04-24,4.15,4.15,3.55,3.55,200,4.9675,4.7135
2020-04-27,3.55,3.55,3.55,3.55,0,4.874,4.6027
2020-04-28,3.55,3.55,3.55,3.55,0,4.7805,4.5024
2020-04-29,3.88,3.88,3.21,3.21,200,4.67,4.3793
2020-05-04,3.21,3.21,3.21,3.21,0,4.5595,4.268
2020-05-05,3.21,3.21,3.21,3.21,0,4.449,4.1672
2020-05-06,3.48,3.48,3.01,3.01,2500,4.3285,4.057
2020-05-07,3.01,3.01,3.01,3.01,0,4.208,3.9573
2020-05-08,3.28,3.28,3.28,3.28,17100,4.101,3.8928
2020-05-11,3.55,3.55,3.55,3.55,100,4.0075,3.8601
2020-05-12,3.88,3.88,3.88,3.88,200,3.9305,3.862
2020-05-13,4.21,4.21,4.21,4.21,500,3.8435,3.8952
