time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,0.3,0.4,0.4,0.4,0,,
2020-01-03,0.4,0.4,0.3,0.4,847210,,
2020-01-06,0.3,0.4,0.4,0.4,0,,
2020-01-07,0.3,0.4,0.4,0.4,0,,
2020-01-08,0.3,0.4,0.4,0.4,0,,
2020-01-09,0.3,0.4,0.4,0.4,0,,
2020-01-10,0.3,0.4,0.3,0.3,2633360,,
2020-01-13,0.3,0.3,0.3,0.3,0,,
2020-01-14,0.3,0.3,0.3,0.3,0,,
2020-01-15,0.3,0.3,0.3,0.3,0,,
2020-01-16,0.3,0.3,0.3,0.3,0,,
2020-01-17,0.4,0.4,0.3,0.3,1228700,,
2020-01-20,0.3,0.3,0.3,0.3,0,,
2020-01-21,0.3,0.3,0.3,0.3,0,,
2020-01-22,0.3,0.3,0.3,0.3,0,,
2020-01-30,0.3,0.3,0.3,0.3,0,,
2020-01-31,0.3,0.4,0.3,0.4,1513610,,
2020-02-03,0.4,0.4,0.4,0.4,0,,
2020-02-04,0.4,0.4,0.4,0.4,0,,
2020-02-05,0.4,0.4,0.4,0.4,0,0.35,0.3576
2020-02-06,0.4,0.4,0.4,0.4,0,0.35,0.3617
2020-02-07,0.5,0.5,0.5,0.5,680938,0.355,0.3748
2020-02-10,0.5,0.5,0.5,0.5,0,0.36,0.3868
2020-02-11,0.5,0.5,0.5,0.5,0,0.365,0.3975
2020-02-12,0.5,0.5,0.5,0.5,0,0.37,0.4073
2020-02-13,0.5,0.5,0.5,0.5,0,0.375,0.4161
2020-02-14,0.6,0.6,0.5,0.6,614917,0.39,0.4336
2020-02-17,0.6,0.6,0.6,0.6,0,0.405,0.4495
2020-02-18,0.6,0.6,0.6,0.6,0,0.42,0.4638
2020-02-19,0.6,0.6,0.6,0.6,0,0.435,0.4768
2020-02-20,0.6,0.6,0.6,0.6,0,0.45,0.4885
2020-02-21,0.6,0.6,0.5,0.6,1345859,0.465,0.4991
2020-02-24,0.5,0.6,0.6,0.6,0,0.48,0.5087
2020-02-25,0.5,0.6,0.6,0.6,0,0.495,0.5174
2020-02-26,0.5,0.6,0.6,0.6,0,0.51,0.5253
2020-02-27,0.5,0.6,0.6,0.6,0,0.525,0.5324
2020-02-28,0.5,0.6,0.4,0.6,2240145,0.535,0.5388
2020-03-02,0.5,0.6,0.6,0.6,0,0.545,0.5447
2020-03-03,0.5,0.6,0.6,0.6,0,0.555,0.5499
2020-03-04,0.5,0.6,0.6,0.6,0,0.565,0.5547
2020-03-05,0.5,0.6,0.6,0.6,0,0.575,0.559
2020-03-06,0.6,0.6,0.5,0.6,1007391,0.58,0.5629
2020-03-09,0.5,0.6,0.6,0.6,0,0.585,0.5665
2020-03-10,0.5,0.6,0.6,0.6,0,0.59,0.5697
2020-03-11,0.5,0.6,0.6,0.6,0,0.595,0.5725
