time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,9.65,10.7,9.65,9.91,500,,
2020-01-03,10.05,10.05,10.05,10.05,10,,
2020-01-06,9.48,9.69,9.48,9.69,2270,,
2020-01-07,9.44,9.44,9.44,9.44,10,,
2020-01-08,9.08,9.69,9.08,9.69,20,,
2020-01-09,10.01,10.01,9.8,9.8,410,,
2020-01-10,9.69,9.69,9.69,9.69,10,,
2020-01-13,9.22,9.98,9.22,9.98,20,,
2020-01-14,9.44,9.44,9.44,9.44,10,,
2020-01-15,8.83,9.98,8.83,9.98,1370,,
2020-01-16,9.98,9.98,9.98,9.98,0,,
2020-01-17,9.37,9.37,9.37,9.37,10,,
2020-01-20,8.87,8.87,8.87,8.87,10,,
2020-01-21,8.87,8.87,8.87,8.87,10,,
2020-01-22,8.72,8.72,8.72,8.72,10,,
2020-01-30,8.72,8.72,8.72,8.72,40,,
2020-01-31,8.72,8.72,8.72,8.72,0,,
2020-02-03,8.72,8.72,8.72,8.72,3150,,
2020-02-04,8.29,8.29,8.29,8.29,10,,
2020-02-05,8.29,8.29,8.29,8.29,0,9.311,9.1369
2020-02-06,8.29,8.29,8.29,8.29,0,9.23,9.0562
2020-02-07,7.93,8.87,7.93,8.87,110,9.171,9.0385
2020-02-10,8.87,8.87,8.87,8.87,0,9.13,9.0224
2020-02-11,8.87,8.87,8.87,8.87,0,9.1015,9.0079
2020-02-12,8.87,8.87,8.87,8.87,0,9.0605,8.9948
2020-02-13,8.87,8.87,8.87,8.87,0,9.014,8.9829
2020-02-14,8.87,8.87,8.87,8.87,0,8.973,8.9721
2020-02-17,8.43,8.43,8.43,8.43,10,8.8955,8.9205
2020-02-18,8.08,8.08,8.08,8.08,10,8.8275,8.8405
2020-02-19,8.08,8.08,8.08,8.08,0,8.7325,8.768
2020-02-20,8.08,8.08,8.08,8.08,0,8.6375,8.7025
2020-02-21,8.08,8.08,8.08,8.08,0,8.573,8.6432
2020-02-24,8.08,8.08,8.08,8.08,0,8.5335,8.5896
2020-02-25,8.08,8.08,8.08,8.08,0,8.494,8.541
2020-02-26,8.61,8.61,8.61,8.61,50,8.4885,8.5476
2020-02-27,9.19,9.19,9.19,9.19,20,8.512,8.6088
2020-02-28,9.8,9.8,9.8,9.8,110,8.566,8.7222
2020-03-02,9.12,9.12,9.12,9.12,20,8.586,8.7601
2020-03-03,9.12,9.12,9.12,9.12,0,8.6275,8.7944
2020-03-04,9.73,9.73,9.73,9.73,20,8.6995,8.8835
2020-03-05,9.08,10.34,9.08,10.34,30,8.802,9.0222
2020-03-06,10.34,10.34,10.34,10.34,10,8.8755,9.1477
2020-03-09,10.34,10.34,10.34,10.34,0,8.949,9.2613
2020-03-10,10.77,10.77,10.77,10.77,20,9.044,9.405
2020-03-11,10.77,10.77,10.77,10.77,0,9.139,9.535
2020-03-12,10.01,10.01,10.01,10.01,10,9.196,9.5802
2020-03-13,10.01,10.01,10.01,10.01,0,9.253,9.6211
2020-03-16,10.01,10.01,10.01,10.01,0,9.332,9.6582
2020-03-17,10.7,10.7,10.7,10.7,10,9.463,9.7574
2020-03-18,11.41,11.41,11.41,11.41,10,9.6295,9.9148
2020-03-19,12.2,12.2,10.62,10.62,150,9.7565,9.9819
2020-03-20,9.91,11.34,9.91,10.05,800,9.855,9.9884
2020-03-23,10.05,10.73,9.44,9.44,130,9.923,9.9362
2020-03-24,9.44,9.44,9.44,9.44,0,9.991,9.8889
2020-03-25,10.09,10.09,8.79,8.79,80,10.0,9.7843
2020-03-26,9.4,9.4,8.26,8.26,20,9.9535,9.6391
2020-03-27,8.83,8.83,8.83,8.83,10,9.905,9.5621
2020-03-30,8.26,9.44,8.22,8.65,130,9.8815,9.4752
2020-03-31,8.11,8.29,8.11,8.26,40,9.8385,9.3595
2020-04-01,8.83,8.83,8.83,8.83,30,9.7935,9.309
2020-04-03,8.83,8.83,8.83,8.83,0,9.718,9.2634
2020-04-06,8.29,8.29,8.29,8.29,20,9.6155,9.1707
2020-04-07,8.29,8.29,8.29,8.29,0,9.513,9.0868
2020-04-08,8.87,8.87,8.87,8.87,10,9.418,9.0662
2020-04-09,9.48,9.48,8.97,8.97,50,9.328,9.057
2020-04-10,9.58,9.58,9.08,9.08,20,9.2815,9.0592
2020-04-13,9.69,9.69,9.69,9.69,10,9.2655,9.1193
2020-04-14,10.34,10.34,10.34,10.34,10,9.282,9.2355
2020-04-15,11.05,11.05,11.05,11.05,360,9.2995,9.4083
2020-04-16,11.81,11.81,10.3,10.3,410,9.244,9.4933
2020-04-17,11.02,11.02,10.3,10.3,100,9.228,9.5701
2020-04-20,10.12,11.02,10.12,11.02,60,9.2765,9.7082
2020-04-21,11.02,11.02,10.26,10.26,1410,9.3175,9.7607
2020-04-22,10.98,10.98,9.55,9.55,120,9.323,9.7407
2020-04-23,8.97,8.97,8.97,8.97,10,9.332,9.6673
2020-04-24,9.58,9.58,9.58,9.58,10,9.398,9.659
2020-04-27,10.23,10.23,9.87,9.87,30,9.45,9.6791
2020-04-28,9.87,9.87,9.87,9.87,0,9.511,9.6972
2020-04-29,10.55,10.55,10.55,10.55,10,9.6255,9.7785
2020-05-04,9.91,11.27,9.91,11.27,1560,9.7475,9.9205
2020-05-05,12.02,12.02,12.02,12.02,570,9.907,10.1205
