time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,8.06,8.33,8.06,8.27,772480,,
2020-01-03,8.25,8.36,8.09,8.09,975360,,
2020-01-06,8.21,8.21,7.85,7.85,764100,,
2020-01-07,7.79,7.94,7.79,7.9,709120,,
2020-01-08,7.83,7.83,7.35,7.35,3566640,,
2020-01-09,7.45,7.53,7.38,7.41,684380,,
2020-01-10,7.38,7.44,7.06,7.1,1490520,,
2020-01-13,7.03,7.39,7.03,7.27,944920,,
2020-01-14,7.38,7.38,7.15,7.17,697200,,
2020-01-15,7.2,7.34,7.19,7.34,781810,,
2020-01-16,7.34,7.4,7.24,7.25,626030,,
2020-01-17,7.2,7.31,7.18,7.18,452930,,
2020-01-20,7.15,7.18,7.09,7.18,658050,,
2020-01-21,7.2,7.38,7.2,7.38,564510,,
2020-01-22,7.41,7.48,7.32,7.48,572440,,
2020-01-30,7.4,7.4,7.1,7.1,893750,,
2020-01-31,7.02,7.1,6.61,6.61,1712990,,
2020-02-03,6.15,6.36,6.15,6.15,2731150,,
2020-02-04,6.08,6.3,5.72,5.72,5745580,,
2020-02-05,5.75,6.11,5.75,6.07,2321310,7.1935,7.0707
2020-02-06,6.07,6.26,6.01,6.08,2404910,7.084,6.9763
2020-02-07,6.08,6.4,6.03,6.32,2253090,6.9955,6.9138
2020-02-10,5.98,6.23,5.96,6.06,1258720,6.906,6.8325
2020-02-11,6.15,6.15,5.98,6.03,1650760,6.8125,6.7561
2020-02-12,6.08,6.17,6.02,6.03,2110290,6.7465,6.6869
2020-02-13,6.03,6.1,5.94,5.96,1271980,6.674,6.6177
2020-02-14,5.96,6.08,5.94,6.05,1357900,6.6215,6.5636
2020-02-17,6.08,6.43,6.08,6.35,3414430,6.5755,6.5433
2020-02-18,6.38,6.63,6.35,6.47,2724090,6.5405,6.5363
2020-02-19,6.4,6.45,6.22,6.22,2605420,6.4845,6.5062
2020-02-20,6.26,6.38,6.22,6.27,2180620,6.4355,6.4837
2020-02-21,6.27,6.37,6.08,6.1,3116740,6.3815,6.4471
2020-02-24,5.82,5.98,5.68,5.68,4546310,6.3065,6.3741
2020-02-25,5.42,5.8,5.34,5.8,2777990,6.2275,6.3194
2020-02-26,5.48,5.8,5.48,5.8,1836750,6.1435,6.2699
2020-02-27,5.7,5.8,5.65,5.8,1700320,6.0785,6.2252
2020-02-28,5.54,5.65,5.43,5.43,2124410,6.0195,6.1495
2020-03-02,5.43,5.65,5.35,5.51,2492540,5.9875,6.0886
2020-03-03,5.61,5.83,5.55,5.82,3526410,5.9925,6.063
2020-03-04,5.8,6.23,5.72,6.23,5318060,6.0005,6.0789
2020-03-05,6.36,6.42,6.03,6.03,2863800,5.998,6.0742
2020-03-06,5.94,6.45,5.85,6.45,5402110,6.0045,6.11
2020-03-09,6.0,6.17,6.0,6.0,3267870,6.0015,6.0995
2020-03-10,5.8,6.13,5.61,6.07,3351590,6.0035,6.0967
2020-03-11,6.08,6.22,5.65,5.79,3837990,5.9915,6.0675
2020-03-12,5.51,6.08,5.38,6.08,4330150,5.9975,6.0687
2020-03-13,5.65,5.98,5.65,5.97,2452060,5.9935,6.0593
2020-03-16,5.97,5.98,5.63,5.8,2653980,5.966,6.0346
2020-03-17,5.54,5.8,5.47,5.8,1980130,5.9325,6.0123
2020-03-18,5.89,5.89,5.7,5.8,2722220,5.9115,5.992
2020-03-19,5.69,5.75,5.53,5.75,2046410,5.8855,5.969
2020-03-20,5.67,5.76,5.56,5.65,1467310,5.863,5.9386
2020-03-23,5.61,5.61,5.26,5.26,1623960,5.842,5.874
2020-03-24,5.14,5.14,4.9,4.9,3657770,5.797,5.7812
2020-03-25,5.05,5.17,4.87,5.17,2949640,5.7655,5.723
2020-03-26,5.0,5.13,4.81,4.81,812560,5.716,5.6361
2020-03-27,4.81,4.81,4.48,4.48,2320850,5.6685,5.526
2020-03-30,4.17,4.17,4.17,4.17,273350,5.6015,5.3968
2020-03-31,3.88,3.88,3.88,3.88,336180,5.5045,5.2524
2020-04-01,3.61,4.11,3.61,3.89,18723660,5.3875,5.1226
2020-04-03,3.89,4.16,3.89,4.16,2578450,5.294,5.0309
2020-04-06,4.3,4.45,4.25,4.45,3148190,5.194,4.9756
2020-04-07,4.3,4.37,4.14,4.14,8800160,5.101,4.896
2020-04-08,3.93,4.43,3.88,4.42,5709570,5.0185,4.8507
2020-04-09,4.47,4.61,4.4,4.61,3341040,4.9595,4.8278
2020-04-10,4.42,4.77,4.38,4.77,5459000,4.894,4.8223
2020-04-13,4.66,4.85,4.6,4.77,3133640,4.834,4.8173
2020-04-14,4.73,4.77,4.53,4.58,3767220,4.773,4.7947
2020-04-15,4.66,4.75,4.55,4.67,3317350,4.7165,4.7828
2020-04-16,4.65,4.81,4.6,4.77,3321700,4.665,4.7816
2020-04-17,4.85,5.08,4.85,5.03,5111500,4.629,4.8053
2020-04-20,5.11,5.28,4.91,4.91,5920040,4.592,4.8152
2020-04-21,4.57,4.71,4.57,4.57,5577980,4.5575,4.7919
2020-04-22,4.3,4.59,4.26,4.57,3909030,4.541,4.7707
2020-04-23,4.67,4.67,4.54,4.58,1963790,4.5115,4.7526
2020-04-24,4.58,4.58,4.31,4.58,2116470,4.5,4.7361
2020-04-27,4.61,4.61,4.44,4.57,2561090,4.5045,4.7203
2020-04-28,4.58,4.75,4.5,4.58,2169040,4.525,4.707
2020-04-29,4.58,4.65,4.53,4.53,1265450,4.5575,4.6901
2020-05-04,4.53,4.57,4.26,4.43,3164920,4.5845,4.6653
2020-05-05,4.35,4.48,4.28,4.39,1215370,4.596,4.6391
2020-05-06,4.39,4.53,4.39,4.51,1166990,4.599,4.6268
2020-05-07,4.53,4.61,4.51,4.57,1342050,4.6205,4.6214
2020-05-08,4.58,4.77,4.55,4.63,3397520,4.631,4.6222
2020-05-11,4.65,4.86,4.65,4.86,3585790,4.6435,4.6449
2020-05-12,4.91,5.11,4.77,5.08,4248450,4.659,4.6863
2020-05-13,5.05,5.33,4.97,5.23,4548900,4.682,4.7381
2020-05-14,5.14,5.23,5.09,5.12,3788010,4.709,4.7745
2020-05-15,5.12,5.2,4.85,4.89,3670370,4.72,4.7855
2020-05-18,4.86,5.03,4.79,4.95,2001290,4.729,4.8011
2020-05-19,5.05,5.09,4.95,4.96,2574260,4.7255,4.8163
2020-05-20,4.95,5.01,4.92,4.93,1268080,4.7265,4.8271
2020-05-21,4.93,5.15,4.91,5.05,3790930,4.7505,4.8483
2020-05-22,5.05,5.15,4.91,4.91,3765520,4.7675,4.8542
2020-05-25,4.91,5.07,4.89,5.0,1555460,4.7885,4.8681
2020-05-26,5.05,5.35,5.04,5.35,7353870,4.827,4.914
2020-05-27,5.51,5.61,5.37,5.39,5877330,4.868,4.9593
2020-05-28,5.42,5.42,5.24,5.32,2253140,4.905,4.9937
2020-05-29,5.25,5.56,5.24,5.46,3919540,4.9515,5.0381
2020-06-01,5.47,5.83,5.47,5.78,5190390,5.019,5.1087
2020-06-02,5.87,5.87,5.55,5.56,4626350,5.0775,5.1517
2020-06-03,5.53,5.61,5.47,5.57,2323580,5.1305,5.1916
2020-06-04,5.7,5.74,5.56,5.58,3065370,5.181,5.2285
2020-06-05,5.54,5.8,5.54,5.75,3366700,5.237,5.2782
2020-06-08,5.96,6.1,5.89,6.03,4677950,5.2955,5.3498
2020-06-09,6.34,6.43,6.09,6.4,7521760,5.3615,5.4498
2020-06-10,6.45,6.66,6.21,6.6,8714250,5.43,5.5594
2020-06-11,6.6,7.06,6.14,6.14,11697980,5.481,5.6147
2020-06-12,5.8,6.36,5.8,6.26,5132190,5.5495,5.6761
2020-06-15,6.26,6.36,5.83,5.83,6583800,5.5935,5.6908
2020-06-16,6.03,6.05,5.86,5.95,3162530,5.643,5.7155
2020-06-17,5.95,6.04,5.79,5.8,3180240,5.6865,5.7235
2020-06-18,5.8,6.2,5.62,6.2,7180960,5.744,5.7689
2020-06-19,6.63,6.63,6.63,6.63,1316220,5.83,5.8509
2020-06-22,6.8,7.09,6.75,6.8,11525220,5.92,5.9413
2020-06-23,6.64,6.9,6.51,6.52,8435720,5.9785,5.9964
2020-06-24,6.63,6.82,6.46,6.46,4528400,6.032,6.0406
2020-06-25,6.28,6.5,6.19,6.36,5217860,6.084,6.071
2020-06-26,6.51,6.51,6.21,6.24,3942060,6.123,6.0871
2020-06-29,6.09,6.16,5.81,5.81,6677110,6.1245,6.0607
2020-06-30,5.98,5.98,5.42,5.61,4880610,6.127,6.0178
2020-07-01,5.61,6.0,5.51,6.0,3799450,6.1485,6.0161
2020-07-02,6.07,6.12,5.92,5.98,1997570,6.1685,6.0126
2020-07-03,5.98,6.06,5.96,5.96,1525260,6.179,6.0076
2020-07-06,6.03,6.15,5.94,6.05,2035730,6.18,6.0117
2020-07-07,6.12,6.16,5.95,5.95,2579560,6.1575,6.0058
2020-07-08,5.91,6.06,5.91,5.94,1512130,6.1245,5.9995
2020-07-09,5.98,6.11,5.94,6.01,1616540,6.118,6.0005
2020-07-10,6.01,6.35,5.98,6.23,3629320,6.1165,6.0224
