time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,8.23,8.23,8.23,8.23,10,,
2020-01-03,7.8,8.2,7.66,8.1,6170,,
2020-01-06,7.6,7.99,7.6,7.9,440,,
2020-01-07,8.0,8.0,7.45,8.0,12080,,
2020-01-08,8.0,8.0,7.55,7.95,2620,,
2020-01-09,7.55,7.96,7.5,7.5,17790,,
2020-01-10,8.0,8.0,7.5,7.9,3020,,
2020-01-13,7.97,7.97,7.45,7.6,4330,,
2020-01-14,7.31,7.89,7.31,7.8,990,,
2020-01-15,7.8,7.8,7.4,7.4,520,,
2020-01-16,7.4,7.8,7.3,7.3,5200,,
2020-01-17,7.4,7.4,7.4,7.4,10,,
2020-01-20,7.4,7.5,7.3,7.5,16220,,
2020-01-21,7.45,7.5,7.31,7.48,156660,,
2020-01-22,7.29,7.6,7.29,7.29,14980,,
2020-01-30,7.6,7.6,7.1,7.59,12790,,
2020-01-31,7.5,7.5,7.2,7.2,2110,,
2020-02-03,7.2,7.2,6.7,7.0,25440,,
2020-02-04,6.7,6.8,6.6,6.6,21490,,
2020-02-05,6.8,6.8,6.8,6.8,2010,7.527,7.44
2020-02-06,6.7,6.7,6.37,6.5,15370,7.4405,7.3505
2020-02-07,6.37,6.84,6.35,6.7,31480,7.3705,7.2885
2020-02-10,6.6,6.6,6.36,6.36,8510,7.2935,7.2001
2020-02-11,6.69,6.69,6.25,6.63,70,7.225,7.1458
2020-02-12,6.63,6.63,6.3,6.57,3830,7.156,7.091
2020-02-13,6.57,6.57,6.14,6.15,40100,7.0885,7.0013
2020-02-14,6.15,6.16,5.85,6.0,43210,6.9935,6.906
2020-02-17,6.0,6.39,5.9,6.29,29330,6.928,6.8473
2020-02-18,6.29,6.39,6.01,6.3,750,6.853,6.7952
2020-02-19,6.35,6.35,5.9,6.25,17960,6.7955,6.7433
2020-02-20,6.25,6.25,5.94,6.24,20120,6.7425,6.6953
2020-02-21,6.24,6.24,6.0,6.07,18740,6.676,6.6358
2020-02-24,6.0,6.2,5.85,5.9,21930,6.596,6.5657
2020-02-25,5.9,6.0,5.7,5.9,39740,6.517,6.5023
2020-02-26,5.98,5.98,5.9,5.9,5450,6.4475,6.4449
2020-02-27,5.9,6.0,5.6,6.0,1190,6.368,6.4026
2020-02-28,6.0,6.02,5.58,5.96,10020,6.306,6.3604
2020-03-02,6.0,6.0,5.6,5.62,2920,6.237,6.2899
2020-03-03,5.62,5.99,5.62,5.75,7460,6.1945,6.2385
2020-03-04,5.8,5.95,5.75,5.95,1700,6.152,6.211
2020-03-05,6.08,6.08,5.7,5.7,16750,6.112,6.1623
2020-03-06,5.6,5.87,5.5,5.72,41780,6.063,6.1202
2020-03-09,5.53,5.58,5.32,5.32,15040,6.011,6.044
2020-03-10,5.0,5.69,4.96,5.69,128750,5.964,6.0103
2020-03-11,5.69,5.69,5.3,5.3,18160,5.9005,5.9426
2020-03-12,5.3,5.3,4.94,5.29,21080,5.8575,5.8805
2020-03-13,4.92,5.45,4.92,4.92,94950,5.8035,5.789
2020-03-16,4.95,5.2,4.6,4.6,20590,5.719,5.6758
2020-03-17,4.4,4.74,4.4,4.66,72360,5.637,5.579
2020-03-18,4.4,4.89,4.4,4.63,14550,5.556,5.4886
2020-03-19,4.6,4.89,4.35,4.73,18860,5.4805,5.4164
2020-03-20,4.78,4.78,4.73,4.74,220,5.414,5.352
2020-03-23,4.74,4.74,4.41,4.66,31040,5.352,5.2861
2020-03-24,4.66,4.66,4.34,4.5,39110,5.282,5.2112
2020-03-25,4.4,4.65,4.4,4.64,47590,5.219,5.1568
2020-03-26,4.6,4.6,4.36,4.6,17450,5.149,5.1038
2020-03-27,4.54,4.59,4.3,4.3,5740,5.066,5.0272
2020-03-30,4.02,4.39,4.01,4.19,11970,4.9945,4.9475
2020-03-31,4.19,4.19,3.9,3.9,17270,4.902,4.8477
2020-04-01,4.09,4.09,4.0,4.09,36090,4.809,4.7756
2020-04-03,4.19,4.19,4.0,4.14,9720,4.731,4.715
2020-04-06,4.14,4.35,4.0,4.17,16910,4.6535,4.6631
2020-04-07,4.17,4.17,4.0,4.0,22140,4.5875,4.6
2020-04-08,4.1,4.18,3.9,4.1,36820,4.508,4.5524
2020-04-09,4.07,4.2,4.06,4.19,61000,4.4525,4.5178
2020-04-10,4.19,4.48,4.03,4.48,105750,4.412,4.5142
2020-04-13,4.79,4.79,4.79,4.79,38320,4.4055,4.5405
2020-04-14,5.12,5.12,5.0,5.1,130020,4.4305,4.5938
2020-04-15,4.9,5.12,4.88,5.09,29770,4.452,4.641
2020-04-16,4.87,5.09,4.87,5.08,41830,4.4745,4.6829
2020-04-17,5.08,5.12,4.73,5.12,96910,4.494,4.7245
2020-04-20,5.1,5.15,5.03,5.03,35810,4.5085,4.7536
