time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,12.11,12.19,12.01,12.19,4900,,
2020-01-03,12.13,12.17,12.13,12.17,4000,,
2020-01-06,12.07,12.07,12.07,12.07,100,,
2020-01-07,12.11,12.17,12.07,12.17,1800,,
2020-01-08,12.01,12.13,11.95,12.13,7200,,
2020-01-09,12.13,12.13,12.13,12.13,0,,
2020-01-10,12.13,12.13,12.13,12.13,0,,
2020-01-13,12.13,12.13,12.13,12.13,0,,
2020-01-14,12.31,12.31,12.31,12.31,100,,
2020-01-15,12.31,12.31,12.31,12.31,0,,
2020-01-16,12.31,12.31,12.31,12.31,7400,,
2020-01-17,12.31,12.31,12.31,12.31,0,,
2020-01-20,12.31,12.31,12.31,12.31,0,,
2020-01-21,12.31,12.31,12.31,12.31,0,,
2020-01-22,12.31,12.31,12.31,12.31,0,,
2020-01-30,12.29,12.29,12.29,12.29,400,,
2020-01-31,12.21,12.29,12.21,12.29,600,,
2020-02-03,12.25,12.25,12.25,12.25,8700,,
2020-02-04,12.25,12.25,12.25,12.25,0,,
2020-02-05,12.25,12.25,12.25,12.25,0,12.231,12.2469
2020-02-06,12.25,12.25,12.25,12.25,30,12.234,12.2472
2020-02-07,12.21,12.25,12.21,12.25,2900,12.238,12.2475
2020-02-10,11.34,11.34,11.34,11.34,100,12.2015,12.161
2020-02-11,12.21,12.21,11.92,12.21,3800,12.2035,12.1657
2020-02-12,12.21,12.21,12.21,12.21,0,12.2075,12.1699
2020-02-13,11.92,12.29,11.92,12.29,2800,12.2155,12.1814
2020-02-14,11.95,12.25,11.94,12.25,2500,12.2215,12.1879
2020-02-17,12.13,12.29,12.13,12.29,2600,12.2295,12.1976
2020-02-18,11.97,12.25,11.97,12.25,3000,12.2265,12.2026
2020-02-19,12.03,12.11,11.97,12.11,9830,12.2165,12.1938
2020-02-20,11.99,12.09,11.99,12.09,2800,12.2055,12.1839
2020-02-21,11.99,12.03,11.99,12.03,2300,12.1915,12.1692
2020-02-24,11.95,12.15,11.92,12.15,2600,12.1835,12.1674
2020-02-25,12.15,12.15,12.15,12.15,0,12.1755,12.1658
2020-02-26,12.11,12.19,11.92,12.19,2200,12.1695,12.1681
2020-02-27,11.99,12.21,11.95,12.21,8500,12.1655,12.1721
2020-02-28,12.21,12.21,12.21,12.21,6200,12.1615,12.1757
2020-03-02,12.21,12.21,12.21,12.21,0,12.1595,12.1789
2020-03-03,11.92,12.27,11.14,12.27,5000,12.1605,12.1876
2020-03-04,12.11,12.29,12.11,12.11,3200,12.1535,12.1802
2020-03-05,11.92,12.27,11.92,12.27,5900,12.1545,12.1888
2020-03-06,12.19,12.27,12.19,12.25,6900,12.1545,12.1946
2020-03-09,12.25,12.27,12.25,12.27,3300,12.201,12.2018
2020-03-10,12.19,12.23,12.19,12.23,9600,12.202,12.2045
2020-03-11,12.21,12.21,12.19,12.19,12800,12.201,12.2031
2020-03-12,12.11,12.11,12.11,12.11,1900,12.192,12.1942
2020-03-13,12.11,12.11,12.11,12.11,0,12.185,12.1862
2020-03-16,12.11,12.11,12.11,12.11,0,12.176,12.1789
2020-03-17,12.11,12.11,12.11,12.11,0,12.169,12.1724
2020-03-18,12.05,12.09,11.92,12.09,2200,12.168,12.1645
2020-03-19,10.92,12.2,10.9,12.2,1400,12.1735,12.1679
2020-03-20,12.15,12.15,12.15,12.15,500,12.1795,12.1662
2020-03-23,12.15,12.15,12.15,12.15,0,12.1795,12.1647
2020-03-24,12.15,12.15,12.15,12.15,0,12.1795,12.1633
2020-03-25,12.15,12.15,12.15,12.15,0,12.1775,12.162
2020-03-26,12.15,12.15,12.15,12.15,0,12.1745,12.1609
