time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,10.78,11.48,10.78,11.48,477860,,
2020-01-03,11.45,11.59,11.27,11.27,189440,,
2020-01-06,11.06,11.27,10.96,11.13,195270,,
2020-01-07,11.03,11.06,10.99,11.06,119310,,
2020-01-08,11.06,11.06,10.82,10.85,108920,,
2020-01-09,10.89,10.96,10.85,10.89,86070,,
2020-01-10,10.85,10.96,10.71,10.96,127930,,
2020-01-13,10.96,11.06,10.96,11.06,113210,,
2020-01-14,11.06,11.48,10.99,11.17,146450,,
2020-01-15,11.27,11.27,11.17,11.24,20860,,
2020-01-16,11.1,11.2,11.03,11.17,78960,,
2020-01-17,11.17,11.17,10.96,11.1,19610,,
2020-01-20,10.68,10.96,10.61,10.82,112930,,
2020-01-21,10.71,10.96,10.71,10.78,56060,,
2020-01-22,10.89,10.89,10.75,10.78,42100,,
2020-01-30,10.54,10.82,10.54,10.54,115570,,
2020-01-31,10.54,10.64,10.33,10.47,221570,,
2020-02-03,10.4,10.4,9.74,9.77,318000,,
2020-02-04,9.77,10.08,9.77,9.84,174020,,
2020-02-05,9.84,10.01,9.84,10.01,45800,10.8195,10.7093
2020-02-06,10.12,10.29,10.08,10.15,62910,10.753,10.656
2020-02-07,10.12,10.29,10.08,10.08,42920,10.6935,10.6012
2020-02-10,10.01,10.12,10.01,10.05,47420,10.6395,10.5487
2020-02-11,10.12,10.19,10.01,10.05,149540,10.589,10.5012
2020-02-12,10.12,10.36,10.08,10.36,136460,10.5645,10.4877
2020-02-13,10.19,10.43,10.12,10.4,31100,10.54,10.4794
2020-02-14,10.26,10.36,10.26,10.26,18600,10.505,10.4585
2020-02-17,10.15,10.29,10.15,10.26,50290,10.465,10.4396
2020-02-18,10.26,10.61,10.26,10.61,147490,10.437,10.4558
2020-02-19,10.68,10.82,10.61,10.68,88240,10.409,10.4772
2020-02-20,10.75,10.78,10.64,10.68,51570,10.3845,10.4965
2020-02-21,10.68,10.71,10.4,10.47,118850,10.353,10.494
2020-02-24,10.43,10.43,10.05,10.05,107560,10.3145,10.4517
2020-02-25,9.94,10.19,9.94,10.08,67630,10.2795,10.4163
2020-02-26,10.08,10.15,10.01,10.05,103520,10.243,10.3814
2020-02-27,10.15,10.19,10.05,10.12,60540,10.222,10.3565
2020-02-28,10.05,10.08,9.7,9.91,181650,10.194,10.314
2020-03-02,9.98,9.98,9.77,9.94,174040,10.2025,10.2784
