time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,14.38,14.38,14.38,14.38,0,,
2020-01-03,14.38,14.38,14.38,14.38,0,,
2020-01-06,14.38,14.38,14.38,14.38,0,,
2020-01-07,14.38,14.38,14.38,14.38,0,,
2020-01-08,14.38,14.38,14.38,14.38,0,,
2020-01-09,14.38,14.38,14.38,14.38,0,,
2020-01-10,14.38,14.38,14.38,14.38,0,,
2020-01-13,14.38,14.38,14.38,14.38,0,,
2020-01-14,14.38,14.38,14.38,14.38,0,,
2020-01-15,14.38,14.38,14.38,14.38,0,,
2020-01-16,14.38,14.38,14.38,14.38,0,,
2020-01-17,14.38,14.38,14.38,14.38,0,,
2020-01-20,14.38,14.38,14.38,14.38,0,,
2020-01-21,14.38,14.38,14.38,14.38,0,,
2020-01-22,15.61,15.61,15.61,15.61,100,,
2020-01-30,15.61,15.61,15.61,15.61,0,,
2020-01-31,16.36,16.36,16.36,16.36,100,,
2020-02-03,16.36,16.36,16.36,16.36,0,,
2020-02-04,16.36,16.36,16.36,16.36,0,,
2020-02-05,16.36,16.36,16.36,16.36,0,14.899,15.1827
2020-02-06,16.36,16.36,16.36,16.36,0,14.998,15.2948
2020-02-07,16.36,16.36,16.36,16.36,0,15.097,15.3963
2020-02-10,16.36,16.36,16.36,16.36,0,15.196,15.4881
2020-02-11,16.36,16.36,16.36,16.36,0,15.295,15.5711
2020-02-12,16.36,16.36,16.36,16.36,0,15.394,15.6462
2020-02-13,16.36,16.36,16.36,16.36,0,15.493,15.7142
2020-02-14,16.36,16.36,16.36,16.36,0,15.592,15.7757
2020-02-17,16.36,16.36,16.36,16.36,0,15.691,15.8314
2020-02-18,16.36,16.36,16.36,16.36,0,15.79,15.8817
2020-02-19,16.36,16.36,16.36,16.36,0,15.889,15.9273
2020-02-20,18.35,18.35,18.35,18.35,100,16.0875,16.158
2020-02-21,15.61,20.47,15.61,15.61,500,16.149,16.1058
2020-02-24,18.56,15.61,15.61,15.61,0,16.2105,16.0586
2020-02-25,18.56,15.61,15.61,15.61,0,16.272,16.0159
2020-02-26,15.82,15.82,15.82,15.82,100,16.2825,15.9972
2020-02-27,18.14,18.14,15.82,18.08,1200,16.406,16.1956
2020-02-28,18.56,18.56,18.56,18.56,200,16.516,16.4208
2020-03-02,18.56,18.56,18.56,18.56,0,16.626,16.6245
2020-03-03,15.82,15.82,15.82,15.82,3104,16.599,16.5479
2020-03-04,18.01,18.01,18.01,18.01,100,16.6815,16.6871
2020-03-05,19.1,19.1,19.1,19.1,100,16.8185,16.9169
2020-03-06,16.3,16.3,16.3,16.3,100,16.8155,16.8582
2020-03-09,18.62,18.62,18.62,18.62,100,16.9285,17.026
2020-03-10,18.62,18.62,18.62,18.62,0,17.0415,17.1778
2020-03-11,21.16,21.16,21.16,21.16,100,17.2815,17.557
2020-03-12,21.16,21.16,21.16,21.16,0,17.5215,17.9002
2020-03-13,21.16,21.16,21.16,21.16,0,17.7615,18.2106
2020-03-16,21.16,21.16,21.16,21.16,0,18.0015,18.4915
2020-03-17,18.01,18.01,18.01,18.01,100,18.084,18.4457
2020-03-18,15.34,16.23,15.34,16.23,200,18.0775,18.2347
2020-03-19,18.08,18.08,18.08,18.08,100,18.064,18.2199
2020-03-20,15.41,18.01,15.41,15.41,4506,18.054,17.9523
2020-03-23,17.73,17.73,17.73,17.73,100,18.16,17.9311
2020-03-24,17.73,17.73,17.73,17.73,0,18.266,17.912
2020-03-25,19.17,20.34,19.17,20.34,200,18.492,18.1432
2020-03-26,19.79,20.34,20.34,20.34,0,18.605,18.3524
2020-03-27,19.79,20.34,20.34,20.34,0,18.694,18.5417
2020-03-30,19.79,20.34,20.34,20.34,0,18.783,18.713
2020-03-31,19.79,20.34,20.34,20.34,0,19.009,18.8679
2020-04-01,19.79,20.34,20.34,20.34,0,19.1255,19.0081
2020-04-03,19.79,20.34,20.34,20.34,0,19.1875,19.135
2020-04-06,16.84,16.84,16.84,16.84,100,19.2145,18.9164
2020-04-07,19.31,19.31,15.06,15.75,2102,19.071,18.6149
2020-04-08,18.08,18.08,18.08,18.08,200,19.044,18.5639
2020-04-09,18.97,18.97,18.97,18.97,100,18.9345,18.6026
2020-04-10,18.97,18.97,18.97,18.97,0,18.825,18.6376
2020-04-13,18.97,18.97,18.97,18.97,0,18.7155,18.6692
2020-04-14,21.64,21.64,21.64,21.64,100,18.7395,18.9522
2020-04-15,21.64,21.64,21.64,21.64,0,18.921,19.2082
2020-04-16,21.64,21.64,21.64,21.64,0,19.1915,19.4398
2020-04-17,21.64,21.64,21.64,21.64,0,19.3695,19.6493
2020-04-20,21.64,21.64,21.64,21.64,0,19.681,19.8389
2020-04-21,21.64,21.64,21.64,21.64,0,19.8765,20.0104
2020-04-22,21.64,21.64,21.64,21.64,0,20.072,20.1656
2020-04-23,21.64,21.64,21.64,21.64,0,20.137,20.306
2020-04-24,21.64,21.64,21.64,21.64,0,20.202,20.4331
2020-04-27,18.42,18.42,18.42,18.42,100,20.106,20.2414
2020-04-28,15.68,20.47,15.68,19.72,22100,20.075,20.1917
2020-04-29,18.08,18.08,16.43,16.43,200,19.8795,19.8335
2020-05-04,17.8,17.8,17.8,17.8,100,19.7525,19.6398
2020-05-05,16.43,18.28,16.43,18.28,400,19.6495,19.5103
2020-05-06,16.43,18.42,16.43,18.42,800,19.7285,19.4064
2020-05-07,19.03,19.03,19.03,19.03,100,19.8925,19.3706
2020-05-08,19.72,19.72,19.72,19.72,100,19.9745,19.4039
2020-05-11,20.47,20.47,17.8,19.1,3500,19.981,19.3749
2020-05-12,20.61,20.61,20.34,20.4,600,20.0525,19.4726
2020-05-13,23.21,23.21,19.86,19.86,200,20.097,19.5095
2020-05-14,18.35,20.13,18.35,20.13,700,20.0215,19.5686
2020-05-15,21.29,21.29,21.29,21.29,100,20.004,19.7325
2020-05-18,21.29,21.29,21.29,21.29,0,19.9865,19.8808
2020-05-19,23.9,23.9,18.49,22.46,1400,20.0275,20.1265
