time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,19.45,19.45,19.45,19.45,0,,
2020-01-03,19.45,19.45,19.45,19.45,0,,
2020-01-06,19.45,19.45,19.45,19.45,0,,
2020-01-07,19.45,19.45,19.45,19.45,0,,
2020-01-08,19.45,19.45,19.45,19.45,0,,
2020-01-09,19.45,19.45,19.45,19.45,0,,
2020-01-10,19.45,19.45,19.45,19.45,0,,
2020-01-13,19.45,19.45,19.45,19.45,0,,
2020-01-14,19.45,19.45,19.45,19.45,0,,
2020-01-15,19.45,19.45,19.45,19.45,0,,
2020-01-16,19.45,19.45,19.45,19.45,0,,
2020-01-17,19.45,19.45,19.45,19.45,0,,
2020-01-20,22.03,22.03,22.03,22.03,100,,
2020-01-21,22.03,22.03,22.03,22.03,0,,
2020-01-22,22.03,22.03,22.03,22.03,0,,
2020-01-30,22.03,22.03,22.03,22.03,0,,
2020-01-31,22.03,22.03,22.03,22.03,0,,
2020-02-03,22.03,22.03,22.03,22.03,0,,
2020-02-04,22.03,22.03,22.03,22.03,0,,
2020-02-05,22.03,22.03,22.03,22.03,0,20.482,20.8715
2020-02-06,22.03,22.03,22.03,22.03,0,20.611,20.9818
2020-02-07,24.98,24.98,24.98,24.98,100,20.8875,21.3626
2020-02-10,24.98,24.98,24.98,24.98,0,21.164,21.7071
2020-02-11,24.98,24.98,24.98,24.98,0,21.4405,22.0188
2020-02-12,24.98,24.98,24.98,24.98,0,21.717,22.3008
2020-02-13,24.98,24.98,24.98,24.98,0,21.9935,22.556
2020-02-14,24.98,24.98,24.98,24.98,0,22.27,22.7869
2020-02-17,24.98,24.98,24.98,24.98,0,22.5465,22.9957
2020-02-18,24.98,24.98,24.98,24.98,0,22.823,23.1847
2020-02-19,24.98,24.98,24.98,24.98,0,23.0995,23.3557
2020-02-20,24.98,24.98,24.98,24.98,0,23.376,23.5104
2020-02-21,24.98,24.98,24.98,24.98,0,23.6525,23.6503
2020-02-24,24.98,24.98,24.98,24.98,0,23.8,23.777
2020-02-25,21.23,21.23,21.23,21.23,100,23.76,23.5344
2020-02-26,21.23,21.23,21.23,21.23,0,23.72,23.3149
2020-02-27,21.23,21.23,21.23,21.23,0,23.68,23.1164
2020-02-28,18.11,21.14,18.11,21.14,1000,23.6355,22.9282
2020-03-02,19.36,21.14,21.14,21.14,0,23.591,22.7579
2020-03-03,19.36,21.14,21.14,21.14,0,23.5465,22.6038
2020-03-04,19.36,21.14,21.14,21.14,0,23.502,22.4644
2020-03-05,19.36,21.14,21.14,21.14,0,23.4575,22.3382
2020-03-06,19.36,21.14,21.14,21.14,0,23.2655,22.2241
