time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,9.7,9.7,9.7,9.7,0,,
2020-01-03,9.7,9.7,9.7,9.7,0,,
2020-01-06,9.7,9.7,9.7,9.7,0,,
2020-01-07,9.7,9.7,9.7,9.7,0,,
2020-01-08,9.7,9.7,9.7,9.7,0,,
2020-01-09,9.7,9.7,9.7,9.7,0,,
2020-01-10,9.7,9.7,9.7,9.7,0,,
2020-01-13,9.7,9.7,9.7,9.7,0,,
2020-01-14,9.7,9.7,9.7,9.7,0,,
2020-01-15,9.7,9.7,9.7,9.7,0,,
2020-01-16,9.7,9.7,9.7,9.7,0,,
2020-01-17,9.7,9.7,9.7,9.7,0,,
2020-01-20,8.0,9.7,8.0,9.7,50000,,
2020-01-21,9.2,9.7,9.7,9.7,0,,
2020-01-22,9.2,9.7,9.7,9.7,0,,
2020-01-30,9.2,9.7,9.7,9.7,0,,
2020-01-31,9.2,9.7,9.7,9.7,0,,
2020-02-03,9.2,9.7,9.7,9.7,0,,
2020-02-04,9.2,9.7,9.7,9.7,0,,
2020-02-05,9.2,9.7,9.7,9.7,0,9.7,9.7
2020-02-06,9.2,9.7,9.7,9.7,0,9.7,9.7
2020-02-07,9.2,9.7,9.7,9.7,0,9.7,9.7
2020-02-10,9.2,9.7,9.7,9.7,0,9.7,9.7
2020-02-11,9.2,9.7,9.7,9.7,0,9.7,9.7
2020-02-12,9.2,9.7,9.7,9.7,0,9.7,9.7
2020-02-13,9.2,9.7,9.7,9.7,0,9.7,9.7
2020-02-14,9.2,9.7,9.7,9.7,0,9.7,9.7
2020-02-17,9.2,9.7,9.7,9.7,0,9.7,9.7
2020-02-18,9.2,9.7,9.7,9.7,0,9.7,9.7
2020-02-19,9.2,9.7,9.7,9.7,0,9.7,9.7
2020-02-20,9.2,9.7,9.7,9.7,0,9.7,9.7
2020-02-21,9.2,9.7,9.7,9.7,0,9.7,9.7
2020-02-24,9.2,9.7,9.7,9.7,0,9.7,9.7
2020-02-25,9.2,9.7,9.7,9.7,0,9.7,9.7
2020-02-26,9.2,9.7,9.7,9.7,0,9.7,9.7
2020-02-27,9.2,9.7,9.7,9.7,0,9.7,9.7
2020-02-28,9.2,9.7,9.7,9.7,0,9.7,9.7
2020-03-02,9.2,9.7,9.7,9.7,0,9.7,9.7
2020-03-03,9.2,9.7,9.7,9.7,0,9.7,9.7
2020-03-04,9.2,9.7,9.7,9.7,0,9.7,9.7
2020-03-05,9.2,9.7,9.7,9.7,0,9.7,9.7
2020-03-06,9.2,9.7,9.7,9.7,0,9.7,9.7
2020-03-09,9.2,9.7,9.7,9.7,0,9.7,9.7
2020-03-10,9.2,9.7,9.7,9.7,0,9.7,9.7
2020-03-11,9.2,9.7,9.7,9.7,0,9.7,9.7
2020-03-12,9.2,9.7,9.7,9.7,0,9.7,9.7
2020-03-13,9.2,9.7,9.7,9.7,0,9.7,9.7
2020-03-16,9.2,9.7,9.7,9.7,0,9.7,9.7
2020-03-17,9.2,9.7,9.7,9.7,0,9.7,9.7
2020-03-18,9.2,9.7,9.7,9.7,0,9.7,9.7
2020-03-19,9.2,9.7,9.7,9.7,0,9.7,9.7
2020-03-20,9.2,9.7,9.7,9.7,0,9.7,9.7
2020-03-23,9.2,9.2,9.1,9.1,274300,9.67,9.6429
2020-03-24,9.1,9.1,9.1,9.1,0,9.64,9.5912
2020-03-25,9.1,9.1,9.1,9.1,0,9.61,9.5444
