time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,6.82,6.82,6.82,6.82,0,,
2020-01-03,6.82,6.82,6.82,6.82,0,,
2020-01-06,6.82,6.82,6.82,6.82,0,,
2020-01-07,6.82,6.82,6.82,6.82,0,,
2020-01-08,6.69,6.69,6.69,6.69,34100,,
2020-01-09,6.69,6.69,6.69,6.69,0,,
2020-01-10,6.82,6.82,6.82,6.82,25000,,
2020-01-13,6.82,6.82,6.82,6.82,0,,
2020-01-14,6.82,6.82,6.82,6.82,0,,
2020-01-15,6.82,6.82,6.82,6.82,0,,
2020-01-16,6.82,6.82,6.82,6.82,0,,
2020-01-17,6.82,6.82,6.82,6.82,0,,
2020-01-20,6.82,6.82,6.82,6.82,0,,
2020-01-21,6.82,6.82,6.82,6.82,0,,
2020-01-22,6.82,6.82,6.82,6.82,0,,
2020-01-30,6.82,6.82,6.82,6.82,0,,
2020-01-31,6.82,6.82,6.82,6.82,0,,
2020-02-03,6.82,6.82,6.82,6.82,0,,
2020-02-04,6.82,6.82,6.82,6.82,0,,
2020-02-05,6.82,6.82,6.82,6.82,0,6.807,6.8142
2020-02-06,6.82,6.82,6.82,6.82,0,6.807,6.8147
2020-02-07,6.82,6.82,6.82,6.82,0,6.807,6.8152
2020-02-10,6.82,6.82,6.82,6.82,0,6.807,6.8157
2020-02-11,6.82,6.82,6.82,6.82,0,6.807,6.8161
2020-02-12,6.82,6.82,6.82,6.82,0,6.8135,6.8165
2020-02-13,6.82,6.82,6.82,6.82,0,6.82,6.8168
2020-02-14,6.82,6.82,6.82,6.82,0,6.82,6.8171
2020-02-17,6.82,6.82,6.82,6.82,0,6.82,6.8174
2020-02-18,6.82,6.82,6.82,6.82,0,6.82,6.8176
2020-02-19,6.82,6.82,6.82,6.82,0,6.82,6.8179
2020-02-20,6.82,6.82,6.82,6.82,0,6.82,6.8181
2020-02-21,6.82,6.82,6.82,6.82,0,6.82,6.8183
2020-02-24,6.82,6.82,6.82,6.82,0,6.82,6.8184
2020-02-25,6.82,6.82,6.82,6.82,0,6.82,6.8186
2020-02-26,6.82,6.82,6.82,6.82,0,6.82,6.8187
2020-02-27,6.82,6.82,6.82,6.82,0,6.82,6.8188
2020-02-28,6.82,6.82,6.82,6.82,0,6.82,6.8189
2020-03-02,6.82,6.89,6.82,6.82,13000,6.82,6.819
2020-03-03,6.82,6.82,6.82,6.82,13400,6.82,6.8191
2020-03-04,6.82,6.82,6.82,6.82,25000,6.82,6.8192
2020-03-05,6.82,6.82,6.82,6.82,20000,6.82,6.8193
2020-03-06,6.82,6.82,6.82,6.82,0,6.82,6.8194
2020-03-09,6.82,6.82,6.82,6.82,12000,6.82,6.8194
2020-03-10,6.82,6.82,6.82,6.82,5000,6.82,6.8195
2020-03-11,6.82,6.82,6.82,6.82,25000,6.82,6.8195
2020-03-12,6.82,6.82,6.82,6.82,5000,6.82,6.8196
2020-03-13,6.82,6.82,6.82,6.82,0,6.82,6.8196
2020-03-16,6.82,6.82,6.82,6.82,200,6.82,6.8196
2020-03-17,6.82,6.82,6.82,6.82,0,6.82,6.8197
2020-03-18,6.82,6.82,6.82,6.82,0,6.82,6.8197
2020-03-19,6.82,6.82,6.82,6.82,0,6.82,6.8197
2020-03-20,6.82,6.82,6.82,6.82,0,6.82,6.8198
2020-03-23,6.82,6.82,6.82,6.82,16000,6.82,6.8198
2020-03-24,6.82,6.82,6.82,6.82,14400,6.82,6.8198
2020-03-25,6.82,6.82,6.82,6.82,5000,6.82,6.8198
2020-03-26,6.82,6.82,6.82,6.82,4500,6.82,6.8198
2020-03-27,6.82,6.82,6.82,6.82,0,6.82,6.8199
2020-03-30,6.82,6.82,6.82,6.82,0,6.82,6.8199
2020-03-31,6.82,6.82,6.82,6.82,0,6.82,6.8199
2020-04-01,6.82,6.82,6.82,6.82,500,6.82,6.8199
2020-04-03,6.82,6.82,6.82,6.82,0,6.82,6.8199
2020-04-06,6.82,6.82,6.82,6.82,2000,6.82,6.8199
2020-04-07,6.82,6.82,6.82,6.82,17000,6.82,6.8199
2020-04-08,6.82,6.82,6.82,6.82,16900,6.82,6.8199
2020-04-09,6.82,6.82,6.82,6.82,0,6.82,6.8199
2020-04-10,6.82,6.82,6.82,6.82,0,6.82,6.8199
2020-04-13,6.82,6.82,6.82,6.82,0,6.82,6.8199
2020-04-14,6.82,6.82,6.82,6.82,0,6.82,6.82
2020-04-15,6.82,6.82,6.82,6.82,0,6.82,6.82
2020-04-16,6.82,6.82,6.82,6.82,0,6.82,6.82
2020-04-17,6.82,6.82,6.82,6.82,0,6.82,6.82
2020-04-20,6.82,6.82,6.82,6.82,5000,6.82,6.82
2020-04-21,6.82,6.82,6.82,6.82,0,6.82,6.82
2020-04-22,6.82,6.82,6.82,6.82,5000,6.82,6.82
2020-04-23,6.82,6.82,6.82,6.82,0,6.82,6.82
2020-04-24,6.82,6.82,6.82,6.82,0,6.82,6.82
2020-04-27,6.82,6.82,6.82,6.82,13000,6.82,6.82
2020-04-28,6.82,6.82,6.82,6.82,300,6.82,6.82
2020-04-29,6.82,6.82,6.82,6.82,11900,6.82,6.82
2020-05-04,6.82,6.82,6.82,6.82,0,6.82,6.82
2020-05-05,6.82,6.82,6.82,6.82,0,6.82,6.82
2020-05-06,6.82,6.82,6.82,6.82,0,6.82,6.82
2020-05-07,6.82,6.82,6.82,6.82,0,6.82,6.82
2020-05-08,6.82,6.82,6.82,6.82,0,6.82,6.82
2020-05-11,6.82,6.82,6.82,6.82,0,6.82,6.82
2020-05-12,6.82,6.82,6.82,6.82,0,6.82,6.82
2020-05-13,6.82,6.82,6.82,6.82,4800,6.82,6.82
2020-05-14,6.82,6.82,6.82,6.82,0,6.82,6.82
2020-05-15,6.82,6.82,6.82,6.82,0,6.82,6.82
2020-05-18,6.82,6.82,6.82,6.82,0,6.82,6.82
2020-05-19,6.82,6.82,6.82,6.82,0,6.82,6.82
2020-05-20,6.82,6.82,6.82,6.82,0,6.82,6.82
2020-05-21,6.82,6.82,6.82,6.82,0,6.82,6.82
2020-05-22,6.82,6.82,6.82,6.82,0,6.82,6.82
2020-05-25,6.82,6.82,6.82,6.82,0,6.82,6.82
2020-05-26,6.82,6.89,6.82,6.89,36300,6.8235,6.8267
2020-05-27,6.82,6.82,6.82,6.82,4700,6.8235,6.826
2020-05-28,6.82,6.82,6.82,6.82,0,6.8235,6.8255
2020-05-29,6.82,6.82,6.82,6.82,0,6.8235,6.8249
2020-06-01,6.82,6.82,6.82,6.82,0,6.8235,6.8245
2020-06-02,6.82,6.82,6.82,6.82,0,6.8235,6.824
2020-06-03,6.82,6.82,6.82,6.82,0,6.8235,6.8237
2020-06-04,6.82,6.82,6.82,6.82,0,6.8235,6.8233
