time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,1.8,1.8,1.8,1.8,2100,,
2020-01-03,1.9,1.9,1.9,1.9,200,,
2020-01-06,1.8,1.8,1.8,1.8,200,,
2020-01-07,1.7,1.8,1.7,1.8,5100,,
2020-01-08,1.7,1.7,1.7,1.7,3000,,
2020-01-09,1.6,1.8,1.6,1.8,600,,
2020-01-10,1.7,1.7,1.7,1.7,100,,
2020-01-13,1.7,1.7,1.7,1.7,0,,
2020-01-14,1.7,1.7,1.7,1.7,0,,
2020-01-15,1.8,1.8,1.8,1.8,100,,
2020-01-16,1.7,1.7,1.7,1.7,100,,
2020-01-17,1.6,1.6,1.6,1.6,400,,
2020-01-20,1.6,1.6,1.6,1.6,0,,
2020-01-21,1.7,1.7,1.7,1.7,200,,
2020-01-22,1.7,1.7,1.7,1.7,0,,
2020-01-30,1.7,1.7,1.7,1.7,0,,
2020-01-31,1.6,1.6,1.6,1.6,200,,
2020-02-03,1.5,1.5,1.5,1.5,200,,
2020-02-04,1.6,1.6,1.6,1.6,100,,
2020-02-05,1.7,1.7,1.7,1.7,100,1.705,1.6873
2020-02-06,1.6,1.7,1.6,1.7,3100,1.7,1.6885
2020-02-07,1.7,1.7,1.7,1.7,0,1.69,1.6896
2020-02-10,1.7,1.7,1.7,1.7,0,1.685,1.6906
2020-02-11,1.7,1.7,1.7,1.7,0,1.68,1.6915
2020-02-12,1.7,1.7,1.7,1.7,0,1.68,1.6923
2020-02-13,1.7,1.7,1.7,1.7,0,1.675,1.693
2020-02-14,1.7,1.8,1.7,1.8,2700,1.68,1.7032
2020-02-17,1.7,1.7,1.7,1.7,1100,1.68,1.7029
2020-02-18,1.8,1.8,1.8,1.8,100,1.685,1.7122
2020-02-19,1.8,1.9,1.8,1.9,3300,1.69,1.7301
2020-02-20,1.8,1.8,1.8,1.8,600,1.695,1.7367
2020-02-21,1.9,1.9,1.8,1.8,1100,1.705,1.7427
2020-02-24,1.9,1.9,1.9,1.9,110,1.72,1.7577
2020-02-25,1.8,1.9,1.8,1.8,4900,1.725,1.7617
2020-02-26,1.8,1.8,1.8,1.8,0,1.73,1.7654
2020-02-27,1.9,1.9,1.9,1.9,100,1.74,1.7782
2020-02-28,1.8,1.8,1.8,1.8,2000,1.75,1.7803
2020-03-02,1.7,1.7,1.7,1.7,100,1.76,1.7726
2020-03-03,1.7,1.7,1.7,1.7,700,1.765,1.7657
2020-03-04,1.7,1.7,1.7,1.7,0,1.765,1.7595
2020-03-05,1.8,1.8,1.8,1.8,9500,1.77,1.7633
2020-03-06,1.9,1.9,1.9,1.9,100,1.78,1.7763
2020-03-09,1.8,2.0,1.8,2.0,2300,1.795,1.7976
2020-03-10,1.8,1.9,1.8,1.9,900,1.805,1.8074
2020-03-11,1.9,1.9,1.9,1.9,0,1.815,1.8162
2020-03-12,1.8,2.0,1.8,2.0,1500,1.83,1.8337
2020-03-13,1.8,1.9,1.8,1.8,5700,1.83,1.8305
2020-03-16,1.8,1.9,1.8,1.9,3100,1.84,1.8371
2020-03-17,1.9,1.9,1.9,1.9,0,1.845,1.8431
2020-03-18,1.9,2.0,1.9,2.0,200,1.85,1.8581
2020-03-19,1.8,1.8,1.8,1.8,2000,1.85,1.8525
2020-03-20,1.9,1.9,1.9,1.9,100,1.855,1.857
2020-03-23,1.8,1.9,1.8,1.9,9500,1.855,1.8611
2020-03-24,1.9,1.9,1.8,1.9,6100,1.86,1.8648
2020-03-25,2.0,2.0,1.8,1.9,11298,1.865,1.8682
2020-03-26,1.8,1.9,1.8,1.9,16200,1.865,1.8712
2020-03-27,1.8,1.8,1.8,1.8,7400,1.865,1.8644
2020-03-30,1.9,1.9,1.8,1.8,6100,1.87,1.8583
2020-03-31,1.9,1.9,1.8,1.9,13056,1.88,1.8623
2020-04-01,1.8,1.9,1.8,1.9,19400,1.89,1.8659
2020-04-03,2.0,2.0,1.8,2.0,15150,1.9,1.8786
2020-04-06,2.0,2.1,2.0,2.1,2200,1.91,1.8997
2020-04-07,2.2,2.2,2.2,2.2,100,1.92,1.9283
2020-04-08,2.0,2.0,2.0,2.0,300,1.925,1.9351
2020-04-09,1.9,2.0,1.9,2.0,10100,1.93,1.9413
2020-04-10,2.2,2.2,2.2,2.2,100,1.94,1.966
2020-04-13,2.3,2.3,2.0,2.0,300,1.95,1.9692
2020-04-14,1.9,2.0,1.8,2.0,4100,1.955,1.9721
2020-04-15,1.8,2.0,1.8,2.0,10300,1.96,1.9748
2020-04-16,1.8,1.9,1.8,1.9,7400,1.955,1.9677
2020-04-17,1.9,1.9,1.9,1.9,2700,1.96,1.9612
2020-04-20,2.0,2.0,1.8,1.9,5400,1.96,1.9554
2020-04-21,1.9,1.9,1.8,1.8,10200,1.955,1.9406
2020-04-22,1.8,1.8,1.8,1.8,4002,1.95,1.9272
2020-04-23,1.8,1.8,1.8,1.8,2,1.945,1.9151
2020-04-24,1.8,1.8,1.8,1.8,3500,1.94,1.9041
2020-04-27,1.7,1.7,1.7,1.7,13000,1.935,1.8847
2020-04-28,1.8,1.8,1.8,1.8,2000,1.935,1.8766
2020-04-29,1.8,1.8,1.8,1.8,600,1.93,1.8693
2020-05-04,1.8,1.8,1.8,1.8,400,1.925,1.8627
2020-05-05,1.8,1.9,1.8,1.9,10300,1.92,1.8663
2020-05-06,1.8,1.9,1.8,1.9,20100,1.91,1.8695
2020-05-07,1.9,1.9,1.9,1.9,0,1.895,1.8724
2020-05-08,1.9,1.9,1.9,1.9,0,1.89,1.875
2020-05-11,1.8,2.0,1.8,2.0,652,1.89,1.8869
2020-05-12,2.1,2.1,2.1,2.1,100,1.885,1.9072
2020-05-13,2.1,2.2,2.1,2.2,220,1.895,1.9351
2020-05-14,2.2,2.2,2.2,2.2,0,1.905,1.9603
2020-05-15,2.0,2.0,2.0,2.0,100,1.905,1.9641
2020-05-18,2.2,2.2,2.2,2.2,100,1.92,1.9866
2020-05-19,2.2,2.3,2.0,2.0,500,1.925,1.9879
2020-05-20,1.8,1.8,1.8,1.8,100,1.92,1.97
2020-05-21,1.8,1.9,1.8,1.8,2200,1.92,1.9538
2020-05-22,1.8,1.9,1.8,1.9,400,1.925,1.9487
2020-05-25,1.8,2.0,1.8,2.0,2100,1.935,1.9535
2020-05-26,2.2,2.2,2.2,2.2,21010,1.955,1.977
2020-05-27,2.4,2.4,2.3,2.4,19020,1.99,2.0173
2020-05-28,2.5,2.5,2.2,2.5,36300,2.025,2.0633
2020-05-29,2.5,2.7,2.5,2.7,16500,2.07,2.1239
2020-06-01,2.8,2.8,2.5,2.8,4310,2.12,2.1883
2020-06-02,2.8,3.0,2.8,2.8,4314,2.165,2.2466
2020-06-03,2.8,2.8,2.6,2.6,1100,2.2,2.2802
2020-06-04,2.4,2.6,2.4,2.6,1200,2.235,2.3107
2020-06-05,2.4,2.6,2.4,2.6,14712,2.27,2.3382
