time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,11.0,11.0,11.0,11.0,10,,
2020-01-03,11.74,11.74,11.12,11.12,20,,
2020-01-06,11.74,11.74,11.12,11.12,20,,
2020-01-07,11.87,11.87,11.87,11.87,10,,
2020-01-08,11.87,11.87,11.87,11.87,0,,
2020-01-09,11.87,11.87,11.87,11.87,0,,
2020-01-10,11.87,11.87,11.87,11.87,0,,
2020-01-13,11.87,11.87,11.87,11.87,0,,
2020-01-14,11.87,11.87,11.87,11.87,0,,
2020-01-15,11.87,11.87,11.87,11.87,0,,
2020-01-16,12.69,12.69,11.12,11.12,20,,
2020-01-17,11.12,11.12,11.12,11.12,0,,
2020-01-20,11.12,11.12,11.12,11.12,0,,
2020-01-21,11.12,11.12,11.12,11.12,0,,
2020-01-22,11.7,11.7,11.7,11.7,10,,
2020-01-30,11.7,11.7,11.7,11.7,0,,
2020-01-31,12.48,12.48,12.4,12.4,90,,
2020-02-03,12.4,12.4,12.4,12.4,0,,
2020-02-04,12.4,12.4,12.4,12.4,0,,
2020-02-05,12.4,12.4,12.4,12.4,0,11.6905,11.7337
2020-02-06,12.4,12.4,12.4,12.4,0,11.7605,11.7972
2020-02-07,12.4,12.4,12.4,12.4,0,11.8245,11.8546
2020-02-10,12.4,12.4,12.4,12.4,0,11.8885,11.9065
2020-02-11,11.54,11.54,11.54,11.54,20,11.872,11.8716
2020-02-12,11.54,11.54,11.54,11.54,0,11.8555,11.84
2020-02-13,11.54,11.54,11.54,11.54,0,11.839,11.8115
2020-02-14,10.75,10.75,10.75,10.75,10,11.783,11.7104
2020-02-17,10.01,10.01,10.01,10.01,10,11.69,11.5484
2020-02-18,9.31,9.31,9.31,9.31,10,11.562,11.3352
2020-02-19,9.1,9.43,8.69,9.43,1090,11.44,11.1538
2020-02-20,9.89,9.89,9.89,9.89,10,11.3785,11.0334
2020-02-21,10.3,10.3,9.48,10.3,1150,11.3375,10.9636
2020-02-24,10.3,10.3,10.3,10.3,0,11.2965,10.9004
2020-02-25,10.3,10.96,10.3,10.96,60,11.2885,10.9061
2020-02-26,10.22,11.7,10.22,10.96,2170,11.2515,10.9112
2020-02-27,10.96,10.96,10.96,10.96,0,11.2145,10.9158
2020-02-28,11.37,11.37,10.22,11.21,30,11.155,10.9439
2020-03-02,10.42,10.42,10.42,10.42,50,11.056,10.894
2020-03-03,9.72,9.72,9.72,9.72,50,10.922,10.7822
2020-03-04,10.38,10.38,9.06,9.06,90,10.755,10.6181
2020-03-05,8.57,9.68,8.45,8.45,3130,10.5575,10.4117
2020-03-06,8.98,8.98,8.98,8.98,30,10.3865,10.2753
2020-03-09,9.56,9.56,8.36,9.48,360,10.2405,10.1996
2020-03-10,9.85,9.85,9.85,9.85,10,10.156,10.1663
2020-03-11,10.51,10.51,10.51,10.51,10,10.1045,10.199
2020-03-12,10.51,10.51,10.51,10.51,0,10.053,10.2286
2020-03-13,11.21,11.21,9.81,10.46,280,10.0385,10.2507
2020-03-16,11.16,11.16,9.76,11.08,210,10.092,10.3296
2020-03-17,11.82,11.82,10.34,10.34,200,10.1435,10.3306
2020-03-18,9.64,9.64,9.64,9.64,70,10.154,10.2649
2020-03-19,8.98,10.26,8.98,8.98,90,10.1085,10.1425
2020-03-20,9.56,9.56,8.4,9.52,220,10.0695,10.0832
2020-03-23,8.86,8.86,8.86,8.86,100,9.9975,9.9667
2020-03-24,8.86,8.86,8.86,8.86,10,9.8925,9.8613
2020-03-25,8.86,8.86,8.28,8.86,5170,9.7875,9.7659
2020-03-26,9.43,9.43,8.24,9.06,1050,9.6925,9.6987
2020-03-27,9.06,9.06,9.06,9.06,0,9.585,9.6379
2020-03-30,9.56,9.56,8.65,9.56,20,9.542,9.6305
2020-03-31,8.9,9.89,8.9,9.89,19940,9.5505,9.6552
2020-04-01,9.23,9.23,9.23,9.23,87760,9.559,9.6147
2020-04-03,9.85,9.85,8.61,8.73,1470,9.573,9.5304
2020-04-06,9.31,9.31,8.9,8.9,30,9.569,9.4704
2020-04-07,8.28,9.52,8.28,9.31,180,9.5605,9.4551
2020-04-08,9.31,9.31,9.31,9.31,0,9.5335,9.4413
2020-04-09,9.27,9.27,9.27,9.27,20,9.4715,9.425
2020-04-10,8.65,9.27,8.65,8.65,600,9.3785,9.3512
2020-04-13,9.23,9.23,9.23,9.23,8000,9.317,9.3396
2020-04-14,9.23,9.23,9.23,9.23,90,9.2245,9.3292
2020-04-15,9.23,9.76,9.23,9.76,3360,9.1955,9.3702
2020-04-16,9.72,9.72,9.23,9.23,3170,9.175,9.3569
2020-04-17,9.85,9.85,8.69,9.81,100,9.2165,9.4
2020-04-20,9.89,9.89,9.81,9.81,510,9.231,9.4391
2020-04-21,9.48,9.48,9.48,9.48,5320,9.262,9.443
2020-04-22,8.82,10.09,8.82,10.09,80,9.3235,9.5046
2020-04-23,9.39,10.75,9.39,10.75,20,9.418,9.6232
2020-04-24,10.75,10.75,10.75,10.75,10,9.5025,9.7305
2020-04-27,10.75,10.75,10.05,10.05,210,9.552,9.7609
2020-04-28,10.75,10.75,9.35,9.35,20,9.5415,9.7218
2020-04-29,8.73,9.89,8.73,9.89,3970,9.5415,9.7378
2020-05-04,9.89,9.89,9.89,9.89,0,9.5745,9.7523
2020-05-05,10.55,10.55,10.55,10.55,10,9.6655,9.8283
2020-05-06,10.55,10.55,10.55,10.55,0,9.748,9.897
2020-05-07,10.3,10.3,9.85,9.85,180,9.775,9.8925
2020-05-08,9.19,9.27,9.19,9.19,8580,9.769,9.8256
2020-05-11,9.19,9.19,9.19,9.19,0,9.765,9.7651
2020-05-12,8.61,9.81,8.61,8.65,80,9.765,9.6589
2020-05-13,8.16,9.23,8.16,9.23,5350,9.765,9.618
2020-05-14,9.23,9.23,9.1,9.15,4070,9.761,9.5735
2020-05-15,9.15,9.15,9.15,9.15,11300,9.7305,9.5331
2020-05-18,9.15,9.15,9.15,9.15,0,9.7265,9.4967
2020-05-19,9.15,9.23,9.15,9.23,170,9.6975,9.4713
2020-05-20,9.23,9.81,9.23,9.72,190,9.693,9.4949
2020-05-21,9.72,9.72,9.72,9.72,0,9.705,9.5164
2020-05-22,9.48,9.72,9.48,9.72,20,9.6865,9.5358
2020-05-25,9.06,10.26,9.06,10.26,20,9.662,9.6047
2020-05-26,10.13,10.13,9.56,9.56,20,9.6025,9.6005
2020-05-27,9.56,9.56,9.56,9.56,10,9.578,9.5966
2020-05-28,9.89,9.89,9.06,9.06,20,9.5635,9.5455
2020-05-29,8.65,9.6,8.65,9.06,30,9.522,9.4993
2020-06-01,9.06,9.06,9.06,9.06,1000,9.4805,9.4574
2020-06-02,9.06,9.06,9.06,9.06,500,9.406,9.4196
2020-06-03,8.45,9.06,8.45,9.06,26560,9.3315,9.3853
2020-06-04,9.06,9.06,8.98,9.06,3540,9.292,9.3544
2020-06-05,9.06,9.64,9.06,9.64,1470,9.3145,9.3816
2020-06-08,9.64,9.89,8.98,9.06,4940,9.308,9.3509
2020-06-09,9.06,9.15,9.06,9.15,100,9.333,9.3318
2020-06-10,9.43,9.43,9.15,9.15,500,9.329,9.3145
2020-06-11,9.15,9.15,9.15,9.15,100,9.329,9.2988
2020-06-12,8.53,9.48,8.53,9.48,40,9.3455,9.3161
2020-06-15,9.06,9.06,9.06,9.06,3100,9.341,9.2917
2020-06-16,9.6,9.6,9.06,9.48,1180,9.3535,9.3096
2020-06-17,9.48,9.48,9.48,9.48,1600,9.3415,9.3258
2020-06-18,9.06,9.48,9.06,9.15,1910,9.313,9.3091
2020-06-19,9.56,9.56,9.56,9.56,100,9.305,9.333
2020-06-22,9.64,9.64,9.31,9.64,200,9.274,9.3622
2020-06-23,9.64,9.64,9.64,9.64,0,9.278,9.3887
2020-06-24,9.64,9.64,9.64,9.64,0,9.282,9.4126
2020-06-25,9.64,9.64,9.64,9.64,0,9.311,9.4343
2020-06-26,9.81,9.81,9.06,9.64,290,9.34,9.4539
2020-06-29,9.81,9.81,9.48,9.48,30,9.361,9.4564
2020-06-30,9.56,9.56,9.06,9.06,20,9.361,9.4186
2020-07-01,9.39,9.39,9.39,9.39,10,9.3775,9.4159
2020-07-02,9.39,9.39,9.39,9.39,0,9.394,9.4134
2020-07-03,9.39,9.39,9.39,9.39,0,9.3815,9.4112
2020-07-06,8.78,9.72,8.78,9.72,2010,9.4145,9.4406
2020-07-07,9.23,9.23,9.23,9.23,10,9.4185,9.4205
