time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,15.67,15.67,15.55,15.55,4300,,
2020-01-03,15.55,15.8,15.42,15.42,22960,,
2020-01-06,15.42,15.48,15.42,15.48,2400,,
2020-01-07,15.42,15.55,15.42,15.48,28562,,
2020-01-08,15.42,15.55,15.42,15.48,27300,,
2020-01-09,15.48,15.74,15.48,15.48,13100,,
2020-01-10,15.48,15.55,15.1,15.48,26600,,
2020-01-13,15.42,15.55,15.42,15.48,6365,,
2020-01-14,15.48,15.74,15.48,15.48,3843,,
2020-01-15,15.55,15.74,15.48,15.74,17058,,
2020-01-16,15.74,15.74,15.67,15.74,7601,,
2020-01-17,15.74,16.06,15.48,15.48,5440,,
2020-01-20,15.61,15.61,15.29,15.29,3400,,
2020-01-21,15.42,15.48,15.16,15.42,21000,,
2020-01-22,15.29,15.48,15.16,15.48,2800,,
2020-01-30,15.16,15.55,15.16,15.16,17700,,
2020-01-31,14.84,15.16,14.84,14.97,31700,,
2020-02-03,14.77,15.42,13.55,15.42,83750,,
2020-02-04,14.84,15.1,14.77,15.1,11559,,
2020-02-05,14.9,15.03,14.58,15.03,1600,15.408,15.3599
2020-02-06,14.77,14.77,14.71,14.77,4900,15.369,15.3037
2020-02-07,14.77,15.03,14.45,15.03,13035,15.3495,15.2776
2020-02-10,14.77,14.84,14.26,14.77,16230,15.314,15.2293
2020-02-11,14.97,15.03,14.9,15.03,4420,15.2915,15.2103
2020-02-12,15.22,15.22,14.97,15.1,7300,15.2725,15.1998
2020-02-13,15.1,15.1,15.1,15.1,1000,15.2535,15.1903
2020-02-14,14.77,15.29,14.77,15.29,2400,15.244,15.1998
2020-02-17,14.77,15.1,14.77,15.1,6600,15.225,15.1903
2020-02-18,15.03,15.03,15.03,15.03,700,15.2025,15.175
2020-02-19,14.77,14.84,14.71,14.77,2200,15.154,15.1365
2020-02-20,14.77,14.84,14.58,14.77,8200,15.1055,15.1016
2020-02-21,14.9,15.22,14.77,15.1,31400,15.0865,15.1014
2020-02-24,14.77,14.77,14.65,14.77,8900,15.0605,15.0698
2020-02-25,14.71,14.71,14.58,14.58,3150,15.0185,15.0232
2020-02-26,14.65,15.1,14.65,14.65,2200,14.977,14.9876
2020-02-27,14.77,14.77,14.77,14.77,2600,14.9575,14.9669
2020-02-28,14.71,14.71,14.45,14.71,4100,14.9445,14.9425
2020-03-02,14.13,14.77,14.13,14.77,2700,14.912,14.926
2020-03-03,14.77,15.1,14.77,15.1,1400,14.912,14.9426
2020-03-04,13.49,14.97,13.49,14.9,32700,14.9055,14.9385
2020-03-05,15.1,15.1,14.84,14.84,3972,14.909,14.9292
2020-03-06,14.58,14.71,14.58,14.71,2100,14.893,14.9083
2020-03-09,13.68,14.58,13.68,14.33,7700,14.871,14.8532
2020-03-10,13.49,14.33,13.49,14.07,9800,14.823,14.7786
2020-03-11,13.88,14.39,13.49,13.88,29923,14.762,14.693
2020-03-12,13.23,13.62,13.1,13.43,13230,14.6785,14.5727
2020-03-13,12.91,12.98,12.21,12.59,77375,14.5435,14.3839
2020-03-16,12.85,14.65,12.85,12.98,20830,14.4375,14.2502
2020-03-17,12.85,13.81,12.85,13.81,9900,14.3765,14.2083
2020-03-18,13.23,13.23,12.98,12.98,5600,14.287,14.0913
2020-03-19,12.53,13.36,11.76,13.36,3901,14.2165,14.0217
2020-03-20,13.36,13.36,12.98,12.98,19900,14.1105,13.9224
2020-03-23,12.98,12.98,12.85,12.85,1644,14.0145,13.8203
2020-03-24,12.85,12.91,12.21,12.91,33800,13.931,13.7336
2020-03-25,12.85,12.91,12.85,12.85,38320,13.841,13.6495
2020-03-26,12.4,12.85,12.4,12.85,4500,13.745,13.5733
2020-03-27,12.33,14.39,12.33,14.39,21100,13.729,13.6511
2020-03-30,12.21,13.36,12.21,13.36,6500,13.6585,13.6234
2020-03-31,12.4,12.85,12.21,12.85,3600,13.546,13.5497
2020-04-01,12.98,13.1,12.53,12.85,5720,13.4435,13.4831
2020-04-03,12.85,13.43,12.85,13.3,2050,13.3665,13.4656
2020-04-06,13.3,13.75,13.3,13.68,19510,13.315,13.4861
2020-04-07,13.49,13.49,13.3,13.43,8000,13.27,13.4807
2020-04-08,13.49,13.49,13.17,13.36,3700,13.2345,13.4692
2020-04-09,13.75,13.75,13.49,13.49,800,13.215,13.4712
2020-04-10,13.49,13.49,12.85,12.85,15100,13.186,13.412
2020-04-13,13.36,13.49,13.23,13.23,5800,13.218,13.3947
2020-04-14,13.23,13.88,13.23,13.88,21800,13.263,13.4409
2020-04-15,14.07,14.39,13.75,14.2,43620,13.2825,13.5132
2020-04-16,14.2,14.39,14.0,14.0,7230,13.3335,13.5596
2020-04-17,14.0,14.9,14.0,14.84,28446,13.4075,13.6815
2020-04-20,14.52,15.35,14.52,14.77,12320,13.497,13.7852
2020-04-21,14.77,14.84,14.33,14.39,45511,13.574,13.8428
2020-04-22,13.81,14.39,13.75,14.39,12945,13.648,13.8949
2020-04-23,14.65,14.65,14.13,14.2,1831,13.7155,13.924
2020-04-24,14.33,14.39,14.07,14.26,12900,13.786,13.956
2020-04-27,14.33,14.71,14.33,14.71,1800,13.802,14.0278
2020-04-28,14.58,14.65,14.45,14.45,4121,13.8565,14.068
2020-04-29,14.45,14.77,14.45,14.58,14500,13.943,14.1168
2020-05-04,14.45,14.45,14.2,14.2,7400,14.0105,14.1247
2020-05-05,14.33,14.77,14.33,14.33,3232,14.062,14.1442
2020-05-06,14.52,14.52,14.2,14.33,20600,14.0945,14.1619
2020-05-07,14.39,14.77,14.33,14.39,12300,14.1425,14.1836
2020-05-08,14.65,14.65,14.33,14.33,7973,14.191,14.1976
2020-05-11,14.45,16.64,14.33,16.64,144706,14.3485,14.4302
2020-05-12,17.34,18.12,17.34,17.73,82340,14.5925,14.7445
2020-05-13,17.99,18.69,17.99,18.24,85643,14.843,15.0774
2020-05-14,17.99,17.99,16.32,16.32,130298,14.965,15.1957
2020-05-15,16.38,17.15,16.32,16.89,11600,15.0995,15.3571
2020-05-18,16.57,16.7,15.74,16.06,34346,15.2025,15.424
2020-05-19,16.32,17.34,15.93,16.64,48900,15.2925,15.5398
2020-05-20,16.57,16.64,16.25,16.51,7800,15.3795,15.6322
2020-05-21,16.7,17.02,16.38,16.64,17294,15.492,15.7282
2020-05-22,16.57,16.57,16.19,16.32,26558,15.5885,15.7846
2020-05-25,16.32,16.96,16.32,16.38,19927,15.6975,15.8413
2020-05-26,16.57,17.67,16.38,17.22,76780,15.8455,15.9726
2020-05-27,17.09,17.22,16.89,16.96,41500,15.958,16.0666
2020-05-28,17.02,17.02,16.38,16.7,30015,16.0705,16.1269
2020-05-29,16.44,16.77,16.38,16.44,24840,16.1635,16.1568
2020-06-01,16.57,16.57,16.51,16.51,13810,16.279,16.1904
2020-06-02,16.51,17.34,16.51,16.7,61210,16.3975,16.2389
2020-06-03,16.7,16.96,16.51,16.96,13720,16.529,16.3076
2020-06-04,16.51,16.64,16.51,16.64,13048,16.6415,16.3393
2020-06-05,16.51,16.96,16.51,16.96,11500,16.773,16.3984
2020-06-08,17.02,17.02,16.77,16.83,48990,16.7825,16.4395
2020-06-09,16.64,16.7,16.51,16.64,20918,16.728,16.4586
2020-06-10,17.02,17.34,16.7,16.83,34666,16.6575,16.494
2020-06-11,16.7,16.96,16.38,16.38,42492,16.6605,16.4831
2020-06-12,16.19,16.38,16.06,16.25,22500,16.6285,16.4609
2020-06-15,16.06,16.57,15.87,15.93,13890,16.622,16.4103
2020-06-16,15.93,16.19,15.93,16.12,14520,16.596,16.3827
2020-06-17,16.7,16.7,16.12,16.32,31418,16.5865,16.3767
2020-06-18,16.12,16.64,16.12,16.38,2200,16.5735,16.377
2020-06-19,16.44,16.83,16.44,16.7,8910,16.5925,16.4078
2020-06-22,16.64,17.15,16.64,17.02,29128,16.6245,16.4661
2020-06-23,17.09,17.79,17.02,17.54,176800,16.6405,16.5684
2020-06-24,17.54,17.67,17.15,17.15,28900,16.65,16.6238
2020-06-25,17.15,17.15,16.7,16.89,22826,16.6595,16.6491
2020-06-26,16.96,16.96,16.51,16.64,27300,16.6695,16.6483
2020-06-29,16.7,16.77,16.06,16.06,15700,16.647,16.5922
2020-06-30,16.19,16.19,15.67,15.67,21350,16.5955,16.5044
2020-07-01,16.32,16.32,15.42,16.19,30200,16.557,16.4745
2020-07-02,16.44,16.57,16.06,16.19,28870,16.5345,16.4474
2020-07-03,16.32,16.44,16.25,16.44,21940,16.5085,16.4467
2020-07-06,16.57,16.83,16.57,16.83,20700,16.5085,16.4832
2020-07-07,16.83,17.02,16.77,16.83,31850,16.518,16.5162
2020-07-08,16.96,17.22,16.83,17.22,72900,16.5375,16.5832
2020-07-09,17.22,17.34,17.02,17.22,72520,16.5795,16.6439
2020-07-10,17.09,17.22,17.02,17.22,20250,16.628,16.6987
2020-07-13,18.29,18.29,17.01,17.15,34130,16.689,16.7417
2020-07-14,17.37,17.37,17.01,17.08,15200,16.737,16.7739
2020-07-15,17.15,17.23,17.01,17.01,13820,16.7715,16.7964
2020-07-16,16.87,16.94,16.45,16.52,63750,16.7785,16.7701
2020-07-17,16.66,16.66,16.45,16.45,8000,16.766,16.7396
2020-07-20,16.52,16.59,16.16,16.3,20820,16.73,16.6977
2020-07-21,16.3,16.3,16.16,16.23,19300,16.6645,16.6532
2020-07-22,16.3,16.66,16.3,16.52,12800,16.633,16.6405
2020-07-23,16.37,16.37,16.3,16.37,8950,16.607,16.6147
2020-07-24,16.59,16.59,15.24,15.24,34620,16.537,16.4838
2020-07-27,15.38,15.38,13.61,13.61,60508,16.4145,16.2101
2020-07-28,14.18,15.81,14.18,15.1,36710,16.386,16.1044
2020-07-29,14.74,14.89,14.25,14.89,15760,16.321,15.9887
