time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,39.22,39.22,39.22,39.22,100,,
2020-01-03,33.41,39.8,33.41,39.8,300,,
2020-01-06,37.7,39.8,39.8,39.8,0,,
2020-01-07,37.7,39.8,39.8,39.8,0,,
2020-01-08,37.7,39.8,39.8,39.8,0,,
2020-01-09,37.7,39.8,39.8,39.8,0,,
2020-01-10,37.7,39.8,39.8,39.8,0,,
2020-01-13,37.7,39.8,39.8,39.8,0,,
2020-01-14,37.7,39.8,39.8,39.8,0,,
2020-01-15,37.7,39.8,39.8,39.8,0,,
2020-01-16,32.1,32.1,32.1,32.1,100,,
2020-01-17,36.32,36.32,27.31,27.31,200,,
2020-01-20,35.95,35.95,35.95,35.95,100,,
2020-01-21,35.95,35.95,35.95,35.95,0,,
2020-01-22,41.04,41.04,41.04,41.04,100,,
2020-01-30,47.14,47.14,47.14,47.14,100,,
2020-01-31,47.14,47.14,47.14,47.14,0,,
2020-02-03,53.02,53.02,53.02,53.02,100,,
2020-02-04,60.29,60.29,60.29,60.29,100,,
2020-02-05,60.29,60.29,60.29,60.29,0,41.8825,44.3036
2020-02-06,60.29,60.29,60.29,60.29,0,42.936,45.8262
2020-02-07,60.29,60.29,60.29,60.29,0,43.9605,47.2037
2020-02-10,60.29,60.29,60.29,60.29,0,44.985,48.45
2020-02-11,51.28,51.28,51.28,51.28,100,45.559,48.7195
2020-02-12,51.28,51.28,51.28,51.28,0,46.133,48.9634
2020-02-13,51.28,51.28,51.28,51.28,0,46.707,49.184
2020-02-14,51.28,51.28,51.28,51.28,0,47.281,49.3836
2020-02-17,51.28,51.28,51.28,51.28,0,47.855,49.5642
2020-02-18,51.28,51.28,51.28,51.28,0,48.429,49.7276
2020-02-19,51.28,51.28,51.28,51.28,0,49.003,49.8755
2020-02-20,51.28,51.28,51.28,51.28,0,49.962,50.0092
2020-02-21,51.28,51.28,51.28,51.28,0,51.1605,50.1303
2020-02-24,51.28,51.28,51.28,51.28,0,51.927,50.2398
2020-02-25,51.28,51.28,51.28,51.28,0,52.6935,50.3388
2020-02-26,51.28,51.28,51.28,51.28,0,53.2055,50.4285
2020-02-27,51.28,51.28,51.28,51.28,0,53.4125,50.5096
2020-02-28,51.28,51.28,51.28,51.28,0,53.6195,50.5829
2020-03-02,51.28,51.28,51.28,51.28,0,53.5325,50.6493
2020-03-03,51.28,51.28,51.28,51.28,0,53.082,50.7094
2020-03-04,51.28,51.28,51.28,51.28,0,52.6315,50.7637
2020-03-05,51.28,51.28,51.28,51.28,0,52.181,50.8129
2020-03-06,51.28,51.28,51.28,51.28,0,51.7305,50.8574
2020-03-09,51.28,51.28,51.28,51.28,0,51.28,50.8976
2020-03-10,51.28,51.28,51.28,51.28,0,51.28,50.9341
2020-03-11,51.28,51.28,51.28,51.28,0,51.28,50.967
2020-03-12,51.28,51.28,51.28,51.28,0,51.28,50.9968
2020-03-13,43.65,43.65,43.65,43.65,100,50.8985,50.2971
2020-03-16,43.65,43.65,43.65,43.65,0,50.517,49.6641
2020-03-17,43.65,43.65,43.65,43.65,0,50.1355,49.0913
2020-03-18,43.65,43.65,43.65,43.65,0,49.754,48.5731
2020-03-19,37.12,37.12,37.12,37.12,100,49.046,47.4823
2020-03-20,31.6,31.6,31.6,31.6,100,48.062,45.9697
2020-03-23,26.88,26.88,26.88,26.88,100,46.842,44.1516
2020-03-24,26.88,26.88,26.88,26.88,0,45.622,42.5067
2020-03-25,30.43,30.43,22.88,22.88,500,44.202,40.6375
2020-03-26,30.22,30.22,30.22,30.22,200,43.149,39.6454
2020-03-27,34.5,34.5,34.5,34.5,100,42.31,39.1553
2020-03-30,34.5,34.5,34.5,34.5,0,41.471,38.712
2020-03-31,29.34,35.95,29.34,35.95,200,40.7045,38.4489
2020-04-01,32.69,35.95,35.95,35.95,0,39.938,38.2109
2020-04-03,32.69,35.95,35.95,35.95,0,39.1715,37.9956
2020-04-06,32.69,35.95,35.95,35.95,0,38.405,37.8008
2020-04-07,27.82,27.82,27.82,27.82,300,37.232,36.8502
2020-04-08,27.82,27.82,27.82,27.82,0,36.059,35.9902
2020-04-09,27.6,27.6,27.6,27.6,100,34.875,35.1911
2020-04-10,27.6,27.6,27.6,27.6,0,33.691,34.4682
2020-04-13,25.42,25.42,25.42,25.42,300,32.7795,33.6064
2020-04-14,25.42,25.42,25.42,25.42,0,31.868,32.8268
2020-04-15,25.42,25.42,25.42,25.42,0,30.9565,32.1214
2020-04-16,25.5,25.5,25.42,25.5,1900,30.049,31.4908
2020-04-17,25.42,25.42,25.2,25.2,520,29.453,30.8916
2020-04-20,25.28,25.28,25.28,25.28,500,29.137,30.3572
2020-04-21,25.5,25.5,25.5,25.5,105,29.068,29.8946
2020-04-22,25.5,25.5,25.5,25.5,0,28.999,29.4761
2020-04-23,26.88,26.88,26.88,26.88,100,29.199,29.2288
2020-04-24,30.51,30.51,30.51,30.51,100,29.2135,29.3508
2020-04-27,35.08,35.08,35.08,35.08,100,29.2425,29.8965
2020-04-28,37.77,37.77,36.32,36.32,600,29.3335,30.5082
2020-04-29,41.98,41.98,41.98,41.98,100,29.635,31.6008
2020-05-04,35.74,35.74,35.74,35.74,200,29.6245,31.995
2020-05-05,35.74,35.74,35.74,35.74,0,29.614,32.3517
2020-05-06,35.74,35.74,35.74,35.74,0,29.6035,32.6744
2020-05-07,30.43,30.43,30.43,30.43,500,29.734,32.4606
2020-05-08,30.43,30.43,30.43,30.43,0,29.8645,32.2672
2020-05-11,30.43,30.43,30.43,30.43,0,30.006,32.0923
2020-05-12,30.43,30.43,30.43,30.43,500,30.1475,31.9339
2020-05-13,30.43,30.43,30.43,30.43,0,30.398,31.7907
2020-05-14,30.43,30.43,30.43,30.43,0,30.6485,31.6611
2020-05-15,30.43,30.43,30.43,30.43,0,30.899,31.5439
2020-05-18,30.43,30.43,30.43,30.43,0,31.1455,31.4378
2020-05-19,30.43,30.43,30.43,30.43,0,31.407,31.3418
