time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,6.29,6.29,6.23,6.23,1300,,
2020-01-03,6.01,6.29,6.01,6.29,17000,,
2020-01-06,6.34,6.67,6.34,6.67,200,,
2020-01-07,6.29,6.29,6.18,6.23,9210,,
2020-01-08,6.18,6.18,6.07,6.07,12600,,
2020-01-09,6.12,6.12,5.96,5.96,600,,
2020-01-10,6.07,6.12,6.07,6.07,7700,,
2020-01-13,6.12,6.12,6.07,6.07,11200,,
2020-01-14,6.07,6.07,6.07,6.07,8400,,
2020-01-15,6.07,6.07,6.07,6.07,10000,,
2020-01-16,6.07,6.12,6.07,6.07,7200,,
2020-01-17,6.07,6.29,6.07,6.29,49200,,
2020-01-20,6.01,6.07,6.01,6.07,13500,,
2020-01-21,6.01,6.07,6.01,6.07,2600,,
2020-01-22,6.07,6.23,6.07,6.23,1010,,
2020-01-30,6.18,6.18,6.18,6.18,1000,,
2020-01-31,6.01,6.12,6.01,6.01,6000,,
2020-02-03,6.01,6.01,5.74,5.74,7600,,
2020-02-04,5.68,5.79,5.68,5.79,11800,,
2020-02-05,5.79,5.79,5.79,5.79,0,6.0985,6.0532
2020-02-06,6.12,6.29,6.07,6.07,11900,6.0905,6.0548
2020-02-07,6.12,6.12,6.12,6.07,60,6.0795,6.0562
2020-02-10,6.01,6.01,5.85,5.85,8400,6.0385,6.0366
2020-02-11,5.9,5.9,5.9,5.9,2500,6.022,6.0236
2020-02-12,6.01,6.01,5.79,5.79,5110,6.008,6.0013
2020-02-13,6.01,6.01,6.01,6.01,900,6.0105,6.0022
2020-02-14,6.01,6.01,6.01,6.01,500,6.0075,6.0029
2020-02-17,6.01,6.01,6.01,6.01,0,6.0045,6.0036
2020-02-18,6.01,6.18,6.01,6.18,5100,6.01,6.0204
2020-02-19,6.18,6.18,6.18,6.18,0,6.0155,6.0356
2020-02-20,6.12,6.12,5.96,5.96,5100,6.01,6.0284
2020-02-21,6.12,6.12,6.12,6.12,4600,6.0015,6.0371
2020-02-24,6.12,6.12,5.9,5.9,2019,5.993,6.0241
2020-02-25,6.01,5.9,5.9,5.9,0,5.9845,6.0122
2020-02-26,5.74,5.79,5.74,5.79,2130,5.9625,5.9911
2020-02-27,5.79,5.79,5.79,5.79,100,5.943,5.9719
2020-02-28,5.74,5.9,5.74,5.9,2200,5.9375,5.9651
2020-03-02,5.79,5.85,5.79,5.85,220,5.943,5.9541
2020-03-03,5.9,5.9,5.9,5.9,2000,5.9485,5.949
2020-03-04,5.9,6.01,5.9,6.01,4100,5.9595,5.9548
2020-03-05,6.01,6.01,6.01,6.01,4510,5.9565,5.96
2020-03-06,6.01,6.01,6.01,6.01,0,5.9535,5.9648
2020-03-09,6.01,6.01,6.01,6.01,0,5.9615,5.9691
2020-03-10,6.01,6.01,6.01,6.01,0,5.967,5.973
2020-03-11,5.68,5.68,5.47,5.68,14900,5.9615,5.9451
2020-03-12,5.63,5.68,5.68,5.68,0,5.945,5.9198
2020-03-13,4.92,5.41,4.92,5.41,21400,5.915,5.8713
2020-03-16,5.19,5.3,5.19,5.3,1800,5.8795,5.8169
2020-03-17,5.25,5.25,4.97,4.97,11600,5.819,5.7362
2020-03-18,5.25,5.36,5.25,5.36,7100,5.778,5.7004
2020-03-19,5.47,5.47,5.14,5.14,2416,5.737,5.647
2020-03-20,5.08,5.41,5.08,5.3,4700,5.696,5.614
2020-03-23,4.97,4.97,4.92,4.92,28140,5.647,5.5479
2020-03-24,4.43,4.92,4.37,4.92,5316,5.598,5.4881
2020-03-25,4.92,5.25,4.92,5.08,3730,5.5625,5.4492
2020-03-26,5.3,5.3,5.3,5.3,1100,5.538,5.435
2020-03-27,4.97,4.97,4.92,4.92,5400,5.489,5.386
2020-03-30,4.92,4.92,4.92,4.92,16,5.4425,5.3416
2020-03-31,5.03,5.03,4.92,4.92,4800,5.3935,5.3014
2020-04-01,4.97,4.97,4.97,4.92,10,5.339,5.2651
2020-04-03,4.92,5.03,4.92,5.03,15110,5.29,5.2427
2020-04-06,5.36,5.36,5.36,5.36,7000,5.2575,5.2539
2020-04-07,5.47,5.47,4.92,4.92,18130,5.203,5.2221
2020-04-08,4.97,4.92,4.92,4.92,0,5.1485,5.1933
2020-04-09,4.97,5.03,4.97,5.03,19110,5.116,5.1778
2020-04-10,5.03,5.03,5.03,5.03,14166,5.0835,5.1637
2020-04-13,4.97,5.03,4.97,5.03,11500,5.0645,5.151
2020-04-14,4.97,5.19,4.97,5.19,10300,5.059,5.1547
2020-04-15,5.08,5.19,5.08,5.19,5300,5.07,5.158
