time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,6.55,6.75,6.75,6.75,0,,
2020-01-03,6.55,6.75,6.75,6.75,0,,
2020-01-06,6.55,6.75,6.75,6.75,0,,
2020-01-07,6.55,6.75,6.75,6.75,0,,
2020-01-08,6.55,6.75,6.75,6.75,0,,
2020-01-09,6.55,6.75,6.75,6.75,0,,
2020-01-10,6.55,6.75,6.75,6.75,0,,
2020-01-13,6.55,6.75,6.75,6.75,0,,
2020-01-14,6.55,6.75,6.75,6.75,0,,
2020-01-15,6.55,6.75,6.75,6.75,0,,
2020-01-16,6.55,6.75,6.75,6.75,0,,
2020-01-17,6.55,6.75,6.75,6.75,0,,
2020-01-20,6.55,6.75,6.75,6.75,0,,
2020-01-21,6.55,6.75,6.75,6.75,0,,
2020-01-22,6.55,6.75,6.75,6.75,0,,
2020-01-30,6.55,6.75,6.75,6.75,0,,
2020-01-31,6.55,6.75,6.75,6.75,0,,
2020-02-03,6.55,6.75,6.75,6.75,0,,
2020-02-04,6.55,6.75,6.75,6.75,0,,
2020-02-05,6.55,6.75,6.75,6.75,0,6.75,6.75
2020-02-06,6.55,6.75,6.75,6.75,0,6.75,6.75
2020-02-07,6.55,6.75,6.75,6.75,0,6.75,6.75
2020-02-10,6.55,6.75,6.75,6.75,0,6.75,6.75
2020-02-11,6.55,6.75,6.75,6.75,0,6.75,6.75
2020-02-12,6.55,6.75,6.75,6.75,0,6.75,6.75
2020-02-13,6.55,6.75,6.75,6.75,0,6.75,6.75
2020-02-14,6.55,6.75,6.75,6.75,0,6.75,6.75
2020-02-17,6.55,6.75,6.75,6.75,0,6.75,6.75
2020-02-18,6.55,6.75,6.75,6.75,0,6.75,6.75
2020-02-19,6.55,6.75,6.75,6.75,0,6.75,6.75
2020-02-20,6.55,6.75,6.75,6.75,0,6.75,6.75
2020-02-21,6.55,6.75,6.75,6.75,0,6.75,6.75
2020-02-24,6.55,6.75,6.75,6.75,0,6.75,6.75
2020-02-25,6.75,6.75,6.75,6.75,1600,6.75,6.75
2020-02-26,6.75,6.75,6.75,6.75,0,6.75,6.75
2020-02-27,6.75,6.75,6.75,6.75,0,6.75,6.75
2020-02-28,6.75,6.75,6.75,6.75,0,6.75,6.75
2020-03-02,6.75,6.75,6.75,6.75,0,6.75,6.75
2020-03-03,6.75,6.75,6.75,6.75,0,6.75,6.75
2020-03-04,6.75,6.75,6.75,6.75,0,6.75,6.75
2020-03-05,6.75,6.75,6.75,6.75,0,6.75,6.75
2020-03-06,6.75,6.75,6.75,6.75,0,6.75,6.75
2020-03-09,6.75,6.75,6.75,6.75,0,6.75,6.75
2020-03-10,6.75,6.75,6.75,6.75,0,6.75,6.75
2020-03-11,6.75,6.75,6.75,6.75,0,6.75,6.75
2020-03-12,6.75,6.75,6.75,6.75,0,6.75,6.75
2020-03-13,6.75,6.75,6.75,6.75,0,6.75,6.75
2020-03-16,6.75,6.75,6.75,6.75,0,6.75,6.75
2020-03-17,6.75,6.75,6.75,6.75,0,6.75,6.75
2020-03-18,6.75,6.75,6.75,6.75,0,6.75,6.75
2020-03-19,6.75,6.75,6.75,6.75,0,6.75,6.75
2020-03-20,6.75,6.75,6.75,6.75,0,6.75,6.75
2020-03-23,6.75,6.75,6.75,6.75,0,6.75,6.75
2020-03-24,6.75,6.75,6.75,6.75,0,6.75,6.75
2020-03-25,6.75,6.75,6.75,6.75,0,6.75,6.75
2020-03-26,6.75,6.75,6.75,6.75,0,6.75,6.75
2020-03-27,6.75,6.75,6.75,6.75,0,6.75,6.75
2020-03-30,6.75,6.75,6.75,6.75,0,6.75,6.75
2020-03-31,6.75,6.75,6.75,6.75,0,6.75,6.75
2020-04-01,6.75,6.75,6.75,6.75,0,6.75,6.75
2020-04-03,6.75,6.75,6.75,6.75,0,6.75,6.75
2020-04-06,6.75,6.75,6.75,6.75,0,6.75,6.75
2020-04-07,6.75,6.75,6.75,6.75,0,6.75,6.75
2020-04-08,6.75,6.75,6.75,6.75,0,6.75,6.75
2020-04-09,6.75,6.75,6.75,6.75,0,6.75,6.75
2020-04-10,6.75,6.75,6.75,6.75,0,6.75,6.75
2020-04-13,6.08,6.75,6.08,6.75,900,6.75,6.75
2020-04-14,6.28,6.75,6.75,6.75,0,6.75,6.75
2020-04-15,6.28,6.75,6.75,6.75,0,6.75,6.75
2020-04-16,6.28,6.75,6.75,6.75,0,6.75,6.75
2020-04-17,6.28,6.75,6.75,6.75,0,6.75,6.75
2020-04-20,6.28,6.75,6.75,6.75,0,6.75,6.75
2020-04-21,6.28,6.75,6.75,6.75,0,6.75,6.75
2020-04-22,6.28,6.75,6.75,6.75,0,6.75,6.75
