time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,7.84,8.35,7.84,8.28,330309,,
2020-01-03,8.32,8.32,8.24,8.28,141194,,
2020-01-06,8.28,8.35,8.21,8.21,137878,,
2020-01-07,8.24,8.57,8.24,8.57,448350,,
2020-01-08,8.57,8.79,8.43,8.65,291439,,
2020-01-09,8.65,9.05,8.65,8.94,270200,,
2020-01-10,8.94,9.05,8.75,8.79,142210,,
2020-01-13,8.79,8.83,8.54,8.72,260732,,
2020-01-14,8.79,8.83,8.65,8.68,163335,,
2020-01-15,8.68,8.75,8.57,8.68,197625,,
2020-01-16,8.65,9.05,8.46,9.01,332490,,
2020-01-17,8.94,8.94,7.95,8.24,913490,,
2020-01-20,8.1,8.24,7.7,8.21,482003,,
2020-01-21,8.21,8.94,8.02,8.9,597250,,
2020-01-22,8.65,8.68,8.1,8.21,188125,,
2020-01-30,8.21,8.28,7.92,7.95,96293,,
2020-01-31,7.92,7.92,7.4,7.44,165440,,
2020-02-03,7.48,7.48,6.46,7.44,274640,,
2020-02-04,7.44,7.66,7.4,7.66,124186,,
2020-02-05,7.66,8.1,7.62,8.02,100785,8.344,8.1878
2020-02-06,7.84,8.13,7.84,7.92,110210,8.326,8.1623
2020-02-07,7.84,8.06,7.66,8.06,115370,8.315,8.1525
2020-02-10,7.95,8.1,7.66,8.1,67510,8.3095,8.1475
2020-02-11,8.02,8.1,8.02,8.1,113120,8.286,8.143
2020-02-12,8.06,8.46,8.06,8.43,156340,8.275,8.1703
2020-02-13,8.5,8.83,8.43,8.83,932207,8.2695,8.2332
2020-02-14,8.83,8.83,8.57,8.68,42640,8.264,8.2757
2020-02-17,8.57,8.57,8.21,8.24,52821,8.24,8.2723
2020-02-18,8.43,8.72,8.21,8.72,163480,8.242,8.315
2020-02-19,8.83,9.01,8.65,9.01,237730,8.2585,8.3811
2020-02-20,8.86,8.97,8.72,8.83,97220,8.2495,8.4239
2020-02-21,8.79,8.83,8.39,8.43,98765,8.259,8.4245
2020-02-24,8.43,8.46,8.21,8.21,134250,8.259,8.4041
2020-02-25,8.21,8.68,8.21,8.61,105615,8.2445,8.4237
2020-02-26,8.57,8.68,8.46,8.57,64610,8.2625,8.4376
2020-02-27,8.46,8.65,8.46,8.65,77720,8.2975,8.4578
2020-02-28,8.61,8.97,8.5,8.65,214735,8.358,8.4761
2020-03-02,9.05,9.05,8.65,8.68,54643,8.42,8.4955
2020-03-03,9.15,9.27,8.79,9.15,73020,8.4945,8.5579
2020-03-04,9.11,9.15,8.91,8.99,75500,8.543,8.599
2020-03-05,9.07,9.11,8.91,8.91,49880,8.5925,8.6286
2020-03-06,8.79,8.83,8.59,8.63,30470,8.621,8.6288
2020-03-09,8.55,8.55,7.48,7.56,207620,8.594,8.527
2020-03-10,7.76,8.19,7.48,8.15,56253,8.5965,8.4911
2020-03-11,8.35,8.35,7.76,7.96,57800,8.573,8.4405
2020-03-12,7.76,7.76,7.28,7.56,96030,8.5095,8.3566
2020-03-13,7.28,7.32,6.96,7.2,87348,8.4355,8.2465
2020-03-16,6.96,7.68,6.96,7.4,46885,8.3935,8.1659
2020-03-17,7.32,7.6,7.16,7.48,131101,8.3315,8.1006
2020-03-18,7.56,8.15,7.52,8.08,164300,8.285,8.0986
2020-03-19,8.0,8.19,7.88,8.11,85870,8.249,8.0997
2020-03-20,8.11,8.19,7.96,8.08,106260,8.2315,8.0978
2020-03-23,8.04,8.04,7.16,7.16,99366,8.179,8.0085
2020-03-24,7.2,7.72,7.16,7.64,32810,8.1305,7.9734
2020-03-25,7.6,7.96,7.6,7.8,25942,8.092,7.9569
