time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,1.9,2.0,1.9,2.0,39200,,
2020-01-03,2.0,2.1,2.0,2.1,23700,,
2020-01-06,2.0,2.0,2.0,2.0,17020,,
2020-01-07,1.9,1.9,1.9,1.9,45700,,
2020-01-08,1.9,1.9,1.8,1.9,27100,,
2020-01-09,1.9,1.9,1.8,1.8,62220,,
2020-01-10,1.8,1.9,1.7,1.8,61921,,
2020-01-13,1.7,1.8,1.7,1.7,36200,,
2020-01-14,1.7,1.8,1.6,1.8,86304,,
2020-01-15,1.8,1.9,1.8,1.9,23400,,
2020-01-16,1.8,1.9,1.8,1.9,38700,,
2020-01-17,1.8,1.8,1.8,1.8,78041,,
2020-01-20,1.8,1.8,1.7,1.8,89200,,
2020-01-21,1.7,1.9,1.7,1.9,74201,,
2020-01-22,1.8,1.9,1.8,1.8,69000,,
2020-01-30,1.7,1.8,1.7,1.7,52420,,
2020-01-31,1.7,1.7,1.6,1.6,35602,,
2020-02-03,1.6,1.6,1.5,1.6,97840,,
2020-02-04,1.6,1.7,1.6,1.6,37820,,
2020-02-05,1.7,1.7,1.6,1.6,50100,1.81,1.7795
2020-02-06,1.6,1.7,1.6,1.7,36040,1.795,1.7719
2020-02-07,1.7,1.7,1.6,1.7,181000,1.775,1.765
2020-02-10,1.6,1.7,1.6,1.7,99520,1.76,1.7589
2020-02-11,1.6,1.8,1.6,1.7,25610,1.75,1.7532
2020-02-12,1.7,1.8,1.6,1.8,112230,1.745,1.7577
2020-02-13,1.7,1.8,1.7,1.7,77150,1.74,1.7522
2020-02-14,1.7,1.8,1.6,1.7,42370,1.735,1.7472
2020-02-17,1.7,1.8,1.7,1.8,40710,1.74,1.7523
2020-02-18,1.7,1.7,1.7,1.7,36560,1.735,1.7473
2020-02-19,1.6,1.7,1.6,1.7,84802,1.725,1.7428
2020-02-20,1.7,1.7,1.6,1.6,295000,1.71,1.7292
2020-02-21,1.6,1.7,1.6,1.7,29700,1.705,1.7264
2020-02-24,1.7,1.7,1.6,1.6,98800,1.695,1.7144
2020-02-25,1.5,1.6,1.5,1.5,124700,1.675,1.6939
2020-02-26,1.6,1.6,1.5,1.5,33117,1.66,1.6755
2020-02-27,1.6,1.6,1.5,1.6,75590,1.655,1.6683
2020-02-28,1.5,1.7,1.5,1.6,93100,1.655,1.6618
2020-03-02,1.6,1.7,1.5,1.6,36919,1.655,1.6559
2020-03-03,1.5,1.7,1.5,1.5,34400,1.65,1.6411
2020-03-04,1.6,1.6,1.5,1.6,41920,1.65,1.6371
2020-03-05,1.6,1.6,1.5,1.5,328610,1.64,1.6241
2020-03-06,1.5,1.6,1.5,1.6,20400,1.635,1.6218
2020-03-09,1.5,1.5,1.5,1.5,53000,1.625,1.6102
2020-03-10,1.5,1.5,1.4,1.5,52501,1.615,1.5997
2020-03-11,1.4,1.5,1.4,1.4,114549,1.595,1.5807
2020-03-12,1.4,1.4,1.3,1.3,234800,1.575,1.5539
2020-03-13,1.2,1.3,1.2,1.2,217720,1.55,1.5202
2020-03-16,1.1,1.3,1.1,1.2,171600,1.52,1.4897
2020-03-17,1.2,1.3,1.1,1.3,160000,1.5,1.4717
2020-03-18,1.3,1.4,1.2,1.3,70000,1.48,1.4553
2020-03-19,1.3,1.3,1.2,1.2,90030,1.46,1.431
2020-03-20,1.2,1.3,1.1,1.1,124500,1.43,1.3995
2020-03-23,1.1,1.2,1.0,1.0,237200,1.4,1.3614
2020-03-24,1.0,1.1,1.0,1.1,53920,1.38,1.3365
2020-03-25,1.0,1.1,1.0,1.1,33901,1.36,1.314
2020-03-26,1.1,1.1,1.0,1.0,176540,1.33,1.2841
2020-03-27,1.0,1.1,1.0,1.0,20069,1.3,1.257
2020-03-30,1.1,1.1,0.9,1.0,97621,1.27,1.2326
2020-03-31,1.0,1.0,0.9,0.9,82820,1.24,1.2009
2020-04-01,0.9,1.0,0.8,0.8,243009,1.2,1.1627
2020-04-03,0.9,0.9,0.9,0.9,64313,1.17,1.1377
2020-04-06,1.0,1.0,0.9,1.0,329021,1.14,1.1246
2020-04-07,1.0,1.0,0.9,0.9,232600,1.11,1.1032
2020-04-08,1.0,1.0,0.9,0.9,50700,1.08,1.0838
2020-04-09,0.9,1.0,0.9,1.0,88820,1.06,1.0759
2020-04-10,1.0,1.0,0.9,0.9,182641,1.04,1.0591
2020-04-13,1.0,1.0,0.9,1.0,392003,1.03,1.0535
2020-04-14,1.1,1.1,1.0,1.1,227393,1.025,1.0579
2020-04-15,1.1,1.2,1.1,1.2,339447,1.02,1.0714
2020-04-16,1.3,1.3,1.3,1.3,319610,1.02,1.0932
2020-04-17,1.4,1.4,1.4,1.4,308259,1.03,1.1224
2020-04-20,1.5,1.5,1.3,1.5,654935,1.05,1.1584
2020-04-21,1.4,1.4,1.4,1.4,39827,1.07,1.1814
2020-04-22,1.3,1.5,1.3,1.4,287490,1.085,1.2022
2020-04-23,1.4,1.4,1.3,1.3,233642,1.095,1.2115
2020-04-24,1.2,1.3,1.2,1.2,194955,1.105,1.2104
2020-04-27,1.2,1.3,1.2,1.2,183456,1.115,1.2094
2020-04-28,1.3,1.3,1.2,1.3,207573,1.13,1.2181
2020-04-29,1.3,1.4,1.2,1.3,69820,1.15,1.2259
2020-05-04,1.2,1.3,1.2,1.2,118745,1.17,1.2234
2020-05-05,1.2,1.3,1.2,1.2,51644,1.185,1.2212
2020-05-06,1.3,1.3,1.2,1.3,58200,1.2,1.2287
2020-05-07,1.3,1.3,1.2,1.2,123561,1.215,1.2259
2020-05-08,1.2,1.3,1.1,1.2,115660,1.23,1.2235
2020-05-11,1.2,1.2,1.2,1.2,169426,1.24,1.2212
2020-05-12,1.2,1.3,1.2,1.2,111113,1.255,1.2192
2020-05-13,1.2,1.3,1.2,1.3,287520,1.27,1.2269
2020-05-14,1.4,1.4,1.3,1.3,212209,1.28,1.2339
2020-05-15,1.3,1.4,1.3,1.3,51339,1.285,1.2402
2020-05-18,1.3,1.4,1.3,1.4,355220,1.29,1.2554
2020-05-19,1.4,1.4,1.3,1.4,33310,1.29,1.2692
2020-05-20,1.4,1.4,1.3,1.3,152010,1.28,1.2721
2020-05-21,1.3,1.4,1.2,1.3,61040,1.275,1.2748
2020-05-22,1.3,1.3,1.2,1.3,5100,1.27,1.2772
2020-05-25,1.3,1.3,1.2,1.2,8000,1.265,1.2698
2020-05-26,1.2,1.2,1.2,1.2,100610,1.265,1.2632
2020-05-27,1.3,1.3,1.2,1.2,54900,1.265,1.2571
2020-05-28,1.2,1.3,1.2,1.2,61801,1.26,1.2517
2020-05-29,1.3,1.3,1.2,1.3,37450,1.26,1.2563
2020-06-01,1.2,1.3,1.2,1.2,33410,1.26,1.2509
2020-06-02,1.2,1.3,1.2,1.2,26190,1.26,1.2461
2020-06-03,1.3,1.3,1.2,1.3,41051,1.26,1.2512
2020-06-04,1.3,1.3,1.2,1.3,88209,1.265,1.2559
2020-06-05,1.3,1.3,1.2,1.3,61780,1.27,1.2601
2020-06-08,1.3,1.3,1.2,1.3,184290,1.275,1.2639
2020-06-09,1.3,1.4,1.2,1.4,592816,1.285,1.2768
2020-06-10,1.5,1.5,1.5,1.5,267510,1.295,1.2981
2020-06-11,1.6,1.6,1.5,1.6,475500,1.31,1.3268
2020-06-12,1.5,1.6,1.5,1.5,419600,1.32,1.3433
2020-06-15,1.5,1.6,1.4,1.5,213127,1.325,1.3583
2020-06-16,1.5,1.6,1.5,1.5,250200,1.33,1.3718
2020-06-17,1.5,1.6,1.4,1.5,542633,1.34,1.384
2020-06-18,1.5,1.6,1.4,1.6,200500,1.355,1.4045
2020-06-19,1.6,1.6,1.5,1.6,135200,1.37,1.4232
2020-06-22,1.5,1.6,1.5,1.5,168700,1.385,1.4305
2020-06-23,1.5,1.5,1.4,1.5,30143,1.4,1.4371
2020-06-24,1.4,1.5,1.4,1.4,73700,1.41,1.4336
2020-06-25,1.4,1.5,1.4,1.4,35700,1.42,1.4304
2020-06-26,1.4,1.5,1.3,1.4,254000,1.425,1.4275
2020-06-29,1.4,1.4,1.3,1.4,119200,1.435,1.4249
2020-06-30,1.4,1.4,1.4,1.4,78320,1.445,1.4225
2020-07-01,1.4,1.4,1.3,1.3,69800,1.445,1.4108
2020-07-02,1.3,1.4,1.3,1.3,22900,1.445,1.4003
2020-07-03,1.3,1.4,1.3,1.4,29001,1.45,1.4002
2020-07-06,1.4,1.5,1.3,1.3,99190,1.45,1.3907
2020-07-07,1.4,1.4,1.3,1.3,55400,1.445,1.3821
