time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,46.04,46.45,45.56,46.12,518870,,
2020-01-03,46.29,46.69,45.96,46.53,777690,,
2020-01-06,46.53,46.53,45.8,45.8,582020,,
2020-01-07,45.96,46.37,45.88,45.96,319680,,
2020-01-08,45.48,45.72,44.99,45.32,737690,,
2020-01-09,45.8,46.29,45.72,46.12,505680,,
2020-01-10,46.12,46.69,45.72,45.72,524930,,
2020-01-13,45.8,46.21,45.64,46.12,413810,,
2020-01-14,46.12,46.37,45.8,45.8,349410,,
2020-01-15,46.12,46.12,45.32,45.72,373290,,
2020-01-16,45.72,46.04,45.48,45.48,290210,,
2020-01-17,45.4,45.64,44.51,44.51,496940,,
2020-01-20,44.51,44.59,42.89,43.94,541490,,
2020-01-21,43.94,44.43,43.78,44.1,369330,,
2020-01-22,43.86,44.18,43.13,43.21,540210,,
2020-01-30,42.08,42.89,40.46,40.54,1591110,,
2020-01-31,40.54,41.84,40.46,40.54,791350,,
2020-02-03,37.79,40.46,37.71,40.46,1290570,,
2020-02-04,40.54,41.27,40.06,40.46,744900,,
2020-02-05,40.87,40.87,39.81,40.46,750710,44.1455,43.3784
2020-02-06,40.42,40.42,38.44,40.38,2389970,43.8585,43.0928
2020-02-07,40.3,40.38,39.49,40.38,932290,43.551,42.8345
2020-02-10,40.38,40.38,39.49,40.38,600280,43.28,42.6007
2020-02-11,39.81,41.84,39.81,40.38,2081860,43.001,42.3892
2020-02-12,40.46,41.03,40.46,40.87,804720,42.7785,42.2445
2020-02-13,41.03,41.19,40.54,40.62,547970,42.5035,42.0898
2020-02-14,40.62,40.62,40.02,40.3,1120310,42.2325,41.9194
2020-02-17,40.3,40.3,39.61,40.22,1492320,41.9375,41.7575
2020-02-18,39.89,40.22,39.81,40.22,591220,41.6585,41.6111
2020-02-19,40.14,41.84,40.14,40.78,1818680,41.4115,41.5319
2020-02-20,41.19,41.59,40.78,41.35,1365480,41.205,41.5146
2020-02-21,41.67,43.7,41.67,42.89,2061050,41.124,41.6456
2020-02-24,41.76,42.48,41.27,41.35,1429040,40.9945,41.6174
2020-02-25,40.87,41.51,40.3,40.95,896710,40.837,41.5539
2020-02-26,40.3,40.7,39.65,40.26,1252450,40.6895,41.4306
2020-02-27,39.81,40.3,39.49,40.22,1642080,40.6735,41.3153
2020-02-28,40.22,40.22,38.6,39.65,2255610,40.629,41.1567
2020-03-02,39.13,39.65,38.72,39.65,1588150,40.5885,41.0132
2020-03-03,39.81,40.3,39.25,39.65,1225730,40.548,40.8834
2020-03-04,39.57,39.93,39.37,39.65,909830,40.5075,40.7659
2020-03-05,40.02,42.08,39.77,41.19,1780900,40.548,40.8063
2020-03-06,41.11,44.02,40.54,44.02,2794380,40.73,41.1124
2020-03-09,42.89,45.96,41.27,42.08,4205130,40.815,41.2045
2020-03-10,42.81,43.54,42.08,42.4,2386840,40.916,41.3184
2020-03-11,43.13,43.13,39.81,40.42,2637580,40.8935,41.2328
2020-03-12,38.19,40.42,37.63,40.42,4072710,40.8835,41.1554
2020-03-13,37.63,40.42,37.63,40.34,3783330,40.8855,41.0778
2020-03-16,39.65,40.3,38.44,40.06,3216820,40.8775,40.9808
2020-03-17,38.84,40.06,38.6,40.06,3877150,40.8695,40.8931
2020-03-18,40.06,40.22,39.49,39.98,2170340,40.8295,40.8062
2020-03-19,39.25,39.81,38.88,39.81,3350310,40.7525,40.7113
2020-03-20,39.65,39.81,38.68,39.81,4120820,40.5985,40.6255
2020-03-23,38.92,39.81,37.55,39.81,5025020,40.5215,40.5478
2020-03-24,39.25,39.73,39.08,39.73,3558350,40.4605,40.4699
2020-03-25,39.65,40.22,39.25,39.73,2857290,40.434,40.3994
2020-03-26,39.65,39.81,39.29,39.65,2763490,40.4055,40.3281
2020-03-27,39.41,41.27,39.25,39.89,2587920,40.4175,40.2863
2020-03-30,39.25,39.73,39.17,39.73,1378940,40.4215,40.2334
2020-03-31,39.73,40.38,39.0,39.65,3667100,40.4215,40.1778
2020-04-01,39.49,40.46,39.49,39.81,1725880,40.4295,40.1428
2020-04-03,40.14,42.32,40.06,42.32,1841480,40.486,40.3501
2020-04-06,43.13,45.23,42.97,45.23,2556830,40.5465,40.8149
2020-04-07,45.96,47.26,44.59,46.53,2099700,40.769,41.3592
2020-04-08,45.4,47.66,44.91,47.66,1338040,41.032,41.9593
2020-04-09,47.66,48.31,47.02,48.07,2047890,41.4145,42.5412
2020-04-10,47.74,50.58,47.18,48.71,1914340,41.829,43.1287
2020-04-13,48.71,49.69,47.02,47.02,2106950,42.163,43.4993
2020-04-14,46.93,49.36,46.29,49.36,1449880,42.628,44.0575
2020-04-15,49.36,50.41,49.12,49.28,1106350,43.089,44.5549
2020-04-16,48.23,49.52,48.23,49.2,981480,43.55,44.9973
2020-04-17,49.36,49.69,48.96,49.04,1417150,44.0115,45.3823
2020-04-20,49.04,49.36,48.07,48.07,1843690,44.4245,45.6383
2020-04-21,47.02,47.58,45.4,45.8,1855040,44.724,45.6537
2020-04-22,44.91,47.42,44.91,47.1,1062970,45.0925,45.7914
2020-04-23,48.15,48.39,47.1,47.1,842920,45.461,45.916
2020-04-24,46.77,48.15,46.29,48.15,1218690,45.886,46.1288
2020-04-27,48.55,48.96,47.34,47.34,1122520,46.2585,46.2441
2020-04-28,47.34,48.8,46.93,48.31,1095230,46.6875,46.4409
2020-04-29,48.31,48.47,47.58,47.58,830530,47.084,46.5494
2020-05-04,46.29,47.5,46.21,46.37,1148810,47.412,46.5323
2020-05-05,46.29,46.53,45.64,45.64,1098980,47.578,46.4473
2020-05-06,46.12,46.93,45.07,46.93,1019980,47.663,46.4933
2020-05-07,47.58,47.74,46.93,47.58,780600,47.7155,46.5968
2020-05-08,47.74,50.49,47.66,49.36,3319850,47.8005,46.8599
2020-05-11,49.77,51.06,49.04,51.06,1838950,47.95,47.26
2020-05-12,50.98,51.14,50.01,50.17,1028270,48.023,47.5371
2020-05-13,49.6,50.58,48.96,50.09,1598740,48.1765,47.7802
2020-05-14,49.77,52.76,49.36,51.71,2573510,48.294,48.1545
2020-05-15,52.19,52.52,50.25,50.25,1305890,48.3425,48.3541
2020-05-18,50.25,50.82,49.69,50.58,840070,48.4115,48.5661
2020-05-19,51.22,52.11,50.58,50.98,1923440,48.5085,48.796
2020-05-20,50.58,51.71,50.58,51.63,998400,48.6865,49.0659
2020-05-21,51.63,51.79,50.82,51.63,1513470,48.978,49.3101
2020-05-22,51.38,51.55,50.17,50.17,1310850,49.1315,49.392
2020-05-25,50.33,50.74,49.77,50.01,1354620,49.277,49.4508
2020-05-26,50.17,50.82,50.09,50.58,1053240,49.3985,49.5584
2020-05-27,51.14,52.28,50.58,50.58,2189080,49.5605,49.6557
2020-05-28,51.3,51.3,50.49,50.82,797480,49.686,49.7666
2020-05-29,50.82,50.9,50.33,50.74,698100,49.844,49.8593
2020-06-01,50.74,51.55,50.74,51.06,1076880,50.0785,49.9736
2020-06-02,51.47,53.25,51.3,51.71,4190080,50.382,50.139
2020-06-03,52.19,52.19,51.47,51.79,749700,50.625,50.2962
2020-06-04,52.28,52.28,51.22,51.38,1528010,50.815,50.3994
2020-06-05,50.98,51.22,50.58,50.98,1826680,50.896,50.4547
2020-06-08,51.3,52.11,50.82,51.3,1758860,50.908,50.5352
2020-06-09,51.38,51.95,50.74,50.98,1614250,50.9485,50.5776
2020-06-10,50.9,50.98,50.58,50.9,1210600,50.989,50.6083
2020-06-11,51.22,51.87,47.34,47.34,2635700,50.7705,50.297
2020-06-12,46.12,47.5,46.12,47.34,3042060,50.625,50.0154
2020-06-15,47.34,47.66,44.75,45.64,2603230,50.378,49.5987
2020-06-16,46.45,46.77,45.72,46.61,1492420,50.1595,49.3141
2020-06-17,46.93,47.1,46.04,46.53,1155980,49.9045,49.0489
2020-06-18,46.12,46.45,45.23,46.12,928290,49.629,48.77
2020-06-19,46.61,46.69,46.12,46.12,2419830,49.4265,48.5176
2020-06-22,47.18,47.34,46.53,47.18,1621780,49.285,48.3902
2020-06-23,46.93,48.15,46.93,47.26,1453290,49.119,48.2826
2020-06-24,47.26,47.58,45.72,46.29,935890,48.9045,48.0928
2020-06-25,45.8,46.12,45.48,45.88,1540010,48.6575,47.8821
2020-06-26,45.88,46.85,45.64,45.64,574970,48.4025,47.6685
2020-06-29,45.64,45.64,43.62,44.59,1720440,48.079,47.3753
2020-06-30,44.67,45.4,43.7,43.78,1378930,47.6825,47.0329
2020-07-01,44.02,45.4,43.7,44.91,965870,47.3385,46.8307
2020-07-02,45.32,46.61,44.91,46.29,1094380,47.084,46.7792
2020-07-03,46.29,46.85,45.88,46.29,699930,46.8495,46.7326
2020-07-06,46.29,46.93,46.21,46.61,855780,46.615,46.721
2020-07-07,46.85,47.26,46.12,46.12,959250,46.372,46.6637
2020-07-08,46.12,46.53,46.12,46.12,467170,46.133,46.6119
2020-07-09,46.21,46.69,46.04,46.45,1097650,46.0885,46.5965
2020-07-10,46.45,46.61,45.32,46.04,564900,46.0235,46.5435
2020-07-13,46.12,46.53,45.72,45.8,557920,46.0315,46.4727
2020-07-14,45.64,45.8,45.07,45.32,929240,45.967,46.3629
2020-07-15,45.72,45.88,45.07,45.07,1250200,45.894,46.2398
2020-07-16,45.32,46.12,44.91,46.12,978700,45.894,46.2284
2020-07-17,45.88,45.96,45.32,45.48,759610,45.862,46.1571
2020-07-20,45.32,45.32,44.51,44.51,944440,45.7285,46.0002
2020-07-21,44.51,44.99,43.94,44.26,1670960,45.5785,45.8345
2020-07-22,44.26,44.67,43.86,43.86,833760,45.457,45.6465
2020-07-23,43.86,44.18,43.37,43.62,762030,45.344,45.4535
2020-07-24,43.45,43.62,41.11,42.08,2045780,45.166,45.1322
2020-07-27,39.57,41.67,39.57,40.06,2819250,44.9395,44.6491
2020-07-28,40.46,41.27,40.06,40.87,1318770,44.794,44.2892
2020-07-29,40.06,40.46,39.65,39.93,1352670,44.545,43.874
2020-07-30,40.38,40.54,40.06,40.3,821650,44.2455,43.5337
2020-07-31,39.81,41.59,39.73,40.87,2195060,43.9745,43.28
2020-08-03,41.03,42.65,40.87,42.56,1395440,43.772,43.2114
2020-08-04,43.05,43.94,43.05,43.7,1681090,43.651,43.2579
2020-08-05,43.29,44.51,43.05,44.51,1810780,43.5705,43.3772
2020-08-06,44.1,44.43,43.45,43.62,1178020,43.429,43.4003
2020-08-07,43.7,44.34,43.54,43.78,959230,43.316,43.4365
2020-08-10,43.86,44.43,43.86,44.1,953690,43.231,43.4997
2020-08-11,44.34,44.34,43.78,44.18,658760,43.174,43.5645
2020-08-12,43.94,44.34,43.62,43.86,981320,43.1135,43.5926
2020-08-13,44.02,44.18,43.7,44.02,953060,43.0085,43.6333
2020-08-14,44.02,44.1,42.89,43.21,1796510,42.895,43.593
2020-08-17,43.21,43.29,42.32,42.89,1099660,42.814,43.526
2020-08-18,42.89,42.89,42.32,42.4,771290,42.721,43.4188
2020-08-19,42.4,42.81,42.16,42.65,867050,42.6605,43.3456
2020-08-20,42.65,42.73,42.08,42.08,1419940,42.5835,43.225
2020-08-21,42.08,42.81,42.08,42.56,968870,42.6075,43.1617
2020-08-24,42.73,43.7,42.73,43.37,1713810,42.773,43.1815
2020-08-25,43.7,44.02,43.37,43.37,1698780,42.898,43.1995
2020-08-26,43.37,43.62,43.13,43.29,883720,43.066,43.2081
2020-08-27,43.29,43.45,43.21,43.37,816320,43.2195,43.2235
2020-08-28,43.62,44.91,43.45,44.1,2380000,43.381,43.307
2020-08-31,44.51,44.91,44.02,44.51,1294650,43.4785,43.4216
2020-09-01,44.51,44.51,43.94,44.18,1624840,43.5025,43.4938
2020-09-03,44.83,44.91,44.26,44.83,1754030,43.5185,43.6211
2020-09-04,44.02,45.72,44.02,45.56,2640190,43.6155,43.8057
2020-09-07,45.8,46.21,44.18,44.18,2265500,43.6355,43.8414
2020-09-08,44.26,44.51,44.02,44.34,1460040,43.6475,43.8889
2020-09-09,43.78,44.83,43.78,44.51,1082410,43.664,43.948
2020-09-10,44.83,44.91,44.26,44.34,735560,43.688,43.9853
2020-09-11,44.18,44.51,43.94,44.51,539780,43.7125,44.0353
2020-09-14,44.51,45.15,44.51,44.99,944590,43.8015,44.1262
2020-09-15,44.99,45.15,44.59,44.83,794620,43.8985,44.1933
2020-09-16,44.83,44.83,44.18,44.43,908870,44.0,44.2158
2020-09-17,44.43,44.43,43.7,43.7,1241490,44.0525,44.1667
2020-09-18,43.7,44.18,43.7,43.86,1122350,44.1415,44.1375
2020-09-21,44.02,44.34,44.02,44.1,879920,44.2185,44.1339
2020-09-22,44.1,44.18,43.78,43.94,760350,44.247,44.1154
2020-09-23,44.18,44.83,44.02,44.83,1284870,44.32,44.1835
2020-09-24,44.59,45.07,44.51,44.51,881030,44.381,44.2146
2020-09-25,44.51,44.75,44.1,44.26,708340,44.4255,44.2189
2020-09-28,44.26,44.59,44.1,44.26,623360,44.4335,44.2228
2020-09-29,44.43,44.43,43.37,43.37,1283100,44.3765,44.1416
2020-09-30,43.37,44.18,43.37,44.18,843740,44.3765,44.1453
2020-10-01,44.26,44.51,44.18,44.43,964220,44.3565,44.1724
2020-10-02,44.43,44.51,43.54,43.78,1483120,44.2675,44.135
2020-10-05,44.18,45.48,43.78,45.32,3268020,44.3245,44.2479
2020-10-06,45.64,47.18,45.56,46.93,4400570,44.454,44.5033
2020-10-07,46.85,50.17,46.85,50.09,6435850,44.733,45.0354
2020-10-08,49.77,51.71,49.04,51.71,4846470,45.1015,45.6711
2020-10-09,51.3,55.19,50.33,55.11,5339660,45.6315,46.57
2020-10-12,55.03,56.81,53.81,56.81,5818700,46.2225,47.5452
2020-10-13,56.64,60.77,55.03,60.53,4664240,47.0075,48.7819
2020-10-14,60.29,64.74,59.15,64.74,5066890,48.023,50.3017
2020-10-15,64.66,67.08,63.36,65.63,5698130,49.1195,51.7615
2020-10-16,65.55,65.55,61.1,64.74,6539150,50.1635,52.9976
2020-10-19,61.66,66.36,61.66,66.36,3072960,51.2765,54.2702
2020-10-20,66.19,67.73,64.74,67.73,4875310,52.466,55.5521
2020-10-21,67.16,68.7,66.36,67.73,1756450,53.611,56.7119
2020-10-22,67.0,68.78,66.76,68.78,5130670,54.8245,57.8612
2020-10-23,68.86,69.67,68.38,69.59,3419860,56.091,58.9783
2020-10-26,68.54,71.13,68.54,71.13,4666520,57.4345,60.1356
2020-10-27,71.21,72.02,68.78,71.13,4042910,58.8225,61.1827
2020-10-28,71.05,71.05,68.14,69.59,4631980,60.093,61.9834
2020-10-29,67.16,68.78,64.74,67.97,6707870,61.27,62.5535
2020-10-30,66.52,67.97,64.33,67.97,4060060,62.4795,63.0694
2020-11-02,67.97,68.38,66.6,68.38,3845900,63.6325,63.5751
2020-11-03,67.97,68.22,67.33,67.97,3178300,64.6845,63.9937
2020-11-04,67.97,68.54,67.25,68.14,2008660,65.587,64.3886
2020-11-05,68.38,71.13,67.81,71.13,1794890,66.558,65.0306
2020-11-06,71.05,72.75,70.4,72.75,1218300,67.44,65.7658
2020-11-09,72.83,77.36,72.67,77.36,2470010,68.4675,66.87
2020-11-10,77.68,79.3,76.79,77.2,3489650,69.301,67.8538
2020-11-11,75.82,77.2,74.45,77.2,2025450,69.924,68.7439
2020-11-12,77.28,77.28,75.34,75.34,484080,70.4095,69.3721
2020-11-13,75.01,75.01,72.75,72.91,1094470,70.818,69.7091
2020-11-16,72.42,72.91,67.89,67.89,2454980,70.8945,69.5358
