time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,16.0,16.0,15.1,15.2,3540,,
2020-01-03,15.3,15.3,14.9,15.2,7550,,
2020-01-06,15.0,15.0,14.7,15.0,28550,,
2020-01-07,15.0,15.8,14.9,15.2,7713,,
2020-01-08,14.9,15.0,14.9,14.9,10800,,
2020-01-09,15.0,15.2,14.9,14.9,11300,,
2020-01-10,15.0,15.0,14.8,15.0,14023,,
2020-01-13,15.0,15.0,15.0,15.0,3800,,
2020-01-14,14.9,15.1,14.8,15.1,11000,,
2020-01-15,15.0,15.0,14.9,15.0,5000,,
2020-01-16,15.0,15.0,14.5,14.9,8020,,
2020-01-17,14.8,15.1,14.7,14.8,3450,,
2020-01-20,15.0,15.1,14.6,14.9,25400,,
2020-01-21,14.6,15.0,14.3,15.0,51758,,
2020-01-22,15.0,15.0,15.0,15.0,320,,
2020-01-30,15.1,15.1,14.9,15.0,4200,,
2020-01-31,14.9,15.0,14.7,14.8,21510,,
2020-02-03,14.0,14.8,12.7,14.6,32625,,
2020-02-04,14.6,14.6,13.8,13.8,3347,,
2020-02-05,14.5,14.5,14.0,14.3,11800,14.88,14.803
2020-02-06,14.0,15.0,13.9,15.0,51150,14.87,14.8218
2020-02-07,14.2,14.5,14.0,14.5,20370,14.835,14.7912
2020-02-10,14.5,15.0,14.5,15.0,40456,14.835,14.811
2020-02-11,14.8,15.0,14.4,15.0,19275,14.825,14.829
2020-02-12,14.9,15.0,14.6,15.0,32089,14.83,14.8453
2020-02-13,15.0,15.0,14.5,14.9,18600,14.83,14.8505
2020-02-14,14.8,14.9,14.5,14.5,19570,14.805,14.8171
2020-02-17,14.5,15.0,14.4,14.4,24510,14.775,14.7774
2020-02-18,14.4,14.8,14.4,14.8,1250,14.76,14.7796
2020-02-19,14.5,14.7,14.4,14.7,12627,14.745,14.772
2020-02-20,14.3,14.4,14.2,14.4,23480,14.72,14.7366
2020-02-21,14.8,15.0,14.4,14.7,29410,14.715,14.7331
2020-02-24,14.4,14.9,14.4,14.7,34310,14.705,14.7299
2020-02-25,14.7,14.7,14.3,14.7,67020,14.69,14.7271
2020-02-26,14.7,14.7,14.3,14.7,42030,14.675,14.7245
2020-02-27,14.6,14.7,14.5,14.6,69300,14.655,14.7126
2020-02-28,14.6,14.7,14.3,14.7,58705,14.65,14.7114
2020-03-02,14.4,14.9,14.0,14.9,75000,14.665,14.7294
2020-03-03,14.7,15.0,14.5,14.7,34475,14.71,14.7266
2020-03-04,14.7,14.9,14.7,14.8,21103,14.735,14.7336
2020-03-05,14.8,14.8,14.6,14.8,37860,14.725,14.7399
2020-03-06,14.6,14.7,14.5,14.7,14500,14.735,14.7361
2020-03-09,14.5,15.2,13.9,14.7,166757,14.72,14.7327
2020-03-10,14.7,14.8,13.8,14.7,39906,14.705,14.7296
2020-03-11,14.6,14.7,14.0,14.7,67850,14.69,14.7267
2020-03-12,14.3,15.0,14.1,14.9,177100,14.69,14.7432
2020-03-13,14.5,14.7,14.4,14.6,25500,14.695,14.7296
2020-03-16,14.6,14.6,14.0,14.6,41793,14.705,14.7173
2020-03-17,14.2,16.6,12.4,16.6,709783,14.795,14.8966
2020-03-18,16.6,16.6,15.5,15.6,83419,14.84,14.9636
2020-03-19,15.9,15.9,14.4,15.2,23315,14.88,14.9861
2020-03-20,14.2,14.9,14.2,14.8,35600,14.885,14.9684
2020-03-23,14.6,15.0,14.0,14.7,106306,14.885,14.9428
2020-03-24,14.6,14.9,14.3,14.6,6610,14.88,14.9102
2020-03-25,15.0,15.0,14.5,14.6,11632,14.875,14.8806
2020-03-26,14.6,14.6,14.5,14.6,12700,14.875,14.8539
2020-03-27,14.6,14.7,14.4,14.6,17013,14.87,14.8297
2020-03-30,14.5,14.6,14.4,14.6,29300,14.855,14.8078
2020-03-31,14.6,14.7,14.2,14.6,25503,14.85,14.788
2020-04-01,14.6,14.7,14.4,14.6,19380,14.84,14.7701
2020-04-03,14.6,15.0,14.5,14.6,6570,14.83,14.7539
2020-04-06,14.6,14.9,14.5,14.6,19190,14.825,14.7393
2020-04-07,14.8,15.0,14.6,14.6,6610,14.82,14.726
2020-04-08,14.6,14.6,14.5,14.6,2500,14.815,14.714
2020-04-09,14.7,15.2,14.5,15.2,44700,14.84,14.7603
2020-04-10,15.2,15.2,14.7,14.7,6830,14.83,14.7545
2020-04-13,15.0,15.0,14.7,14.9,1170,14.845,14.7684
2020-04-14,14.8,15.0,14.5,14.7,16800,14.85,14.7619
2020-04-15,15.0,15.0,14.8,14.9,24773,14.765,14.775
2020-04-16,15.0,15.1,14.8,15.0,31080,14.735,14.7965
2020-04-17,15.0,16.5,14.8,15.2,53241,14.735,14.8349
2020-04-20,15.5,16.3,15.5,15.8,99711,14.785,14.9268
2020-04-21,16.0,16.1,15.1,15.2,31191,14.81,14.9528
2020-04-22,15.1,15.7,15.1,15.6,9400,14.86,15.0145
2020-04-23,15.6,16.0,15.2,15.4,30200,14.9,15.0512
2020-04-24,15.2,15.6,15.0,15.2,11038,14.93,15.0654
2020-04-27,15.1,15.3,15.0,15.1,15747,14.955,15.0687
2020-04-28,15.1,15.7,15.1,15.2,33828,14.985,15.0812
2020-04-29,15.5,15.5,15.1,15.3,15638,15.02,15.102
2020-05-04,15.5,15.5,15.5,15.5,287,15.065,15.1399
2020-05-05,14.7,15.4,14.7,15.0,11948,15.085,15.1266
2020-05-06,15.2,15.2,14.9,14.9,8100,15.1,15.105
2020-05-07,15.2,15.2,14.8,14.8,8000,15.11,15.076
2020-05-08,15.2,15.2,14.9,14.9,15200,15.125,15.0592
2020-05-11,15.1,15.1,14.7,14.7,12972,15.1,15.025
2020-05-12,15.2,15.2,14.8,14.8,15700,15.105,15.0036
2020-05-13,15.0,15.0,14.8,14.9,13330,15.105,14.9937
2020-05-14,15.0,15.0,14.8,14.9,20220,15.115,14.9848
2020-05-15,14.8,14.8,14.8,14.8,10690,15.11,14.9672
2020-05-18,14.8,14.9,14.8,14.9,33742,15.105,14.9608
2020-05-19,14.9,15.1,14.8,14.8,34710,15.085,14.9455
2020-05-20,14.8,14.8,14.8,14.8,22416,15.035,14.9316
2020-05-21,14.8,14.9,14.8,14.9,24987,15.02,14.9286
2020-05-22,14.7,14.7,14.6,14.7,14940,14.975,14.9068
2020-05-25,14.7,15.2,14.5,15.0,73907,14.955,14.9157
2020-05-26,15.3,15.5,15.1,15.1,24860,14.95,14.9333
2020-05-27,15.2,15.2,14.9,15.0,17615,14.945,14.9396
2020-05-28,15.1,15.1,14.8,14.9,8520,14.93,14.9358
2020-05-29,14.9,15.0,14.9,15.0,13306,14.915,14.942
2020-06-01,15.4,15.6,15.0,15.0,18510,14.89,14.9475
2020-06-02,15.5,15.5,14.9,15.0,6600,14.89,14.9525
2020-06-03,15.2,15.4,15.0,15.0,26700,14.895,14.957
2020-06-04,15.0,15.3,14.9,14.9,67000,14.9,14.9516
2020-06-05,14.9,15.2,14.7,15.1,53221,14.91,14.9657
2020-06-08,14.9,15.1,14.9,14.9,25802,14.92,14.9595
2020-06-09,14.9,14.9,14.6,14.7,44309,14.915,14.9347
2020-06-10,14.8,16.6,14.8,16.4,136370,14.99,15.0743
2020-06-11,16.8,18.0,16.8,17.5,535714,15.12,15.3053
2020-06-12,17.0,18.0,15.6,16.7,68420,15.215,15.4381
2020-06-15,16.2,16.2,15.5,15.5,77305,15.245,15.444
2020-06-16,15.8,16.5,15.2,16.5,93130,15.33,15.5446
2020-06-17,16.0,16.5,15.7,15.7,51011,15.375,15.5594
2020-06-18,15.8,16.1,15.7,15.9,17756,15.425,15.5918
2020-06-19,15.8,16.2,15.7,16.2,48880,15.5,15.6498
2020-06-22,16.2,16.4,15.8,15.8,30019,15.54,15.6641
2020-06-23,16.0,17.2,16.0,16.6,115366,15.615,15.7532
2020-06-24,16.2,16.5,16.2,16.4,70499,15.685,15.8148
2020-06-25,16.3,16.3,16.3,16.3,17900,15.755,15.861
2020-06-26,16.2,16.2,15.8,16.0,34239,15.805,15.8742
2020-06-29,15.7,15.7,15.0,15.1,48890,15.81,15.8005
2020-06-30,15.5,15.5,15.0,15.2,43900,15.82,15.7433
2020-07-01,15.0,15.2,14.8,15.2,61316,15.83,15.6916
2020-07-02,15.2,15.5,15.2,15.3,25655,15.85,15.6543
2020-07-03,15.3,15.3,15.0,15.0,21702,15.845,15.592
2020-07-06,15.2,15.3,15.0,15.1,28127,15.855,15.5451
2020-07-07,15.5,15.5,15.0,15.1,34764,15.875,15.5027
2020-07-08,15.2,15.8,15.0,15.7,120005,15.84,15.5215
2020-07-09,15.6,15.7,15.3,15.3,27207,15.73,15.5004
2020-07-10,15.2,15.5,15.2,15.4,28469,15.665,15.4909
2020-07-13,15.6,15.7,15.2,15.3,81120,15.655,15.4727
2020-07-14,15.3,15.4,15.2,15.4,44745,15.6,15.4658
2020-07-15,15.3,15.5,15.3,15.5,12410,15.59,15.469
2020-07-16,15.3,15.3,15.2,15.3,11300,15.56,15.4529
2020-07-17,15.3,15.4,15.3,15.3,37984,15.515,15.4384
2020-07-20,15.3,15.3,15.2,15.3,61630,15.49,15.4252
2020-07-21,15.3,15.3,15.2,15.2,8600,15.42,15.4037
2020-07-22,15.1,15.3,15.1,15.2,20252,15.36,15.3843
2020-07-23,15.2,15.2,15.1,15.1,35741,15.3,15.3573
2020-07-24,15.3,15.3,14.4,14.5,39738,15.225,15.2756
2020-07-27,14.5,15.0,14.3,14.9,113432,15.215,15.2398
2020-07-28,14.9,14.9,14.6,14.9,2865,15.2,15.2075
2020-07-29,14.8,14.8,14.3,14.8,20374,15.18,15.1687
2020-07-30,14.7,14.8,14.4,14.8,4300,15.155,15.1336
2020-07-31,14.8,14.8,14.4,14.6,29489,15.135,15.0827
2020-08-03,14.8,15.3,14.8,15.0,15650,15.13,15.0749
2020-08-04,15.2,15.2,15.0,15.1,11700,15.13,15.0773
2020-08-05,15.1,15.1,15.0,15.0,12600,15.095,15.0699
2020-08-06,15.1,15.1,14.8,14.8,11555,15.07,15.0442
2020-08-07,15.0,15.0,14.3,14.7,12700,15.035,15.0114
2020-08-10,14.7,14.9,14.7,14.7,11610,15.005,14.9818
2020-08-11,14.9,14.9,14.6,14.7,9892,14.97,14.9549
2020-08-12,14.9,15.0,14.7,14.7,3700,14.93,14.9306
2020-08-13,15.0,15.0,14.8,15.0,11810,14.915,14.9372
2020-08-14,14.5,15.0,14.5,14.9,8680,14.895,14.9337
2020-08-17,14.7,15.9,14.7,15.2,42700,14.89,14.9591
2020-08-18,15.3,15.3,14.9,15.0,6410,14.88,14.963
2020-08-19,15.0,15.0,15.0,15.0,4000,14.87,14.9665
2020-08-20,14.9,15.0,14.9,15.0,9335,14.865,14.9697
2020-08-21,14.9,15.0,14.8,15.0,14010,14.89,14.9726
2020-08-24,14.8,15.0,14.7,15.0,31612,14.895,14.9752
2020-08-25,15.0,15.0,14.9,14.9,14420,14.895,14.968
2020-08-26,14.9,15.0,14.9,15.0,31551,14.905,14.9711
2020-08-27,15.0,15.0,14.9,14.9,21398,14.91,14.9643
2020-08-28,14.9,15.0,14.8,15.0,39900,14.93,14.9677
2020-08-31,15.4,15.6,15.0,15.4,76914,14.95,15.0089
2020-09-01,15.8,16.2,15.7,15.8,65023,14.985,15.0842
2020-09-03,15.5,15.8,15.5,15.7,7700,15.02,15.1429
2020-09-04,15.7,17.0,15.5,16.9,340801,15.125,15.3102
2020-09-07,16.7,16.9,16.0,16.0,120239,15.19,15.3759
2020-09-08,16.4,16.4,16.1,16.4,32370,15.275,15.4734
2020-09-09,16.1,18.0,16.1,17.4,263917,15.41,15.6569
2020-09-10,17.5,17.5,17.2,17.3,59791,15.54,15.8134
2020-09-11,16.9,17.0,16.5,16.5,19162,15.615,15.8788
2020-09-14,16.3,16.5,16.1,16.1,140818,15.675,15.8999
2020-09-15,16.5,16.8,16.2,16.3,13010,15.73,15.938
2020-09-16,16.1,16.2,15.6,16.1,110578,15.785,15.9534
2020-09-17,16.8,16.8,15.8,16.3,94430,15.85,15.9864
2020-09-18,15.8,16.1,15.8,16.1,18650,15.905,15.9972
2020-09-21,16.1,16.1,15.5,15.7,65700,15.94,15.9689
2020-09-22,15.5,15.9,15.5,15.7,35570,15.975,15.9433
2020-09-23,15.7,16.1,15.4,16.0,86545,16.03,15.9487
2020-09-24,16.0,16.1,15.8,16.0,104416,16.08,15.9536
2020-09-25,16.0,16.4,16.0,16.2,60440,16.145,15.9771
2020-09-28,16.2,16.3,15.9,16.2,67435,16.205,15.9983
2020-09-29,16.0,16.1,15.9,16.0,16648,16.235,15.9985
2020-09-30,15.8,16.0,15.5,16.0,42300,16.245,15.9986
2020-10-01,16.0,16.0,15.7,15.8,38544,16.25,15.9797
2020-10-02,15.8,16.1,15.6,15.8,99507,16.195,15.9626
2020-10-05,15.9,16.1,15.7,16.0,54500,16.195,15.9661
2020-10-06,16.1,16.4,15.9,16.0,84000,16.175,15.9694
2020-10-07,16.1,16.8,16.1,16.5,77000,16.13,16.0199
2020-10-08,16.8,16.8,16.1,16.3,19400,16.08,16.0466
2020-10-09,16.1,16.2,16.0,16.2,59600,16.065,16.0612
2020-10-12,16.1,16.5,16.0,16.1,51600,16.065,16.0649
2020-10-13,16.2,16.2,15.9,16.1,28700,16.055,16.0682
2020-10-14,16.0,16.0,15.8,16.0,89300,16.05,16.0617
2020-10-15,16.1,18.4,16.1,18.3,1545300,16.15,16.2749
2020-10-16,18.5,20.8,17.9,18.4,623600,16.265,16.4773
2020-10-19,18.5,18.5,17.5,17.8,135600,16.37,16.6033
2020-10-20,17.5,19.0,17.1,18.1,451000,16.49,16.7458
2020-10-21,18.3,18.5,17.0,17.0,357900,16.54,16.77
2020-10-22,17.3,17.8,17.0,17.0,226700,16.59,16.7919
2020-10-23,17.1,18.0,17.0,17.5,295600,16.655,16.8594
2020-10-26,17.4,18.0,16.8,17.1,256100,16.7,16.8823
2020-10-27,17.8,18.4,17.1,17.3,557600,16.765,16.9221
2020-10-28,17.5,17.5,16.2,16.5,229300,16.79,16.8819
2020-10-29,16.5,16.6,16.1,16.3,147600,16.815,16.8264
2020-10-30,16.3,16.3,15.5,15.8,282900,16.815,16.7287
2020-11-02,15.5,15.7,15.3,15.6,90900,16.795,16.6212
2020-11-03,15.9,16.2,15.6,15.9,69500,16.79,16.5525
2020-11-04,15.8,15.9,15.6,15.7,83300,16.75,16.4713
2020-11-05,15.7,15.8,15.4,15.6,120400,16.715,16.3883
2020-11-06,15.6,15.7,15.5,15.6,103800,16.685,16.3133
2020-11-09,15.5,16.3,15.5,16.0,215600,16.68,16.2834
2020-11-10,16.0,16.5,15.8,16.0,117900,16.675,16.2564
2020-11-11,16.0,16.2,15.8,15.9,89500,16.67,16.2225
2020-11-12,15.9,16.0,15.6,15.8,205800,16.545,16.1822
2020-11-13,15.8,15.8,15.5,15.5,344600,16.4,16.1173
2020-11-16,15.7,15.8,15.4,15.5,137200,16.285,16.0585
2020-11-17,15.5,15.7,15.3,15.7,101600,16.165,16.0243
2020-11-18,15.7,16.3,15.5,16.1,453400,16.12,16.0315
2020-11-19,16.1,17.1,16.1,16.2,369100,16.08,16.0476
