time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,1.34,1.34,1.34,1.34,0,,
2020-01-03,1.24,1.24,1.24,1.24,100,,
2020-01-06,1.24,1.24,1.24,1.24,0,,
2020-01-07,1.24,1.24,1.24,1.24,4000,,
2020-01-08,1.24,1.24,1.24,1.24,0,,
2020-01-09,1.34,1.34,1.34,1.34,100,,
2020-01-10,1.34,1.34,1.34,1.34,0,,
2020-01-13,1.34,1.34,1.34,1.34,0,,
2020-01-14,1.24,1.24,1.24,1.24,2500,,
2020-01-15,1.24,1.24,1.24,1.24,38000,,
2020-01-16,1.24,1.24,1.24,1.24,900,,
2020-01-17,1.24,1.24,1.24,1.24,4800,,
2020-01-20,1.24,1.34,1.24,1.34,2700,,
2020-01-21,1.43,1.43,1.43,1.43,100,,
2020-01-22,1.43,1.43,1.43,1.43,0,,
2020-01-30,1.43,1.43,1.43,1.43,0,,
2020-01-31,1.43,1.43,1.43,1.43,0,,
2020-02-03,1.43,1.43,1.43,1.43,0,,
2020-02-04,1.43,1.43,1.43,1.43,0,,
2020-02-05,1.43,1.43,1.43,1.43,0,1.3315,1.3632
2020-02-06,1.43,1.63,1.43,1.63,1000,1.346,1.3886
2020-02-07,1.53,1.63,1.63,1.63,0,1.3655,1.4116
2020-02-10,1.72,1.72,1.72,1.72,100,1.3895,1.4409
2020-02-11,1.82,1.82,1.82,1.82,100,1.4185,1.477
2020-02-12,1.82,1.82,1.82,1.82,0,1.4475,1.5097
2020-02-13,1.82,1.82,1.82,1.82,0,1.4715,1.5393
2020-02-14,1.82,1.82,1.82,1.82,0,1.4955,1.566
2020-02-17,1.82,1.82,1.82,1.82,0,1.5195,1.5902
2020-02-18,1.82,1.82,1.82,1.82,0,1.5485,1.6121
2020-02-19,1.82,1.82,1.82,1.82,0,1.5775,1.6319
2020-02-20,1.63,1.91,1.63,1.91,1200,1.611,1.6584
2020-02-21,1.53,1.53,1.53,1.53,100,1.6255,1.6461
2020-02-24,1.34,1.34,1.34,1.34,1400,1.6255,1.617
2020-02-25,1.34,1.34,1.34,1.34,100,1.621,1.5906
2020-02-26,1.34,1.34,1.34,1.34,0,1.6165,1.5667
2020-02-27,1.34,1.34,1.34,1.34,0,1.612,1.5451
2020-02-28,1.34,1.34,1.34,1.34,0,1.6075,1.5256
2020-03-02,1.15,1.15,1.15,1.15,5000,1.5935,1.4898
2020-03-03,1.15,1.15,1.05,1.05,200,1.5745,1.4479
2020-03-04,1.24,1.24,1.24,1.24,500,1.565,1.4281
2020-03-05,1.24,1.24,1.24,1.24,0,1.5455,1.4102
2020-03-06,1.24,1.24,1.24,1.24,1200,1.526,1.394
2020-03-09,1.15,1.15,1.15,1.15,500,1.4975,1.3708
2020-03-10,1.15,1.15,1.05,1.05,72000,1.459,1.3402
2020-03-11,1.05,1.05,1.05,1.05,35400,1.4205,1.3126
2020-03-12,1.05,1.05,1.05,1.05,15900,1.382,1.2876
2020-03-13,1.05,1.05,1.05,1.05,8100,1.3435,1.2649
2020-03-16,1.05,1.05,1.05,1.05,0,1.305,1.2445
2020-03-17,1.15,1.15,1.15,1.15,100,1.2715,1.2355
2020-03-18,1.15,1.15,1.15,1.15,0,1.238,1.2273
