time,open,high,low,close,volume,SMA_20,EMA_20
2020-12-10,9.32,9.32,9.32,9.32,0,,
2020-12-11,9.32,9.32,9.32,9.32,0,,
2020-12-14,9.32,9.32,9.32,9.32,0,,
2020-12-15,9.32,9.32,9.32,9.32,0,,
2020-12-16,9.32,9.32,9.32,9.32,0,,
2020-12-17,9.32,9.32,9.32,9.32,0,,
2020-12-18,9.32,9.32,9.32,9.32,0,,
2020-12-21,9.32,9.32,9.32,9.32,0,,
2020-12-22,9.32,9.32,9.32,9.32,0,,
2020-12-23,9.32,9.32,9.32,9.32,0,,
2020-12-24,9.32,9.32,9.32,9.32,0,,
2020-12-25,9.32,9.32,9.32,9.32,0,,
2020-12-28,9.32,9.32,9.32,9.32,0,,
2020-12-29,9.32,9.32,9.32,9.32,0,,
2020-12-30,9.32,9.32,9.32,9.32,0,,
2020-12-31,9.32,9.32,9.32,9.32,0,,
2021-01-04,9.32,9.32,9.32,9.32,0,,
2021-01-05,9.32,9.32,9.32,9.32,0,,
2021-01-06,9.32,9.32,9.32,9.32,0,,
2021-01-07,9.32,9.32,9.32,9.32,0,9.32,9.32
2021-01-08,9.32,9.32,9.32,9.32,0,9.32,9.32
2021-01-11,9.32,9.32,9.32,9.32,0,9.32,9.32
2021-01-12,9.32,9.32,9.32,9.32,0,9.32,9.32
2021-01-13,9.32,9.32,9.32,9.32,0,9.32,9.32
2021-01-14,9.32,9.32,9.32,9.32,0,9.32,9.32
2021-01-15,9.32,9.32,9.32,9.32,0,9.32,9.32
2021-01-18,9.32,9.32,9.32,9.32,0,9.32,9.32
2021-01-19,9.32,9.32,9.32,9.32,0,9.32,9.32
2021-01-20,9.32,9.32,9.32,9.32,0,9.32,9.32
2021-01-21,9.32,9.32,9.32,9.32,0,9.32,9.32
2021-01-22,9.32,9.32,9.32,9.32,0,9.32,9.32
2021-01-25,9.32,9.32,9.32,9.32,0,9.32,9.32
2021-01-26,9.32,9.32,9.32,9.32,0,9.32,9.32
2021-01-27,9.32,9.32,9.32,9.32,0,9.32,9.32
2021-01-28,9.32,9.32,9.32,9.32,0,9.32,9.32
2021-01-29,9.32,9.32,9.32,9.32,0,9.32,9.32
2021-02-01,9.32,9.32,9.32,9.32,0,9.32,9.32
2021-02-02,9.32,9.32,9.32,9.32,0,9.32,9.32
2021-02-03,9.32,9.32,9.32,9.32,0,9.32,9.32
2021-02-04,9.32,9.32,9.32,9.32,0,9.32,9.32
2021-02-05,9.32,9.32,9.32,9.32,0,9.32,9.32
2021-02-08,9.32,9.32,9.32,9.32,0,9.32,9.32
2021-02-09,9.32,9.32,9.32,9.32,0,9.32,9.32
2021-02-17,9.32,9.32,9.32,9.32,0,9.32,9.32
2021-02-18,9.32,9.32,9.32,9.32,0,9.32,9.32
2021-02-19,9.32,9.32,9.32,9.32,0,9.32,9.32
2021-02-22,9.32,9.32,9.32,9.32,0,9.32,9.32
2021-02-23,9.32,9.32,9.32,9.32,0,9.32,9.32
2021-02-24,9.32,9.32,9.32,9.32,0,9.32,9.32
2021-02-25,9.32,9.32,9.32,9.32,0,9.32,9.32
2021-02-26,9.32,9.32,9.32,9.32,0,9.32,9.32
2021-03-01,9.32,9.32,9.32,9.32,0,9.32,9.32
2021-03-02,9.32,9.32,9.32,9.32,0,9.32,9.32
2021-03-03,9.32,9.32,9.32,9.32,0,9.32,9.32
2021-03-04,9.32,9.32,9.32,9.32,0,9.32,9.32
2021-03-05,9.32,9.32,9.32,9.32,0,9.32,9.32
2021-03-08,9.32,9.32,9.32,9.32,0,9.32,9.32
2021-03-09,9.32,9.32,9.32,9.32,0,9.32,9.32
2021-03-10,9.32,9.32,9.32,9.32,0,9.32,9.32
2021-03-11,9.32,9.32,9.32,9.32,0,9.32,9.32
2021-03-12,9.32,9.32,9.32,9.32,0,9.32,9.32
2021-03-15,9.32,9.32,9.32,9.32,0,9.32,9.32
2021-03-16,9.32,9.32,9.32,9.32,0,9.32,9.32
