time,open,high,low,close,volume,SMA_20,EMA_20
2020-10-09,6.67,6.67,4.77,5.65,2932700,,
2020-10-12,5.93,5.93,5.54,5.58,535100,,
2020-10-13,5.54,5.65,5.51,5.65,545000,,
2020-10-14,4.73,5.33,4.73,5.29,810900,,
2020-10-15,4.84,5.29,4.59,5.29,560900,,
2020-10-16,5.22,5.4,5.12,5.37,303900,,
2020-10-19,5.26,5.33,5.22,5.29,421400,,
2020-10-20,5.29,5.29,5.22,5.22,196100,,
2020-10-21,5.22,5.65,5.22,5.65,1277700,,
2020-10-22,5.47,5.61,5.4,5.51,117900,,
2020-10-23,5.51,5.51,5.37,5.37,174600,,
2020-10-26,5.37,5.37,5.29,5.37,204700,,
2020-10-27,5.33,5.51,5.29,5.29,141900,,
2020-10-28,5.26,5.33,5.12,5.19,293100,,
2020-10-29,5.26,5.26,5.19,5.22,106900,,
2020-10-30,5.26,5.26,4.62,5.26,75300,,
2020-11-02,5.26,5.44,5.26,5.29,128100,,
2020-11-03,5.29,5.29,5.05,5.29,50900,,
2020-11-04,5.26,5.29,5.22,5.26,44000,,
2020-11-05,5.26,5.26,5.22,5.22,52400,5.363,5.3596
2020-11-06,5.26,5.26,5.12,5.22,201900,5.3415,5.3463
2020-11-09,5.12,5.19,5.12,5.15,46500,5.32,5.3276
2020-11-10,5.22,5.22,5.15,5.15,71400,5.295,5.3107
2020-11-11,5.12,5.19,5.12,5.15,60900,5.288,5.2954
2020-11-12,5.12,5.19,4.98,5.08,83900,5.2775,5.2749
2020-11-13,5.12,5.19,5.01,5.05,142300,5.2615,5.2535
2020-11-16,5.05,5.05,4.91,4.94,191900,5.244,5.2236
2020-11-17,4.94,4.98,4.91,4.94,173700,5.23,5.1966
2020-11-18,4.94,5.19,4.94,4.94,163500,5.1945,5.1722
2020-11-19,5.01,5.01,4.91,4.94,77700,5.166,5.1501
2020-11-20,4.91,4.98,4.84,4.94,117200,5.1445,5.1301
2020-11-23,4.94,4.94,4.91,4.94,137700,5.123,5.112
2020-11-24,4.94,4.94,4.91,4.94,49100,5.1055,5.0956
2020-11-25,4.91,4.91,4.87,4.91,140800,5.0915,5.0779
2020-11-26,4.91,4.91,4.87,4.91,59100,5.076,5.0619
2020-11-27,4.8,4.91,4.59,4.91,238000,5.0585,5.0474
2020-11-30,4.59,4.91,4.59,4.87,61500,5.0375,5.0305
2020-12-01,4.87,4.87,4.73,4.84,102200,5.015,5.0124
2020-12-02,4.84,4.87,4.73,4.8,77200,4.992,4.9922
2020-12-03,4.84,4.84,4.8,4.8,151300,4.971,4.9739
2020-12-04,4.8,4.84,4.77,4.8,95200,4.95,4.9573
2020-12-07,4.77,4.91,4.69,4.91,358300,4.938,4.9528
2020-12-08,4.87,5.05,4.8,5.01,212500,4.931,4.9583
2020-12-09,5.12,5.44,5.12,5.4,416000,4.9435,5.0003
2020-12-10,5.4,5.44,5.29,5.29,179000,4.954,5.0279
2020-12-11,5.26,5.26,5.08,5.19,171801,4.961,5.0433
2020-12-14,5.22,5.26,5.15,5.19,119127,4.9735,5.0573
2020-12-15,5.22,5.22,5.15,5.19,71472,4.986,5.07
2020-12-16,5.19,5.26,5.15,5.19,149416,4.9985,5.0814
2020-12-17,5.15,5.22,5.12,5.12,78700,5.0075,5.0851
2020-12-18,5.12,5.19,5.12,5.15,86293,5.018,5.0912
2020-12-21,5.15,5.19,5.12,5.19,188770,5.0305,5.1007
2020-12-22,5.15,5.37,5.01,5.33,335049,5.05,5.1225
2020-12-23,5.37,5.47,5.37,5.44,283487,5.0765,5.1527
2020-12-24,5.44,5.54,5.15,5.29,113000,5.0955,5.1658
2020-12-25,5.37,5.37,5.22,5.33,109301,5.1165,5.1814
2020-12-28,5.29,5.4,5.22,5.26,152396,5.136,5.1889
2020-12-29,5.26,5.26,5.19,5.22,89312,5.155,5.1919
2020-12-30,5.22,5.29,5.19,5.22,78558,5.176,5.1946
2020-12-31,5.22,5.26,5.22,5.22,127545,5.197,5.197
2021-01-04,5.22,5.26,5.19,5.22,167617,5.218,5.1992
2021-01-05,5.22,5.37,5.22,5.33,317362,5.239,5.2116
2021-01-06,5.33,5.51,5.29,5.44,356886,5.2605,5.2334
2021-01-07,5.4,5.54,5.37,5.54,321423,5.2675,5.2626
2021-01-08,5.54,5.72,5.37,5.68,473821,5.287,5.3023
2021-01-11,5.65,5.86,5.61,5.82,363500,5.3185,5.3516
2021-01-12,5.82,5.82,5.65,5.75,189610,5.3465,5.3896
2021-01-13,5.72,5.75,5.58,5.68,340096,5.371,5.4172
2021-01-14,5.65,5.65,5.58,5.61,114203,5.392,5.4356
2021-01-15,5.61,5.68,5.54,5.68,150850,5.42,5.4589
2021-01-18,5.68,5.68,5.58,5.65,226161,5.445,5.4771
2021-01-19,5.65,5.79,5.12,5.44,268558,5.4575,5.4735
2021-01-20,5.47,5.47,5.01,5.37,126395,5.4595,5.4637
2021-01-21,5.37,5.47,5.29,5.4,74660,5.4575,5.4576
2021-01-22,5.47,5.47,5.33,5.33,95639,5.4595,5.4455
2021-01-25,5.37,5.37,5.22,5.22,148981,5.454,5.424
2021-01-26,5.19,5.26,5.08,5.15,124603,5.4485,5.3979
2021-01-27,5.12,5.12,4.87,4.94,83507,5.4345,5.3543
2021-01-28,4.87,4.87,4.24,4.24,401053,5.3855,5.2482
2021-01-29,4.24,4.91,4.09,4.48,127872,5.3485,5.175
2021-02-01,4.66,4.69,4.52,4.55,27910,5.315,5.1155
2021-02-02,4.55,4.66,4.31,4.55,98316,5.276,5.0616
2021-02-03,4.77,4.91,4.66,4.91,38057,5.2495,5.0472
2021-02-04,4.98,5.01,4.84,4.87,21099,5.216,5.0303
2021-02-05,4.87,5.12,4.87,4.91,14845,5.1775,5.0189
2021-02-08,4.91,4.91,4.59,4.77,55802,5.125,4.9952
2021-02-09,4.59,4.91,4.59,4.91,12650,5.083,4.987
2021-02-17,4.91,5.01,4.91,4.91,38347,5.0445,4.9797
2021-02-18,4.94,5.12,4.94,4.98,79930,5.013,4.9797
2021-02-19,5.12,5.22,5.08,5.12,61324,4.985,4.9931
2021-02-22,5.15,5.19,5.05,5.15,38835,4.96,5.008
2021-02-23,5.15,5.19,5.05,5.08,37358,4.942,5.0149
2021-02-24,5.12,5.12,5.01,5.01,35051,4.924,5.0144
2021-02-25,5.05,5.05,4.87,5.05,71916,4.9065,5.0178
2021-02-26,4.87,4.94,4.87,4.94,11809,4.887,5.0104
2021-03-01,4.94,5.05,4.94,5.01,79560,4.8765,5.0104
2021-03-02,5.05,5.05,4.94,5.01,46155,4.8695,5.0103
2021-03-03,5.01,5.05,4.94,4.98,82375,4.8715,5.0074
2021-03-04,5.01,5.08,4.94,4.98,118056,4.9085,5.0048
2021-03-05,5.01,5.05,4.98,5.05,63400,4.937,5.0091
2021-03-08,5.08,5.12,5.05,5.12,104654,4.9655,5.0197
2021-03-09,5.12,5.29,5.05,5.22,295769,4.999,5.0388
2021-03-10,5.22,5.37,5.19,5.37,131758,5.022,5.0703
2021-03-11,5.4,5.44,5.26,5.29,120357,5.043,5.0912
2021-03-12,5.29,5.33,5.19,5.26,91346,5.0605,5.1073
2021-03-15,5.29,5.4,5.29,5.33,172040,5.0885,5.1285
2021-03-16,5.33,5.47,5.33,5.44,256173,5.115,5.1582
2021-03-17,5.54,5.54,5.47,5.51,199017,5.145,5.1917
2021-03-18,5.51,5.54,5.44,5.47,167430,5.1695,5.2182
2021-03-19,5.47,5.47,5.4,5.44,149692,5.1855,5.2393
2021-03-22,5.4,5.47,5.29,5.33,180364,5.1945,5.248
2021-03-23,5.37,5.37,5.29,5.29,100142,5.205,5.252
2021-03-24,5.29,5.29,5.05,5.19,152560,5.214,5.2461
2021-03-25,5.19,5.22,5.12,5.15,59351,5.219,5.2369
2021-03-26,5.12,5.15,4.98,5.12,82289,5.228,5.2258
2021-03-29,5.08,5.22,5.08,5.22,51137,5.2385,5.2252
2021-03-30,5.22,5.22,5.12,5.19,175351,5.2475,5.2219
2021-03-31,5.22,5.29,5.22,5.26,67810,5.2615,5.2255
2021-04-01,5.26,5.33,5.22,5.33,172772,5.279,5.2355
2021-04-02,5.33,5.65,5.33,5.54,741012,5.3035,5.2645
2021-04-05,5.58,5.82,5.58,5.75,721070,5.335,5.3107
2021-04-06,5.75,5.79,5.68,5.72,246873,5.36,5.3497
2021-04-07,5.72,6.11,5.61,5.93,775199,5.388,5.4049
2021-04-08,5.93,6.35,5.93,6.07,391403,5.427,5.4683
2021-04-09,6.18,6.18,5.93,5.97,265113,5.4625,5.5161
2021-04-12,6.07,6.53,6.0,6.39,959679,5.5155,5.5993
2021-04-13,6.35,6.6,6.18,6.39,601581,5.563,5.6746
2021-04-14,6.35,6.39,6.18,6.39,278442,5.607,5.7427
2021-04-15,6.32,6.35,6.14,6.25,296400,5.646,5.791
2021-04-16,6.28,6.28,5.82,6.0,401908,5.674,5.8109
2021-04-19,6.04,6.11,5.79,6.07,193834,5.711,5.8356
2021-04-20,6.07,6.07,5.89,5.93,172148,5.743,5.8446
2021-04-22,6.21,6.21,5.65,5.72,439618,5.7695,5.8327
2021-04-23,5.72,5.89,5.54,5.86,229476,5.805,5.8353
2021-04-26,5.86,5.86,5.72,5.79,185410,5.8385,5.831
2021-04-27,5.82,5.86,5.72,5.82,125139,5.8685,5.83
2021-04-28,5.82,5.89,5.79,5.89,124615,5.9035,5.8357
2021-04-29,5.86,5.97,5.86,5.97,267643,5.939,5.8485
2021-05-04,5.93,5.93,5.65,5.82,201625,5.9635,5.8458
2021-05-05,5.82,5.97,5.82,5.89,384224,5.981,5.85
2021-05-06,6.0,6.0,5.89,5.93,260901,5.99,5.8576
2021-05-07,5.93,5.93,5.82,5.89,172440,5.9985,5.8607
2021-05-10,5.86,6.04,5.75,6.0,524031,6.002,5.874
2021-05-11,6.07,6.25,6.07,6.21,397281,6.009,5.906
2021-05-12,6.21,6.21,6.07,6.18,180138,6.0195,5.9321
2021-05-13,6.14,6.21,6.11,6.18,242000,6.009,5.9557
2021-05-14,6.18,6.32,6.18,6.28,376067,6.0035,5.9866
2021-05-17,6.28,6.99,6.28,6.71,1482638,6.0195,6.0555
2021-05-18,6.71,6.88,6.64,6.71,514328,6.0425,6.1178
2021-05-19,6.71,6.71,6.57,6.6,291718,6.0725,6.1637
2021-05-20,6.6,6.81,6.53,6.78,617358,6.108,6.2224
2021-05-21,6.81,6.88,6.71,6.74,521281,6.1485,6.2717
2021-05-24,6.78,6.81,6.71,6.78,456632,6.2015,6.3201
2021-05-25,6.78,6.81,6.67,6.74,486492,6.2455,6.3601
2021-05-26,6.74,6.92,6.71,6.85,675365,6.2985,6.4068
2021-05-27,6.85,7.52,6.85,7.41,1497558,6.378,6.5023
2021-05-28,7.41,8.22,7.34,8.12,1459265,6.4895,6.6564
2021-05-31,8.12,9.04,8.05,9.04,1326723,6.643,6.8834
2021-06-01,9.07,9.53,8.61,8.65,1140599,6.7845,7.0516
2021-06-02,8.65,9.18,7.8,8.54,926812,6.917,7.1934
2021-06-03,8.47,8.93,8.47,8.9,806077,7.0655,7.3559
2021-06-04,8.9,8.9,8.44,8.61,670866,7.2015,7.4754
2021-06-07,8.61,8.65,7.91,7.98,681061,7.3005,7.5234
2021-06-08,7.98,7.98,6.99,7.27,672258,7.3535,7.4993
2021-06-09,7.06,7.8,6.88,7.52,615225,7.4205,7.5013
2021-06-10,7.52,7.59,7.34,7.34,221643,7.4785,7.4859
2021-06-11,7.34,7.91,7.34,7.7,327154,7.5495,7.5063
2021-06-14,7.7,7.77,7.55,7.62,274848,7.595,7.5171
2021-06-15,7.62,7.73,7.41,7.45,299627,7.632,7.5107
2021-06-16,7.45,7.48,7.2,7.24,472020,7.664,7.4849
2021-06-17,7.24,7.38,7.06,7.34,261989,7.692,7.4711
2021-06-18,7.38,7.55,7.27,7.52,441728,7.731,7.4758
2021-06-21,7.55,7.59,7.41,7.45,217120,7.7645,7.4733
2021-06-22,7.48,7.62,7.34,7.55,421432,7.805,7.4806
2021-06-23,7.48,7.66,7.41,7.52,314155,7.8385,7.4844
2021-06-24,7.73,7.73,7.52,7.55,285405,7.8455,7.4906
2021-06-25,7.55,7.59,7.48,7.52,345324,7.8155,7.4934
2021-06-28,7.52,7.84,7.52,7.84,884586,7.7555,7.5264
2021-06-29,7.84,8.3,7.8,7.98,655209,7.722,7.5696
2021-06-30,8.08,8.12,7.8,7.84,281641,7.687,7.5954
2021-07-01,7.84,8.05,7.62,7.87,292786,7.6355,7.6215
2021-07-02,7.91,7.94,7.77,7.91,342347,7.6005,7.649
2021-07-05,7.94,8.15,7.91,8.15,947402,7.609,7.6967
2021-07-06,8.12,8.33,7.59,7.59,570619,7.625,7.6866
2021-07-07,7.59,7.84,7.55,7.8,357504,7.639,7.6974
2021-07-08,7.77,7.87,7.59,7.66,330732,7.655,7.6938
2021-07-09,7.66,7.7,7.24,7.48,420361,7.644,7.6734
2021-07-12,7.48,7.48,6.46,6.81,583599,7.6035,7.5912
2021-07-13,6.88,7.06,6.81,6.99,284947,7.5805,7.534
2021-07-14,7.02,7.02,6.6,6.67,319382,7.552,7.4517
2021-07-15,6.67,6.99,6.57,6.99,133811,7.5345,7.4077
2021-07-16,6.99,6.99,6.81,6.92,142605,7.5045,7.3613
2021-07-19,6.92,6.92,6.18,6.35,353733,7.4495,7.2649
2021-07-20,6.35,6.53,6.25,6.46,182338,7.395,7.1883
2021-07-21,6.49,6.6,6.46,6.53,158900,7.3455,7.1256
2021-07-22,6.57,6.85,6.46,6.71,167174,7.3035,7.086
2021-07-23,6.67,6.71,6.49,6.57,165307,7.256,7.0369
2021-07-26,6.39,6.53,6.39,6.53,149109,7.1905,6.9886
2021-07-27,6.67,6.67,6.53,6.57,78602,7.12,6.9487
2021-07-28,6.57,6.6,6.53,6.57,91801,7.0565,6.9127
2021-07-29,6.6,6.78,6.57,6.78,231100,7.002,6.9
2021-07-30,6.92,6.95,6.78,6.92,158135,6.9525,6.9019
2021-08-02,7.06,7.55,7.06,7.34,552633,6.912,6.9436
2021-08-03,7.34,7.41,7.17,7.34,234903,6.8995,6.9814
2021-08-04,7.34,7.38,7.2,7.24,407776,6.8715,7.006
2021-08-05,7.24,7.31,7.17,7.31,221725,6.854,7.035
2021-08-06,7.34,7.41,7.24,7.24,310536,6.842,7.0545
2021-08-09,7.31,7.34,7.2,7.34,216515,6.8685,7.0817
2021-08-10,7.31,7.62,7.31,7.52,443630,6.895,7.1234
2021-08-11,7.52,7.62,7.48,7.48,366664,6.9355,7.1574
2021-08-12,7.55,7.59,7.41,7.45,274178,6.9585,7.1853
2021-08-13,7.45,7.45,7.2,7.38,395735,6.9815,7.2038
2021-08-16,7.34,7.77,7.31,7.7,483375,7.049,7.2511
2021-08-17,7.55,7.84,7.55,7.62,265712,7.107,7.2862
2021-08-18,7.59,7.66,7.52,7.52,215405,7.1565,7.3085
2021-08-19,7.52,7.52,7.38,7.48,276651,7.195,7.3248
2021-08-20,7.48,7.48,6.99,7.17,642430,7.225,7.3101
2021-08-23,7.09,7.2,6.95,7.02,544784,7.2495,7.2824
2021-08-24,7.06,7.13,6.99,6.99,207910,7.2705,7.2546
2021-08-25,7.02,7.09,6.99,7.09,109879,7.2965,7.2389
2021-08-26,7.09,7.13,6.99,7.02,89705,7.3085,7.2181
2021-08-27,7.06,7.06,6.85,6.99,341559,7.312,7.1963
2021-08-30,6.99,7.09,6.88,7.06,185940,7.298,7.1834
2021-08-31,7.09,7.09,6.95,7.06,98563,7.284,7.1716
2021-09-01,6.99,7.02,6.92,6.95,168620,7.2695,7.1505
2021-09-06,6.95,7.02,6.92,7.02,227600,7.255,7.1381
2021-09-07,7.02,7.24,6.95,7.17,277861,7.2515,7.1411
2021-09-08,7.2,7.27,7.09,7.09,129241,7.239,7.1362
2021-09-09,7.17,7.17,7.02,7.09,96312,7.2175,7.1318
2021-09-10,7.09,7.09,6.99,7.02,141101,7.1945,7.1212
2021-09-13,7.02,7.06,6.95,6.99,134529,7.1715,7.1087
2021-09-14,6.95,7.06,6.92,6.95,93142,7.15,7.0936
2021-09-15,6.92,6.99,6.85,6.95,90346,7.1125,7.0799
2021-09-16,6.99,6.99,6.88,6.92,114305,7.0775,7.0647
2021-09-17,7.02,7.17,6.95,7.09,178042,7.056,7.0671
2021-09-20,7.27,7.77,7.27,7.34,393861,7.049,7.0931
2021-09-21,7.41,7.41,7.06,7.27,260911,7.054,7.1099
2021-09-22,7.31,7.31,7.09,7.2,236926,7.063,7.1185
2021-09-23,7.34,7.48,7.17,7.27,393372,7.077,7.1329
2021-09-24,7.34,7.59,7.34,7.45,432895,7.095,7.1631
2021-09-27,7.41,7.52,7.17,7.2,277360,7.104,7.1666
2021-09-28,7.31,7.31,7.02,7.2,141510,7.1145,7.1698
2021-09-29,7.13,7.13,6.88,7.02,287956,7.1125,7.1556
2021-09-30,6.99,6.99,6.88,6.95,175198,7.107,7.136
2021-10-01,6.95,6.95,6.85,6.88,186928,7.1035,7.1116
2021-10-04,6.85,6.85,6.64,6.74,263973,7.0895,7.0762
2021-10-05,6.74,6.88,6.74,6.85,69760,7.0735,7.0547
2021-10-06,6.78,6.88,6.78,6.78,75412,7.058,7.0285
2021-10-07,6.92,6.92,6.81,6.85,64281,7.046,7.0115
2021-10-08,6.85,6.92,6.85,6.88,81766,7.039,6.999
2021-10-11,6.92,7.06,6.88,7.06,185298,7.0425,7.0048
2021-10-12,7.06,7.13,6.95,7.02,110801,7.046,7.0062
2021-10-13,7.02,7.06,6.92,6.95,75489,7.046,7.0009
2021-10-14,6.95,7.02,6.92,6.99,94829,7.0495,6.9998
2021-10-15,6.99,6.99,6.92,6.95,113320,7.0425,6.9951
2021-10-18,6.95,6.99,6.92,6.92,173054,7.0215,6.9879
2021-10-19,6.92,6.95,6.88,6.92,86900,7.004,6.9815
2021-10-20,6.92,6.95,6.85,6.92,90912,6.99,6.9756
2021-10-21,6.88,6.88,6.81,6.88,135500,6.9705,6.9665
2021-10-22,6.88,6.92,6.85,6.92,120252,6.944,6.9621
2021-10-25,6.95,6.95,6.85,6.88,122186,6.928,6.9543
2021-10-26,6.85,6.85,6.78,6.85,113460,6.9105,6.9443
2021-10-27,6.81,6.92,6.78,6.88,226829,6.9035,6.9382
2021-10-28,6.95,7.06,6.88,7.06,376745,6.909,6.9498
2021-10-29,7.06,7.38,7.06,7.34,837388,6.932,6.987
2021-11-01,7.38,7.48,7.34,7.38,482921,6.964,7.0244
2021-11-02,7.38,7.38,7.24,7.31,325041,6.987,7.0516
2021-11-03,7.31,7.98,7.24,7.91,1683415,7.0435,7.1334
2021-11-04,7.91,8.15,7.73,7.84,666298,7.093,7.2007
2021-11-05,7.91,7.91,7.66,7.7,334250,7.134,7.2482
