time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,8.67,8.67,8.67,8.67,0,,
2020-01-03,8.67,8.67,8.67,8.67,0,,
2020-01-06,8.67,8.67,8.67,8.67,0,,
2020-01-07,8.67,8.67,8.67,8.67,0,,
2020-01-08,8.67,8.67,8.67,8.67,0,,
2020-01-09,8.67,8.67,8.67,8.67,0,,
2020-01-10,8.67,8.67,8.67,8.67,0,,
2020-01-13,8.67,8.67,8.67,8.67,0,,
2020-01-14,8.67,8.67,8.67,8.67,0,,
2020-01-15,8.67,8.67,8.67,8.67,0,,
2020-01-16,8.67,8.67,8.67,8.67,0,,
2020-01-17,8.67,8.67,8.67,8.67,0,,
2020-01-20,8.67,8.67,8.67,8.67,0,,
2020-01-21,8.67,8.67,8.67,8.67,0,,
2020-01-22,8.67,8.67,8.67,8.67,0,,
2020-01-30,8.67,8.67,8.67,8.67,0,,
2020-01-31,8.67,8.67,8.67,8.67,0,,
2020-02-03,8.67,8.67,8.67,8.67,0,,
2020-02-04,8.67,8.67,8.67,8.67,0,,
2020-02-05,8.67,8.67,8.67,8.67,0,8.67,8.67
2020-02-06,8.67,8.67,8.67,8.67,0,8.67,8.67
2020-02-07,8.67,8.67,8.67,8.67,0,8.67,8.67
2020-02-10,8.67,8.67,8.67,8.67,0,8.67,8.67
2020-02-11,8.67,8.67,8.67,8.67,0,8.67,8.67
2020-02-12,8.67,8.67,8.67,8.67,0,8.67,8.67
2020-02-13,8.67,8.67,8.67,8.67,0,8.67,8.67
2020-02-14,8.67,8.67,8.67,8.67,0,8.67,8.67
2020-02-17,8.67,8.67,8.67,8.67,0,8.67,8.67
2020-02-18,8.67,8.67,8.67,8.67,0,8.67,8.67
2020-02-19,8.67,8.67,8.67,8.67,0,8.67,8.67
2020-02-20,9.54,9.54,9.54,9.54,100,8.7135,8.7529
2020-02-21,10.48,10.48,10.48,10.48,100,8.804,8.9173
2020-02-24,10.48,10.48,10.48,10.48,0,8.8945,9.0662
2020-02-25,10.48,10.48,10.48,10.48,0,8.985,9.2008
2020-02-26,10.48,10.48,10.48,10.48,0,9.0755,9.3226
2020-02-27,10.48,10.48,10.48,10.48,0,9.166,9.4329
2020-02-28,10.48,10.48,10.48,10.48,0,9.2565,9.5326
2020-03-02,10.48,10.48,10.48,10.48,0,9.347,9.6228
2020-03-03,10.48,10.48,10.48,10.48,0,9.4375,9.7045
2020-03-04,10.48,10.48,10.48,10.48,0,9.528,9.7783
2020-03-05,10.48,10.48,10.48,10.48,0,9.6185,9.8451
2020-03-06,10.48,10.48,10.48,10.48,0,9.709,9.9056
2020-03-09,9.47,9.47,9.47,9.47,200,9.749,9.8641
2020-03-10,9.47,9.47,9.47,9.47,0,9.789,9.8266
2020-03-11,9.47,9.47,9.47,9.47,0,9.829,9.7926
2020-03-12,9.47,9.47,9.47,9.47,0,9.869,9.7619
2020-03-13,9.47,9.47,9.47,9.47,0,9.909,9.7341
2020-03-16,9.47,9.47,9.47,9.47,0,9.949,9.7089
2020-03-17,9.47,9.47,9.47,9.47,0,9.989,9.6862
2020-03-18,9.47,9.47,9.47,9.47,0,10.029,9.6656
2020-03-19,9.47,9.47,9.47,9.47,0,10.0255,9.647
2020-03-20,9.47,9.47,9.47,9.47,0,9.975,9.6301
2020-03-23,9.47,9.47,9.47,9.47,0,9.9245,9.6149
2020-03-24,9.47,9.47,9.47,9.47,0,9.874,9.6011
2020-03-25,9.47,9.47,9.47,9.47,0,9.8235,9.5886
2020-03-26,9.47,9.47,9.47,9.47,0,9.773,9.5773
2020-03-27,9.47,9.47,9.47,9.47,0,9.7225,9.5671
